cell_name,is_seq,is_macro,is_in_clk,x0,y0,x1,y1,is_filler,is_buf,is_inv,libcell_name,cell_static_power,cell_dynamic_power
drc_bufs150116,0,0,0,0,0,216,270,0,0,1,INVx2_ASAP7_75t_SL,5.134642933057876e-09,3.340122566442005e-05
drc_bufs150119,0,0,0,0,0,162,270,0,0,1,INVx1_ASAP7_75t_SL,2.5741266895806802e-09,4.393977633299073e-06
drc_bufs150131,0,0,0,0,0,162,270,0,0,1,INVx1_ASAP7_75t_SL,5.060025287662029e-09,7.927980050226324e-08
drc_bufs150132,0,0,0,0,0,162,270,0,0,1,INVx1_ASAP7_75t_SL,5.1390718347477105e-09,2.1959495555279318e-08
drc_bufs150144,0,0,0,0,0,162,270,0,0,1,INVx1_ASAP7_75t_SL,4.915948537131953e-09,1.2665807389566908e-06
drc_bufs150145,0,0,0,0,0,162,270,0,0,1,INVx1_ASAP7_75t_SL,4.992709357054537e-09,3.652628208783426e-07
drc_bufs150157,0,0,0,0,0,162,270,0,0,1,INVx1_ASAP7_75t_SL,5.062080532525215e-09,3.324714015207064e-08
drc_bufs150158,0,0,0,0,0,162,270,0,0,1,INVx1_ASAP7_75t_SL,5.141159054034006e-09,9.42984712537509e-09
drc_bufs150167,0,0,0,0,0,162,270,0,0,1,INVx1_ASAP7_75t_SL,4.9405075586150815e-09,3.0736298413103214e-06
drc_bufs150169,0,0,0,0,0,162,270,0,0,1,INVx1_ASAP7_75t_SL,4.9405075586150815e-09,3.073629613936646e-06
drc_bufs150171,0,0,0,0,0,162,270,0,0,1,INVx1_ASAP7_75t_SL,5.017662729756012e-09,5.162409024705994e-07
g135209,0,0,0,0,0,432,270,0,0,0,AND5x1_ASAP7_75t_SL,2.0706304226791872e-08,1.4678856530281337e-07
g135219,0,0,0,0,0,432,270,0,0,0,AND5x1_ASAP7_75t_SL,2.0875086548244326e-08,1.5085791460478504e-07
g135220,0,0,0,0,0,432,270,0,0,0,AND5x1_ASAP7_75t_SL,2.1370581748669792e-08,1.0018159457558795e-07
g135229,0,0,0,0,0,432,270,0,0,0,AND5x1_ASAP7_75t_SL,2.1340479605669316e-08,1.0389255322706958e-07
g135230,0,0,0,0,0,432,270,0,0,0,AND5x1_ASAP7_75t_SL,2.1340477829312476e-08,1.0389295113100161e-07
