net_name,net_route_length,net_steiner_length,fanout,total_cap,net_cap,net_coupling,net_res
UNCONNECTED81,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED82,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED83,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED84,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED85,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z0,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z1,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z10,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z11,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z12,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z13,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z14,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z15,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z16,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z17,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z18,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z19,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z2,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z20,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z21,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z22,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z23,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z24,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z25,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z26,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z27,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z28,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z29,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z3,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z30,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z31,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z32,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z33,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z34,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z35,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z36,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z37,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z38,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z39,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z4,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z40,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z5,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z6,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z7,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z8,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z9,0,-1,0,0.0,0.0,0.0,0.0
accu2sc_credit_vld,0,-1,1,0.0,0.0,0.0,0.0
cacc2csb_resp_pd[0],0,-1,2,5.243059828121234e-16,0.0,0.0,0.0
cacc2csb_resp_pd[10],0,-1,2,4.815059903225149e-16,0.0,0.0,0.0
cacc2csb_resp_pd[11],0,-1,2,4.819949930308766e-16,0.0,0.0,0.0
cacc2csb_resp_pd[12],0,-1,2,5.48303008542989e-16,0.0,0.0,0.0
cacc2csb_resp_pd[13],0,-1,2,5.48303008542989e-16,0.0,0.0,0.0
cacc2csb_resp_pd[14],0,-1,2,4.815059903225149e-16,0.0,0.0,0.0
cacc2csb_resp_pd[15],0,-1,2,4.815059903225149e-16,0.0,0.0,0.0
cacc2csb_resp_pd[16],0,-1,2,6.037300388146726e-16,0.0,0.0,0.0
cacc2csb_resp_pd[17],0,-1,2,6.037300388146726e-16,0.0,0.0,0.0
cacc2csb_resp_pd[18],0,-1,2,4.815059903225149e-16,0.0,0.0,0.0
cacc2csb_resp_pd[19],0,-1,2,4.815059903225149e-16,0.0,0.0,0.0
cacc2csb_resp_pd[1],0,-1,2,5.245410344549865e-16,0.0,0.0,0.0
cacc2csb_resp_pd[20],0,-1,2,4.815059903225149e-16,0.0,0.0,0.0
cacc2csb_resp_pd[21],0,-1,2,4.815059903225149e-16,0.0,0.0,0.0
cacc2csb_resp_pd[22],0,-1,2,4.815059903225149e-16,0.0,0.0,0.0
cacc2csb_resp_pd[23],0,-1,2,4.815059903225149e-16,0.0,0.0,0.0
cacc2csb_resp_pd[24],0,-1,2,4.815059903225149e-16,0.0,0.0,0.0
cacc2csb_resp_pd[25],0,-1,2,4.815059903225149e-16,0.0,0.0,0.0
cacc2csb_resp_pd[26],0,-1,2,4.815059903225149e-16,0.0,0.0,0.0
cacc2csb_resp_pd[27],0,-1,2,4.819949930308766e-16,0.0,0.0,0.0
cacc2csb_resp_pd[28],0,-1,2,4.815059903225149e-16,0.0,0.0,0.0
cacc2csb_resp_pd[29],0,-1,2,4.819949930308766e-16,0.0,0.0,0.0
cacc2csb_resp_pd[2],0,-1,2,4.819949930308766e-16,0.0,0.0,0.0
cacc2csb_resp_pd[30],0,-1,2,4.819949930308766e-16,0.0,0.0,0.0
cacc2csb_resp_pd[31],0,-1,2,4.815059903225149e-16,0.0,0.0,0.0
cacc2csb_resp_pd[33],0,-1,2,5.541640000819559e-16,0.0,0.0,0.0
cacc2csb_resp_pd[3],0,-1,2,4.819949930308766e-16,0.0,0.0,0.0
cacc2csb_resp_pd[4],0,-1,2,4.819949930308766e-16,0.0,0.0,0.0
cacc2csb_resp_pd[5],0,-1,2,4.815059903225149e-16,0.0,0.0,0.0
cacc2csb_resp_pd[6],0,-1,2,4.815059903225149e-16,0.0,0.0,0.0
cacc2csb_resp_pd[7],0,-1,2,4.290590072477291e-16,0.0,0.0,0.0
cacc2csb_resp_pd[8],0,-1,2,4.819949930308766e-16,0.0,0.0,0.0
cacc2csb_resp_pd[9],0,-1,2,4.815059903225149e-16,0.0,0.0,0.0
cacc2csb_resp_valid,0,-1,1,0.0,0.0,0.0,0.0
cacc2glb_done_intr_pd[0],0,-1,1,0.0,0.0,0.0,0.0
cacc2glb_done_intr_pd[1],0,-1,1,0.0,0.0,0.0,0.0
cacc2sdp_pd[0],0,-1,1,0.0,0.0,0.0,0.0
cacc2sdp_pd[10],0,-1,1,0.0,0.0,0.0,0.0
cacc2sdp_pd[11],0,-1,1,0.0,0.0,0.0,0.0
cacc2sdp_pd[12],0,-1,1,0.0,0.0,0.0,0.0
cacc2sdp_pd[13],0,-1,1,0.0,0.0,0.0,0.0
cacc2sdp_pd[14],0,-1,1,0.0,0.0,0.0,0.0
cacc2sdp_pd[15],0,-1,1,0.0,0.0,0.0,0.0
cacc2sdp_pd[16],0,-1,1,0.0,0.0,0.0,0.0
cacc2sdp_pd[17],0,-1,1,0.0,0.0,0.0,0.0
cacc2sdp_pd[18],0,-1,1,0.0,0.0,0.0,0.0
cacc2sdp_pd[19],0,-1,1,0.0,0.0,0.0,0.0
cacc2sdp_pd[1],0,-1,1,0.0,0.0,0.0,0.0
cacc2sdp_pd[20],0,-1,1,0.0,0.0,0.0,0.0
cacc2sdp_pd[21],0,-1,1,0.0,0.0,0.0,0.0
cacc2sdp_pd[22],0,-1,1,0.0,0.0,0.0,0.0
cacc2sdp_pd[23],0,-1,1,0.0,0.0,0.0,0.0
cacc2sdp_pd[24],0,-1,1,0.0,0.0,0.0,0.0
cacc2sdp_pd[25],0,-1,1,0.0,0.0,0.0,0.0
cacc2sdp_pd[26],0,-1,1,0.0,0.0,0.0,0.0
cacc2sdp_pd[27],0,-1,1,0.0,0.0,0.0,0.0
cacc2sdp_pd[28],0,-1,1,0.0,0.0,0.0,0.0
cacc2sdp_pd[29],0,-1,1,0.0,0.0,0.0,0.0
cacc2sdp_pd[2],0,-1,1,0.0,0.0,0.0,0.0
cacc2sdp_pd[30],0,-1,1,0.0,0.0,0.0,0.0
cacc2sdp_pd[31],0,-1,1,0.0,0.0,0.0,0.0
cacc2sdp_pd[33],0,-1,2,5.633400138786802e-16,0.0,0.0,0.0
cacc2sdp_pd[3],0,-1,1,0.0,0.0,0.0,0.0
cacc2sdp_pd[4],0,-1,1,0.0,0.0,0.0,0.0
cacc2sdp_pd[5],0,-1,1,0.0,0.0,0.0,0.0
cacc2sdp_pd[6],0,-1,1,0.0,0.0,0.0,0.0
cacc2sdp_pd[7],0,-1,1,0.0,0.0,0.0,0.0
cacc2sdp_pd[8],0,-1,1,0.0,0.0,0.0,0.0
cacc2sdp_pd[9],0,-1,1,0.0,0.0,0.0,0.0
cacc2sdp_ready,0,-1,2,1.0561179480863409e-15,0.0,0.0,0.0
cacc2sdp_valid,0,-1,6,2.8125500314683284e-15,0.0,0.0,0.0
csb2cacc_req_pd[0],0,-1,1,4.3417500683980625e-16,0.0,0.0,0.0
csb2cacc_req_pd[10],0,-1,0,0.0,0.0,0.0,0.0
csb2cacc_req_pd[11],0,-1,0,0.0,0.0,0.0,0.0
csb2cacc_req_pd[12],0,-1,0,0.0,0.0,0.0,0.0
csb2cacc_req_pd[13],0,-1,0,0.0,0.0,0.0,0.0
csb2cacc_req_pd[14],0,-1,0,0.0,0.0,0.0,0.0
csb2cacc_req_pd[15],0,-1,0,0.0,0.0,0.0,0.0
csb2cacc_req_pd[16],0,-1,0,0.0,0.0,0.0,0.0
csb2cacc_req_pd[17],0,-1,0,0.0,0.0,0.0,0.0
