src,tar,src_type,tar_type,is_net,arc_delay
drc_bufs150116/A,drc_bufs150116/Y,pin,pin,0,1.0583289106191884e-10
drc_bufs150119/A,drc_bufs150119/Y,pin,pin,0,2.8718513678249735e-11
drc_bufs150131/A,drc_bufs150131/Y,pin,pin,0,7.337497276438398e-11
drc_bufs150132/A,drc_bufs150132/Y,pin,pin,0,2.031133941593488e-11
drc_bufs150144/A,drc_bufs150144/Y,pin,pin,0,6.644380878828571e-11
drc_bufs150145/A,drc_bufs150145/Y,pin,pin,0,1.9625863434402646e-11
drc_bufs150157/A,drc_bufs150157/Y,pin,pin,0,6.035616451072201e-11
drc_bufs150158/A,drc_bufs150158/Y,pin,pin,0,1.815021050122212e-11
drc_bufs150167/A,drc_bufs150167/Y,pin,pin,0,1.3484290073417782e-10
drc_bufs150169/A,drc_bufs150169/Y,pin,pin,0,1.3484290073417782e-10
drc_bufs150171/A,drc_bufs150171/Y,pin,pin,0,2.686116953865003e-11
g135209/A,g135209/Y,pin,pin,0,2.2995331333541813e-11
g135209/B,g135209/Y,pin,pin,0,2.4808186754876616e-11
g135209/C,g135209/Y,pin,pin,0,2.7225544735332008e-11
g135209/D,g135209/Y,pin,pin,0,2.89712958484456e-11
g135209/E,g135209/Y,pin,pin,0,2.8615426000966337e-11
g135219/A,g135219/Y,pin,pin,0,2.6929295598998593e-11
g135219/B,g135219/Y,pin,pin,0,2.6811879105803627e-11
g135219/C,g135219/Y,pin,pin,0,2.7080419504055264e-11
g135219/D,g135219/Y,pin,pin,0,2.5944383794107573e-11
g135219/E,g135219/Y,pin,pin,0,2.5199807518472284e-11
g135220/A,g135220/Y,pin,pin,0,2.6195481547808264e-11
g135220/B,g135220/Y,pin,pin,0,2.8121366346667287e-11
g135220/C,g135220/Y,pin,pin,0,2.919105582255277e-11
g135220/D,g135220/Y,pin,pin,0,2.5643345086256986e-11
g135220/E,g135220/Y,pin,pin,0,2.6373020087233634e-11
g135229/A,g135229/Y,pin,pin,0,2.3145152461268026e-11
g135229/B,g135229/Y,pin,pin,0,2.4853348545850196e-11
g135229/C,g135229/Y,pin,pin,0,2.7225544735332008e-11
g135229/D,g135229/Y,pin,pin,0,2.8661101270088807e-11
g135229/E,g135229/Y,pin,pin,0,2.5473964951339134e-11
g135230/A,g135230/Y,pin,pin,0,2.3145152461268026e-11
g135230/B,g135230/Y,pin,pin,0,2.4853348545850196e-11
g135230/C,g135230/Y,pin,pin,0,2.7225544735332008e-11
g135230/D,g135230/Y,pin,pin,0,2.8661101270088807e-11
g135230/E,g135230/Y,pin,pin,0,2.5473964951339134e-11
g135231/A,g135231/Y,pin,pin,0,1.8699744877559432e-11
g135231/B,g135231/Y,pin,pin,0,2.099844777225801e-11
g135231/C,g135231/Y,pin,pin,0,2.0970338313053283e-11
g135231/D,g135231/Y,pin,pin,0,1.9360917383193232e-11
g135232/A,g135232/Y,pin,pin,0,2.3145152461268026e-11
g135232/B,g135232/Y,pin,pin,0,2.4853348545850196e-11
g135232/C,g135232/Y,pin,pin,0,2.7225544735332008e-11
g135232/D,g135232/Y,pin,pin,0,2.8661101270088807e-11
g135232/E,g135232/Y,pin,pin,0,2.5473964951339134e-11
g135242/A,g135242/Y,pin,pin,0,2.6954547968638387e-11
g135242/B,g135242/Y,pin,pin,0,2.5337827322391426e-11
g135242/C,g135242/Y,pin,pin,0,2.9054501859970827e-11
g135242/D,g135242/Y,pin,pin,0,2.6066079850117774e-11
g135242/E,g135242/Y,pin,pin,0,2.537715350359182e-11
g135243/A,g135243/Y,pin,pin,0,2.8444765640123215e-11
g135243/B,g135243/Y,pin,pin,0,2.7661694115832525e-11
g135243/C,g135243/Y,pin,pin,0,2.836391711780184e-11
g135243/D,g135243/Y,pin,pin,0,2.923070813176665e-11
g135243/E,g135243/Y,pin,pin,0,2.5473964951339134e-11
g135244/A,g135244/Y,pin,pin,0,2.8444765640123215e-11
g135244/B,g135244/Y,pin,pin,0,2.7661694115832525e-11
g135244/C,g135244/Y,pin,pin,0,2.836391711780184e-11
g135244/D,g135244/Y,pin,pin,0,2.923070813176665e-11
g135244/E,g135244/Y,pin,pin,0,2.5473964951339134e-11
g135245/A,g135245/Y,pin,pin,0,2.8444765640123215e-11
g135245/B,g135245/Y,pin,pin,0,2.7661694115832525e-11
g135245/C,g135245/Y,pin,pin,0,2.836391711780184e-11
g135245/D,g135245/Y,pin,pin,0,2.923070813176665e-11
g135245/E,g135245/Y,pin,pin,0,2.5473964951339134e-11
g135246/A,g135246/Y,pin,pin,0,2.8444765640123215e-11
g135246/B,g135246/Y,pin,pin,0,2.7661694115832525e-11
g135246/C,g135246/Y,pin,pin,0,2.836391711780184e-11
g135246/D,g135246/Y,pin,pin,0,2.923070813176665e-11
g135246/E,g135246/Y,pin,pin,0,2.5473964951339134e-11
g135247/A,g135247/Y,pin,pin,0,2.7126519780429348e-11
g135247/B,g135247/Y,pin,pin,0,2.662040726741921e-11
g135247/C,g135247/Y,pin,pin,0,2.8681548455700145e-11
g135247/D,g135247/Y,pin,pin,0,2.5643345086256986e-11
g135247/E,g135247/Y,pin,pin,0,2.934741338833646e-11
g135248/A,g135248/Y,pin,pin,0,2.6813582604257036e-11
g135248/B,g135248/Y,pin,pin,0,2.7131087307341595e-11
g135248/C,g135248/Y,pin,pin,0,2.9054501859970827e-11
g135248/D,g135248/Y,pin,pin,0,2.6066079850117774e-11
g135248/E,g135248/Y,pin,pin,0,2.948982030792635e-11
g135249/A,g135249/Y,pin,pin,0,2.7126519780429348e-11
g135249/B,g135249/Y,pin,pin,0,2.5337827322391426e-11
g135249/C,g135249/Y,pin,pin,0,2.9054501859970827e-11
g135249/D,g135249/Y,pin,pin,0,2.6037628650388278e-11
g135249/E,g135249/Y,pin,pin,0,2.948982030792635e-11
g135250/A,g135250/Y,pin,pin,0,2.50651339961383e-11
g135250/B,g135250/Y,pin,pin,0,2.7621113729559e-11
g135250/C,g135250/Y,pin,pin,0,2.6542197259504796e-11
g135250/D,g135250/Y,pin,pin,0,2.6399769523233196e-11
g135250/E,g135250/Y,pin,pin,0,2.948982030792635e-11
g135251/A,g135251/Y,pin,pin,0,2.50651339961383e-11
g135251/B,g135251/Y,pin,pin,0,2.7621113729559e-11
g135251/C,g135251/Y,pin,pin,0,2.646663964378515e-11
g135251/D,g135251/Y,pin,pin,0,2.644865923495665e-11
g135251/E,g135251/Y,pin,pin,0,2.948982030792635e-11
g135252/A,g135252/Y,pin,pin,0,2.6650764928248805e-11
g135252/B,g135252/Y,pin,pin,0,3.037273210715341e-11
g135252/C,g135252/Y,pin,pin,0,2.646663964378515e-11
g135252/D,g135252/Y,pin,pin,0,2.644865923495665e-11
g135252/E,g135252/Y,pin,pin,0,2.948982030792635e-11
g135253/A,g135253/Y,pin,pin,0,2.641262555891366e-11
g135253/B,g135253/Y,pin,pin,0,3.037273210715341e-11
g135253/C,g135253/Y,pin,pin,0,2.6542197259504796e-11
g135253/D,g135253/Y,pin,pin,0,2.6399769523233196e-11
g135253/E,g135253/Y,pin,pin,0,2.948982030792635e-11
g135254/A,g135254/Y,pin,pin,0,2.50651339961383e-11
g135254/B,g135254/Y,pin,pin,0,2.76088596429247e-11
g135254/C,g135254/Y,pin,pin,0,2.6009685724637244e-11
g135254/D,g135254/Y,pin,pin,0,2.923070813176665e-11
g135254/E,g135254/Y,pin,pin,0,2.5399746542142942e-11
g135420/A,g135420/Y,pin,pin,0,2.7126519780429348e-11
g135420/B,g135420/Y,pin,pin,0,2.7131087307341595e-11
g135420/C,g135420/Y,pin,pin,0,2.9293338588143314e-11
g135420/D,g135420/Y,pin,pin,0,2.7764460869272867e-11
g135420/E,g135420/Y,pin,pin,0,2.5479557699825683e-11
g135421/A,g135421/Y,pin,pin,0,2.0145355869582993e-11
g135421/B,g135421/Y,pin,pin,0,2.02255521358774e-11
g135421/C,g135421/Y,pin,pin,0,1.5980326437126102e-11
g135422/A,g135422/Y,pin,pin,0,2.50651339961383e-11
g135422/B,g135422/Y,pin,pin,0,2.7451761350216763e-11
g135422/C,g135422/Y,pin,pin,0,2.7061675816897335e-11
g135422/D,g135422/Y,pin,pin,0,2.6106061756792087e-11
g135422/E,g135422/Y,pin,pin,0,3.1236561948144725e-11
g135423/A1,g135423/Y,pin,pin,0,2.58698461957918e-11
g135423/A2,g135423/Y,pin,pin,0,1.4466409840874217e-11
g135423/B1,g135423/Y,pin,pin,0,2.6205477024476842e-11
g135423/B2,g135423/Y,pin,pin,0,1.5151836382787387e-11
g135423/C,g135423/Y,pin,pin,0,1.671842699002557e-11
g135424/A1,g135424/Y,pin,pin,0,2.58698461957918e-11
g135424/A2,g135424/Y,pin,pin,0,1.4466409840874217e-11
g135424/B1,g135424/Y,pin,pin,0,2.6205477024476842e-11
g135424/B2,g135424/Y,pin,pin,0,1.5151836382787387e-11
g135424/C,g135424/Y,pin,pin,0,1.671842699002557e-11
g135425/A,g135425/Y,pin,pin,0,2.50651339961383e-11
g135425/B,g135425/Y,pin,pin,0,2.7621113729559e-11
g135425/C,g135425/Y,pin,pin,0,2.710012596274236e-11
g135425/D,g135425/Y,pin,pin,0,2.6066079850117774e-11
g135425/E,g135425/Y,pin,pin,0,3.0527847610928305e-11
g135426/A,g135426/Y,pin,pin,0,2.50651339961383e-11
g135426/B,g135426/Y,pin,pin,0,2.7621113729559e-11
g135426/C,g135426/Y,pin,pin,0,2.710012596274236e-11
g135426/D,g135426/Y,pin,pin,0,2.6066079850117774e-11
g135426/E,g135426/Y,pin,pin,0,3.0527847610928305e-11
g135427/A,g135427/Y,pin,pin,0,2.7126519780429348e-11
g135427/B,g135427/Y,pin,pin,0,2.5581333926161243e-11
g135427/C,g135427/Y,pin,pin,0,2.9293338588143314e-11
g135427/D,g135427/Y,pin,pin,0,2.7764460869272867e-11
g135427/E,g135427/Y,pin,pin,0,2.5399746542142942e-11
