src,tar,src_type,tar_type
u_NV_NVDLA_cacc_u_regfile_cacc2csb_resp_pd_reg\[0\],g136975,cell,cell
u_NV_NVDLA_cacc_u_regfile_cacc2csb_resp_pd_reg\[10\],g136341,cell,cell
u_NV_NVDLA_cacc_u_regfile_cacc2csb_resp_pd_reg\[11\],g136342,cell,cell
u_NV_NVDLA_cacc_u_regfile_cacc2csb_resp_pd_reg\[12\],g136401,cell,cell
u_NV_NVDLA_cacc_u_regfile_cacc2csb_resp_pd_reg\[13\],g136417,cell,cell
u_NV_NVDLA_cacc_u_regfile_cacc2csb_resp_pd_reg\[14\],g136343,cell,cell
u_NV_NVDLA_cacc_u_regfile_cacc2csb_resp_pd_reg\[15\],g136344,cell,cell
u_NV_NVDLA_cacc_u_regfile_cacc2csb_resp_pd_reg\[16\],g137278,cell,cell
u_NV_NVDLA_cacc_u_regfile_cacc2csb_resp_pd_reg\[17\],g137005,cell,cell
u_NV_NVDLA_cacc_u_regfile_cacc2csb_resp_pd_reg\[18\],g136346,cell,cell
u_NV_NVDLA_cacc_u_regfile_cacc2csb_resp_pd_reg\[19\],g136347,cell,cell
u_NV_NVDLA_cacc_u_regfile_cacc2csb_resp_pd_reg\[1\],g136786,cell,cell
u_NV_NVDLA_cacc_u_regfile_cacc2csb_resp_pd_reg\[20\],g136348,cell,cell
u_NV_NVDLA_cacc_u_regfile_cacc2csb_resp_pd_reg\[21\],g136349,cell,cell
u_NV_NVDLA_cacc_u_regfile_cacc2csb_resp_pd_reg\[22\],g136350,cell,cell
u_NV_NVDLA_cacc_u_regfile_cacc2csb_resp_pd_reg\[23\],g136351,cell,cell
u_NV_NVDLA_cacc_u_regfile_cacc2csb_resp_pd_reg\[24\],g136367,cell,cell
u_NV_NVDLA_cacc_u_regfile_cacc2csb_resp_pd_reg\[25\],g136368,cell,cell
u_NV_NVDLA_cacc_u_regfile_cacc2csb_resp_pd_reg\[26\],g136369,cell,cell
u_NV_NVDLA_cacc_u_regfile_cacc2csb_resp_pd_reg\[27\],g136356,cell,cell
u_NV_NVDLA_cacc_u_regfile_cacc2csb_resp_pd_reg\[28\],g136370,cell,cell
u_NV_NVDLA_cacc_u_regfile_cacc2csb_resp_pd_reg\[29\],g136358,cell,cell
u_NV_NVDLA_cacc_u_regfile_cacc2csb_resp_pd_reg\[2\],g136331,cell,cell
u_NV_NVDLA_cacc_u_regfile_cacc2csb_resp_pd_reg\[30\],g136359,cell,cell
u_NV_NVDLA_cacc_u_regfile_cacc2csb_resp_pd_reg\[31\],g136360,cell,cell
u_NV_NVDLA_cacc_u_regfile_cacc2csb_resp_pd_reg\[33\],g148334,cell,cell
u_NV_NVDLA_cacc_u_regfile_cacc2csb_resp_pd_reg\[3\],g136333,cell,cell
u_NV_NVDLA_cacc_u_regfile_cacc2csb_resp_pd_reg\[4\],g136335,cell,cell
u_NV_NVDLA_cacc_u_regfile_cacc2csb_resp_pd_reg\[5\],g136337,cell,cell
u_NV_NVDLA_cacc_u_regfile_cacc2csb_resp_pd_reg\[6\],g136338,cell,cell
u_NV_NVDLA_cacc_u_regfile_cacc2csb_resp_pd_reg\[7\],g136780,cell,cell
u_NV_NVDLA_cacc_u_regfile_cacc2csb_resp_pd_reg\[8\],g136339,cell,cell
u_NV_NVDLA_cacc_u_regfile_cacc2csb_resp_pd_reg\[9\],g136340,cell,cell
u_NV_NVDLA_cacc_u_delivery_buffer/g164716,u_NV_NVDLA_cacc_u_delivery_buffer/g164706,cell,cell
u_NV_NVDLA_cacc_u_delivery_buffer/g165660,u_NV_NVDLA_cacc_u_delivery_buffer/g82756,cell,cell
u_NV_NVDLA_cacc_u_delivery_buffer/g165660,u_NV_NVDLA_cacc_u_delivery_buffer/g167082,cell,cell
u_NV_NVDLA_cacc_u_delivery_buffer/g165660,u_NV_NVDLA_cacc_u_delivery_buffer/g165121,cell,cell
u_NV_NVDLA_cacc_u_delivery_buffer/g165660,u_NV_NVDLA_cacc_u_delivery_buffer/g164986,cell,cell
u_NV_NVDLA_cacc_u_delivery_buffer/g165660,g62586,cell,cell
g150037,u_NV_NVDLA_cacc_u_regfile_req_pvld_reg,cell,cell
g150037,g149462,cell,cell
g150037,g149461,cell,cell
g150037,g149460,cell,cell
g150037,g149459,cell,cell
g150037,g149458,cell,cell
g150037,g149456,cell,cell
g150037,g149455,cell,cell
g150037,g149454,cell,cell
g150037,g149453,cell,cell
g150037,g149452,cell,cell
g150037,g149451,cell,cell
g150037,g149450,cell,cell
g150037,g149449,cell,cell
g150037,g149448,cell,cell
g150037,g149447,cell,cell
g150037,g149446,cell,cell
g150037,g149445,cell,cell
g150037,g149444,cell,cell
g150037,g149443,cell,cell
g150037,g149442,cell,cell
g150037,g149441,cell,cell
g150037,g149440,cell,cell
g150037,g149439,cell,cell
g150037,g149438,cell,cell
g150037,g149437,cell,cell
g150037,g149436,cell,cell
g150037,g149435,cell,cell
g150037,g149434,cell,cell
g150037,g149433,cell,cell
g150037,g149432,cell,cell
g150037,g149431,cell,cell
g150037,g149430,cell,cell
g150037,g149429,cell,cell
g150037,g149428,cell,cell
g150037,g149427,cell,cell
g150037,g149426,cell,cell
g150037,g149425,cell,cell
g150037,g149424,cell,cell
g150037,g149423,cell,cell
g150037,g149422,cell,cell
g150037,g149421,cell,cell
g150037,g149420,cell,cell
g150037,g149419,cell,cell
g150037,g149367,cell,cell
drc_bufs150171,drc_bufs150169,cell,cell
drc_bufs150171,drc_bufs150167,cell,cell
g147972,g144127,cell,cell
g147972,g144126,cell,cell
g147972,g144120,cell,cell
g147972,g144119,cell,cell
g147972,g144116,cell,cell
g147972,g144115,cell,cell
g147972,g144102,cell,cell
g147972,g144101,cell,cell
g147972,g144100,cell,cell
g147972,g144099,cell,cell
g147972,g144084,cell,cell
g147972,g144075,cell,cell
g147972,g144074,cell,cell
g147972,g144069,cell,cell
g147972,g144064,cell,cell
g147972,g144063,cell,cell
g147972,g144057,cell,cell
g147972,g144056,cell,cell
