src,tar,src_type,tar_type
n_19,drc_bufs150116,net,cell
drc_bufs150116,n_20,cell,net
n_48,drc_bufs150119,net,cell
drc_bufs150119,n_19,cell,net
n_17,drc_bufs150131,net,cell
drc_bufs150131,n_18,cell,net
n_617,drc_bufs150132,net,cell
drc_bufs150132,n_17,cell,net
n_15,drc_bufs150144,net,cell
drc_bufs150144,n_16,cell,net
n_618,drc_bufs150145,net,cell
drc_bufs150145,n_15,cell,net
n_13,drc_bufs150157,net,cell
drc_bufs150157,n_14,cell,net
n_615,drc_bufs150158,net,cell
drc_bufs150158,n_13,cell,net
n_10,drc_bufs150167,net,cell
drc_bufs150167,n_12,cell,net
n_10,drc_bufs150169,net,cell
drc_bufs150169,n_11,cell,net
n_49,drc_bufs150171,net,cell
drc_bufs150171,n_10,cell,net
n_8797,g135209,net,cell
n_7931,g135209,net,cell
n_8394,g135209,net,cell
n_8176,g135209,net,cell
n_7852,g135209,net,cell
g135209,n_8798,cell,net
n_8506,g135219,net,cell
n_8438,g135219,net,cell
n_8274,g135219,net,cell
n_8418,g135219,net,cell
n_8011,g135219,net,cell
g135219,n_8797,cell,net
n_8419,g135220,net,cell
n_8397,g135220,net,cell
n_8746,g135220,net,cell
n_8179,g135220,net,cell
n_8390,g135220,net,cell
g135220,n_8796,cell,net
n_8435,g135229,net,cell
n_8174,g135229,net,cell
n_8392,g135229,net,cell
n_8270,g135229,net,cell
n_8017,g135229,net,cell
g135229,n_8795,cell,net
n_8436,g135230,net,cell
n_8175,g135230,net,cell
n_8393,g135230,net,cell
n_8272,g135230,net,cell
n_8018,g135230,net,cell
g135230,n_8794,cell,net
n_8437,g135231,net,cell
n_8748,g135231,net,cell
n_8196,g135231,net,cell
n_8177,g135231,net,cell
g135231,n_8793,cell,net
n_8610,g135232,net,cell
n_8173,g135232,net,cell
n_8391,g135232,net,cell
n_8268,g135232,net,cell
n_8016,g135232,net,cell
g135232,n_8792,cell,net
n_8029,g135242,net,cell
n_8198,g135242,net,cell
n_8422,g135242,net,cell
n_8194,g135242,net,cell
n_8320,g135242,net,cell
g135242,n_8791,cell,net
n_8389,g135243,net,cell
n_8240,g135243,net,cell
n_8256,g135243,net,cell
n_8225,g135243,net,cell
n_8015,g135243,net,cell
g135243,n_8790,cell,net
n_8388,g135244,net,cell
n_8239,g135244,net,cell
n_8255,g135244,net,cell
n_8224,g135244,net,cell
n_8014,g135244,net,cell
g135244,n_8789,cell,net
n_8387,g135245,net,cell
n_8238,g135245,net,cell
n_8254,g135245,net,cell
n_8223,g135245,net,cell
n_8013,g135245,net,cell
g135245,n_8788,cell,net
n_8386,g135246,net,cell
n_8237,g135246,net,cell
n_8252,g135246,net,cell
n_8222,g135246,net,cell
n_8012,g135246,net,cell
g135246,n_8787,cell,net
n_8033,g135247,net,cell
n_8195,g135247,net,cell
n_8186,g135247,net,cell
n_8178,g135247,net,cell
n_8428,g135247,net,cell
g135247,n_8786,cell,net
n_8193,g135248,net,cell
n_8028,g135248,net,cell
n_8433,g135248,net,cell
n_8199,g135248,net,cell
n_8257,g135248,net,cell
g135248,n_8785,cell,net
n_8027,g135249,net,cell
n_8197,g135249,net,cell
n_8420,g135249,net,cell
n_8184,g135249,net,cell
n_8253,g135249,net,cell
g135249,n_8784,cell,net
n_8036,g135250,net,cell
n_8431,g135250,net,cell
n_8200,g135250,net,cell
n_8408,g135250,net,cell
n_8263,g135250,net,cell
g135250,n_8783,cell,net
n_8035,g135251,net,cell
n_8430,g135251,net,cell
n_8187,g135251,net,cell
n_8398,g135251,net,cell
n_8262,g135251,net,cell
g135251,n_8782,cell,net
n_8384,g135252,net,cell
n_8425,g135252,net,cell
n_8188,g135252,net,cell
n_8399,g135252,net,cell
