src,tar,src_type,tar_type
drc_bufs150116/A,drc_bufs150116,pin,cell
drc_bufs150116,drc_bufs150116/Y,cell,pin
drc_bufs150119/A,drc_bufs150119,pin,cell
drc_bufs150119,drc_bufs150119/Y,cell,pin
drc_bufs150131/A,drc_bufs150131,pin,cell
drc_bufs150131,drc_bufs150131/Y,cell,pin
drc_bufs150132/A,drc_bufs150132,pin,cell
drc_bufs150132,drc_bufs150132/Y,cell,pin
drc_bufs150144/A,drc_bufs150144,pin,cell
drc_bufs150144,drc_bufs150144/Y,cell,pin
drc_bufs150145/A,drc_bufs150145,pin,cell
drc_bufs150145,drc_bufs150145/Y,cell,pin
drc_bufs150157/A,drc_bufs150157,pin,cell
drc_bufs150157,drc_bufs150157/Y,cell,pin
drc_bufs150158/A,drc_bufs150158,pin,cell
drc_bufs150158,drc_bufs150158/Y,cell,pin
drc_bufs150167/A,drc_bufs150167,pin,cell
drc_bufs150167,drc_bufs150167/Y,cell,pin
drc_bufs150169/A,drc_bufs150169,pin,cell
drc_bufs150169,drc_bufs150169/Y,cell,pin
drc_bufs150171/A,drc_bufs150171,pin,cell
drc_bufs150171,drc_bufs150171/Y,cell,pin
g135209/A,g135209,pin,cell
g135209/B,g135209,pin,cell
g135209/C,g135209,pin,cell
g135209/D,g135209,pin,cell
g135209/E,g135209,pin,cell
g135209,g135209/Y,cell,pin
g135219/A,g135219,pin,cell
g135219/B,g135219,pin,cell
g135219/C,g135219,pin,cell
g135219/D,g135219,pin,cell
g135219/E,g135219,pin,cell
g135219,g135219/Y,cell,pin
g135220/A,g135220,pin,cell
g135220/B,g135220,pin,cell
g135220/C,g135220,pin,cell
g135220/D,g135220,pin,cell
g135220/E,g135220,pin,cell
g135220,g135220/Y,cell,pin
g135229/A,g135229,pin,cell
g135229/B,g135229,pin,cell
g135229/C,g135229,pin,cell
g135229/D,g135229,pin,cell
g135229/E,g135229,pin,cell
g135229,g135229/Y,cell,pin
g135230/A,g135230,pin,cell
g135230/B,g135230,pin,cell
g135230/C,g135230,pin,cell
g135230/D,g135230,pin,cell
g135230/E,g135230,pin,cell
g135230,g135230/Y,cell,pin
g135231/A,g135231,pin,cell
g135231/B,g135231,pin,cell
g135231/C,g135231,pin,cell
g135231/D,g135231,pin,cell
g135231,g135231/Y,cell,pin
g135232/A,g135232,pin,cell
g135232/B,g135232,pin,cell
g135232/C,g135232,pin,cell
g135232/D,g135232,pin,cell
g135232/E,g135232,pin,cell
g135232,g135232/Y,cell,pin
g135242/A,g135242,pin,cell
g135242/B,g135242,pin,cell
g135242/C,g135242,pin,cell
g135242/D,g135242,pin,cell
g135242/E,g135242,pin,cell
g135242,g135242/Y,cell,pin
g135243/A,g135243,pin,cell
g135243/B,g135243,pin,cell
g135243/C,g135243,pin,cell
g135243/D,g135243,pin,cell
g135243/E,g135243,pin,cell
g135243,g135243/Y,cell,pin
g135244/A,g135244,pin,cell
g135244/B,g135244,pin,cell
g135244/C,g135244,pin,cell
g135244/D,g135244,pin,cell
g135244/E,g135244,pin,cell
g135244,g135244/Y,cell,pin
g135245/A,g135245,pin,cell
g135245/B,g135245,pin,cell
g135245/C,g135245,pin,cell
g135245/D,g135245,pin,cell
g135245/E,g135245,pin,cell
g135245,g135245/Y,cell,pin
g135246/A,g135246,pin,cell
g135246/B,g135246,pin,cell
g135246/C,g135246,pin,cell
g135246/D,g135246,pin,cell
g135246/E,g135246,pin,cell
g135246,g135246/Y,cell,pin
g135247/A,g135247,pin,cell
g135247/B,g135247,pin,cell
g135247/C,g135247,pin,cell
g135247/D,g135247,pin,cell
g135247/E,g135247,pin,cell
g135247,g135247/Y,cell,pin
g135248/A,g135248,pin,cell
g135248/B,g135248,pin,cell
g135248/C,g135248,pin,cell
g135248/D,g135248,pin,cell
g135248/E,g135248,pin,cell
g135248,g135248/Y,cell,pin
g135249/A,g135249,pin,cell
g135249/B,g135249,pin,cell
g135249/C,g135249,pin,cell
g135249/D,g135249,pin,cell
g135249/E,g135249,pin,cell
g135249,g135249/Y,cell,pin
g135250/A,g135250,pin,cell
g135250/B,g135250,pin,cell
g135250/C,g135250,pin,cell
g135250/D,g135250,pin,cell
g135250/E,g135250,pin,cell
g135250,g135250/Y,cell,pin
g135251/A,g135251,pin,cell
g135251/B,g135251,pin,cell
g135251/C,g135251,pin,cell
g135251/D,g135251,pin,cell
g135251/E,g135251,pin,cell
g135251,g135251/Y,cell,pin
g135252/A,g135252,pin,cell
g135252/B,g135252,pin,cell
g135252/C,g135252,pin,cell
g135252/D,g135252,pin,cell
g135252/E,g135252,pin,cell
g135252,g135252/Y,cell,pin
g135253/A,g135253,pin,cell
g135253/B,g135253,pin,cell
g135253/C,g135253,pin,cell
g135253/D,g135253,pin,cell
g135253/E,g135253,pin,cell
g135253,g135253/Y,cell,pin
g135254/A,g135254,pin,cell
g135254/B,g135254,pin,cell
g135254/C,g135254,pin,cell
g135254/D,g135254,pin,cell
g135254/E,g135254,pin,cell
g135254,g135254/Y,cell,pin
g135420/A,g135420,pin,cell
g135420/B,g135420,pin,cell
g135420/C,g135420,pin,cell
g135420/D,g135420,pin,cell
g135420/E,g135420,pin,cell
g135420,g135420/Y,cell,pin
g135421/A,g135421,pin,cell
g135421/B,g135421,pin,cell
g135421/C,g135421,pin,cell
g135421,g135421/Y,cell,pin
g135422/A,g135422,pin,cell
g135422/B,g135422,pin,cell
g135422/C,g135422,pin,cell
g135422/D,g135422,pin,cell
g135422/E,g135422,pin,cell
g135422,g135422/Y,cell,pin
g135423/A1,g135423,pin,cell
g135423/A2,g135423,pin,cell
g135423/B1,g135423,pin,cell
g135423/B2,g135423,pin,cell
g135423/C,g135423,pin,cell
g135423,g135423/Y,cell,pin
g135424/A1,g135424,pin,cell
g135424/A2,g135424,pin,cell
g135424/B1,g135424,pin,cell
g135424/B2,g135424,pin,cell
g135424/C,g135424,pin,cell
g135424,g135424/Y,cell,pin
g135425/A,g135425,pin,cell
g135425/B,g135425,pin,cell
g135425/C,g135425,pin,cell
g135425/D,g135425,pin,cell
g135425/E,g135425,pin,cell
g135425,g135425/Y,cell,pin
g135426/A,g135426,pin,cell
g135426/B,g135426,pin,cell
g135426/C,g135426,pin,cell
g135426/D,g135426,pin,cell
g135426/E,g135426,pin,cell
g135426,g135426/Y,cell,pin
g135427/A,g135427,pin,cell
g135427/B,g135427,pin,cell
g135427/C,g135427,pin,cell
g135427/D,g135427,pin,cell
g135427/E,g135427,pin,cell
g135427,g135427/Y,cell,pin
g135428/A,g135428,pin,cell
g135428/B,g135428,pin,cell
g135428/C,g135428,pin,cell
g135428,g135428/Y,cell,pin
g135586/A1,g135586,pin,cell
g135586/A2,g135586,pin,cell
g135586/B1,g135586,pin,cell
g135586/B2,g135586,pin,cell
g135586,g135586/Y,cell,pin
g135587/A1,g135587,pin,cell
g135587/A2,g135587,pin,cell
g135587/B1,g135587,pin,cell
g135587/B2,g135587,pin,cell
g135587,g135587/Y,cell,pin
g135588/A1,g135588,pin,cell
g135588/A2,g135588,pin,cell
g135588/B1,g135588,pin,cell
g135588/B2,g135588,pin,cell
g135588,g135588/Y,cell,pin
g135589/A1,g135589,pin,cell
g135589/A2,g135589,pin,cell
g135589/B1,g135589,pin,cell
g135589/B2,g135589,pin,cell
g135589,g135589/Y,cell,pin
g135590/A1,g135590,pin,cell
g135590/A2,g135590,pin,cell
g135590/B1,g135590,pin,cell
g135590/B2,g135590,pin,cell
g135590,g135590/Y,cell,pin
g135591/A1,g135591,pin,cell
g135591/A2,g135591,pin,cell
g135591/B1,g135591,pin,cell
g135591/B2,g135591,pin,cell
g135591,g135591/Y,cell,pin
g135592/A1,g135592,pin,cell
g135592/A2,g135592,pin,cell
g135592/B1,g135592,pin,cell
g135592/B2,g135592,pin,cell
g135592,g135592/Y,cell,pin
g135593/A1,g135593,pin,cell
g135593/A2,g135593,pin,cell
g135593/B1,g135593,pin,cell
g135593/B2,g135593,pin,cell
g135593,g135593/Y,cell,pin
g135594/A1,g135594,pin,cell
g135594/A2,g135594,pin,cell
g135594/B1,g135594,pin,cell
g135594/B2,g135594,pin,cell
g135594,g135594/Y,cell,pin
g135595/A1,g135595,pin,cell
g135595/A2,g135595,pin,cell
g135595/B1,g135595,pin,cell
g135595/B2,g135595,pin,cell
g135595,g135595/Y,cell,pin
g135596/A1,g135596,pin,cell
g135596/A2,g135596,pin,cell
g135596/B1,g135596,pin,cell
g135596/B2,g135596,pin,cell
g135596,g135596/Y,cell,pin
g135597/A1,g135597,pin,cell
g135597/A2,g135597,pin,cell
g135597/B1,g135597,pin,cell
g135597/B2,g135597,pin,cell
g135597,g135597/Y,cell,pin
g135598/A1,g135598,pin,cell
g135598/A2,g135598,pin,cell
g135598/B1,g135598,pin,cell
g135598/B2,g135598,pin,cell
