cell_name,is_seq,is_macro,is_in_clk,x0,y0,x1,y1,is_filler,is_buf,is_inv,libcell_name,cell_static_power,cell_dynamic_power
drc_bufs150116,0,0,0,110574,66024,110790,66294,0,0,1,INVx2_ASAP7_75t_SL,5.135834868497113e-09,5.7710767578100786e-05
drc_bufs150119,0,0,0,110304,66294,110466,66564,0,0,1,INVx1_ASAP7_75t_SL,2.5748398968516995e-09,8.174398317351006e-06
drc_bufs150131,0,0,0,110088,65484,110250,65754,0,0,1,INVx1_ASAP7_75t_SL,5.060025287662029e-09,2.1447580422773171e-07
drc_bufs150132,0,0,0,109440,65754,109602,66024,0,0,1,INVx1_ASAP7_75t_SL,5.1390718347477105e-09,4.920504892425015e-08
drc_bufs150144,0,0,0,108630,82764,108792,83034,0,0,1,INVx1_ASAP7_75t_SL,4.915948537131953e-09,3.403523351153126e-06
drc_bufs150145,0,0,0,108414,82494,108576,82764,0,0,1,INVx1_ASAP7_75t_SL,4.992709357054537e-09,8.661506285534415e-07
drc_bufs150157,0,0,0,108306,72774,108468,73044,0,0,1,INVx1_ASAP7_75t_SL,5.062080532525215e-09,9.696899638811374e-08
drc_bufs150158,0,0,0,107604,72504,107766,72774,0,0,1,INVx1_ASAP7_75t_SL,5.141159054034006e-09,2.3231162771253366e-08
drc_bufs150167,0,0,0,108792,67644,108954,67914,0,0,1,INVx1_ASAP7_75t_SL,4.9405075586150815e-09,6.751810360583477e-06
drc_bufs150169,0,0,0,108792,67104,108954,67374,0,0,1,INVx1_ASAP7_75t_SL,4.9405075586150815e-09,6.980548278079368e-06
drc_bufs150171,0,0,0,108630,67104,108792,67374,0,0,1,INVx1_ASAP7_75t_SL,5.017662729756012e-09,1.1882613080160809e-06
g135209,0,0,0,101448,36864,101880,37134,0,0,0,AND5x1_ASAP7_75t_SL,2.0706304226791872e-08,1.6169866512427689e-07
g135219,0,0,0,100692,37134,101124,37404,0,0,0,AND5x1_ASAP7_75t_SL,2.0875086548244326e-08,1.7296801502197923e-07
g135220,0,0,0,97236,33624,97668,33894,0,0,0,AND5x1_ASAP7_75t_SL,2.1370581748669792e-08,1.225320005460162e-07
g135229,0,0,0,104094,39564,104526,39834,0,0,0,AND5x1_ASAP7_75t_SL,2.1340479605669316e-08,1.2494123780015798e-07
g135230,0,0,0,104094,39834,104526,40104,0,0,0,AND5x1_ASAP7_75t_SL,2.1340477829312476e-08,1.2188358766707097e-07
g135231,0,0,0,104202,36324,104580,36594,0,0,0,AND4x1_ASAP7_75t_SL,2.459970005475043e-08,8.816817143042499e-08
g135232,0,0,0,104256,38214,104688,38484,0,0,0,AND5x1_ASAP7_75t_SL,2.1340479605669316e-08,1.242813709723123e-07
g135242,0,0,0,92538,36324,92970,36594,0,0,0,AND5x1_ASAP7_75t_SL,2.15394386771095e-08,8.59950972653678e-08
g135243,0,0,0,89622,36594,90054,36864,0,0,0,AND5x1_ASAP7_75t_SL,2.1542113870509638e-08,9.268246969895699e-08
