src,tar,src_type,tar_type
u_NV_NVDLA_cacc_u_delivery_buffer/accu2sc_credit_vld_reg/QN,accu2sc_credit_vld,pin,net
accu2sc_credit_vld,accu2sc_credit_vld,net,port
u_NV_NVDLA_cacc_u_regfile_cacc2csb_resp_pd_reg\[0\]/QN,cacc2csb_resp_pd[0],pin,net
cacc2csb_resp_pd[0],g136975/B2,net,pin
cacc2csb_resp_pd[0],cacc2csb_resp_pd[0],net,port
u_NV_NVDLA_cacc_u_regfile_cacc2csb_resp_pd_reg\[10\]/QN,cacc2csb_resp_pd[10],pin,net
cacc2csb_resp_pd[10],g136341/B2,net,pin
cacc2csb_resp_pd[10],cacc2csb_resp_pd[10],net,port
u_NV_NVDLA_cacc_u_regfile_cacc2csb_resp_pd_reg\[11\]/QN,cacc2csb_resp_pd[11],pin,net
cacc2csb_resp_pd[11],g136342/C2,net,pin
cacc2csb_resp_pd[11],cacc2csb_resp_pd[11],net,port
u_NV_NVDLA_cacc_u_regfile_cacc2csb_resp_pd_reg\[12\]/QN,cacc2csb_resp_pd[12],pin,net
cacc2csb_resp_pd[12],g136401/B1,net,pin
cacc2csb_resp_pd[12],cacc2csb_resp_pd[12],net,port
u_NV_NVDLA_cacc_u_regfile_cacc2csb_resp_pd_reg\[13\]/QN,cacc2csb_resp_pd[13],pin,net
cacc2csb_resp_pd[13],g136417/B1,net,pin
cacc2csb_resp_pd[13],cacc2csb_resp_pd[13],net,port
u_NV_NVDLA_cacc_u_regfile_cacc2csb_resp_pd_reg\[14\]/QN,cacc2csb_resp_pd[14],pin,net
cacc2csb_resp_pd[14],g136343/B2,net,pin
cacc2csb_resp_pd[14],cacc2csb_resp_pd[14],net,port
u_NV_NVDLA_cacc_u_regfile_cacc2csb_resp_pd_reg\[15\]/QN,cacc2csb_resp_pd[15],pin,net
cacc2csb_resp_pd[15],g136344/B2,net,pin
cacc2csb_resp_pd[15],cacc2csb_resp_pd[15],net,port
u_NV_NVDLA_cacc_u_regfile_cacc2csb_resp_pd_reg\[16\]/QN,cacc2csb_resp_pd[16],pin,net
cacc2csb_resp_pd[16],g137278/A1,net,pin
cacc2csb_resp_pd[16],cacc2csb_resp_pd[16],net,port
u_NV_NVDLA_cacc_u_regfile_cacc2csb_resp_pd_reg\[17\]/QN,cacc2csb_resp_pd[17],pin,net
cacc2csb_resp_pd[17],g137005/A1,net,pin
cacc2csb_resp_pd[17],cacc2csb_resp_pd[17],net,port
u_NV_NVDLA_cacc_u_regfile_cacc2csb_resp_pd_reg\[18\]/QN,cacc2csb_resp_pd[18],pin,net
cacc2csb_resp_pd[18],g136346/B2,net,pin
cacc2csb_resp_pd[18],cacc2csb_resp_pd[18],net,port
u_NV_NVDLA_cacc_u_regfile_cacc2csb_resp_pd_reg\[19\]/QN,cacc2csb_resp_pd[19],pin,net
cacc2csb_resp_pd[19],g136347/B2,net,pin
cacc2csb_resp_pd[19],cacc2csb_resp_pd[19],net,port
u_NV_NVDLA_cacc_u_regfile_cacc2csb_resp_pd_reg\[1\]/QN,cacc2csb_resp_pd[1],pin,net
cacc2csb_resp_pd[1],g136786/B2,net,pin
cacc2csb_resp_pd[1],cacc2csb_resp_pd[1],net,port
u_NV_NVDLA_cacc_u_regfile_cacc2csb_resp_pd_reg\[20\]/QN,cacc2csb_resp_pd[20],pin,net
cacc2csb_resp_pd[20],g136348/B2,net,pin
cacc2csb_resp_pd[20],cacc2csb_resp_pd[20],net,port
u_NV_NVDLA_cacc_u_regfile_cacc2csb_resp_pd_reg\[21\]/QN,cacc2csb_resp_pd[21],pin,net
cacc2csb_resp_pd[21],g136349/B2,net,pin
cacc2csb_resp_pd[21],cacc2csb_resp_pd[21],net,port
u_NV_NVDLA_cacc_u_regfile_cacc2csb_resp_pd_reg\[22\]/QN,cacc2csb_resp_pd[22],pin,net
cacc2csb_resp_pd[22],g136350/B2,net,pin
cacc2csb_resp_pd[22],cacc2csb_resp_pd[22],net,port
