src,tar,src_type,tar_type,is_net,arc_delay
drc_bufs150116/A,drc_bufs150116/Y,pin,pin,0,2.0147604418152554e-10
drc_bufs150119/A,drc_bufs150119/Y,pin,pin,0,5.4819218608948006e-11
drc_bufs150131/A,drc_bufs150131/Y,pin,pin,0,1.8266936574473647e-10
drc_bufs150132/A,drc_bufs150132/Y,pin,pin,0,3.7872063124444466e-11
drc_bufs150144/A,drc_bufs150144/Y,pin,pin,0,1.6778271827444513e-10
drc_bufs150145/A,drc_bufs150145/Y,pin,pin,0,3.693077094135688e-11
drc_bufs150157/A,drc_bufs150157/Y,pin,pin,0,1.588524867202068e-10
drc_bufs150158/A,drc_bufs150158/Y,pin,pin,0,3.508188184397909e-11
drc_bufs150167/A,drc_bufs150167/Y,pin,pin,0,2.8084207182033083e-10
drc_bufs150169/A,drc_bufs150169/Y,pin,pin,0,2.8602861745774533e-10
drc_bufs150171/A,drc_bufs150171/Y,pin,pin,0,5.0416660429819515e-11
g135209/A,g135209/Y,pin,pin,0,2.404933717448099e-11
g135209/B,g135209/Y,pin,pin,0,2.6944356468217023e-11
g135209/C,g135209/Y,pin,pin,0,2.973413182338902e-11
g135209/D,g135209/Y,pin,pin,0,3.3785405029185256e-11
g135209/E,g135209/Y,pin,pin,0,3.872928366899231e-11
g135219/A,g135219/Y,pin,pin,0,2.914660873765129e-11
g135219/B,g135219/Y,pin,pin,0,2.8968034568310763e-11
g135219/C,g135219/Y,pin,pin,0,2.9549994395861034e-11
g135219/D,g135219/Y,pin,pin,0,2.752522341997743e-11
g135219/E,g135219/Y,pin,pin,0,2.598926629460152e-11
g135220/A,g135220/Y,pin,pin,0,2.9396558104410886e-11
g135220/B,g135220/Y,pin,pin,0,3.094118364299625e-11
g135220/C,g135220/Y,pin,pin,0,3.286033944949196e-11
g135220/D,g135220/Y,pin,pin,0,2.6994099663890658e-11
g135220/E,g135220/Y,pin,pin,0,3.1690042950893726e-11
g135229/A,g135229/Y,pin,pin,0,2.675315524669486e-11
g135229/B,g135229/Y,pin,pin,0,2.7450286835262183e-11
g135229/C,g135229/Y,pin,pin,0,2.992470854445983e-11
g135229/D,g135229/Y,pin,pin,0,3.483776808699268e-11
g135229/E,g135229/Y,pin,pin,0,2.603168201831263e-11
g135230/A,g135230/Y,pin,pin,0,2.6460675664474742e-11
g135230/B,g135230/Y,pin,pin,0,2.730448853127676e-11
g135230/C,g135230/Y,pin,pin,0,3.023033559590438e-11
g135230/D,g135230/Y,pin,pin,0,3.4512958463350785e-11
g135230/E,g135230/Y,pin,pin,0,2.5647997614619555e-11
g135231/A,g135231/Y,pin,pin,0,2.153171911600804e-11
g135231/B,g135231/Y,pin,pin,0,2.3666490642226812e-11
g135231/C,g135231/Y,pin,pin,0,2.3717881825202625e-11
g135231/D,g135231/Y,pin,pin,0,2.0501001937733854e-11
g135232/A,g135232/Y,pin,pin,0,2.68326992569623e-11
g135232/B,g135232/Y,pin,pin,0,2.7420121728738422e-11
