cell_name,is_seq,is_macro,is_in_clk,x0,y0,x1,y1,is_filler,is_buf,is_inv,libcell_name,cell_static_power,cell_dynamic_power
MULT_TC_OP_1_g1774,0,0,0,0,0,486,270,0,0,0,XOR2xp5_ASAP7_75t_SL,1.0998200572487349e-08,0.0
MULT_TC_OP_1_g1775,0,0,0,0,0,270,270,0,0,0,OAI21xp5_ASAP7_75t_SL,1.027930007779787e-08,0.0
MULT_TC_OP_1_g1776,0,0,0,0,0,486,270,0,0,0,XOR2xp5_ASAP7_75t_SL,1.1930000098914206e-08,0.0
MULT_TC_OP_1_g1779,0,0,0,0,0,270,270,0,0,0,OAI21xp5_ASAP7_75t_SL,1.027930007779787e-08,0.0
MULT_TC_OP_1_g1780,0,0,0,0,0,486,270,0,0,0,XOR2xp5_ASAP7_75t_SL,1.1930000098914206e-08,0.0
MULT_TC_OP_1_g1783,0,0,0,0,0,270,270,0,0,0,OAI21xp5_ASAP7_75t_SL,1.027930007779787e-08,0.0
MULT_TC_OP_1_g1784,0,0,0,0,0,486,270,0,0,0,XOR2xp5_ASAP7_75t_SL,1.1930000098914206e-08,0.0
MULT_TC_OP_1_g1785,0,0,0,0,0,270,270,0,0,0,AOI21xp5_ASAP7_75t_SL,9.509240506133665e-09,0.0
MULT_TC_OP_1_g1786,0,0,0,0,0,486,270,0,0,0,XOR2xp5_ASAP7_75t_SL,1.0998200572487349e-08,0.0
MULT_TC_OP_1_g1787,0,0,0,0,0,324,270,0,0,0,AO21x1_ASAP7_75t_SL,9.995309468990854e-09,0.0
MULT_TC_OP_1_g1788,0,0,0,0,0,486,270,0,0,0,XOR2xp5_ASAP7_75t_SL,1.1930000098914206e-08,0.0
MULT_TC_OP_1_g1789,0,0,0,0,0,270,270,0,0,0,OAI21xp33_ASAP7_75t_SL,6.750199954552727e-09,0.0
MULT_TC_OP_1_g1791,0,0,0,0,0,270,270,0,0,0,OAI21xp33_ASAP7_75t_SL,6.750199954552727e-09,0.0
MULT_TC_OP_1_g1793,0,0,0,0,0,270,270,0,0,0,OAI21xp5_ASAP7_75t_SL,1.0125299709784485e-08,0.0
MULT_TC_OP_1_g1794,0,0,0,0,0,270,270,0,0,0,OAI21xp5_ASAP7_75t_SL,6.554659925939177e-09,0.0
MULT_TC_OP_1_g1795,0,0,0,0,0,486,270,0,0,0,XOR2xp5_ASAP7_75t_SL,1.0998200572487349e-08,0.0
MULT_TC_OP_1_g1796,0,0,0,0,0,486,270,0,0,0,XOR2xp5_ASAP7_75t_SL,1.5135800168764035e-08,0.0
MULT_TC_OP_1_g1797,0,0,0,0,0,216,270,0,0,0,NAND2xp5_ASAP7_75t_SL,5.027899874221475e-09,0.0
MULT_TC_OP_1_g1798,0,0,0,0,0,216,270,0,0,0,NOR2xp33_ASAP7_75t_SL,3.3735900739628732e-09,0.0
MULT_TC_OP_1_g1799,0,0,0,0,0,216,270,0,0,0,NAND2xp5_ASAP7_75t_SL,5.027899874221475e-09,0.0
MULT_TC_OP_1_g1800,0,0,0,0,0,216,270,0,0,0,NOR2xp33_ASAP7_75t_SL,3.3735900739628732e-09,0.0
MULT_TC_OP_1_g1801,0,0,0,0,0,216,270,0,0,0,NOR2xp33_ASAP7_75t_SL,3.3735900739628732e-09,0.0
MULT_TC_OP_1_g1802,0,0,0,0,0,216,270,0,0,0,NAND2xp5_ASAP7_75t_SL,5.027899874221475e-09,0.0
MULT_TC_OP_1_g1803,0,0,0,0,0,270,270,0,0,0,AOI21xp5_ASAP7_75t_SL,8.572150100860654e-09,0.0
MULT_TC_OP_1_g1804,0,0,0,0,0,486,270,0,0,0,XOR2xp5_ASAP7_75t_SL,1.0998200572487349e-08,0.0
MULT_TC_OP_1_g1806,0,0,0,0,0,216,270,0,0,0,NAND2xp33_ASAP7_75t_L,3.376030011104092e-10,0.0
MULT_TC_OP_1_g1807,0,0,0,0,0,270,270,0,0,0,AOI21xp33_ASAP7_75t_SL,3.375959956031238e-09,0.0
MULT_TC_OP_1_g1809,0,0,0,0,0,216,270,0,0,0,NOR2xp33_ASAP7_75t_SL,3.2306399777581873e-09,0.0
MULT_TC_OP_1_g1811,0,0,0,0,0,486,270,0,0,0,XOR2xp5_ASAP7_75t_SL,1.5135800168764035e-08,0.0
MULT_TC_OP_1_g1812,0,0,0,0,0,378,270,0,0,0,OA21x2_ASAP7_75t_SL,1.685000050599683e-08,0.0
MULT_TC_OP_1_g1813,0,0,0,0,0,378,270,0,0,0,MAJIxp5_ASAP7_75t_SL,1.0999800181821229e-08,0.0
MULT_TC_OP_1_g1815,0,0,0,0,0,378,270,0,0,0,MAJIxp5_ASAP7_75t_SL,1.0999800181821229e-08,0.0
MULT_TC_OP_1_g1818,0,0,0,0,0,378,270,0,0,0,MAJIxp5_ASAP7_75t_SL,1.0999800181821229e-08,0.0
