libcell_name,func_id,libcell_area,worst_input_cap,libcell_leakage,fo4_delay,fix_load_delay
sram_asap7_64x64_1rw,0,140448000,2.499999956129175e-14,0.00012889999197795987,2.1799999305738282e-10,2.1799999305738282e-10
A2O1A1Ixp33_ASAP7_75t_SRAM,1,87480,5.268779983564611e-16,0.0,3.43215421361176e-11,4.027644537329955e-11
A2O1A1O1Ixp25_ASAP7_75t_SRAM,2,131220,5.714200199812166e-16,0.0,4.0889871349980567e-11,5.030281399753811e-11
AND2x2_ASAP7_75t_SRAM,3,87480,4.910669805937662e-16,3.5244099305664633e-11,2.4362458231341755e-11,2.6421580201496653e-11
AND2x4_ASAP7_75t_SRAM,3,145800,9.505569964303657e-16,7.048819861132927e-11,2.3816924127340044e-11,2.1873468314392852e-11
AND2x6_ASAP7_75t_SRAM,3,174960,9.50294945612309e-16,9.03069008462154e-11,2.721886084577907e-11,2.5913911641528564e-11
AND3x1_ASAP7_75t_SRAM,4,87480,5.499169768844229e-16,2.5567400627202197e-11,3.714302129753655e-11,3.8638758859121936e-11
AND3x2_ASAP7_75t_SRAM,4,102060,5.503259879188283e-16,3.547669796821751e-11,3.8254538425874784e-11,3.925083522093864e-11
AND3x4_ASAP7_75t_SRAM,4,204120,9.313309367144692e-16,5.875919889541947e-11,3.562799708034525e-11,3.3484760103563715e-11
AND4x1_ASAP7_75t_SRAM,5,102060,5.550949951701068e-16,2.5744600895549752e-11,4.6657500779589967e-11,4.817603260764969e-11
AND4x2_ASAP7_75t_SRAM,5,116640,5.542420329922217e-16,2.996750070316523e-11,4.871882758328283e-11,4.978961687385208e-11
AND5x1_ASAP7_75t_SRAM,6,116640,4.80745990010591e-16,2.5508799933460224e-11,5.6277166954332714e-11,5.90343260387094e-11
AND5x2_ASAP7_75t_SRAM,6,291600,9.314789557220019e-16,3.918909988187558e-11,5.621530324573243e-11,5.286408810700749e-11
AO211x2_ASAP7_75t_SRAM,7,233280,8.499650047407803e-16,5.4759100032164554e-11,3.897672809505259e-11,3.644650900525015e-11
AO21x1_ASAP7_75t_SRAM,8,87480,5.312269831450199e-16,3.621250174723478e-11,3.117095470628328e-11,3.329600484214268e-11
AO21x2_ASAP7_75t_SRAM,8,102060,5.324140468810376e-16,4.6121897967488223e-11,3.2250396797550707e-11,3.3622125916732415e-11
AO221x1_ASAP7_75t_SRAM,9,145800,4.863549892477497e-16,3.8311600419893566e-11,4.160420619125915e-11,4.533603006895426e-11
AO221x2_ASAP7_75t_SRAM,9,160380,4.858640277756975e-16,4.822100010959396e-11,4.518472401793261e-11,4.779745002569946e-11
AO222x2_ASAP7_75t_SRAM,10,174960,5.496469851324856e-16,6.095629556668314e-11,5.5165646356547526e-11,5.685709889013957e-11
AO22x1_ASAP7_75t_SRAM,11,131220,3.966070045164895e-16,2.6932399019297115e-11,3.3424804590787005e-11,3.888517979833139e-11
AO22x2_ASAP7_75t_SRAM,11,145800,5.453939797647625e-16,4.534820088886171e-11,3.269261944494062e-11,3.4569593715394475e-11
AO31x2_ASAP7_75t_SRAM,12,233280,1.0302799491841773e-15,4.7258998797650165e-11,3.465519538004003e-11,3.00492304650124e-11
AO322x2_ASAP7_75t_SRAM,13,218700,5.221880298670733e-16,5.2865000571555854e-11,5.6788528740581157e-11,5.821123444382792e-11
AO32x1_ASAP7_75t_SRAM,14,116640,4.6826199491748345e-16,3.0014199459138524e-11,4.127488975602667e-11,4.4332027632210114e-11
