net_name,net_route_length,net_steiner_length,fanout,total_cap,net_cap,net_coupling,net_res
UNCONNECTED1000,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1001,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1002,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1003,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1004,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1005,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1006,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1007,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1008,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1009,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1010,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1011,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1012,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1013,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1014,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1015,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1016,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1017,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1018,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1019,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1020,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1021,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1022,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1023,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1024,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1025,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1026,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1027,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1028,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1029,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1030,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1031,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1032,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1033,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1034,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1035,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1036,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1037,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1038,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1039,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1040,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1041,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1042,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1043,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1044,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1045,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1046,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1047,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1048,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1049,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1050,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1051,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1052,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1053,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1054,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1055,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1056,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1057,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1058,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1059,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1060,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1061,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1062,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1063,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1064,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1065,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1066,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1067,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1068,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1069,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1070,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1071,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1072,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1073,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1074,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1075,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1076,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1077,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1078,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1079,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1080,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1081,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1082,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1083,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1084,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1085,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1086,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1087,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1088,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1089,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1090,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1091,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1092,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1093,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1094,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1095,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1096,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1097,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1098,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1099,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1100,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1101,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1102,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1103,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1104,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1105,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1106,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1107,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1108,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1109,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1110,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1111,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1112,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1113,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1114,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1115,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1116,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1117,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1118,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1119,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1120,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1121,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1122,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1123,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1124,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1125,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1126,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1127,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1128,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1129,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1130,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1131,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1132,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1133,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1134,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1135,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1136,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1137,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1138,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1139,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1140,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1141,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1142,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1143,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1144,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1145,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1146,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1147,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1148,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1149,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1150,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1151,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1152,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1153,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1154,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1155,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1156,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1157,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1158,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1159,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1160,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1161,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1162,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1163,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1164,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1165,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1166,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1167,0,-1,0,0.0,0.0,0.0,0.0
