cell_name,is_seq,is_macro,is_in_clk,x0,y0,x1,y1,is_filler,is_buf,is_inv,libcell_name,cell_static_power,cell_dynamic_power
MULT_TC_OP_1_g1774,0,0,0,335214,242064,335700,242334,0,0,0,XOR2xp5_ASAP7_75t_SL,1.0998200572487349e-08,0.0
MULT_TC_OP_1_g1775,0,0,0,335268,241794,335538,242064,0,0,0,OAI21xp5_ASAP7_75t_SL,1.027930007779787e-08,0.0
MULT_TC_OP_1_g1776,0,0,0,335052,241524,335538,241794,0,0,0,XOR2xp5_ASAP7_75t_SL,1.1930000098914206e-08,0.0
MULT_TC_OP_1_g1779,0,0,0,335808,240444,336078,240714,0,0,0,OAI21xp5_ASAP7_75t_SL,1.027930007779787e-08,0.0
MULT_TC_OP_1_g1780,0,0,0,335592,240714,336078,240984,0,0,0,XOR2xp5_ASAP7_75t_SL,1.1930000098914206e-08,0.0
MULT_TC_OP_1_g1783,0,0,0,336996,240714,337266,240984,0,0,0,OAI21xp5_ASAP7_75t_SL,1.027930007779787e-08,0.0
MULT_TC_OP_1_g1784,0,0,0,336510,240714,336996,240984,0,0,0,XOR2xp5_ASAP7_75t_SL,1.1930000098914206e-08,0.0
MULT_TC_OP_1_g1785,0,0,0,336294,242604,336564,242874,0,0,0,AOI21xp5_ASAP7_75t_SL,9.509240506133665e-09,0.0
MULT_TC_OP_1_g1786,0,0,0,335970,242874,336456,243144,0,0,0,XOR2xp5_ASAP7_75t_SL,1.0998200572487349e-08,0.0
MULT_TC_OP_1_g1787,0,0,0,336078,243144,336402,243414,0,0,0,AO21x1_ASAP7_75t_SL,9.995309468990854e-09,0.0
MULT_TC_OP_1_g1788,0,0,0,335808,243414,336294,243684,0,0,0,XOR2xp5_ASAP7_75t_SL,1.1930000098914206e-08,0.0
MULT_TC_OP_1_g1789,0,0,0,335538,241794,335808,242064,0,0,0,OAI21xp33_ASAP7_75t_SL,6.750199954552727e-09,0.0
MULT_TC_OP_1_g1791,0,0,0,336078,240714,336348,240984,0,0,0,OAI21xp33_ASAP7_75t_SL,6.750199954552727e-09,0.0
MULT_TC_OP_1_g1793,0,0,0,336888,240444,337158,240714,0,0,0,OAI21xp5_ASAP7_75t_SL,1.0125299709784485e-08,0.0
MULT_TC_OP_1_g1794,0,0,0,335970,243954,336240,244224,0,0,0,OAI21xp5_ASAP7_75t_SL,6.554659925939177e-09,0.0
MULT_TC_OP_1_g1795,0,0,0,336024,244224,336510,244494,0,0,0,XOR2xp5_ASAP7_75t_SL,1.0998200572487349e-08,0.0
MULT_TC_OP_1_g1796,0,0,0,336078,242334,336564,242604,0,0,0,XOR2xp5_ASAP7_75t_SL,1.5135800168764035e-08,0.0
MULT_TC_OP_1_g1797,0,0,0,335538,241524,335754,241794,0,0,0,NAND2xp5_ASAP7_75t_SL,5.027899874221475e-09,0.0
MULT_TC_OP_1_g1798,0,0,0,335376,240714,335592,240984,0,0,0,NOR2xp33_ASAP7_75t_SL,3.3735900739628732e-09,0.0
MULT_TC_OP_1_g1799,0,0,0,337266,240714,337482,240984,0,0,0,NAND2xp5_ASAP7_75t_SL,5.027899874221475e-09,0.0
MULT_TC_OP_1_g1800,0,0,0,335052,241794,335268,242064,0,0,0,NOR2xp33_ASAP7_75t_SL,3.3735900739628732e-09,0.0
MULT_TC_OP_1_g1801,0,0,0,336726,240174,336942,240444,0,0,0,NOR2xp33_ASAP7_75t_SL,3.3735900739628732e-09,0.0
MULT_TC_OP_1_g1802,0,0,0,335862,241254,336078,241524,0,0,0,NAND2xp5_ASAP7_75t_SL,5.027899874221475e-09,0.0
MULT_TC_OP_1_g1803,0,0,0,336456,242874,336726,243144,0,0,0,AOI21xp5_ASAP7_75t_SL,8.572150100860654e-09,0.0
MULT_TC_OP_1_g1804,0,0,0,336294,244494,336780,244764,0,0,0,XOR2xp5_ASAP7_75t_SL,1.0998200572487349e-08,0.0
MULT_TC_OP_1_g1806,0,0,0,336726,242874,336942,243144,0,0,0,NAND2xp33_ASAP7_75t_L,3.376030011104092e-10,0.0
MULT_TC_OP_1_g1807,0,0,0,336294,243414,336564,243684,0,0,0,AOI21xp33_ASAP7_75t_SL,3.375959956031238e-09,0.0
MULT_TC_OP_1_g1809,0,0,0,336564,242604,336780,242874,0,0,0,NOR2xp33_ASAP7_75t_SL,3.2306399777581873e-09,0.0
MULT_TC_OP_1_g1811,0,0,0,335808,241794,336294,242064,0,0,0,XOR2xp5_ASAP7_75t_SL,1.5135800168764035e-08,0.0
MULT_TC_OP_1_g1812,0,0,0,336510,244224,336888,244494,0,0,0,OA21x2_ASAP7_75t_SL,1.685000050599683e-08,0.0
MULT_TC_OP_1_g1813,0,0,0,336510,241254,336888,241524,0,0,0,MAJIxp5_ASAP7_75t_SL,1.0999800181821229e-08,0.0
MULT_TC_OP_1_g1815,0,0,0,336294,241794,336672,242064,0,0,0,MAJIxp5_ASAP7_75t_SL,1.0999800181821229e-08,0.0
MULT_TC_OP_1_g1818,0,0,0,336348,242064,336726,242334,0,0,0,MAJIxp5_ASAP7_75t_SL,1.0999800181821229e-08,0.0
MULT_TC_OP_1_g1819,0,0,0,337536,240714,337914,240984,0,0,0,MAJIxp5_ASAP7_75t_SL,1.0999800181821229e-08,0.0
MULT_TC_OP_1_g1820,0,0,0,338940,240444,339318,240714,0,0,0,MAJIxp5_ASAP7_75t_SL,1.0999800181821229e-08,0.0
MULT_TC_OP_1_g1821,0,0,0,336402,243144,336618,243414,0,0,0,NOR2xp33_ASAP7_75t_SL,3.429220019057766e-09,0.0
MULT_TC_OP_1_g1822,0,0,0,335862,243144,336078,243414,0,0,0,NAND2xp5_ASAP7_75t_L,1.8909800114652597e-10,0.0
MULT_TC_OP_1_g1823,0,0,0,336510,243954,336780,244224,0,0,0,OAI21xp5_ASAP7_75t_SL,1.027930007779787e-08,0.0
MULT_TC_OP_1_g1824,0,0,0,336240,243954,336510,244224,0,0,0,OAI21xp5_ASAP7_75t_SL,1.027930007779787e-08,0.0
MULT_TC_OP_1_g1825,0,0,0,336942,244764,337428,245034,0,0,0,XOR2xp5_ASAP7_75t_SL,1.0998200572487349e-08,0.0
MULT_TC_OP_1_g1827,0,0,0,336456,243684,336672,243954,0,0,0,NAND2xp5_ASAP7_75t_SL,1.8409799240615143e-09,0.0
MULT_TC_OP_1_g1828,0,0,0,336240,243684,336456,243954,0,0,0,NOR2xp33_ASAP7_75t_SL,3.429220019057766e-09,0.0
MULT_TC_OP_1_g1829,0,0,0,336780,243954,336996,244224,0,0,0,NAND2xp5_ASAP7_75t_SL,1.8409799240615143e-09,0.0
MULT_TC_OP_1_g1830,0,0,0,336888,244224,337104,244494,0,0,0,NOR2xp33_ASAP7_75t_SL,3.429220019057766e-09,0.0
MULT_TC_OP_1_g1832,0,0,0,336942,244494,337212,244764,0,0,0,AOI21xp5_ASAP7_75t_SL,5.270440084359507e-09,0.0
MULT_TC_OP_1_g1833,0,0,0,340614,241254,341100,241524,0,0,0,XNOR2xp5_ASAP7_75t_SL,1.1906700514430213e-08,0.0
MULT_TC_OP_1_g1835,0,0,0,335862,242064,336348,242334,0,0,0,XOR2xp5_ASAP7_75t_SL,1.0998200572487349e-08,0.0
MULT_TC_OP_1_g1839,0,0,0,337320,242874,337698,243144,0,0,0,MAJIxp5_ASAP7_75t_SL,1.178880015828554e-08,0.0
MULT_TC_OP_1_g1840,0,0,0,335700,242064,335862,242334,0,0,1,INVxp67_ASAP7_75t_SL,3.3760600981480593e-09,0.0
MULT_TC_OP_1_g1841,0,0,0,337428,244764,337698,245034,0,0,0,OAI21xp5_ASAP7_75t_SL,5.0710000643050535e-09,0.0
MULT_TC_OP_1_g1845,0,0,0,340128,241254,340614,241524,0,0,0,XNOR2xp5_ASAP7_75t_SL,1.1906700514430213e-08,0.0
MULT_TC_OP_1_g1848,0,0,0,336834,243684,337320,243954,0,0,0,XOR2xp5_ASAP7_75t_SL,1.0998200572487349e-08,0.0
MULT_TC_OP_1_g1852,0,0,0,337860,245304,338346,245574,0,0,0,XNOR2xp5_ASAP7_75t_SL,1.5157700872237e-08,0.0
MULT_TC_OP_1_g1853,0,0,0,336726,244764,336942,245034,0,0,0,NAND2xp5_ASAP7_75t_SL,6.753599901543339e-09,0.0
MULT_TC_OP_1_g1854,0,0,0,336834,243144,337212,243414,0,0,0,MAJIxp5_ASAP7_75t_SL,1.0125200233801479e-08,0.0
MULT_TC_OP_1_g1855,0,0,0,337320,245034,337536,245304,0,0,0,NOR2xp33_ASAP7_75t_SL,9.921160559756004e-10,0.0
MULT_TC_OP_1_g1856,0,0,0,338454,241794,338832,242064,0,0,0,MAJIxp5_ASAP7_75t_SL,1.0286900220535244e-08,0.0
MULT_TC_OP_1_g1857,0,0,0,337698,242874,338184,243144,0,0,0,XNOR2xp5_ASAP7_75t_SL,1.1906700514430213e-08,0.0
MULT_TC_OP_1_g1858,0,0,0,337590,243954,337968,244224,0,0,0,MAJIxp5_ASAP7_75t_SL,3.8019498660446516e-09,0.0
MULT_TC_OP_1_g1859,0,0,0,340128,241794,340506,242064,0,0,0,MAJIxp5_ASAP7_75t_SL,1.0286900220535244e-08,0.0
MULT_TC_OP_1_g1860,0,0,0,338130,240984,338508,241254,0,0,0,MAJIxp5_ASAP7_75t_SL,1.0286900220535244e-08,0.0
MULT_TC_OP_1_g1861,0,0,0,338670,240984,339048,241254,0,0,0,MAJIxp5_ASAP7_75t_SL,1.0286900220535244e-08,0.0
MULT_TC_OP_1_g1862,0,0,0,336888,242064,337266,242334,0,0,0,MAJIxp5_ASAP7_75t_SL,1.0286900220535244e-08,0.0
MULT_TC_OP_1_g1863,0,0,0,337104,241254,337482,241524,0,0,0,MAJIxp5_ASAP7_75t_SL,1.0286900220535244e-08,0.0
MULT_TC_OP_1_g1864,0,0,0,336564,244764,336726,245034,0,0,1,INVx1_ASAP7_75t_SL,5.0640900361997865e-09,0.0
MULT_TC_OP_1_g1866,0,0,0,336780,243414,337266,243684,0,0,0,XOR2xp5_ASAP7_75t_SL,1.5135800168764035e-08,0.0
MULT_TC_OP_1_g1868,0,0,0,337212,244494,337698,244764,0,0,0,XNOR2xp5_ASAP7_75t_SL,1.1906700514430213e-08,0.0
MULT_TC_OP_1_g1870,0,0,0,338022,245034,338292,245304,0,0,0,AOI21xp5_ASAP7_75t_SL,5.270440084359507e-09,0.0
MULT_TC_OP_1_g1871,0,0,0,339966,241524,340452,241794,0,0,0,XNOR2xp5_ASAP7_75t_SL,1.1788400477996674e-08,0.0
MULT_TC_OP_1_g1874,0,0,0,340560,242604,341046,242874,0,0,0,XNOR2xp5_ASAP7_75t_SL,1.5058700952863546e-08,0.0
MULT_TC_OP_1_g1877,0,0,0,337590,242064,337968,242334,0,0,0,MAJIxp5_ASAP7_75t_SL,1.178880015828554e-08,0.0
MULT_TC_OP_1_g1878,0,0,0,338292,245034,338562,245304,0,0,0,OAI21xp5_ASAP7_75t_SL,5.0710000643050535e-09,0.0
