cell_name,is_seq,is_macro,is_in_clk,x0,y0,x1,y1,is_filler,is_buf,is_inv,libcell_name,cell_static_power,cell_dynamic_power
fopt,0,0,0,0,0,216,270,0,1,0,HB1xp67_ASAP7_75t_SL,5.046876250247578e-09,1.654201184919657e-07
fopt1,0,0,0,0,0,162,270,0,0,1,INVx1_ASAP7_75t_SL,5.057998020419063e-09,1.7680250152807275e-08
fopt10,0,0,0,0,0,540,270,0,1,0,BUFx6f_ASAP7_75t_SL,2.507803031903677e-08,6.499379196611699e-06
fopt101,0,0,0,0,0,162,270,0,0,1,INVxp67_ASAP7_75t_SL,3.3325944226447746e-09,1.417325279362558e-07
fopt102,0,0,0,0,0,162,270,0,0,1,INVxp67_ASAP7_75t_SL,3.2813460837388675e-09,2.1510381031930592e-07
fopt103,0,0,0,0,0,162,270,0,0,1,INVx1_ASAP7_75t_SL,4.786071094997624e-09,3.310496481390146e-07
fopt106,0,0,0,0,0,216,270,0,0,1,INVx2_ASAP7_75t_SL,1.0208554890311916e-08,1.1140359390537924e-07
fopt1066,0,0,0,0,0,216,270,0,1,0,HB1xp67_ASAP7_75t_SL,2.8766180548700504e-09,5.3604835557052866e-06
fopt1067,0,0,0,0,0,162,270,0,0,1,INVxp67_ASAP7_75t_SL,3.3745348737568293e-09,5.656706658641042e-09
fopt107,0,0,0,0,0,216,270,0,1,0,HB1xp67_ASAP7_75t_SL,4.711191436967965e-09,5.20801847869734e-07
fopt109,0,0,0,0,0,216,270,0,1,0,HB1xp67_ASAP7_75t_SL,5.091484567287807e-09,6.098287652633871e-09
fopt113,0,0,0,0,0,162,270,0,0,1,INVx1_ASAP7_75t_SL,4.922018792541394e-09,1.4046929663891206e-07
fopt115,0,0,0,0,0,162,270,0,0,1,INVxp67_ASAP7_75t_SL,3.0314473153936206e-09,6.104722842792398e-07
fopt116,0,0,0,0,0,216,270,0,0,1,INVx2_ASAP7_75t_SL,9.09435993179386e-09,1.0071478300233139e-06
fopt118,0,0,0,0,0,216,270,0,0,1,INVx2_ASAP7_75t_SL,1.0285632789930332e-08,4.305635403767383e-09
fopt12,0,0,0,0,0,270,270,0,0,1,INVx3_ASAP7_75t_SL,9.485727758828943e-09,3.0332555525092175e-06
fopt125,0,0,0,0,0,162,270,0,0,1,INVx1_ASAP7_75t_SL,5.137012593081636e-09,1.53799604163396e-08
fopt128,0,0,0,0,0,216,270,0,0,1,INVx2_ASAP7_75t_SL,9.579683712956921e-09,4.859059004047594e-07
fopt1289,0,0,0,0,0,162,270,0,0,1,INVx1_ASAP7_75t_SL,2.5884405729925675e-09,5.91883417655481e-06
fopt129,0,0,0,0,0,162,270,0,0,1,INVxp67_ASAP7_75t_SL,3.2813460837388675e-09,1.1295349366946539e-07
fopt1291,0,0,0,0,0,162,270,0,0,1,INVxp67_ASAP7_75t_SL,2.713756552807922e-09,1.5264245121215936e-06
fopt13,0,0,0,0,0,270,270,0,0,1,INVx3_ASAP7_75t_SL,9.485727758828943e-09,3.6776564229512587e-06
fopt13271,0,0,0,0,0,216,270,0,1,0,HB1xp67_ASAP7_75t_SL,5.019914706139161e-09,2.1923173676441365e-07
fopt13273,0,0,0,0,0,216,270,0,1,0,HB1xp67_ASAP7_75t_SL,5.014375137335492e-09,2.3799387349754397e-07
fopt13274,0,0,0,0,0,216,270,0,1,0,HB1xp67_ASAP7_75t_SL,5.019542559381307e-09,2.272480799092591e-07
fopt13277,0,0,0,0,0,216,270,0,1,0,HB1xp67_ASAP7_75t_SL,5.018757853747502e-09,2.2161532342579449e-07
fopt13282,0,0,0,0,0,216,270,0,1,0,HB1xp67_ASAP7_75t_SL,5.019933801975185e-09,2.6423884946780163e-07
fopt13290,0,0,0,0,0,162,270,0,0,1,INVxp67_ASAP7_75t_SL,2.1079462619866263e-09,5.414842121354013e-07
fopt13291,0,0,0,0,0,540,270,0,1,0,BUFx6f_ASAP7_75t_SL,2.507803031903677e-08,1.132372926804237e-05
fopt13292,0,0,0,0,0,216,270,0,0,1,INVx2_ASAP7_75t_SL,6.24768725643321e-09,3.4381032492092345e-06
fopt13293,0,0,0,0,0,216,270,0,0,1,INVx2_ASAP7_75t_SL,6.24768725643321e-09,1.5846629821680835e-06
fopt13294,0,0,0,0,0,216,270,0,0,1,INVx2_ASAP7_75t_SL,6.323823686926744e-09,1.7790418951335596e-06
fopt133,0,0,0,0,0,216,270,0,1,0,HB1xp67_ASAP7_75t_SL,4.711191436967965e-09,6.805660177633399e-07
fopt13308,0,0,0,0,0,162,270,0,0,1,INVxp67_ASAP7_75t_SL,2.1079462619866263e-09,5.472026032293797e-07
fopt13311,0,0,0,0,0,270,270,0,1,0,BUFx2_ASAP7_75t_L,8.150606300993957e-10,3.7009290281275753e-06
fopt13315,0,0,0,0,0,540,270,0,1,0,BUFx6f_ASAP7_75t_SL,2.507803031903677e-08,7.515078777942108e-06
fopt13316,0,0,0,0,0,324,270,0,1,0,BUFx3_ASAP7_75t_SL,1.2538952098850586e-08,3.188834398315521e-06
fopt13318,0,0,0,0,0,162,270,0,0,1,INVxp67_ASAP7_75t_SL,2.1079462619866263e-09,5.354094696485845e-07
fopt13322,0,0,0,0,0,324,270,0,1,0,BUFx3_ASAP7_75t_SL,1.2538952098850586e-08,5.654794222209603e-06
fopt13323,0,0,0,0,0,324,270,0,1,0,BUFx3_ASAP7_75t_SL,1.2538952098850586e-08,3.515760454320116e-06
fopt13325,0,0,0,0,0,216,270,0,1,0,HB1xp67_ASAP7_75t_SL,4.9747255204124485e-09,2.303634971667634e-07
fopt13342,0,0,0,0,0,216,270,0,1,0,HB1xp67_ASAP7_75t_SL,4.819216137263993e-09,6.719939733557112e-07
fopt13343,0,0,0,0,0,216,270,0,1,0,HB1xp67_ASAP7_75t_SL,5.086373544571643e-09,1.8685081926150815e-08
fopt13345,0,0,0,0,0,216,270,0,1,0,HB1xp67_ASAP7_75t_SL,5.0236756976573815e-09,2.130545198042455e-07
