src,tar,src_type,tar_type,is_net,arc_delay
fopt/A,fopt/Y,pin,pin,0,1.6795061e-11
fopt1/A,fopt1/Y,pin,pin,0,8.700686e-12
fopt10/A,fopt10/Y,pin,pin,0,1.4929192e-11
fopt101/A,fopt101/Y,pin,pin,0,8.384889e-12
fopt102/A,fopt102/Y,pin,pin,0,1.2732898999999999e-11
fopt103/A,fopt103/Y,pin,pin,0,8.411508e-12
fopt106/A,fopt106/Y,pin,pin,0,6.188785e-12
fopt1066/A,fopt1066/Y,pin,pin,0,1.6327591000000002e-11
fopt1067/A,fopt1067/Y,pin,pin,0,8.515855e-12
fopt107/A,fopt107/Y,pin,pin,0,1.5437962e-11
fopt109/A,fopt109/Y,pin,pin,0,1.9850671999999998e-11
fopt113/A,fopt113/Y,pin,pin,0,7.723097e-12
fopt115/A,fopt115/Y,pin,pin,0,9.611682999999999e-12
fopt116/A,fopt116/Y,pin,pin,0,6.80997e-12
fopt118/A,fopt118/Y,pin,pin,0,9.882075999999999e-12
fopt12/A,fopt12/Y,pin,pin,0,9.367276e-12
fopt125/A,fopt125/Y,pin,pin,0,9.343792999999999e-12
fopt128/A,fopt128/Y,pin,pin,0,6.3258590000000005e-12
fopt1289/A,fopt1289/Y,pin,pin,0,7.518946e-12
fopt129/A,fopt129/Y,pin,pin,0,8.879254e-12
fopt1291/A,fopt1291/Y,pin,pin,0,1.3040574e-11
fopt13/A,fopt13/Y,pin,pin,0,9.236331e-12
fopt13271/A,fopt13271/Y,pin,pin,0,1.8426292e-11
fopt13273/A,fopt13273/Y,pin,pin,0,1.5921688e-11
fopt13274/A,fopt13274/Y,pin,pin,0,1.8268582999999998e-11
fopt13277/A,fopt13277/Y,pin,pin,0,1.8400023e-11
fopt13282/A,fopt13282/Y,pin,pin,0,1.8109865e-11
fopt13290/A,fopt13290/Y,pin,pin,0,8.121765e-12
fopt13291/A,fopt13291/Y,pin,pin,0,1.908989e-11
fopt13292/A,fopt13292/Y,pin,pin,0,1.2591969000000001e-11
fopt13293/A,fopt13293/Y,pin,pin,0,7.179173e-12
fopt13294/A,fopt13294/Y,pin,pin,0,8.286695e-12
fopt133/A,fopt133/Y,pin,pin,0,1.6650684e-11
fopt13308/A,fopt13308/Y,pin,pin,0,8.212731e-12
fopt13311/A,fopt13311/Y,pin,pin,0,2.2466162e-11
fopt13315/A,fopt13315/Y,pin,pin,0,1.6787169e-11
fopt13316/A,fopt13316/Y,pin,pin,0,1.5774511999999998e-11
fopt13318/A,fopt13318/Y,pin,pin,0,7.954593e-12
fopt13322/A,fopt13322/Y,pin,pin,0,2.1293293e-11
fopt13323/A,fopt13323/Y,pin,pin,0,1.7240315999999998e-11
fopt13325/A,fopt13325/Y,pin,pin,0,1.7874590000000002e-11
fopt13342/A,fopt13342/Y,pin,pin,0,1.6642086e-11
fopt13343/A,fopt13343/Y,pin,pin,0,1.8689449e-11
fopt13345/A,fopt13345/Y,pin,pin,0,1.9505646e-11
fopt13347/A,fopt13347/Y,pin,pin,0,1.7905487000000002e-11
fopt13348/A,fopt13348/Y,pin,pin,0,8.086553999999999e-12
fopt13350/A,fopt13350/Y,pin,pin,0,7.183174e-12
fopt13355/A,fopt13355/Y,pin,pin,0,6.7661490000000004e-12
fopt13357/A,fopt13357/Y,pin,pin,0,1.7418099999999998e-11
fopt13372/A,fopt13372/Y,pin,pin,0,7.437357e-12
fopt13373/A,fopt13373/Y,pin,pin,0,2.0270575e-11
fopt13375/A,fopt13375/Y,pin,pin,0,9.254043e-12
fopt13380/A,fopt13380/Y,pin,pin,0,2.397113e-11
fopt13393/A,fopt13393/Y,pin,pin,0,7.637085e-12
fopt13399/A,fopt13399/Y,pin,pin,0,1.918474e-11
fopt13400/A,fopt13400/Y,pin,pin,0,7.197179e-12
fopt13402/A,fopt13402/Y,pin,pin,0,1.74998e-11
fopt13403/A,fopt13403/Y,pin,pin,0,1.8971867e-11
fopt13412/A,fopt13412/Y,pin,pin,0,1.682086e-11
fopt13417/A,fopt13417/Y,pin,pin,0,9.694473e-12
fopt13419/A,fopt13419/Y,pin,pin,0,1.3360575e-11
fopt13425/A,fopt13425/Y,pin,pin,0,1.3908896e-11
fopt13427/A,fopt13427/Y,pin,pin,0,2.1465315e-11
fopt13437/A,fopt13437/Y,pin,pin,0,1.6675512e-11
