pin_name,x,y,is_in_clk,is_port,is_startpoint,is_endpoint,dir,maxcap,maxtran,num_reachable_endpoint,cell_name,net_name,pin_tran,pin_slack,pin_rise_arr,pin_fall_arr,input_pin_cap
fopt/A,37,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,fopt,n_2588,2.68482389098601e-11,-2.417893663064774e-11,3.320537733664253e-10,3.2608202249484464e-10,3.329239970474774e-16
fopt/Y,178,135,0,-1,0,0,1,2.3040000896729085e-14,2.2699998825093104e-10,0,fopt,n_26264,1.0910798306507097e-11,-2.417893663064774e-11,3.474989185292543e-10,3.428770878333154e-10,-1
fopt1/A,37,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,fopt1,u_NV_NVDLA_cmac_u_core_u_mac_1_mul_132_55_n_152,2.2776546274028142e-11,-3.4734860820950786e-11,7.646903943392402e-11,7.566101911660184e-11,6.674139991957504e-16
fopt1/Y,124,135,0,-1,0,0,1,4.608000179345817e-14,2.2699998825093104e-10,0,fopt1,n_12111,1.498857288284583e-11,-3.473486429039774e-11,8.572633575232302e-11,8.51697254389272e-11,-1
fopt10/A,39,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,fopt10,u_NV_NVDLA_cmac_u_core_dat0_actv_data[2],1.6135577249332123e-11,-3.357187444708032e-11,3.156871986043086e-11,2.959891012843663e-11,1.297109938887622e-15
fopt10/Y,412,135,0,-1,0,0,1,1.8432000717383268e-13,2.2699998825093104e-10,0,fopt10,n_21183,1.0208316830739861e-11,-3.357187444708032e-11,4.56786795888231e-11,4.452809648780587e-11,-1
fopt101/A,37,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,fopt101,u_NV_NVDLA_cmac_u_core_u_mac_0_mul_134_55_n_0,8.745702946566514e-12,-2.713600524839599e-11,6.180833622693171e-11,6.237169114520213e-11,4.740920168143164e-16
fopt101/Y,124,135,0,-1,0,0,1,2.3040000896729085e-14,2.2699998825093104e-10,0,fopt101,n_10745,1.3371134928441553e-11,-2.7136001778949037e-11,7.075658114974459e-11,6.92351800890556e-11,-1
fopt102/A,37,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,fopt102,u_NV_NVDLA_cmac_u_core_u_mac_3_mul_122_55_n_74,1.5397938132877265e-11,-2.7632097998608884e-11,6.038135269559319e-11,6.036873084758199e-11,4.740920168143164e-16
fopt102/Y,124,135,0,-1,0,0,1,2.3040000896729085e-14,2.2699998825093104e-10,0,fopt102,n_22024,2.0988516480358044e-11,-2.7632097998608884e-11,7.310162891682737e-11,7.170641164178093e-11,-1
fopt103/A,37,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,fopt103,n_22025,1.9908123760625784e-11,-3.15520942706371e-11,8.408012480698446e-11,8.205200408006874e-11,6.674139991957504e-16
fopt103/Y,124,135,0,-1,0,0,1,4.608000179345817e-14,2.2699998825093104e-10,0,fopt103,n_22026,1.2408649628647961e-11,-3.15520942706371e-11,9.046351168162658e-11,9.110511650645137e-11,-1
fopt106/A,37,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,fopt106,n_7710,1.1914259509526737e-11,-3.1971147951281864e-11,3.09413605847908e-10,3.0528823913300585e-10,1.2861600263411105e-15
fopt106/Y,124,135,0,-1,0,0,1,9.216000358691634e-14,2.2699998825093104e-10,0,fopt106,n_23087,8.81893603282835e-12,-3.1971147951281864e-11,3.114770108503251e-10,3.1461763749796035e-10,-1
fopt1066/A,37,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,fopt1066,n_19495,1.5557357485596057e-11,-3.322279951145646e-11,1.7939548457857057e-10,1.7910893601591482e-10,3.329239970474774e-16
fopt1066/Y,178,135,0,-1,0,0,1,2.3040000896729085e-14,2.2699998825093104e-10,0,fopt1066,n_12498,1.428879670833938e-11,-3.322279951145646e-11,1.955717948698421e-10,1.9543652807207934e-10,-1
fopt1067/A,37,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,fopt1067,n_21577,2.8195973333922097e-11,-3.187243524660488e-11,1.8920896793783726e-10,1.875720134769665e-10,4.740920168143164e-16
fopt1067/Y,124,135,0,-1,0,0,1,2.3040000896729085e-14,2.2699998825093104e-10,0,fopt1067,n_12513,1.2679290777029006e-11,-3.187244912439269e-11,1.960878681650513e-10,1.9588516919633037e-10,-1
fopt107/A,37,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,fopt107,n_13123,2.0207176210096378e-11,-3.622482175336117e-11,1.1240005454160595e-10,1.0487571228123826e-10,3.329239970474774e-16
fopt107/Y,178,135,0,-1,0,0,1,2.3040000896729085e-14,2.2699998825093104e-10,0,fopt107,n_13124,1.0674407538435737e-11,-3.622482175336117e-11,1.272627558890349e-10,1.2031367568887674e-10,-1
fopt109/A,37,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,fopt109,n_14808,2.092496141636868e-11,-3.0302413356331215e-11,1.559725126831779e-10,1.5524057039861816e-10,3.329239970474774e-16
fopt109/Y,178,135,0,-1,0,0,1,2.3040000896729085e-14,2.2699998825093104e-10,0,fopt109,n_14810,1.9842554682680813e-11,-3.0302413356331215e-11,1.7543894115235048e-10,1.750912470566135e-10,-1
fopt113/A,37,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,fopt113,n_5894,2.882266300630043e-11,-2.4881898624817822e-11,6.352873782589086e-11,6.179657480176459e-11,6.674139991957504e-16
fopt113/Y,124,135,0,-1,0,0,1,4.608000179345817e-14,2.2699998825093104e-10,0,fopt113,n_5895,1.1683418989216765e-11,-2.488189515537087e-11,6.95196747391158e-11,6.898101534424939e-11,-1
fopt115/A,37,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,fopt115,n_22519,2.8125335393980322e-11,-2.6182035706145967e-11,1.234713581377278e-10,1.2494046075506304e-10,4.740920168143164e-16
fopt115/Y,124,135,0,-1,0,0,1,2.3040000896729085e-14,2.2699998825093104e-10,0,fopt115,n_11791,1.6714568965014998e-11,-2.6182028767252064e-11,1.361034202007616e-10,1.3308304458448106e-10,-1
fopt116/A,37,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,fopt116,n_22519,2.8125335393980322e-11,-3.238567053420738e-11,1.234713581377278e-10,1.2494046075506304e-10,1.2861600263411105e-15
fopt116/Y,124,135,0,-1,0,0,1,9.216000358691634e-14,2.2699998825093104e-10,0,fopt116,n_11787,1.0119688940990468e-11,-3.238567053420738e-11,1.3175043001023568e-10,1.2866317733450927e-10,-1
fopt118/A,37,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,fopt118,u_NV_NVDLA_cmac_u_core_u_mac_0_csa_tree_ADD_TC_OP_6_groupi_n_117,1.5524404678446402e-11,-2.6185748014384558e-11,2.6732635549642225e-10,2.678826327429107e-10,1.2861600263411105e-15
fopt118/Y,124,135,0,-1,0,0,1,9.216000358691634e-14,2.2699998825093104e-10,0,fopt118,n_8053,1.517638271997246e-11,-2.6185748014384558e-11,2.777647001295236e-10,2.757845618539534e-10,-1
fopt12/A,37,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,fopt12,u_NV_NVDLA_cmac_u_core_dat0_actv_data[36],1.6125507179554077e-11,-3.468517834059881e-11,3.1561909336064176e-11,2.9596471107229405e-11,1.909670084419184e-15
fopt12/Y,196,135,0,-1,0,0,1,9.216000358691634e-14,2.2699998825093104e-10,1,fopt12,n_22742,1.417085979810162e-11,-3.468517834059881e-11,3.896374542455838e-11,3.941095366721825e-11,-1
fopt125/A,37,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,fopt125,n_19386,2.6175284162377466e-11,-2.885642072514294e-11,7.653271766328018e-11,7.338239738086116e-11,6.674139991957504e-16
fopt125/Y,124,135,0,-1,0,0,1,4.608000179345817e-14,2.2699998825093104e-10,0,fopt125,n_19387,1.389628863368575e-11,-2.8856417255695987e-11,8.272618701177237e-11,8.406964707718956e-11,-1
fopt128/A,37,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,fopt128,n_9138,1.3407006407839539e-11,-3.1126864974417856e-11,7.688617104095741e-11,7.825641523684368e-11,1.2861600263411105e-15
fopt128/Y,124,135,0,-1,0,0,1,9.216000358691634e-14,2.2699998825093104e-10,0,fopt128,n_11346,9.062719324992585e-12,-3.1126861504970904e-11,8.458227174212851e-11,8.206572921221067e-11,-1
fopt1289/A,37,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,fopt1289,n_11583,1.4144082606526442e-11,-3.191967523630268e-11,2.1725669874239628e-10,2.1756280110807324e-10,6.674139991957504e-16
fopt1289/Y,124,135,0,-1,0,0,1,4.608000179345817e-14,2.2699998825093104e-10,0,fopt1289,n_11586,1.0992382351582286e-11,-3.191967523630268e-11,2.250817449089837e-10,2.236125451471338e-10,-1
fopt129/A,37,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,fopt129,u_NV_NVDLA_cmac_u_core_u_mac_3_mul_136_55_n_80,2.474089509652e-11,-3.001096246513235e-11,5.5272411647599995e-11,5.551854115326549e-11,4.740920168143164e-16
fopt129/Y,124,135,0,-1,0,0,1,2.3040000896729085e-14,2.2699998825093104e-10,0,fopt129,n_8895,1.31945374765019e-11,-3.001096246513235e-11,6.439779265399181e-11,6.229518290101765e-11,-1
fopt1291/A,37,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,fopt1291,u_NV_NVDLA_cmac_u_core_u_mac_3_mul_122_55_n_268,2.959591599571709e-11,-1.9136761619797937e-11,1.9361766356862375e-10,1.91700821883245e-10,4.740920168143164e-16
fopt1291/Y,124,135,0,-1,0,0,1,2.3040000896729085e-14,2.2699998825093104e-10,0,fopt1291,n_11568,1.9681548057981502e-11,-1.9136761619797937e-11,2.0474139050818962e-10,2.0412659063051564e-10,-1
fopt13/A,37,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,fopt13,u_NV_NVDLA_cmac_u_core_dat0_actv_data[28],1.6214529718894255e-11,-3.51587994829039e-11,3.162210771012752e-11,2.9655423949837e-11,1.909670084419184e-15
fopt13/Y,196,135,0,-1,0,0,1,9.216000358691634e-14,2.2699998825093104e-10,0,fopt13,n_14986,1.675919993060493e-11,-3.51587994829039e-11,4.051990687425899e-11,4.085843816059587e-11,-1
fopt13271/A,37,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,fopt13271,u_NV_NVDLA_cmac_u_core_u_mac_1_csa_tree_ADD_TC_OP_6_groupi_n_342,2.874681916120725e-11,-3.313427310303041e-11,3.132685777451627e-10,3.14445802729324e-10,3.329239970474774e-16
fopt13271/Y,178,135,0,-1,0,0,1,2.3040000896729085e-14,2.2699998825093104e-10,0,fopt13271,n_2271,1.4847156490360724e-11,-3.313427310303041e-11,3.3084573969333064e-10,3.3287209100230086e-10,-1
