src,tar,src_type,tar_type
fopt/A,fopt,pin,cell
fopt,fopt/Y,cell,pin
fopt1/A,fopt1,pin,cell
fopt1,fopt1/Y,cell,pin
fopt10/A,fopt10,pin,cell
fopt10,fopt10/Y,cell,pin
fopt101/A,fopt101,pin,cell
fopt101,fopt101/Y,cell,pin
fopt102/A,fopt102,pin,cell
fopt102,fopt102/Y,cell,pin
fopt103/A,fopt103,pin,cell
fopt103,fopt103/Y,cell,pin
fopt106/A,fopt106,pin,cell
fopt106,fopt106/Y,cell,pin
fopt1066/A,fopt1066,pin,cell
fopt1066,fopt1066/Y,cell,pin
fopt1067/A,fopt1067,pin,cell
fopt1067,fopt1067/Y,cell,pin
fopt107/A,fopt107,pin,cell
fopt107,fopt107/Y,cell,pin
fopt109/A,fopt109,pin,cell
fopt109,fopt109/Y,cell,pin
fopt113/A,fopt113,pin,cell
fopt113,fopt113/Y,cell,pin
fopt115/A,fopt115,pin,cell
fopt115,fopt115/Y,cell,pin
fopt116/A,fopt116,pin,cell
fopt116,fopt116/Y,cell,pin
fopt118/A,fopt118,pin,cell
fopt118,fopt118/Y,cell,pin
fopt12/A,fopt12,pin,cell
fopt12,fopt12/Y,cell,pin
fopt125/A,fopt125,pin,cell
fopt125,fopt125/Y,cell,pin
fopt128/A,fopt128,pin,cell
fopt128,fopt128/Y,cell,pin
fopt1289/A,fopt1289,pin,cell
fopt1289,fopt1289/Y,cell,pin
fopt129/A,fopt129,pin,cell
fopt129,fopt129/Y,cell,pin
fopt1291/A,fopt1291,pin,cell
fopt1291,fopt1291/Y,cell,pin
fopt13/A,fopt13,pin,cell
fopt13,fopt13/Y,cell,pin
fopt13271/A,fopt13271,pin,cell
fopt13271,fopt13271/Y,cell,pin
fopt13273/A,fopt13273,pin,cell
fopt13273,fopt13273/Y,cell,pin
fopt13274/A,fopt13274,pin,cell
fopt13274,fopt13274/Y,cell,pin
fopt13277/A,fopt13277,pin,cell
fopt13277,fopt13277/Y,cell,pin
fopt13282/A,fopt13282,pin,cell
fopt13282,fopt13282/Y,cell,pin
fopt13290/A,fopt13290,pin,cell
fopt13290,fopt13290/Y,cell,pin
fopt13291/A,fopt13291,pin,cell
fopt13291,fopt13291/Y,cell,pin
fopt13292/A,fopt13292,pin,cell
fopt13292,fopt13292/Y,cell,pin
fopt13293/A,fopt13293,pin,cell
fopt13293,fopt13293/Y,cell,pin
fopt13294/A,fopt13294,pin,cell
fopt13294,fopt13294/Y,cell,pin
fopt133/A,fopt133,pin,cell
fopt133,fopt133/Y,cell,pin
fopt13308/A,fopt13308,pin,cell
fopt13308,fopt13308/Y,cell,pin
fopt13311/A,fopt13311,pin,cell
fopt13311,fopt13311/Y,cell,pin
fopt13315/A,fopt13315,pin,cell
fopt13315,fopt13315/Y,cell,pin
fopt13316/A,fopt13316,pin,cell
fopt13316,fopt13316/Y,cell,pin
fopt13318/A,fopt13318,pin,cell
fopt13318,fopt13318/Y,cell,pin
fopt13322/A,fopt13322,pin,cell
fopt13322,fopt13322/Y,cell,pin
fopt13323/A,fopt13323,pin,cell
fopt13323,fopt13323/Y,cell,pin
fopt13325/A,fopt13325,pin,cell
fopt13325,fopt13325/Y,cell,pin
fopt13342/A,fopt13342,pin,cell
fopt13342,fopt13342/Y,cell,pin
fopt13343/A,fopt13343,pin,cell
fopt13343,fopt13343/Y,cell,pin
fopt13345/A,fopt13345,pin,cell
fopt13345,fopt13345/Y,cell,pin
fopt13347/A,fopt13347,pin,cell
fopt13347,fopt13347/Y,cell,pin
fopt13348/A,fopt13348,pin,cell
fopt13348,fopt13348/Y,cell,pin
fopt13350/A,fopt13350,pin,cell
fopt13350,fopt13350/Y,cell,pin
fopt13355/A,fopt13355,pin,cell
fopt13355,fopt13355/Y,cell,pin
fopt13357/A,fopt13357,pin,cell
fopt13357,fopt13357/Y,cell,pin
fopt13372/A,fopt13372,pin,cell
fopt13372,fopt13372/Y,cell,pin
fopt13373/A,fopt13373,pin,cell
fopt13373,fopt13373/Y,cell,pin
fopt13375/A,fopt13375,pin,cell
fopt13375,fopt13375/Y,cell,pin
fopt13380/A,fopt13380,pin,cell
fopt13380,fopt13380/Y,cell,pin
fopt13393/A,fopt13393,pin,cell
fopt13393,fopt13393/Y,cell,pin
fopt13399/A,fopt13399,pin,cell
fopt13399,fopt13399/Y,cell,pin
fopt13400/A,fopt13400,pin,cell
fopt13400,fopt13400/Y,cell,pin
fopt13402/A,fopt13402,pin,cell
fopt13402,fopt13402/Y,cell,pin
fopt13403/A,fopt13403,pin,cell
fopt13403,fopt13403/Y,cell,pin
fopt13412/A,fopt13412,pin,cell
fopt13412,fopt13412/Y,cell,pin
fopt13417/A,fopt13417,pin,cell
fopt13417,fopt13417/Y,cell,pin
fopt13419/A,fopt13419,pin,cell
fopt13419,fopt13419/Y,cell,pin
fopt13425/A,fopt13425,pin,cell
fopt13425,fopt13425/Y,cell,pin
fopt13427/A,fopt13427,pin,cell
fopt13427,fopt13427/Y,cell,pin
fopt13437/A,fopt13437,pin,cell
fopt13437,fopt13437/Y,cell,pin
fopt13451/A,fopt13451,pin,cell
fopt13451,fopt13451/Y,cell,pin
fopt13458/A,fopt13458,pin,cell
fopt13458,fopt13458/Y,cell,pin
fopt13464/A,fopt13464,pin,cell
fopt13464,fopt13464/Y,cell,pin
fopt13468/A,fopt13468,pin,cell
fopt13468,fopt13468/Y,cell,pin
fopt13469/A,fopt13469,pin,cell
fopt13469,fopt13469/Y,cell,pin
fopt13471/A,fopt13471,pin,cell
fopt13471,fopt13471/Y,cell,pin
fopt13474/A,fopt13474,pin,cell
fopt13474,fopt13474/Y,cell,pin
fopt13476/A,fopt13476,pin,cell
fopt13476,fopt13476/Y,cell,pin
fopt13480/A,fopt13480,pin,cell
fopt13480,fopt13480/Y,cell,pin
fopt13481/A,fopt13481,pin,cell
fopt13481,fopt13481/Y,cell,pin
fopt13488/A,fopt13488,pin,cell
fopt13488,fopt13488/Y,cell,pin
fopt13492/A,fopt13492,pin,cell
fopt13492,fopt13492/Y,cell,pin
fopt13496/A,fopt13496,pin,cell
fopt13496,fopt13496/Y,cell,pin
fopt13498/A,fopt13498,pin,cell
fopt13498,fopt13498/Y,cell,pin
fopt135/A,fopt135,pin,cell
fopt135,fopt135/Y,cell,pin
fopt13501/A,fopt13501,pin,cell
fopt13501,fopt13501/Y,cell,pin
fopt13503/A,fopt13503,pin,cell
fopt13503,fopt13503/Y,cell,pin
fopt13504/A,fopt13504,pin,cell
fopt13504,fopt13504/Y,cell,pin
fopt13505/A,fopt13505,pin,cell
fopt13505,fopt13505/Y,cell,pin
fopt13511/A,fopt13511,pin,cell
fopt13511,fopt13511/Y,cell,pin
fopt13513/A,fopt13513,pin,cell
fopt13513,fopt13513/Y,cell,pin
fopt13515/A,fopt13515,pin,cell
fopt13515,fopt13515/Y,cell,pin
fopt13517/A,fopt13517,pin,cell
fopt13517,fopt13517/Y,cell,pin
fopt13521/A,fopt13521,pin,cell
fopt13521,fopt13521/Y,cell,pin
fopt13523/A,fopt13523,pin,cell
fopt13523,fopt13523/Y,cell,pin
fopt13527/A,fopt13527,pin,cell
fopt13527,fopt13527/Y,cell,pin
fopt13528/A,fopt13528,pin,cell
fopt13528,fopt13528/Y,cell,pin
fopt13529/A,fopt13529,pin,cell
fopt13529,fopt13529/Y,cell,pin
fopt13535/A,fopt13535,pin,cell
fopt13535,fopt13535/Y,cell,pin
fopt13537/A,fopt13537,pin,cell
fopt13537,fopt13537/Y,cell,pin
fopt13539/A,fopt13539,pin,cell
fopt13539,fopt13539/Y,cell,pin
fopt13540/A,fopt13540,pin,cell
fopt13540,fopt13540/Y,cell,pin
fopt13541/A,fopt13541,pin,cell
fopt13541,fopt13541/Y,cell,pin
fopt13545/A,fopt13545,pin,cell
fopt13545,fopt13545/Y,cell,pin
fopt13548/A,fopt13548,pin,cell
fopt13548,fopt13548/Y,cell,pin
fopt13549/A,fopt13549,pin,cell
fopt13549,fopt13549/Y,cell,pin
fopt13554/A,fopt13554,pin,cell
fopt13554,fopt13554/Y,cell,pin
fopt13556/A,fopt13556,pin,cell
fopt13556,fopt13556/Y,cell,pin
fopt13559/A,fopt13559,pin,cell
fopt13559,fopt13559/Y,cell,pin
fopt13561/A,fopt13561,pin,cell
fopt13561,fopt13561/Y,cell,pin
fopt13563/A,fopt13563,pin,cell
fopt13563,fopt13563/Y,cell,pin
fopt13564/A,fopt13564,pin,cell
fopt13564,fopt13564/Y,cell,pin
fopt13566/A,fopt13566,pin,cell
fopt13566,fopt13566/Y,cell,pin
fopt13568/A,fopt13568,pin,cell
fopt13568,fopt13568/Y,cell,pin
fopt13569/A,fopt13569,pin,cell
fopt13569,fopt13569/Y,cell,pin
fopt13573/A,fopt13573,pin,cell
fopt13573,fopt13573/Y,cell,pin
fopt13574/A,fopt13574,pin,cell
fopt13574,fopt13574/Y,cell,pin
fopt13575/A,fopt13575,pin,cell
fopt13575,fopt13575/Y,cell,pin
fopt13577/A,fopt13577,pin,cell
fopt13577,fopt13577/Y,cell,pin
fopt13580/A,fopt13580,pin,cell
fopt13580,fopt13580/Y,cell,pin
fopt13581/A,fopt13581,pin,cell
fopt13581,fopt13581/Y,cell,pin
fopt13585/A,fopt13585,pin,cell
fopt13585,fopt13585/Y,cell,pin
fopt13586/A,fopt13586,pin,cell
fopt13586,fopt13586/Y,cell,pin
fopt13588/A,fopt13588,pin,cell
fopt13588,fopt13588/Y,cell,pin
fopt13589/A,fopt13589,pin,cell
fopt13589,fopt13589/Y,cell,pin
fopt13590/A,fopt13590,pin,cell
fopt13590,fopt13590/Y,cell,pin
fopt13592/A,fopt13592,pin,cell
fopt13592,fopt13592/Y,cell,pin
fopt13593/A,fopt13593,pin,cell
fopt13593,fopt13593/Y,cell,pin
fopt13600/A,fopt13600,pin,cell
fopt13600,fopt13600/Y,cell,pin
fopt13602/A,fopt13602,pin,cell
fopt13602,fopt13602/Y,cell,pin
fopt13613/A,fopt13613,pin,cell
fopt13613,fopt13613/Y,cell,pin
fopt13620/A,fopt13620,pin,cell
fopt13620,fopt13620/Y,cell,pin
fopt13621/A,fopt13621,pin,cell
fopt13621,fopt13621/Y,cell,pin
fopt13640/A,fopt13640,pin,cell
fopt13640,fopt13640/Y,cell,pin
fopt13644/A,fopt13644,pin,cell
fopt13644,fopt13644/Y,cell,pin
fopt13660/A,fopt13660,pin,cell
fopt13660,fopt13660/Y,cell,pin
fopt13662/A,fopt13662,pin,cell
fopt13662,fopt13662/Y,cell,pin
fopt13672/A,fopt13672,pin,cell
fopt13672,fopt13672/Y,cell,pin
fopt13674/A,fopt13674,pin,cell
fopt13674,fopt13674/Y,cell,pin
fopt13677/A,fopt13677,pin,cell
fopt13677,fopt13677/Y,cell,pin
fopt13678/A,fopt13678,pin,cell
fopt13678,fopt13678/Y,cell,pin
fopt13681/A,fopt13681,pin,cell
fopt13681,fopt13681/Y,cell,pin
fopt13687/A,fopt13687,pin,cell
fopt13687,fopt13687/Y,cell,pin
fopt13689/A,fopt13689,pin,cell
fopt13689,fopt13689/Y,cell,pin
fopt13690/A,fopt13690,pin,cell
fopt13690,fopt13690/Y,cell,pin
fopt13691/A,fopt13691,pin,cell
fopt13691,fopt13691/Y,cell,pin
fopt13692/A,fopt13692,pin,cell
fopt13692,fopt13692/Y,cell,pin
fopt13693/A,fopt13693,pin,cell
fopt13693,fopt13693/Y,cell,pin
fopt13694/A,fopt13694,pin,cell
fopt13694,fopt13694/Y,cell,pin
fopt13695/A,fopt13695,pin,cell
fopt13695,fopt13695/Y,cell,pin
fopt13696/A,fopt13696,pin,cell
fopt13696,fopt13696/Y,cell,pin
fopt13697/A,fopt13697,pin,cell
fopt13697,fopt13697/Y,cell,pin
fopt13699/A,fopt13699,pin,cell
fopt13699,fopt13699/Y,cell,pin
fopt13700/A,fopt13700,pin,cell
fopt13700,fopt13700/Y,cell,pin
fopt13702/A,fopt13702,pin,cell
fopt13702,fopt13702/Y,cell,pin
fopt13704/A,fopt13704,pin,cell
fopt13704,fopt13704/Y,cell,pin
fopt13711/A,fopt13711,pin,cell
fopt13711,fopt13711/Y,cell,pin
fopt13712/A,fopt13712,pin,cell
fopt13712,fopt13712/Y,cell,pin
fopt13718/A,fopt13718,pin,cell
fopt13718,fopt13718/Y,cell,pin
fopt13719/A,fopt13719,pin,cell
fopt13719,fopt13719/Y,cell,pin
fopt13733/A,fopt13733,pin,cell
fopt13733,fopt13733/Y,cell,pin
fopt13734/A,fopt13734,pin,cell
fopt13734,fopt13734/Y,cell,pin
fopt13735/A,fopt13735,pin,cell
fopt13735,fopt13735/Y,cell,pin
fopt13736/A,fopt13736,pin,cell
fopt13736,fopt13736/Y,cell,pin
fopt13737/A,fopt13737,pin,cell
fopt13737,fopt13737/Y,cell,pin
fopt13750/A,fopt13750,pin,cell
fopt13750,fopt13750/Y,cell,pin
