cell_name,is_seq,is_macro,is_in_clk,x0,y0,x1,y1,is_filler,is_buf,is_inv,libcell_name,cell_static_power,cell_dynamic_power
fopt,0,0,0,43074,57114,43290,57384,0,1,0,HB1xp67_ASAP7_75t_SL,5.046876250247578e-09,1.8490024444872688e-07
fopt1,0,0,0,26982,29034,27144,29304,0,0,1,INVx1_ASAP7_75t_SL,5.057998020419063e-09,2.0538829303973216e-08
fopt10,0,0,0,48420,30384,48960,30654,0,1,0,BUFx6f_ASAP7_75t_SL,2.507803031903677e-08,9.158417014987208e-06
fopt101,0,0,0,69750,45774,69912,46044,0,0,1,INVxp67_ASAP7_75t_SL,3.3325944226447746e-09,1.6569437377711438e-07
fopt102,0,0,0,49338,30114,49500,30384,0,0,1,INVxp67_ASAP7_75t_SL,3.2813460837388675e-09,2.396081981714815e-07
fopt103,0,0,0,49338,30384,49500,30654,0,0,1,INVx1_ASAP7_75t_SL,4.786071094997624e-09,3.683404656840139e-07
fopt106,0,0,0,41832,52254,42048,52524,0,0,1,INVx2_ASAP7_75t_SL,1.0208554890311916e-08,1.2022759676710848e-07
fopt1066,0,0,0,67752,57924,67968,58194,0,1,0,HB1xp67_ASAP7_75t_SL,2.8766180548700504e-09,6.126354492153041e-06
fopt1067,0,0,0,67104,57924,67266,58194,0,0,1,INVxp67_ASAP7_75t_SL,3.3745348737568293e-09,6.778472450008621e-09
fopt107,0,0,0,58356,37134,58572,37404,0,1,0,HB1xp67_ASAP7_75t_SL,4.711191436967965e-09,5.552570314648619e-07
fopt109,0,0,0,27468,40914,27684,41184,0,1,0,HB1xp67_ASAP7_75t_SL,5.091484567287807e-09,6.66104060798034e-09
fopt113,0,0,0,17424,34164,17586,34434,0,0,1,INVx1_ASAP7_75t_SL,4.922018792541394e-09,1.799878930341947e-07
fopt115,0,0,0,33246,28494,33408,28764,0,0,1,INVxp67_ASAP7_75t_SL,3.0314473153936206e-09,6.682535058644135e-07
fopt116,0,0,0,32976,29034,33192,29304,0,0,1,INVx2_ASAP7_75t_SL,9.09435993179386e-09,1.1118368092866149e-06
fopt118,0,0,0,43938,31734,44154,32004,0,0,1,INVx2_ASAP7_75t_SL,1.0285632789930332e-08,4.9284647474223675e-09
fopt12,0,0,0,41886,66024,42156,66294,0,0,1,INVx3_ASAP7_75t_SL,9.485727758828943e-09,3.304646497781505e-06
fopt125,0,0,0,66780,38754,66942,39024,0,0,1,INVx1_ASAP7_75t_SL,5.137012593081636e-09,1.8326879569485754e-08
fopt128,0,0,0,30384,54414,30600,54684,0,0,1,INVx2_ASAP7_75t_SL,9.579683712956921e-09,5.538606728805462e-07
fopt1289,0,0,0,54090,30654,54252,30924,0,0,1,INVx1_ASAP7_75t_SL,2.5884405729925675e-09,6.926096830284223e-06
fopt129,0,0,0,32004,55494,32166,55764,0,0,1,INVxp67_ASAP7_75t_SL,3.2813460837388675e-09,1.4000588066664932e-07
fopt1291,0,0,0,54522,30384,54684,30654,0,0,1,INVxp67_ASAP7_75t_SL,2.713756552807922e-09,1.7831470131568494e-06
fopt13,0,0,0,64512,34434,64782,34704,0,0,1,INVx3_ASAP7_75t_SL,9.485727758828943e-09,4.171223736193497e-06
fopt13271,0,0,0,63378,60624,63594,60894,0,1,0,HB1xp67_ASAP7_75t_SL,5.019914706139161e-09,2.3719580610759294e-07
fopt13273,0,0,0,58626,41454,58842,41724,0,1,0,HB1xp67_ASAP7_75t_SL,5.014375137335492e-09,2.7041414796258323e-07
fopt13274,0,0,0,56520,40644,56736,40914,0,1,0,HB1xp67_ASAP7_75t_SL,5.019542559381307e-09,2.603244411147898e-07
fopt13277,0,0,0,41292,56574,41508,56844,0,1,0,HB1xp67_ASAP7_75t_SL,5.018757853747502e-09,2.4191712100218865e-07
fopt13282,0,0,0,40212,55224,40428,55494,0,1,0,HB1xp67_ASAP7_75t_SL,5.019933801975185e-09,2.838642103597522e-07
fopt13290,0,0,0,48528,28764,48690,29034,0,0,1,INVxp67_ASAP7_75t_SL,2.1079462619866263e-09,7.002969937275338e-07
