src,tar,src_type,tar_type,is_net,arc_delay
fopt/A,fopt/Y,pin,pin,0,1.7933744e-11
fopt1/A,fopt1/Y,pin,pin,0,9.886597999999998e-12
fopt10/A,fopt10/Y,pin,pin,0,1.8811115e-11
fopt101/A,fopt101/Y,pin,pin,0,9.654222000000001e-12
fopt102/A,fopt102/Y,pin,pin,0,1.468798e-11
fopt103/A,fopt103/Y,pin,pin,0,9.422468e-12
fopt106/A,fopt106/Y,pin,pin,0,6.597341e-12
fopt1066/A,fopt1066/Y,pin,pin,0,1.7824950999999998e-11
fopt1067/A,fopt1067/Y,pin,pin,0,8.015122e-12
fopt107/A,fopt107/Y,pin,pin,0,1.6456043e-11
fopt109/A,fopt109/Y,pin,pin,0,2.1405178e-11
fopt113/A,fopt113/Y,pin,pin,0,9.57203e-12
fopt115/A,fopt115/Y,pin,pin,0,1.2173584999999998e-11
fopt116/A,fopt116/Y,pin,pin,0,7.389778e-12
fopt118/A,fopt118/Y,pin,pin,0,9.585738e-12
fopt12/A,fopt12/Y,pin,pin,0,8.289374999999999e-12
fopt125/A,fopt125/Y,pin,pin,0,8.91895e-12
fopt128/A,fopt128/Y,pin,pin,0,7.014204999999999e-12
fopt1289/A,fopt1289/Y,pin,pin,0,8.771291e-12
fopt129/A,fopt129/Y,pin,pin,0,8.561120000000001e-12
fopt1291/A,fopt1291/Y,pin,pin,0,1.5418486e-11
fopt13/A,fopt13/Y,pin,pin,0,9.797176e-12
fopt13271/A,fopt13271/Y,pin,pin,0,1.9601391e-11
fopt13273/A,fopt13273/Y,pin,pin,0,1.7294584e-11
fopt13274/A,fopt13274/Y,pin,pin,0,1.9848161999999997e-11
fopt13277/A,fopt13277/Y,pin,pin,0,2.0087158e-11
fopt13282/A,fopt13282/Y,pin,pin,0,1.9124285e-11
fopt13290/A,fopt13290/Y,pin,pin,0,8.364525e-12
fopt13291/A,fopt13291/Y,pin,pin,0,2.3565167999999998e-11
fopt13292/A,fopt13292/Y,pin,pin,0,1.5809836e-11
fopt13293/A,fopt13293/Y,pin,pin,0,1.1006814e-11
fopt13294/A,fopt13294/Y,pin,pin,0,7.613923e-12
fopt133/A,fopt133/Y,pin,pin,0,1.7251636999999997e-11
fopt13308/A,fopt13308/Y,pin,pin,0,9.358069e-12
fopt13311/A,fopt13311/Y,pin,pin,0,3.1540142e-11
fopt13315/A,fopt13315/Y,pin,pin,0,2.0892796e-11
fopt13316/A,fopt13316/Y,pin,pin,0,2.0591104999999998e-11
fopt13318/A,fopt13318/Y,pin,pin,0,8.300971e-12
fopt13322/A,fopt13322/Y,pin,pin,0,2.7659641e-11
fopt13323/A,fopt13323/Y,pin,pin,0,2.2161073999999997e-11
fopt13325/A,fopt13325/Y,pin,pin,0,1.9315334e-11
fopt13342/A,fopt13342/Y,pin,pin,0,1.7929344e-11
fopt13343/A,fopt13343/Y,pin,pin,0,1.9900267e-11
fopt13345/A,fopt13345/Y,pin,pin,0,2.0807482e-11
fopt13347/A,fopt13347/Y,pin,pin,0,1.9054789e-11
fopt13348/A,fopt13348/Y,pin,pin,0,8.931208e-12
fopt13350/A,fopt13350/Y,pin,pin,0,8.378894e-12
fopt13355/A,fopt13355/Y,pin,pin,0,8.368449e-12
fopt13357/A,fopt13357/Y,pin,pin,0,2.2143733999999998e-11
fopt13372/A,fopt13372/Y,pin,pin,0,9.356168e-12
fopt13373/A,fopt13373/Y,pin,pin,0,2.5919364999999998e-11
fopt13375/A,fopt13375/Y,pin,pin,0,9.761032999999999e-12
fopt13380/A,fopt13380/Y,pin,pin,0,3.4112411e-11
fopt13393/A,fopt13393/Y,pin,pin,0,9.222093e-12
fopt13399/A,fopt13399/Y,pin,pin,0,2.3131454e-11
fopt13400/A,fopt13400/Y,pin,pin,0,8.833259e-12
