pin_name,x,y,is_in_clk,is_port,is_startpoint,is_endpoint,dir,maxcap,maxtran,num_reachable_endpoint,cell_name,net_name,pin_tran,pin_slack,pin_rise_arr,pin_fall_arr,input_pin_cap
fopt/A,43111,57249,0,-1,0,0,0,0.0,3.199999987213431e-10,0,fopt,n_2588,2.932279766221235e-11,-1.114286996006797e-09,1.6705791194837616e-09,1.66796998435359e-09,3.329239970474774e-16
fopt/Y,43252,57249,0,-1,0,0,1,2.3040000896729085e-14,2.2699998825093104e-10,0,fopt,n_26264,1.2588791988010772e-11,-1.1142871070290994e-09,1.6871564145759521e-09,1.6859037499372675e-09,-1
fopt1/A,27019,29169,0,-1,0,0,0,0.0,3.199999987213431e-10,0,fopt1,u_NV_NVDLA_cmac_u_core_u_mac_1_mul_132_55_n_152,2.6645482695264455e-11,-7.227996534631131e-10,1.240863523044311e-09,1.2233482005186147e-09,6.674139991957504e-16
fopt1/Y,27106,29169,0,-1,0,0,1,4.608000179345817e-14,2.2699998825093104e-10,0,fopt1,n_12111,1.7441895150405173e-11,-7.227995979519619e-10,1.234873092670341e-09,1.250751724413135e-09,-1
fopt10/A,48459,30519,0,-1,0,0,0,0.0,3.199999987213431e-10,0,fopt10,u_NV_NVDLA_cmac_u_core_dat0_actv_data[2],1.9190577946193166e-11,-9.817477941709285e-10,1.116704950732128e-09,1.1280884004705172e-09,1.297109938887622e-15
fopt10/Y,48832,30519,0,-1,0,0,1,1.8432000717383268e-13,2.2699998825093104e-10,0,fopt10,n_21183,1.6535023350527922e-11,-9.817477941709285e-10,1.1332083049708785e-09,1.147594019812459e-09,-1
fopt101/A,69787,45909,0,-1,0,0,0,0.0,3.199999987213431e-10,0,fopt101,u_NV_NVDLA_cmac_u_core_u_mac_0_mul_134_55_n_0,9.75798348373802e-12,-4.632512706770342e-10,1.0757188473320412e-09,1.0924015025892686e-09,4.740920168143164e-16
fopt101/Y,69874,45909,0,-1,0,0,1,2.3040000896729085e-14,2.2699998825093104e-10,0,fopt101,n_10745,1.5914984607956484e-11,-4.6325132618818543e-10,1.1021009660439063e-09,1.084224376945997e-09,-1
fopt102/A,49375,30249,0,-1,0,0,0,0.0,3.199999987213431e-10,0,fopt102,u_NV_NVDLA_cmac_u_core_u_mac_3_mul_122_55_n_74,2.2347429462499235e-11,-1.0254701532375066e-09,1.2118601677713059e-09,1.1931551302524213e-09,4.740920168143164e-16
fopt102/Y,49462,30249,0,-1,0,0,1,2.3040000896729085e-14,2.2699998825093104e-10,0,fopt102,n_22024,2.410464015889513e-11,-1.0254701532375066e-09,1.2078434918905145e-09,1.2250925829349057e-09,-1
fopt103/A,49375,30519,0,-1,0,0,0,0.0,3.199999987213431e-10,0,fopt103,n_22025,2.2554656059492473e-11,-1.0079990175881903e-09,1.2145825456499892e-09,1.216629796907398e-09,6.674139991957504e-16
fopt103/Y,49462,30519,0,-1,0,0,1,4.608000179345817e-14,2.2699998825093104e-10,0,fopt103,n_22026,1.379499986464694e-11,-1.0079990175881903e-09,1.2260514825612745e-09,1.2222886036639125e-09,-1
fopt106/A,41869,52389,0,-1,0,0,0,0.0,3.199999987213431e-10,0,fopt106,n_7710,1.324347662784442e-11,-1.1326473092765355e-09,1.6164305449706262e-09,1.6124171997589087e-09,1.2861600263411105e-15
fopt106/Y,41956,52389,0,-1,0,0,1,9.216000358691634e-14,2.2699998825093104e-10,0,fopt106,n_23087,9.61110618175054e-12,-1.132647420298838e-09,1.6190145890604413e-09,1.6219398046857236e-09,-1
fopt1066/A,67789,58059,0,-1,0,0,0,0.0,3.199999987213431e-10,0,fopt1066,n_19495,1.7279917080559315e-11,-5.775412925679291e-10,1.2208131172641856e-09,1.2212334477013087e-09,3.329239970474774e-16
fopt1066/Y,67930,58059,0,-1,0,0,1,2.3040000896729085e-14,2.2699998825093104e-10,0,fopt1066,n_12498,1.7149363526480776e-11,-5.775412925679291e-10,1.2385289460681292e-09,1.239058411428573e-09,-1
fopt1067/A,67141,58059,0,-1,0,0,0,0.0,3.199999987213431e-10,0,fopt1067,n_21577,3.416323821059386e-11,-5.876116260239428e-10,1.242235092568933e-09,1.2361460743903763e-09,4.740920168143164e-16
fopt1067/Y,67228,58059,0,-1,0,0,1,2.3040000896729085e-14,2.2699998825093104e-10,0,fopt1067,n_12513,1.4928424815763286e-11,-5.876116260239428e-10,1.2462918475009133e-09,1.2502502366729118e-09,-1
fopt107/A,58393,37269,0,-1,0,0,0,0.0,3.199999987213431e-10,0,fopt107,n_13123,2.3903906631872474e-11,-4.831169908570132e-10,1.1568073166046133e-09,1.1552303558204358e-09,3.329239970474774e-16
