src,tar,src_type,tar_type
n_2188,g10000__2883,net,cell
u_NV_NVDLA_cmac_u_core_u_mac_2_n_628,g10000__2883,net,cell
g10000__2883,u_NV_NVDLA_cmac_u_core_u_mac_2_n_629,cell,net
n_2187,g10001__2346,net,cell
u_NV_NVDLA_cmac_u_core_u_mac_0_n_632,g10001__2346,net,cell
g10001__2346,u_NV_NVDLA_cmac_u_core_u_mac_0_n_633,cell,net
n_2187,g10002__1666,net,cell
u_NV_NVDLA_cmac_u_core_u_mac_0_n_634,g10002__1666,net,cell
g10002__1666,u_NV_NVDLA_cmac_u_core_u_mac_0_n_635,cell,net
n_2188,g10003__7410,net,cell
u_NV_NVDLA_cmac_u_core_u_mac_2_n_630,g10003__7410,net,cell
g10003__7410,u_NV_NVDLA_cmac_u_core_u_mac_2_n_631,cell,net
n_2187,g10004__6417,net,cell
u_NV_NVDLA_cmac_u_core_u_mac_0_n_636,g10004__6417,net,cell
g10004__6417,u_NV_NVDLA_cmac_u_core_u_mac_0_n_637,cell,net
n_2192,g10006__2398,net,cell
u_NV_NVDLA_cmac_u_core_u_mac_3_n_562,g10006__2398,net,cell
g10006__2398,u_NV_NVDLA_cmac_u_core_u_mac_3_n_563,cell,net
n_2188,g10007__5107,net,cell
u_NV_NVDLA_cmac_u_core_u_mac_2_n_632,g10007__5107,net,cell
g10007__5107,u_NV_NVDLA_cmac_u_core_u_mac_2_n_633,cell,net
n_2192,g10008__6260,net,cell
u_NV_NVDLA_cmac_u_core_u_mac_3_n_564,g10008__6260,net,cell
g10008__6260,u_NV_NVDLA_cmac_u_core_u_mac_3_n_565,cell,net
n_2190,g10009__4319,net,cell
u_NV_NVDLA_cmac_u_core_u_mac_3_n_628,g10009__4319,net,cell
g10009__4319,u_NV_NVDLA_cmac_u_core_u_mac_3_n_629,cell,net
n_2175,g10010__8428,net,cell
u_NV_NVDLA_cmac_u_core_u_mac_3_n_724,g10010__8428,net,cell
g10010__8428,u_NV_NVDLA_cmac_u_core_u_mac_3_n_725,cell,net
n_2192,g10011__5526,net,cell
u_NV_NVDLA_cmac_u_core_u_mac_3_n_566,g10011__5526,net,cell
g10011__5526,u_NV_NVDLA_cmac_u_core_u_mac_3_n_567,cell,net
n_2190,g10012__6783,net,cell
u_NV_NVDLA_cmac_u_core_u_mac_3_n_630,g10012__6783,net,cell
g10012__6783,u_NV_NVDLA_cmac_u_core_u_mac_3_n_631,cell,net
n_2188,g10013__3680,net,cell
u_NV_NVDLA_cmac_u_core_u_mac_2_n_636,g10013__3680,net,cell
g10013__3680,u_NV_NVDLA_cmac_u_core_u_mac_2_n_637,cell,net
n_2175,g10014__1617,net,cell
u_NV_NVDLA_cmac_u_core_u_mac_3_n_726,g10014__1617,net,cell
g10014__1617,u_NV_NVDLA_cmac_u_core_u_mac_3_n_727,cell,net
n_2165,g10016__1705,net,cell
u_NV_NVDLA_cmac_u_core_u_mac_3_n_758,g10016__1705,net,cell
g10016__1705,u_NV_NVDLA_cmac_u_core_u_mac_3_n_759,cell,net
n_2190,g10017__5122,net,cell
u_NV_NVDLA_cmac_u_core_u_mac_3_n_632,g10017__5122,net,cell
g10017__5122,u_NV_NVDLA_cmac_u_core_u_mac_3_n_633,cell,net
n_2186,g10018__8246,net,cell
u_NV_NVDLA_cmac_u_core_u_mac_1_n_736,g10018__8246,net,cell
g10018__8246,u_NV_NVDLA_cmac_u_core_u_mac_1_n_737,cell,net
n_2192,g10019__7098,net,cell
u_NV_NVDLA_cmac_u_core_u_mac_3_n_548,g10019__7098,net,cell
g10019__7098,u_NV_NVDLA_cmac_u_core_u_mac_3_n_549,cell,net
n_2165,g10020__6131,net,cell
u_NV_NVDLA_cmac_u_core_u_mac_3_n_760,g10020__6131,net,cell
g10020__6131,u_NV_NVDLA_cmac_u_core_u_mac_3_n_761,cell,net
n_2190,g10021__1881,net,cell
u_NV_NVDLA_cmac_u_core_u_mac_3_n_634,g10021__1881,net,cell
g10021__1881,u_NV_NVDLA_cmac_u_core_u_mac_3_n_635,cell,net
n_2186,g10022__5115,net,cell
u_NV_NVDLA_cmac_u_core_u_mac_1_n_738,g10022__5115,net,cell
g10022__5115,u_NV_NVDLA_cmac_u_core_u_mac_1_n_739,cell,net
n_2190,g10023__7482,net,cell
u_NV_NVDLA_cmac_u_core_u_mac_3_n_636,g10023__7482,net,cell
g10023__7482,u_NV_NVDLA_cmac_u_core_u_mac_3_n_637,cell,net
n_2186,g10024__4733,net,cell
u_NV_NVDLA_cmac_u_core_u_mac_1_n_740,g10024__4733,net,cell
g10024__4733,u_NV_NVDLA_cmac_u_core_u_mac_1_n_741,cell,net
n_2186,g10025__6161,net,cell
u_NV_NVDLA_cmac_u_core_u_mac_1_n_742,g10025__6161,net,cell
g10025__6161,u_NV_NVDLA_cmac_u_core_u_mac_1_n_743,cell,net
n_2165,g10026__9315,net,cell
u_NV_NVDLA_cmac_u_core_u_mac_3_n_762,g10026__9315,net,cell
g10026__9315,u_NV_NVDLA_cmac_u_core_u_mac_3_n_763,cell,net
