src,tar,src_type,tar_type
g10000__2883/A,g10000__2883,pin,cell
g10000__2883/B,g10000__2883,pin,cell
g10000__2883,g10000__2883/Y,cell,pin
g10001__2346/A,g10001__2346,pin,cell
g10001__2346/B,g10001__2346,pin,cell
g10001__2346,g10001__2346/Y,cell,pin
g10002__1666/A,g10002__1666,pin,cell
g10002__1666/B,g10002__1666,pin,cell
g10002__1666,g10002__1666/Y,cell,pin
g10003__7410/A,g10003__7410,pin,cell
g10003__7410/B,g10003__7410,pin,cell
g10003__7410,g10003__7410/Y,cell,pin
g10004__6417/A,g10004__6417,pin,cell
g10004__6417/B,g10004__6417,pin,cell
g10004__6417,g10004__6417/Y,cell,pin
g10006__2398/A,g10006__2398,pin,cell
g10006__2398/B,g10006__2398,pin,cell
g10006__2398,g10006__2398/Y,cell,pin
g10007__5107/A,g10007__5107,pin,cell
g10007__5107/B,g10007__5107,pin,cell
g10007__5107,g10007__5107/Y,cell,pin
g10008__6260/A,g10008__6260,pin,cell
g10008__6260/B,g10008__6260,pin,cell
g10008__6260,g10008__6260/Y,cell,pin
g10009__4319/A,g10009__4319,pin,cell
g10009__4319/B,g10009__4319,pin,cell
g10009__4319,g10009__4319/Y,cell,pin
g10010__8428/A,g10010__8428,pin,cell
g10010__8428/B,g10010__8428,pin,cell
g10010__8428,g10010__8428/Y,cell,pin
g10011__5526/A,g10011__5526,pin,cell
g10011__5526/B,g10011__5526,pin,cell
g10011__5526,g10011__5526/Y,cell,pin
g10012__6783/A,g10012__6783,pin,cell
g10012__6783/B,g10012__6783,pin,cell
g10012__6783,g10012__6783/Y,cell,pin
g10013__3680/A,g10013__3680,pin,cell
g10013__3680/B,g10013__3680,pin,cell
g10013__3680,g10013__3680/Y,cell,pin
g10014__1617/A,g10014__1617,pin,cell
g10014__1617/B,g10014__1617,pin,cell
g10014__1617,g10014__1617/Y,cell,pin
g10016__1705/A,g10016__1705,pin,cell
g10016__1705/B,g10016__1705,pin,cell
g10016__1705,g10016__1705/Y,cell,pin
g10017__5122/A,g10017__5122,pin,cell
g10017__5122/B,g10017__5122,pin,cell
g10017__5122,g10017__5122/Y,cell,pin
g10018__8246/A,g10018__8246,pin,cell
g10018__8246/B,g10018__8246,pin,cell
g10018__8246,g10018__8246/Y,cell,pin
g10019__7098/A,g10019__7098,pin,cell
g10019__7098/B,g10019__7098,pin,cell
g10019__7098,g10019__7098/Y,cell,pin
g10020__6131/A,g10020__6131,pin,cell
g10020__6131/B,g10020__6131,pin,cell
g10020__6131,g10020__6131/Y,cell,pin
g10021__1881/A,g10021__1881,pin,cell
g10021__1881/B,g10021__1881,pin,cell
g10021__1881,g10021__1881/Y,cell,pin
g10022__5115/A,g10022__5115,pin,cell
g10022__5115/B,g10022__5115,pin,cell
g10022__5115,g10022__5115/Y,cell,pin
g10023__7482/A,g10023__7482,pin,cell
g10023__7482/B,g10023__7482,pin,cell
g10023__7482,g10023__7482/Y,cell,pin
g10024__4733/A,g10024__4733,pin,cell
g10024__4733/B,g10024__4733,pin,cell
g10024__4733,g10024__4733/Y,cell,pin
g10025__6161/A,g10025__6161,pin,cell
g10025__6161/B,g10025__6161,pin,cell
g10025__6161,g10025__6161/Y,cell,pin
g10026__9315/A,g10026__9315,pin,cell
g10026__9315/B,g10026__9315,pin,cell
g10026__9315,g10026__9315/Y,cell,pin
g10028__2883/A,g10028__2883,pin,cell
g10028__2883/B,g10028__2883,pin,cell
g10028__2883,g10028__2883/Y,cell,pin
g10029__2346/A,g10029__2346,pin,cell
g10029__2346/B,g10029__2346,pin,cell
g10029__2346,g10029__2346/Y,cell,pin
g10030__1666/A,g10030__1666,pin,cell
g10030__1666/B,g10030__1666,pin,cell
g10030__1666,g10030__1666/Y,cell,pin
g10031__7410/A,g10031__7410,pin,cell
g10031__7410/B,g10031__7410,pin,cell
g10031__7410,g10031__7410/Y,cell,pin
g10032__6417/A,g10032__6417,pin,cell
g10032__6417/B,g10032__6417,pin,cell
g10032__6417,g10032__6417/Y,cell,pin
g10033__5477/A,g10033__5477,pin,cell
g10033__5477/B,g10033__5477,pin,cell
g10033__5477,g10033__5477/Y,cell,pin
g10034__2398/A,g10034__2398,pin,cell
g10034__2398/B,g10034__2398,pin,cell
g10034__2398,g10034__2398/Y,cell,pin
g10035__5107/A,g10035__5107,pin,cell
g10035__5107/B,g10035__5107,pin,cell
g10035__5107,g10035__5107/Y,cell,pin
g10036__6260/A,g10036__6260,pin,cell
g10036__6260/B,g10036__6260,pin,cell
g10036__6260,g10036__6260/Y,cell,pin
g10037__4319/A,g10037__4319,pin,cell
g10037__4319/B,g10037__4319,pin,cell
g10037__4319,g10037__4319/Y,cell,pin
g10038__8428/A,g10038__8428,pin,cell
g10038__8428/B,g10038__8428,pin,cell
g10038__8428,g10038__8428/Y,cell,pin
g10039__5526/A,g10039__5526,pin,cell
g10039__5526/B,g10039__5526,pin,cell
g10039__5526,g10039__5526/Y,cell,pin
g10040__6783/A,g10040__6783,pin,cell
g10040__6783/B,g10040__6783,pin,cell
g10040__6783,g10040__6783/Y,cell,pin
g10041__3680/A,g10041__3680,pin,cell
g10041__3680/B,g10041__3680,pin,cell
g10041__3680,g10041__3680/Y,cell,pin
g10042__1617/A,g10042__1617,pin,cell
g10042__1617/B,g10042__1617,pin,cell
g10042__1617,g10042__1617/Y,cell,pin
g10043__2802/A,g10043__2802,pin,cell
g10043__2802/B,g10043__2802,pin,cell
g10043__2802,g10043__2802/Y,cell,pin
g10044__1705/A,g10044__1705,pin,cell
g10044__1705/B,g10044__1705,pin,cell
g10044__1705,g10044__1705/Y,cell,pin
g10045__5122/A,g10045__5122,pin,cell
g10045__5122/B,g10045__5122,pin,cell
g10045__5122,g10045__5122/Y,cell,pin
g10046__8246/A,g10046__8246,pin,cell
g10046__8246/B,g10046__8246,pin,cell
g10046__8246,g10046__8246/Y,cell,pin
g10047__7098/A,g10047__7098,pin,cell
g10047__7098/B,g10047__7098,pin,cell
g10047__7098,g10047__7098/Y,cell,pin
g10048__6131/A,g10048__6131,pin,cell
g10048__6131/B,g10048__6131,pin,cell
g10048__6131,g10048__6131/Y,cell,pin
g10049__1881/A,g10049__1881,pin,cell
g10049__1881/B,g10049__1881,pin,cell
g10049__1881,g10049__1881/Y,cell,pin
g10050__5115/A,g10050__5115,pin,cell
g10050__5115/B,g10050__5115,pin,cell
g10050__5115,g10050__5115/Y,cell,pin
g10051__7482/A,g10051__7482,pin,cell
g10051__7482/B,g10051__7482,pin,cell
g10051__7482,g10051__7482/Y,cell,pin
g10052__4733/A,g10052__4733,pin,cell
g10052__4733/B,g10052__4733,pin,cell
g10052__4733,g10052__4733/Y,cell,pin
g10053__6161/A,g10053__6161,pin,cell
g10053__6161/B,g10053__6161,pin,cell
g10053__6161,g10053__6161/Y,cell,pin
g10054__9315/A,g10054__9315,pin,cell
g10054__9315/B,g10054__9315,pin,cell
g10054__9315,g10054__9315/Y,cell,pin
g10055__9945/A,g10055__9945,pin,cell
g10055__9945/B,g10055__9945,pin,cell
g10055__9945,g10055__9945/Y,cell,pin
g10056__2883/A,g10056__2883,pin,cell
g10056__2883/B,g10056__2883,pin,cell
g10056__2883,g10056__2883/Y,cell,pin
g10057__2346/A,g10057__2346,pin,cell
g10057__2346/B,g10057__2346,pin,cell
g10057__2346,g10057__2346/Y,cell,pin
g10058__1666/A,g10058__1666,pin,cell
g10058__1666/B,g10058__1666,pin,cell
g10058__1666,g10058__1666/Y,cell,pin
g10059__7410/A,g10059__7410,pin,cell
g10059__7410/B,g10059__7410,pin,cell
g10059__7410,g10059__7410/Y,cell,pin
g10060__6417/A,g10060__6417,pin,cell
g10060__6417/B,g10060__6417,pin,cell
g10060__6417,g10060__6417/Y,cell,pin
g10061__5477/A,g10061__5477,pin,cell
g10061__5477/B,g10061__5477,pin,cell
g10061__5477,g10061__5477/Y,cell,pin
g10062__2398/A,g10062__2398,pin,cell
g10062__2398/B,g10062__2398,pin,cell
g10062__2398,g10062__2398/Y,cell,pin
g10063__5107/A,g10063__5107,pin,cell
g10063__5107/B,g10063__5107,pin,cell
g10063__5107,g10063__5107/Y,cell,pin
g10064__6260/A,g10064__6260,pin,cell
g10064__6260/B,g10064__6260,pin,cell
g10064__6260,g10064__6260/Y,cell,pin
g10065__4319/A,g10065__4319,pin,cell
g10065__4319/B,g10065__4319,pin,cell
g10065__4319,g10065__4319/Y,cell,pin
g10066__8428/A,g10066__8428,pin,cell
g10066__8428/B,g10066__8428,pin,cell
g10066__8428,g10066__8428/Y,cell,pin
g10067__5526/A,g10067__5526,pin,cell
g10067__5526/B,g10067__5526,pin,cell
g10067__5526,g10067__5526/Y,cell,pin
g10069__3680/A,g10069__3680,pin,cell
g10069__3680/B,g10069__3680,pin,cell
g10069__3680,g10069__3680/Y,cell,pin
g10070__1617/A,g10070__1617,pin,cell
g10070__1617/B,g10070__1617,pin,cell
g10070__1617,g10070__1617/Y,cell,pin
g10071__2802/A,g10071__2802,pin,cell
g10071__2802/B,g10071__2802,pin,cell
g10071__2802,g10071__2802/Y,cell,pin
g10072__1705/A,g10072__1705,pin,cell
g10072__1705/B,g10072__1705,pin,cell
g10072__1705,g10072__1705/Y,cell,pin
g10073__5122/A,g10073__5122,pin,cell
g10073__5122/B,g10073__5122,pin,cell
g10073__5122,g10073__5122/Y,cell,pin
g10074__8246/A,g10074__8246,pin,cell
g10074__8246/B,g10074__8246,pin,cell
g10074__8246,g10074__8246/Y,cell,pin
g10075__7098/A,g10075__7098,pin,cell
g10075__7098/B,g10075__7098,pin,cell
g10075__7098,g10075__7098/Y,cell,pin
g10076__6131/A,g10076__6131,pin,cell
g10076__6131/B,g10076__6131,pin,cell
g10076__6131,g10076__6131/Y,cell,pin
g10077__1881/A,g10077__1881,pin,cell
g10077__1881/B,g10077__1881,pin,cell
g10077__1881,g10077__1881/Y,cell,pin
g10078__5115/A,g10078__5115,pin,cell
g10078__5115/B,g10078__5115,pin,cell
g10078__5115,g10078__5115/Y,cell,pin
g10080__4733/A,g10080__4733,pin,cell
g10080__4733/B,g10080__4733,pin,cell
g10080__4733,g10080__4733/Y,cell,pin
g10081__6161/A,g10081__6161,pin,cell
g10081__6161/B,g10081__6161,pin,cell
g10081__6161,g10081__6161/Y,cell,pin
g10082__9315/A,g10082__9315,pin,cell
g10082__9315/B,g10082__9315,pin,cell
g10082__9315,g10082__9315/Y,cell,pin
g10083__9945/A,g10083__9945,pin,cell
g10083__9945/B,g10083__9945,pin,cell
g10083__9945,g10083__9945/Y,cell,pin
g10084__2883/A,g10084__2883,pin,cell
g10084__2883/B,g10084__2883,pin,cell
g10084__2883,g10084__2883/Y,cell,pin
g10085__2346/A,g10085__2346,pin,cell
g10085__2346/B,g10085__2346,pin,cell
g10085__2346,g10085__2346/Y,cell,pin
g10086__1666/A,g10086__1666,pin,cell
g10086__1666/B,g10086__1666,pin,cell
g10086__1666,g10086__1666/Y,cell,pin
g10087__7410/A,g10087__7410,pin,cell
g10087__7410/B,g10087__7410,pin,cell
g10087__7410,g10087__7410/Y,cell,pin
g10088__6417/A,g10088__6417,pin,cell
