cell_name,is_seq,is_macro,is_in_clk,x0,y0,x1,y1,is_filler,is_buf,is_inv,libcell_name,cell_static_power,cell_dynamic_power
g10000__2883,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.2235989998998775e-08,3.14659551747809e-08
g10001__2346,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.2158978712761837e-08,2.3299577378566028e-08
g10002__1666,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.2121033066136988e-08,1.8648947275323735e-08
g10003__7410,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.2198439591770693e-08,2.6934142027812413e-08
g10004__6417,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.2080264788494333e-08,9.642274534371609e-09
g10006__2398,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.2274350424945624e-08,3.429009254318771e-08
g10007__5107,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.2158978712761837e-08,2.3300804841142053e-08
g10008__6260,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.223650869519588e-08,2.9260863954050365e-08
g10009__4319,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.2235989998998775e-08,3.14659551747809e-08
g10010__8428,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.2235480184585867e-08,3.104127088704445e-08
g10011__5526,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.219847955979958e-08,2.435057666616558e-08
g10012__6783,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.2198439591770693e-08,2.6934142027812413e-08
g10013__3680,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.2080264788494333e-08,9.642949549970581e-09
g10014__1617,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.2198606569313597e-08,2.6829592769672672e-08
g10016__1705,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.2198664300910878e-08,2.448116731557093e-08
g10017__5122,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.2158978712761837e-08,2.3300804841142053e-08
g10018__8246,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.3282921429436101e-08,2.7368261612537026e-07
g10019__7098,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.3301903578621932e-08,1.905168289795256e-07
g10020__6131,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.21600365332597e-08,2.1319888077186988e-08
g10021__1881,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.2121033066136988e-08,1.8649874533593902e-08
g10022__5115,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.3304942925174146e-08,2.286637368342781e-07
g10023__7482,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.2080264788494333e-08,9.642949549970581e-09
g10024__4733,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.330332910498555e-08,1.891255578811979e-07
g10025__6161,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.33567930049594e-08,2.2928503540242673e-07
g10026__9315,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.2121033066136988e-08,1.607033617290199e-08
g10028__2883,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.3325179182288593e-08,2.654865909335058e-07
g10029__2346,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.3179546343167203e-08,1.994567924157309e-07
g10030__1666,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.3282921429436101e-08,2.73689664709309e-07
g10031__7410,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.3016030919743571e-08,1.9023281083718757e-07
g10032__6417,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.271022664894872e-08,1.1080149420195085e-07
g10033__5477,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.231295154724421e-08,4.270610887147086e-08
g10034__2398,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.2274872673856407e-08,4.3695884244243643e-08
g10035__5107,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.2158978712761837e-08,2.0817072510226353e-08
g10036__6260,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.2080263900315913e-08,1.0499643821049176e-08
g10037__4319,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.2237023838679306e-08,3.182128693879349e-08
g10038__8428,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.2198664300910878e-08,2.4479909654928633e-08
g10039__5526,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.21600365332597e-08,1.9595111311332403e-08
g10040__6783,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.2121033066136988e-08,1.709704733343642e-08
g10041__3680,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.203957467055261e-08,5.3731747939878005e-09
g10042__1617,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.3304942925174146e-08,2.2867124016556772e-07
g10043__2802,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.21600365332597e-08,2.131890042278428e-08
g10044__1705,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.2121033066136988e-08,1.606959010302944e-08
g10045__5122,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.330332910498555e-08,2.1090610857754655e-07
g10046__8246,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.2080263900315913e-08,1.0499137559349947e-08
g10047__7098,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.203957467055261e-08,5.372933653546852e-09
g10048__6131,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.3270215148963871e-08,2.419209863546712e-07
g10049__1881,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.33567930049594e-08,2.3110182212349173e-07
g10050__5115,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.3270215148963871e-08,2.419116356122686e-07
g10051__7482,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.3325179182288593e-08,2.654943500601803e-07
g10052__4733,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.329243204395425e-08,1.9489016267471015e-07
g10053__6161,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.2080264788494333e-08,1.0642043690722858e-08
g10054__9315,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.3179546343167203e-08,1.9946398310821678e-07
g10055__9945,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.3298226519964373e-08,2.097272897572111e-07
g10056__2883,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.3351741046108145e-08,2.3236245283442258e-07
g10057__2346,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.3016030919743571e-08,1.9023869413103967e-07
g10058__1666,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.3370964779824135e-08,2.2266360133471608e-07
g10059__7410,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.317496511887839e-08,2.268961338813824e-07
g10060__6417,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.271022664894872e-08,1.1080560113896354e-07
g10061__5477,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.3015140076788612e-08,1.831437828059279e-07
g10062__2398,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.2709075569716788e-08,9.671271072875243e-08
g10063__5107,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.231295154724421e-08,4.2708023784143734e-08
g10064__6260,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.231197899187464e-08,4.355278093726156e-08
g10065__4319,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.2274815830437547e-08,3.811710769241472e-08
g10066__8428,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.3354943817489584e-08,2.295919898642751e-07
g10067__5526,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.2121033066136988e-08,1.4216901433883322e-08
g10069__3680,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.329243204395425e-08,1.949003092249768e-07
g10070__1617,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.2274872673856407e-08,4.3697482965399104e-08
g10071__2802,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.223650869519588e-08,3.242672619307996e-08
g10072__1705,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.219847955979958e-08,2.6321387736061297e-08
g10073__5122,0,0,0,0,0,324,270,0,0,0,AND2x2_ASAP7_75t_SL,1.2237023838679306e-08,3.18227435514018e-08
