src,tar,src_type,tar_type,is_net,arc_delay
g10000__2883/A,g10000__2883/Y,pin,pin,0,2.418465e-11
g10000__2883/B,g10000__2883/Y,pin,pin,0,1.7239481e-11
g10001__2346/A,g10001__2346/Y,pin,pin,0,2.5318769e-11
g10001__2346/B,g10001__2346/Y,pin,pin,0,1.8254862e-11
g10002__1666/A,g10002__1666/Y,pin,pin,0,2.5936777e-11
g10002__1666/B,g10002__1666/Y,pin,pin,0,1.9359545e-11
g10003__7410/A,g10003__7410/Y,pin,pin,0,2.4438383000000002e-11
g10003__7410/B,g10003__7410/Y,pin,pin,0,1.7338314e-11
g10004__6417/A,g10004__6417/Y,pin,pin,0,2.3477537000000002e-11
g10004__6417/B,g10004__6417/Y,pin,pin,0,1.6876007e-11
g10006__2398/A,g10006__2398/Y,pin,pin,0,2.3414423e-11
g10006__2398/B,g10006__2398/Y,pin,pin,0,1.6435993e-11
g10007__5107/A,g10007__5107/Y,pin,pin,0,2.5325047000000002e-11
g10007__5107/B,g10007__5107/Y,pin,pin,0,1.8254862e-11
g10008__6260/A,g10008__6260/Y,pin,pin,0,2.3414423e-11
g10008__6260/B,g10008__6260/Y,pin,pin,0,1.6405882e-11
g10009__4319/A,g10009__4319/Y,pin,pin,0,2.418465e-11
g10009__4319/B,g10009__4319/Y,pin,pin,0,1.7239481e-11
g10010__8428/A,g10010__8428/Y,pin,pin,0,2.4171953e-11
g10010__8428/B,g10010__8428/Y,pin,pin,0,1.6732859000000003e-11
g10011__5526/A,g10011__5526/Y,pin,pin,0,2.360227e-11
g10011__5526/B,g10011__5526/Y,pin,pin,0,1.6398653e-11
g10012__6783/A,g10012__6783/Y,pin,pin,0,2.4438383000000002e-11
g10012__6783/B,g10012__6783/Y,pin,pin,0,1.7338314e-11
g10013__3680/A,g10013__3680/Y,pin,pin,0,2.3483713e-11
g10013__3680/B,g10013__3680/Y,pin,pin,0,1.6876007e-11
g10014__1617/A,g10014__1617/Y,pin,pin,0,2.4421278e-11
g10014__1617/B,g10014__1617/Y,pin,pin,0,1.7276779000000002e-11
g10016__1705/A,g10016__1705/Y,pin,pin,0,2.4154705e-11
g10016__1705/B,g10016__1705/Y,pin,pin,0,1.6370619000000003e-11
g10017__5122/A,g10017__5122/Y,pin,pin,0,2.5325047000000002e-11
g10017__5122/B,g10017__5122/Y,pin,pin,0,1.8254862e-11
g10018__8246/A,g10018__8246/Y,pin,pin,0,2.880842e-11
g10018__8246/B,g10018__8246/Y,pin,pin,0,2.1241776e-11
g10019__7098/A,g10019__7098/Y,pin,pin,0,2.3421495e-11
g10019__7098/B,g10019__7098/Y,pin,pin,0,1.6395494e-11
g10020__6131/A,g10020__6131/Y,pin,pin,0,2.4877382e-11
g10020__6131/B,g10020__6131/Y,pin,pin,0,1.7488371e-11
g10021__1881/A,g10021__1881/Y,pin,pin,0,2.5943075e-11
g10021__1881/B,g10021__1881/Y,pin,pin,0,1.9359545e-11
g10022__5115/A,g10022__5115/Y,pin,pin,0,2.665683e-11
g10022__5115/B,g10022__5115/Y,pin,pin,0,1.8923122e-11
g10023__7482/A,g10023__7482/Y,pin,pin,0,2.3483713e-11
g10023__7482/B,g10023__7482/Y,pin,pin,0,1.6876007e-11
g10024__4733/A,g10024__4733/Y,pin,pin,0,2.4041512999999996e-11
g10024__4733/B,g10024__4733/Y,pin,pin,0,1.6166686999999998e-11
g10025__6161/A,g10025__6161/Y,pin,pin,0,2.4974744999999998e-11
g10025__6161/B,g10025__6161/Y,pin,pin,0,1.7391649e-11
g10026__9315/A,g10026__9315/Y,pin,pin,0,2.510277e-11
g10026__9315/B,g10026__9315/Y,pin,pin,0,1.7668007e-11
g10028__2883/A,g10028__2883/Y,pin,pin,0,2.6042494e-11
g10028__2883/B,g10028__2883/Y,pin,pin,0,1.7710531e-11
g10029__2346/A,g10029__2346/Y,pin,pin,0,2.4861103e-11
g10029__2346/B,g10029__2346/Y,pin,pin,0,1.73151e-11
g10030__1666/A,g10030__1666/Y,pin,pin,0,2.8812062999999997e-11
g10030__1666/B,g10030__1666/Y,pin,pin,0,2.1241776e-11
g10031__7410/A,g10031__7410/Y,pin,pin,0,2.6421925999999998e-11
g10031__7410/B,g10031__7410/Y,pin,pin,0,1.8236317e-11
g10032__6417/A,g10032__6417/Y,pin,pin,0,2.6421885e-11
g10032__6417/B,g10032__6417/Y,pin,pin,0,1.8613738999999998e-11
g10033__5477/A,g10033__5477/Y,pin,pin,0,2.4861103e-11
g10033__5477/B,g10033__5477/Y,pin,pin,0,1.7067537000000002e-11
g10034__2398/A,g10034__2398/Y,pin,pin,0,2.6421885e-11
g10034__2398/B,g10034__2398/Y,pin,pin,0,1.8715004e-11
g10035__5107/A,g10035__5107/Y,pin,pin,0,2.4184603e-11
g10035__5107/B,g10035__5107/Y,pin,pin,0,1.7186773e-11
g10036__6260/A,g10036__6260/Y,pin,pin,0,2.4675855999999998e-11
g10036__6260/B,g10036__6260/Y,pin,pin,0,1.7697735000000002e-11
g10037__4319/A,g10037__4319/Y,pin,pin,0,2.4861103e-11
g10037__4319/B,g10037__4319/Y,pin,pin,0,1.7025742999999997e-11
g10038__8428/A,g10038__8428/Y,pin,pin,0,2.4151176e-11
g10038__8428/B,g10038__8428/Y,pin,pin,0,1.6370619000000003e-11
g10039__5526/A,g10039__5526/Y,pin,pin,0,2.3414423e-11
g10039__5526/B,g10039__5526/Y,pin,pin,0,1.6641624e-11
g10040__6783/A,g10040__6783/Y,pin,pin,0,2.5096855e-11
g10040__6783/B,g10040__6783/Y,pin,pin,0,1.8670677000000002e-11
g10041__3680/A,g10041__3680/Y,pin,pin,0,1.6480175e-11
g10041__3680/B,g10041__3680/Y,pin,pin,0,2.3375767e-11
