pin_name,x,y,is_in_clk,is_port,is_startpoint,is_endpoint,dir,maxcap,maxtran,num_reachable_endpoint,cell_name,net_name,pin_tran,pin_slack,pin_rise_arr,pin_fall_arr,input_pin_cap
g10000__2883/A,135,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,g10000__2883,n_2188,6.039085204134764e-11,8.4401999278505e-11,1.224466361637866e-10,1.0918813075910805e-10,5.242360496544158e-16
g10000__2883/B,39,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,g10000__2883,u_NV_NVDLA_cmac_u_core_u_mac_2_n_628,2.024614156881377e-11,1.616229372558564e-11,1.8973439486202892e-10,1.8557638759020278e-10,5.657799981623646e-16
g10000__2883/Y,248,135,0,-1,0,0,1,9.216000358691634e-14,3.999999886872274e-09,0,g10000__2883,u_NV_NVDLA_cmac_u_core_u_mac_2_n_629,1.3282175706508248e-11,1.6162279847797834e-11,2.0688756263709251e-10,2.0281587520543098e-10,-1
g10001__2346/A,135,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,g10001__2346,n_2187,6.035612287735859e-11,3.778437285273384e-11,1.2137638116804794e-10,1.0838299702164989e-10,5.242360496544158e-16
g10001__2346/B,39,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,g10001__2346,u_NV_NVDLA_cmac_u_core_u_mac_0_n_632,1.9542239354519708e-11,2.8599761447978267e-12,1.5609867565213875e-10,1.5240074480171728e-10,5.657799981623646e-16
g10001__2346/Y,248,135,0,-1,0,0,1,9.216000358691634e-14,3.999999886872274e-09,0,g10001__2346,u_NV_NVDLA_cmac_u_core_u_mac_0_n_633,1.5392275995451676e-11,2.8599761447978267e-12,1.743489103089857e-10,1.7065560076190422e-10,-1
g10002__1666/A,135,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,g10002__1666,n_2187,6.035612287735859e-11,9.948403212334256e-12,1.2137638116804794e-10,1.0838299702164989e-10,5.242360496544158e-16
g10002__1666/B,39,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,g10002__1666,u_NV_NVDLA_cmac_u_core_u_mac_0_n_634,2.2857864906411507e-11,8.029382714269673e-12,1.2239731450591762e-10,1.229179674711034e-10,5.657799981623646e-16
g10002__1666/Y,248,135,0,-1,0,0,1,9.216000358691634e-14,3.999999886872274e-09,0,g10002__1666,u_NV_NVDLA_cmac_u_core_u_mac_0_n_635,1.6673697145197508e-11,8.029382714269673e-12,1.416529393782895e-10,1.4227750921858018e-10,-1
g10003__7410/A,135,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,g10003__7410,n_2188,6.039085204134764e-11,7.78875991480632e-11,1.224466361637866e-10,1.0918813075910805e-10,5.242360496544158e-16
g10003__7410/B,39,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,g10003__7410,u_NV_NVDLA_cmac_u_core_u_mac_2_n_630,1.9787234351031913e-11,2.7489691079018996e-11,1.6332839247734654e-10,1.6716684980710994e-10,5.657799981623646e-16
g10003__7410/Y,248,135,0,-1,0,0,1,9.216000358691634e-14,3.999999886872274e-09,0,g10003__7410,u_NV_NVDLA_cmac_u_core_u_mac_2_n_631,1.3711010625472309e-11,2.7489691079018996e-11,1.8066670381955419e-10,1.8435152016049727e-10,-1
g10004__6417/A,135,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,g10004__6417,n_2187,6.035612287735859e-11,9.846248816280934e-12,1.2137638116804794e-10,1.0838299702164989e-10,5.242360496544158e-16
g10004__6417/B,39,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,g10004__6417,u_NV_NVDLA_cmac_u_core_u_mac_0_n_636,2.5239027881540643e-11,3.2132137228746416e-11,9.82636957913563e-11,8.558277003745118e-11,5.657799981623646e-16
g10004__6417/Y,248,135,0,-1,0,0,1,9.216000358691634e-14,3.999999886872274e-09,0,g10004__6417,u_NV_NVDLA_cmac_u_core_u_mac_0_n_637,1.1947876715767691e-11,9.846248816280934e-12,1.374255848007877e-10,1.3186053637870288e-10,-1
g10006__2398/A,135,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,g10006__2398,n_2192,6.118450190939484e-11,7.578583594014532e-11,1.22806431690492e-10,1.0950934603570772e-10,5.242360496544158e-16
g10006__2398/B,39,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,g10006__2398,u_NV_NVDLA_cmac_u_core_u_mac_3_n_562,1.9078334398403562e-11,2.3993446118808492e-12,1.957658896101222e-10,1.9436439957498663e-10,5.657799981623646e-16
g10006__2398/Y,248,135,0,-1,0,0,1,9.216000358691634e-14,3.999999886872274e-09,0,g10006__2398,u_NV_NVDLA_cmac_u_core_u_mac_3_n_563,1.1998889729025741e-11,2.3993446118808492e-12,2.1200849409375166e-10,2.10800391031718e-10,-1
g10007__5107/A,135,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,g10007__5107,n_2188,6.039085204134764e-11,3.670926063126245e-11,1.224466361637866e-10,1.0918813075910805e-10,5.242360496544158e-16
g10007__5107/B,39,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,g10007__5107,u_NV_NVDLA_cmac_u_core_u_mac_2_n_632,1.9542239354519708e-11,2.8557434195164433e-12,1.5609867565213875e-10,1.5240074480171728e-10,5.657799981623646e-16
g10007__5107/Y,248,135,0,-1,0,0,1,9.216000358691634e-14,3.999999886872274e-09,0,g10007__5107,u_NV_NVDLA_cmac_u_core_u_mac_2_n_633,1.5393415708775393e-11,2.8557434195164433e-12,1.743489103089857e-10,1.7065560076190422e-10,-1
g10008__6260/A,135,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,g10008__6260,n_2192,6.118450190939484e-11,6.881833991556618e-11,1.22806431690492e-10,1.0950934603570772e-10,5.242360496544158e-16
g10008__6260/B,39,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,g10008__6260,u_NV_NVDLA_cmac_u_core_u_mac_3_n_564,2.017987686675493e-11,4.450190216331862e-13,1.8579814076158385e-10,1.8669443768715155e-10,5.657799981623646e-16
g10008__6260/Y,248,135,0,-1,0,0,1,9.216000358691634e-14,3.999999886872274e-09,0,g10008__6260,u_NV_NVDLA_cmac_u_core_u_mac_3_n_565,1.1998889729025741e-11,4.450190216331862e-13,2.0220401741877225e-10,2.0305722381319669e-10,-1
g10009__4319/A,135,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,g10009__4319,n_2190,6.039085898024155e-11,8.4401999278505e-11,1.224466361637866e-10,1.0918813075910805e-10,5.242360496544158e-16
g10009__4319/B,39,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,g10009__4319,u_NV_NVDLA_cmac_u_core_u_mac_3_n_628,2.024614156881377e-11,1.616229372558564e-11,1.8973439486202892e-10,1.8557638759020278e-10,5.657799981623646e-16
g10009__4319/Y,248,135,0,-1,0,0,1,9.216000358691634e-14,3.999999886872274e-09,0,g10009__4319,u_NV_NVDLA_cmac_u_core_u_mac_3_n_629,1.3282175706508248e-11,1.6162279847797834e-11,2.0688756263709251e-10,2.0281587520543098e-10,-1
g10010__8428/A,135,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,g10010__8428,n_2175,6.039085204134764e-11,8.478609481166188e-11,1.224466361637866e-10,1.0918813075910805e-10,5.242360496544158e-16
g10010__8428/B,39,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,g10010__8428,u_NV_NVDLA_cmac_u_core_u_mac_3_n_724,1.7646105063273687e-11,1.0457454346912698e-11,1.8876712692961206e-10,1.9166215836641243e-10,5.657799981623646e-16
