cell_name,is_seq,is_macro,is_in_clk,x0,y0,x1,y1,is_filler,is_buf,is_inv,libcell_name,cell_static_power,cell_dynamic_power
g10000__2883,0,0,0,60030,42804,60354,43074,0,0,0,AND2x2_ASAP7_75t_SL,1.2235989998998775e-08,4.300871836449005e-08
g10001__2346,0,0,0,40266,26334,40590,26604,0,0,0,AND2x2_ASAP7_75t_SL,1.2158978712761837e-08,2.9721251237901924e-08
g10002__1666,0,0,0,41076,26604,41400,26874,0,0,0,AND2x2_ASAP7_75t_SL,1.2121033066136988e-08,2.5646631485187754e-08
g10003__7410,0,0,0,60030,43074,60354,43344,0,0,0,AND2x2_ASAP7_75t_SL,1.2198439591770693e-08,3.3921388364888116e-08
g10004__6417,0,0,0,40428,26604,40752,26874,0,0,0,AND2x2_ASAP7_75t_SL,1.2080264788494333e-08,1.232186797039958e-08
g10006__2398,0,0,0,26982,50094,27306,50364,0,0,0,AND2x2_ASAP7_75t_SL,1.2274350424945624e-08,4.9422819614619584e-08
g10007__5107,0,0,0,59166,43344,59490,43614,0,0,0,AND2x2_ASAP7_75t_SL,1.2158978712761837e-08,2.95340214506723e-08
g10008__6260,0,0,0,27414,49014,27738,49284,0,0,0,AND2x2_ASAP7_75t_SL,1.223650869519588e-08,4.227607774964781e-08
g10009__4319,0,0,0,43344,42804,43668,43074,0,0,0,AND2x2_ASAP7_75t_SL,1.2235989998998775e-08,3.5815361343338736e-08
g10010__8428,0,0,0,47448,59274,47772,59544,0,0,0,AND2x2_ASAP7_75t_SL,1.2235480184585867e-08,4.8801183538671467e-08
g10011__5526,0,0,0,28494,48744,28818,49014,0,0,0,AND2x2_ASAP7_75t_SL,1.219847955979958e-08,3.622375288614421e-08
g10012__6783,0,0,0,43020,42804,43344,43074,0,0,0,AND2x2_ASAP7_75t_SL,1.2198439591770693e-08,2.9359663145100967e-08
g10013__3680,0,0,0,57222,43074,57546,43344,0,0,0,AND2x2_ASAP7_75t_SL,1.2080264788494333e-08,1.3657924569088209e-08
g10014__1617,0,0,0,49662,58734,49986,59004,0,0,0,AND2x2_ASAP7_75t_SL,1.2198606569313597e-08,4.190380309410102e-08
g10016__1705,0,0,0,39348,43884,39672,44154,0,0,0,AND2x2_ASAP7_75t_SL,1.2198664300910878e-08,2.851357905342411e-08
g10017__5122,0,0,0,42210,43074,42534,43344,0,0,0,AND2x2_ASAP7_75t_SL,1.2158978712761837e-08,2.490505934815701e-08
g10018__8246,0,0,0,38646,34974,38970,35244,0,0,0,AND2x2_ASAP7_75t_SL,1.3282921429436101e-08,4.590248181557399e-07
g10019__7098,0,0,0,26928,52524,27252,52794,0,0,0,AND2x2_ASAP7_75t_SL,1.3301903578621932e-08,2.5167577177853673e-07
g10020__6131,0,0,0,39672,43884,39996,44154,0,0,0,AND2x2_ASAP7_75t_SL,1.21600365332597e-08,2.614333993733453e-08
g10021__1881,0,0,0,41562,43074,41886,43344,0,0,0,AND2x2_ASAP7_75t_SL,1.2121033066136988e-08,2.0120475952012384e-08
g10022__5115,0,0,0,39186,35784,39510,36054,0,0,0,AND2x2_ASAP7_75t_SL,1.3304942925174146e-08,3.052273314096965e-07
g10023__7482,0,0,0,41778,42804,42102,43074,0,0,0,AND2x2_ASAP7_75t_SL,1.2080264788494333e-08,1.0792594373754127e-08
g10024__4733,0,0,0,39240,35244,39564,35514,0,0,0,AND2x2_ASAP7_75t_SL,1.330332910498555e-08,3.341027081660286e-07
g10025__6161,0,0,0,38430,37674,38754,37944,0,0,0,AND2x2_ASAP7_75t_SL,1.33567930049594e-08,3.776793278120749e-07
g10026__9315,0,0,0,39510,44424,39834,44694,0,0,0,AND2x2_ASAP7_75t_SL,1.2121033066136988e-08,1.80328108001504e-08
g10028__2883,0,0,0,38646,34704,38970,34974,0,0,0,AND2x2_ASAP7_75t_SL,1.3325179182288593e-08,3.5599805414676666e-07
g10029__2346,0,0,0,38700,34434,39024,34704,0,0,0,AND2x2_ASAP7_75t_SL,1.3179546343167203e-08,2.7513340228324523e-07
g10030__1666,0,0,0,38700,39294,39024,39564,0,0,0,AND2x2_ASAP7_75t_SL,1.3282921429436101e-08,4.961975150763465e-07
g10031__7410,0,0,0,38322,34974,38646,35244,0,0,0,AND2x2_ASAP7_75t_SL,1.3016030919743571e-08,2.579166675786837e-07
g10032__6417,0,0,0,38322,34704,38646,34974,0,0,0,AND2x2_ASAP7_75t_SL,1.271022664894872e-08,1.4922909485903801e-07
g10033__5477,0,0,0,38214,36594,38538,36864,0,0,0,AND2x2_ASAP7_75t_SL,1.231295154724421e-08,5.967248029037364e-08
g10034__2398,0,0,0,38916,35244,39240,35514,0,0,0,AND2x2_ASAP7_75t_SL,1.2274872673856407e-08,6.039221034370712e-08
g10035__5107,0,0,0,50850,58734,51174,59004,0,0,0,AND2x2_ASAP7_75t_SL,1.2158978712761837e-08,3.3042109492953387e-08
g10036__6260,0,0,0,39186,45774,39510,46044,0,0,0,AND2x2_ASAP7_75t_SL,1.2080263900315913e-08,1.2139535598976181e-08
g10037__4319,0,0,0,39348,36054,39672,36324,0,0,0,AND2x2_ASAP7_75t_SL,1.2237023838679306e-08,4.5279278992893524e-08
g10038__8428,0,0,0,39510,36594,39834,36864,0,0,0,AND2x2_ASAP7_75t_SL,1.2198664300910878e-08,3.6005516790282854e-08
g10039__5526,0,0,0,28818,48744,29142,49014,0,0,0,AND2x2_ASAP7_75t_SL,1.21600365332597e-08,2.984699065677887e-08
g10040__6783,0,0,0,49986,58734,50310,59004,0,0,0,AND2x2_ASAP7_75t_SL,1.2121033066136988e-08,2.427182366204761e-08
g10041__3680,0,0,0,38808,45504,39132,45774,0,0,0,AND2x2_ASAP7_75t_SL,1.203957467055261e-08,6.341655645059063e-09
g10042__1617,0,0,0,39024,39294,39348,39564,0,0,0,AND2x2_ASAP7_75t_SL,1.3304942925174146e-08,3.9901976833789377e-07
g10043__2802,0,0,0,39348,37404,39672,37674,0,0,0,AND2x2_ASAP7_75t_SL,1.21600365332597e-08,3.065787979039669e-08
g10044__1705,0,0,0,39240,37944,39564,38214,0,0,0,AND2x2_ASAP7_75t_SL,1.2121033066136988e-08,2.2568837465541947e-08
g10045__5122,0,0,0,38970,39024,39294,39294,0,0,0,AND2x2_ASAP7_75t_SL,1.330332910498555e-08,4.871984060628165e-07
g10046__8246,0,0,0,39078,38214,39402,38484,0,0,0,AND2x2_ASAP7_75t_SL,1.2080263900315913e-08,1.4682187909897948e-08
g10047__7098,0,0,0,38916,37944,39240,38214,0,0,0,AND2x2_ASAP7_75t_SL,1.203957467055261e-08,7.755232900308329e-09
g10048__6131,0,0,0,30060,40914,30384,41184,0,0,0,AND2x2_ASAP7_75t_SL,1.3270215148963871e-08,4.030767399854085e-07
g10049__1881,0,0,0,38754,39564,39078,39834,0,0,0,AND2x2_ASAP7_75t_SL,1.33567930049594e-08,4.897197527498065e-07
g10050__5115,0,0,0,34596,51714,34920,51984,0,0,0,AND2x2_ASAP7_75t_SL,1.3270215148963871e-08,3.490870881250885e-07
g10051__7482,0,0,0,38646,39834,38970,40104,0,0,0,AND2x2_ASAP7_75t_SL,1.3325179182288593e-08,5.590869704974466e-07
g10052__4733,0,0,0,34704,51984,35028,52254,0,0,0,AND2x2_ASAP7_75t_SL,1.329243204395425e-08,2.836727048816101e-07
g10053__6161,0,0,0,49716,58464,50040,58734,0,0,0,AND2x2_ASAP7_75t_SL,1.2080264788494333e-08,1.5597985125737068e-08
g10054__9315,0,0,0,38700,40104,39024,40374,0,0,0,AND2x2_ASAP7_75t_SL,1.3179546343167203e-08,3.684868374875805e-07
g10055__9945,0,0,0,36648,51714,36972,51984,0,0,0,AND2x2_ASAP7_75t_SL,1.3298226519964373e-08,3.040391902686679e-07
g10056__2883,0,0,0,35136,51444,35460,51714,0,0,0,AND2x2_ASAP7_75t_SL,1.3351741046108145e-08,3.2901340318858274e-07
g10057__2346,0,0,0,38484,40374,38808,40644,0,0,0,AND2x2_ASAP7_75t_SL,1.3016030919743571e-08,3.3251285458391067e-07
g10058__1666,0,0,0,35568,50634,35892,50904,0,0,0,AND2x2_ASAP7_75t_SL,1.3370964779824135e-08,3.1756235330249183e-07
g10059__7410,0,0,0,35622,50364,35946,50634,0,0,0,AND2x2_ASAP7_75t_SL,1.317496511887839e-08,3.0401281492231647e-07
g10060__6417,0,0,0,38808,40374,39132,40644,0,0,0,AND2x2_ASAP7_75t_SL,1.271022664894872e-08,1.8835373793990584e-07
g10061__5477,0,0,0,35730,49824,36054,50094,0,0,0,AND2x2_ASAP7_75t_SL,1.3015140076788612e-08,2.4527622599634924e-07
g10062__2398,0,0,0,35892,49554,36216,49824,0,0,0,AND2x2_ASAP7_75t_SL,1.2709075569716788e-08,1.338471236067562e-07
g10063__5107,0,0,0,40050,41454,40374,41724,0,0,0,AND2x2_ASAP7_75t_SL,1.231295154724421e-08,7.521886402628297e-08
g10064__6260,0,0,0,36108,49014,36432,49284,0,0,0,AND2x2_ASAP7_75t_SL,1.231197899187464e-08,5.985930329188704e-08
g10065__4319,0,0,0,36918,47664,37242,47934,0,0,0,AND2x2_ASAP7_75t_SL,1.2274815830437547e-08,5.2812694661952264e-08
g10066__8428,0,0,0,26712,52794,27036,53064,0,0,0,AND2x2_ASAP7_75t_SL,1.3354943817489584e-08,3.0478616963591776e-07
g10067__5526,0,0,0,29142,48744,29466,49014,0,0,0,AND2x2_ASAP7_75t_SL,1.2121033066136988e-08,1.873233301807886e-08
g10069__3680,0,0,0,30384,40914,30708,41184,0,0,0,AND2x2_ASAP7_75t_SL,1.329243204395425e-08,2.804887628826691e-07
g10070__1617,0,0,0,40050,41994,40374,42264,0,0,0,AND2x2_ASAP7_75t_SL,1.2274872673856407e-08,7.166713800188518e-08
g10071__2802,0,0,0,36864,47934,37188,48204,0,0,0,AND2x2_ASAP7_75t_SL,1.223650869519588e-08,4.4285545897082557e-08
g10072__1705,0,0,0,37080,46314,37404,46584,0,0,0,AND2x2_ASAP7_75t_SL,1.219847955979958e-08,3.7062534374854295e-08
g10073__5122,0,0,0,40374,42534,40698,42804,0,0,0,AND2x2_ASAP7_75t_SL,1.2237023838679306e-08,5.316388751452905e-08
g10074__8246,0,0,0,37188,47394,37512,47664,0,0,0,AND2x2_ASAP7_75t_SL,1.21600365332597e-08,2.9180977634268856e-08
g10075__7098,0,0,0,37026,46044,37350,46314,0,0,0,AND2x2_ASAP7_75t_SL,1.2121033066136988e-08,1.8971734405681673e-08
g10076__6131,0,0,0,30330,40644,30654,40914,0,0,0,AND2x2_ASAP7_75t_SL,1.3298226519964373e-08,3.118765903309395e-07
g10077__1881,0,0,0,40428,42804,40752,43074,0,0,0,AND2x2_ASAP7_75t_SL,1.2198664300910878e-08,4.239691975271853e-08
g10078__5115,0,0,0,36702,45774,37026,46044,0,0,0,AND2x2_ASAP7_75t_SL,1.2082617573128118e-08,1.277055794446369e-08
g10080__4733,0,0,0,40428,43074,40752,43344,0,0,0,AND2x2_ASAP7_75t_SL,1.21600365332597e-08,3.5641129159103e-08
g10081__6161,0,0,0,58734,55494,59058,55764,0,0,0,AND2x2_ASAP7_75t_SL,1.3265275100593499e-08,2.99720312568752e-07
g10082__9315,0,0,0,36972,66294,37296,66564,0,0,0,AND2x2_ASAP7_75t_SL,1.3272654086904367e-08,2.7566838411985373e-07
g10083__9945,0,0,0,30060,41454,30384,41724,0,0,0,AND2x2_ASAP7_75t_SL,1.3351741046108145e-08,3.396401098143542e-07
g10084__2883,0,0,0,40374,43344,40698,43614,0,0,0,AND2x2_ASAP7_75t_SL,1.2121033066136988e-08,2.5795927172111988e-08
g10085__2346,0,0,0,59004,55224,59328,55494,0,0,0,AND2x2_ASAP7_75t_SL,1.3287570155284811e-08,2.348999856849332e-07
g10086__1666,0,0,0,59058,55494,59382,55764,0,0,0,AND2x2_ASAP7_75t_SL,1.3287184685850661e-08,2.6931118668471754e-07
g10087__7410,0,0,0,40050,43614,40374,43884,0,0,0,AND2x2_ASAP7_75t_SL,1.2080263900315913e-08,1.503828173099464e-08
g10088__6417,0,0,0,59382,55494,59706,55764,0,0,0,AND2x2_ASAP7_75t_SL,1.3340278215423496e-08,2.9691670988540864e-07
g10089__5477,0,0,0,59328,55224,59652,55494,0,0,0,AND2x2_ASAP7_75t_SL,1.3319102265541005e-08,3.234088694625825e-07
g10090__2398,0,0,0,30060,42264,30384,42534,0,0,0,AND2x2_ASAP7_75t_SL,1.3370964779824135e-08,3.1073207651388657e-07
g10091__5107,0,0,0,40374,43614,40698,43884,0,0,0,AND2x2_ASAP7_75t_SL,1.203957467055261e-08,8.841251286639817e-09
g10092__6260,0,0,0,59004,55764,59328,56034,0,0,0,AND2x2_ASAP7_75t_SL,1.3173347745976116e-08,2.9144450763851637e-07
g10093__4319,0,0,0,58248,56034,58572,56304,0,0,0,AND2x2_ASAP7_75t_SL,1.3013107036385918e-08,2.2083033002218144e-07
g10094__8428,0,0,0,35838,56844,36162,57114,0,0,0,AND2x2_ASAP7_75t_SL,1.3270215148963871e-08,3.957521244046802e-07
g10095__5526,0,0,0,58140,55764,58464,56034,0,0,0,AND2x2_ASAP7_75t_SL,1.2705624108377833e-08,1.3963523315396742e-07
g10096__6783,0,0,0,57438,56034,57762,56304,0,0,0,AND2x2_ASAP7_75t_SL,1.2312461272756536e-08,6.331520552294023e-08
