src,tar,src_type,tar_type
u_NV_NVDLA_cmac_u_reg_cmac_a2csb_resp_pd_reg\[0\]/QN,cmac_a2csb_resp_pd[0],pin,net
cmac_a2csb_resp_pd[0],g8905__4319/C1,net,pin
cmac_a2csb_resp_pd[0],cmac_a2csb_resp_pd[0],net,port
u_NV_NVDLA_cmac_u_reg_cmac_a2csb_resp_pd_reg\[12\]/QN,cmac_a2csb_resp_pd[12],pin,net
cmac_a2csb_resp_pd[12],g8895__2398/B2,net,pin
cmac_a2csb_resp_pd[12],cmac_a2csb_resp_pd[12],net,port
u_NV_NVDLA_cmac_u_reg_cmac_a2csb_resp_pd_reg\[13\]/QN,cmac_a2csb_resp_pd[13],pin,net
cmac_a2csb_resp_pd[13],g8896__5107/B2,net,pin
cmac_a2csb_resp_pd[13],cmac_a2csb_resp_pd[13],net,port
u_NV_NVDLA_cmac_u_reg_cmac_a2csb_resp_pd_reg\[16\]/QN,cmac_a2csb_resp_pd[16],pin,net
cmac_a2csb_resp_pd[16],g8904__6260/A1,net,pin
cmac_a2csb_resp_pd[16],cmac_a2csb_resp_pd[16],net,port
u_NV_NVDLA_cmac_u_reg_cmac_a2csb_resp_pd_reg\[17\]/QN,cmac_a2csb_resp_pd[17],pin,net
cmac_a2csb_resp_pd[17],g8912__6783/B1,net,pin
cmac_a2csb_resp_pd[17],cmac_a2csb_resp_pd[17],net,port
u_NV_NVDLA_cmac_u_reg_cmac_a2csb_resp_pd_reg\[1\]/QN,cmac_a2csb_resp_pd[1],pin,net
cmac_a2csb_resp_pd[1],g8917__2802/B1,net,pin
cmac_a2csb_resp_pd[1],cmac_a2csb_resp_pd[1],net,port
u_NV_NVDLA_cmac_u_reg_cmac_a2csb_resp_pd_reg\[33\]/QN,cmac_a2csb_resp_pd[33],pin,net
cmac_a2csb_resp_pd[33],g10552__4733/A2,net,pin
cmac_a2csb_resp_pd[33],cmac_a2csb_resp_pd[33],net,port
u_NV_NVDLA_cmac_u_reg_cmac_a2csb_resp_valid_reg/QN,cmac_a2csb_resp_valid,pin,net
cmac_a2csb_resp_valid,cmac_a2csb_resp_valid,net,port
csb2cmac_a_req_pd[0],g11275/B2,net,pin
csb2cmac_a_req_pd[0],csb2cmac_a_req_pd[0],port,net
csb2cmac_a_req_pd[10],csb2cmac_a_req_pd[10],port,net
csb2cmac_a_req_pd[11],csb2cmac_a_req_pd[11],port,net
csb2cmac_a_req_pd[12],csb2cmac_a_req_pd[12],port,net
csb2cmac_a_req_pd[13],csb2cmac_a_req_pd[13],port,net
csb2cmac_a_req_pd[14],csb2cmac_a_req_pd[14],port,net
csb2cmac_a_req_pd[15],csb2cmac_a_req_pd[15],port,net
csb2cmac_a_req_pd[16],csb2cmac_a_req_pd[16],port,net
csb2cmac_a_req_pd[17],csb2cmac_a_req_pd[17],port,net
csb2cmac_a_req_pd[18],csb2cmac_a_req_pd[18],port,net
csb2cmac_a_req_pd[19],csb2cmac_a_req_pd[19],port,net
csb2cmac_a_req_pd[1],g11287/B2,net,pin
csb2cmac_a_req_pd[1],csb2cmac_a_req_pd[1],port,net
csb2cmac_a_req_pd[20],csb2cmac_a_req_pd[20],port,net
csb2cmac_a_req_pd[21],csb2cmac_a_req_pd[21],port,net
csb2cmac_a_req_pd[22],g11280/B2,net,pin
csb2cmac_a_req_pd[22],csb2cmac_a_req_pd[22],port,net
csb2cmac_a_req_pd[23],csb2cmac_a_req_pd[23],port,net
