src,tar,src_type,tar_type,is_net,arc_delay
g10000__2883/A,g10000__2883/Y,pin,pin,0,3.0736229e-11
g10000__2883/B,g10000__2883/Y,pin,pin,0,1.9810379e-11
g10001__2346/A,g10001__2346/Y,pin,pin,0,2.9981337e-11
g10001__2346/B,g10001__2346/Y,pin,pin,0,2.0395761e-11
g10002__1666/A,g10002__1666/Y,pin,pin,0,3.1504066e-11
g10002__1666/B,g10002__1666/Y,pin,pin,0,2.2421356e-11
g10003__7410/A,g10003__7410/Y,pin,pin,0,3.0293721999999996e-11
g10003__7410/B,g10003__7410/Y,pin,pin,0,1.9319237e-11
g10004__6417/A,g10004__6417/Y,pin,pin,0,2.8345524000000002e-11
g10004__6417/B,g10004__6417/Y,pin,pin,0,1.9118322e-11
g10006__2398/A,g10006__2398/Y,pin,pin,0,3.0054192e-11
g10006__2398/B,g10006__2398/Y,pin,pin,0,1.9736948e-11
g10007__5107/A,g10007__5107/Y,pin,pin,0,3.1183399e-11
g10007__5107/B,g10007__5107/Y,pin,pin,0,2.0238329e-11
g10008__6260/A,g10008__6260/Y,pin,pin,0,3.0163664e-11
g10008__6260/B,g10008__6260/Y,pin,pin,0,1.9691603e-11
g10009__4319/A,g10009__4319/Y,pin,pin,0,2.828944e-11
g10009__4319/B,g10009__4319/Y,pin,pin,0,1.8453909e-11
g10010__8428/A,g10010__8428/Y,pin,pin,0,3.1572168e-11
g10010__8428/B,g10010__8428/Y,pin,pin,0,2.1497272e-11
g10011__5526/A,g10011__5526/Y,pin,pin,0,3.0574369e-11
g10011__5526/B,g10011__5526/Y,pin,pin,0,2.0093851000000002e-11
g10012__6783/A,g10012__6783/Y,pin,pin,0,2.8162275e-11
g10012__6783/B,g10012__6783/Y,pin,pin,0,1.8019583e-11
g10013__3680/A,g10013__3680/Y,pin,pin,0,3.0317249e-11
g10013__3680/B,g10013__3680/Y,pin,pin,0,2.0049479999999998e-11
g10014__1617/A,g10014__1617/Y,pin,pin,0,3.1797409e-11
g10014__1617/B,g10014__1617/Y,pin,pin,0,2.1695506999999998e-11
g10016__1705/A,g10016__1705/Y,pin,pin,0,2.9856003e-11
g10016__1705/B,g10016__1705/Y,pin,pin,0,1.7882719e-11
g10017__5122/A,g10017__5122/Y,pin,pin,0,2.8863853e-11
g10017__5122/B,g10017__5122/Y,pin,pin,0,1.8997109999999998e-11
g10018__8246/A,g10018__8246/Y,pin,pin,0,3.6570877000000005e-11
g10018__8246/B,g10018__8246/Y,pin,pin,0,2.7209402e-11
g10019__7098/A,g10019__7098/Y,pin,pin,0,2.9268157999999996e-11
g10019__7098/B,g10019__7098/Y,pin,pin,0,1.8959812e-11
g10020__6131/A,g10020__6131/Y,pin,pin,0,3.1194782e-11
g10020__6131/B,g10020__6131/Y,pin,pin,0,1.9351498e-11
g10021__1881/A,g10021__1881/Y,pin,pin,0,2.9567036e-11
g10021__1881/B,g10021__1881/Y,pin,pin,0,2.0194244e-11
g10022__5115/A,g10022__5115/Y,pin,pin,0,3.2350861e-11
g10022__5115/B,g10022__5115/Y,pin,pin,0,2.2021704e-11
g10023__7482/A,g10023__7482/Y,pin,pin,0,2.7332776999999998e-11
g10023__7482/B,g10023__7482/Y,pin,pin,0,1.7742546e-11
g10024__4733/A,g10024__4733/Y,pin,pin,0,3.2309456e-11
g10024__4733/B,g10024__4733/Y,pin,pin,0,2.1969376e-11
g10025__6161/A,g10025__6161/Y,pin,pin,0,3.2547745e-11
g10025__6161/B,g10025__6161/Y,pin,pin,0,2.2785757e-11
g10026__9315/A,g10026__9315/Y,pin,pin,0,3.0582363e-11
g10026__9315/B,g10026__9315/Y,pin,pin,0,1.8783281e-11
g10028__2883/A,g10028__2883/Y,pin,pin,0,3.1698060999999996e-11
g10028__2883/B,g10028__2883/Y,pin,pin,0,2.0385542000000002e-11
g10029__2346/A,g10029__2346/Y,pin,pin,0,3.0882011e-11
g10029__2346/B,g10029__2346/Y,pin,pin,0,2.0430592999999997e-11
g10030__1666/A,g10030__1666/Y,pin,pin,0,3.7966709e-11
g10030__1666/B,g10030__1666/Y,pin,pin,0,2.8079633999999997e-11
g10031__7410/A,g10031__7410/Y,pin,pin,0,3.2247154000000003e-11
g10031__7410/B,g10031__7410/Y,pin,pin,0,2.1289459e-11
g10032__6417/A,g10032__6417/Y,pin,pin,0,3.2123413e-11
g10032__6417/B,g10032__6417/Y,pin,pin,0,2.1362019e-11
g10033__5477/A,g10033__5477/Y,pin,pin,0,3.0943123e-11
g10033__5477/B,g10033__5477/Y,pin,pin,0,2.0299416e-11
g10034__2398/A,g10034__2398/Y,pin,pin,0,3.2509922e-11
g10034__2398/B,g10034__2398/Y,pin,pin,0,2.1821938e-11
g10035__5107/A,g10035__5107/Y,pin,pin,0,3.1632470999999997e-11
g10035__5107/B,g10035__5107/Y,pin,pin,0,2.1287964e-11
g10036__6260/A,g10036__6260/Y,pin,pin,0,3.0362074e-11
