pin_name,x,y,is_in_clk,is_port,is_startpoint,is_endpoint,dir,maxcap,maxtran,num_reachable_endpoint,cell_name,net_name,pin_tran,pin_slack,pin_rise_arr,pin_fall_arr,input_pin_cap
g10000__2883/A,60165,42939,0,-1,0,0,0,0.0,3.199999987213431e-10,0,g10000__2883,n_2188,8.682339569521247e-11,-6.993322587689477e-10,1.1136886968188264e-09,1.1157328394517663e-09,5.242360496544158e-16
g10000__2883/B,60069,42939,0,-1,0,0,0,0.0,3.199999987213431e-10,0,g10000__2883,u_NV_NVDLA_cmac_u_core_u_mac_2_n_628,2.2012893244327536e-11,-7.973063320676488e-10,1.227867252318049e-09,1.2247106662144347e-09,5.657799981623646e-16
g10000__2883/Y,60278,42939,0,-1,0,0,1,9.216000358691634e-14,3.999999886872274e-09,0,g10000__2883,u_NV_NVDLA_cmac_u_core_u_mac_2_n_629,2.0146082718719427e-11,-7.973063320676488e-10,1.2476776278802504e-09,1.2444431041203075e-09,-1
g10001__2346/A,40401,26469,0,-1,0,0,0,0.0,3.199999987213431e-10,0,g10001__2346,n_2187,7.890649245112513e-11,-3.0144714502355896e-10,1.1580175707237572e-09,1.163882878962852e-09,5.242360496544158e-16
g10001__2346/B,40305,26469,0,-1,0,0,0,0.0,3.199999987213431e-10,0,g10001__2346,u_NV_NVDLA_cmac_u_core_u_mac_0_n_632,2.2278888803239916e-11,-3.892129396554367e-10,1.2576489849536188e-09,1.261353799186793e-09,5.657799981623646e-16
g10001__2346/Y,40514,26469,0,-1,0,0,1,9.216000358691634e-14,3.999999886872274e-09,0,g10001__2346,u_NV_NVDLA_cmac_u_core_u_mac_0_n_633,2.129390587468638e-11,-3.892129396554367e-10,1.278044781116705e-09,1.281630024330127e-09,-1
g10002__1666/A,41211,26739,0,-1,0,0,0,0.0,3.199999987213431e-10,0,g10002__1666,n_2187,7.888622394203182e-11,-3.295145822868051e-10,1.1578592529204457e-09,1.1637263375163798e-09,5.242360496544158e-16
g10002__1666/B,41115,26739,0,-1,0,0,0,0.0,3.199999987213431e-10,0,g10002__1666,u_NV_NVDLA_cmac_u_core_u_mac_0_n_634,2.6051135207372234e-11,-3.8710451510937105e-10,1.2269287807953333e-09,1.2305972907356022e-09,5.657799981623646e-16
g10002__1666/Y,41324,26739,0,-1,0,0,1,9.216000358691634e-14,3.999999886872274e-09,0,g10002__1666,u_NV_NVDLA_cmac_u_core_u_mac_0_n_635,2.519225973662831e-11,-3.871044595982198e-10,1.2493501788668482e-09,1.2528202919526166e-09,-1
g10003__7410/A,60165,43209,0,-1,0,0,0,0.0,3.199999987213431e-10,0,g10003__7410,n_2188,8.673384926938255e-11,-7.137435642512457e-10,1.1133439725696803e-09,1.115393111206231e-09,5.242360496544158e-16
g10003__7410/B,60069,43209,0,-1,0,0,0,0.0,3.199999987213431e-10,0,g10003__7410,u_NV_NVDLA_cmac_u_core_u_mac_2_n_630,2.1895703999907923e-11,-7.810043167744141e-10,1.1903519281375452e-09,1.193807275257086e-09,5.657799981623646e-16
g10003__7410/Y,60278,43209,0,-1,0,0,1,9.216000358691634e-14,3.999999886872274e-09,0,g10003__7410,u_NV_NVDLA_cmac_u_core_u_mac_2_n_631,1.8512344435173134e-11,-7.810042612632628e-10,1.2096711410336525e-09,1.2129475202016238e-09,-1
g10004__6417/A,40563,26739,0,-1,0,0,0,0.0,3.199999987213431e-10,0,g10004__6417,n_2187,7.889651432169131e-11,-3.370387857692947e-10,1.1579416314688729e-09,1.1638078278863873e-09,5.242360496544158e-16
