port_name,net_name,dir,is_startpoint,is_endpoint,x0,y0,x1,y1,tran,slack,rise_arr,fall_arr
cmac_a2csb_resp_pd[0],cmac_a2csb_resp_pd[0],OUTPUT,0,1,94598,47475,94932,47499,8.582350108365944e-11,1.0000000150474662e+30,1.1614219586064678e-09,1.1736783767091197e-09
cmac_a2csb_resp_pd[12],cmac_a2csb_resp_pd[12],OUTPUT,0,1,47568,0,47592,334,2.7880052433371105e-11,1.0000000150474662e+30,1.1311035441607942e-09,1.1439109659505675e-09
cmac_a2csb_resp_pd[13],cmac_a2csb_resp_pd[13],OUTPUT,0,1,47583,0,47601,148,2.8772458374182186e-11,1.0000000150474662e+30,1.1316799719551796e-09,1.1445079328709085e-09
cmac_a2csb_resp_pd[16],cmac_a2csb_resp_pd[16],OUTPUT,0,1,47376,0,47400,334,3.4309437235702234e-11,1.0000000150474662e+30,1.1347570660902306e-09,1.1475848049613546e-09
cmac_a2csb_resp_pd[17],cmac_a2csb_resp_pd[17],OUTPUT,0,1,47367,0,47385,148,3.046189689381862e-11,1.0000000150474662e+30,1.1314083003810538e-09,1.144220274085228e-09
cmac_a2csb_resp_pd[1],cmac_a2csb_resp_pd[1],OUTPUT,0,1,0,47475,334,47499,7.537749591168819e-11,1.0000000150474662e+30,1.1546681388807656e-09,1.1670080457548693e-09
cmac_a2csb_resp_pd[33],cmac_a2csb_resp_pd[33],OUTPUT,0,1,47439,94640,47457,94788,8.640399506987251e-11,1.0000000150474662e+30,1.1552341305787195e-09,1.167351215691781e-09
cmac_a2csb_resp_valid,cmac_a2csb_resp_valid,OUTPUT,0,1,94598,46035,94932,46059,4.498252464957275e-11,1.0000000150474662e+30,1.0347556145262615e-09,1.0461268518113798e-09
csb2cmac_a_req_pd[0],csb2cmac_a_req_pd[0],INPUT,1,0,47871,94640,47889,94788,9.9999998245167e-14,1.0000000150474662e+30,0.0,0.0
csb2cmac_a_req_pd[10],csb2cmac_a_req_pd[10],INPUT,1,0,47856,94454,47880,94788,9.9999998245167e-14,0.0,0.0,0.0
csb2cmac_a_req_pd[11],csb2cmac_a_req_pd[11],INPUT,1,0,47088,0,47112,334,9.9999998245167e-14,0.0,0.0,0.0
csb2cmac_a_req_pd[12],csb2cmac_a_req_pd[12],INPUT,1,0,47079,0,47097,148,9.9999998245167e-14,0.0,0.0,0.0
csb2cmac_a_req_pd[13],csb2cmac_a_req_pd[13],INPUT,1,0,47088,94454,47112,94788,9.9999998245167e-14,0.0,0.0,0.0
csb2cmac_a_req_pd[14],csb2cmac_a_req_pd[14],INPUT,1,0,47079,94640,47097,94788,9.9999998245167e-14,0.0,0.0,0.0
csb2cmac_a_req_pd[15],csb2cmac_a_req_pd[15],INPUT,1,0,94598,47091,94932,47115,9.9999998245167e-14,0.0,0.0,0.0
csb2cmac_a_req_pd[16],csb2cmac_a_req_pd[16],INPUT,1,0,0,47091,334,47115,9.9999998245167e-14,0.0,0.0,0.0
csb2cmac_a_req_pd[17],csb2cmac_a_req_pd[17],INPUT,1,0,94598,47667,94932,47691,9.9999998245167e-14,0.0,0.0,0.0
csb2cmac_a_req_pd[18],csb2cmac_a_req_pd[18],INPUT,1,0,0,47667,334,47691,9.9999998245167e-14,0.0,0.0,0.0
csb2cmac_a_req_pd[19],csb2cmac_a_req_pd[19],INPUT,1,0,47799,0,47817,148,9.9999998245167e-14,0.0,0.0,0.0
csb2cmac_a_req_pd[1],csb2cmac_a_req_pd[1],INPUT,1,0,47060,0,47092,274,9.9999998245167e-14,1.0000000150474662e+30,0.0,0.0
csb2cmac_a_req_pd[20],csb2cmac_a_req_pd[20],INPUT,1,0,47799,94640,47817,94788,9.9999998245167e-14,0.0,0.0,0.0
csb2cmac_a_req_pd[21],csb2cmac_a_req_pd[21],INPUT,1,0,94658,47636,94932,47668,9.9999998245167e-14,0.0,0.0,0.0
csb2cmac_a_req_pd[22],csb2cmac_a_req_pd[22],INPUT,1,0,0,47636,274,47668,9.9999998245167e-14,1.0000000150474662e+30,0.0,0.0
csb2cmac_a_req_pd[23],csb2cmac_a_req_pd[23],INPUT,1,0,94658,47124,94932,47156,9.9999998245167e-14,0.0,0.0,0.0
csb2cmac_a_req_pd[24],csb2cmac_a_req_pd[24],INPUT,1,0,0,47124,274,47156,9.9999998245167e-14,0.0,0.0,0.0
csb2cmac_a_req_pd[25],csb2cmac_a_req_pd[25],INPUT,1,0,47760,0,47784,334,9.9999998245167e-14,0.0,0.0,0.0
csb2cmac_a_req_pd[26],csb2cmac_a_req_pd[26],INPUT,1,0,47151,0,47169,148,9.9999998245167e-14,0.0,0.0,0.0
csb2cmac_a_req_pd[27],csb2cmac_a_req_pd[27],INPUT,1,0,47760,94454,47784,94788,9.9999998245167e-14,0.0,0.0,0.0
csb2cmac_a_req_pd[28],csb2cmac_a_req_pd[28],INPUT,1,0,47151,94640,47169,94788,9.9999998245167e-14,0.0,0.0,0.0
csb2cmac_a_req_pd[29],csb2cmac_a_req_pd[29],INPUT,1,0,94784,47610,94932,47628,9.9999998245167e-14,0.0,0.0,0.0
csb2cmac_a_req_pd[2],csb2cmac_a_req_pd[2],INPUT,1,0,47060,94514,47092,94788,9.9999998245167e-14,1.0000000150474662e+30,0.0,0.0
csb2cmac_a_req_pd[30],csb2cmac_a_req_pd[30],INPUT,1,0,94784,47160,94932,47178,9.9999998245167e-14,0.0,0.0,0.0
csb2cmac_a_req_pd[31],csb2cmac_a_req_pd[31],INPUT,1,0,0,47610,148,47628,9.9999998245167e-14,0.0,0.0,0.0
csb2cmac_a_req_pd[32],csb2cmac_a_req_pd[32],INPUT,1,0,0,47160,148,47178,9.9999998245167e-14,0.0,0.0,0.0
