net_name,net_route_length,net_steiner_length,fanout,total_cap,net_cap,net_coupling,net_res
UNCONNECTED211,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED212,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED213,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED214,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED215,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED216,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED217,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED218,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED219,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED220,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED221,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED222,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED223,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED224,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED225,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED226,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED227,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED228,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED229,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED230,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED231,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED232,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED233,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED234,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED235,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED236,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED237,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED238,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED239,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED240,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED241,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED242,0,-1,0,0.0,0.0,0.0,0.0
