src,tar,src_type,tar_type
u_NV_NVDLA_sdp_u_core_u_NV_NVDLA_SDP_cmux_pipe_p1_cacc2sdp_ready_reg,g252426,cell,cell
u_NV_NVDLA_sdp_u_core_u_NV_NVDLA_SDP_cmux_pipe_p1_cacc2sdp_ready_reg,g251118,cell,cell
u_NV_NVDLA_sdp_u_core_u_NV_NVDLA_SDP_cmux_pipe_p1_cacc2sdp_ready_reg,g250590,cell,cell
u_NV_NVDLA_sdp_u_core_u_NV_NVDLA_SDP_cmux_pipe_p1_cacc2sdp_ready_reg,g249380,cell,cell
u_NV_NVDLA_sdp_u_core_u_NV_NVDLA_SDP_cmux_pipe_p1_cacc2sdp_ready_reg,g249379,cell,cell
u_NV_NVDLA_sdp_u_rdma/u_brdma_u_NV_NVDLA_SDP_RDMA_dmaif_NV_NVDLA_SDP_RDMA_rdrsp_mcif_rd_rsp_ready_reg,u_NV_NVDLA_sdp_u_rdma/g361054,cell,cell
u_NV_NVDLA_sdp_u_rdma/u_brdma_u_NV_NVDLA_SDP_RDMA_dmaif_NV_NVDLA_SDP_RDMA_rdrsp_mcif_rd_rsp_ready_reg,u_NV_NVDLA_sdp_u_rdma/g357465,cell,cell
u_NV_NVDLA_sdp_u_rdma/u_brdma_u_NV_NVDLA_SDP_RDMA_dmaif_NV_NVDLA_SDP_RDMA_rdrsp_mcif_rd_rsp_ready_reg,u_NV_NVDLA_sdp_u_rdma/g357460,cell,cell
u_NV_NVDLA_sdp_u_rdma/u_brdma_u_NV_NVDLA_SDP_RDMA_dmaif_NV_NVDLA_SDP_RDMA_rdrsp_mcif_rd_rsp_ready_reg,u_NV_NVDLA_sdp_u_rdma/g356066,cell,cell
u_NV_NVDLA_sdp_u_rdma/u_nrdma_u_NV_NVDLA_SDP_RDMA_dmaif_NV_NVDLA_SDP_RDMA_rdrsp_mcif_rd_rsp_ready_reg,u_NV_NVDLA_sdp_u_rdma/g361053,cell,cell
