cell_name,is_seq,is_macro,is_in_clk,x0,y0,x1,y1,is_filler,is_buf,is_inv,libcell_name,cell_static_power,cell_dynamic_power
WALLACE_CSA_DUMMY_OP_groupi_g717,0,0,0,95130,143784,95616,144054,0,0,0,XOR2xp5_ASAP7_75t_SL,1.1930000098914206e-08,0.0
WALLACE_CSA_DUMMY_OP_groupi_g718,0,0,0,95292,144594,95562,144864,0,0,0,AOI21xp5_ASAP7_75t_L,4.87519025149652e-10,0.0
WALLACE_CSA_DUMMY_OP_groupi_g719,0,0,0,95292,144324,95778,144594,0,0,0,XOR2xp5_ASAP7_75t_SL,1.0998200572487349e-08,0.0
WALLACE_CSA_DUMMY_OP_groupi_g720,0,0,0,95940,143784,96210,144054,0,0,0,OAI21xp5_ASAP7_75t_SL,5.0484101343784005e-09,0.0
WALLACE_CSA_DUMMY_OP_groupi_g721,0,0,0,95940,144054,96426,144324,0,0,0,XOR2xp5_ASAP7_75t_SL,1.1930000098914206e-08,0.0
WALLACE_CSA_DUMMY_OP_groupi_g722,0,0,0,96318,144324,96588,144594,0,0,0,AOI21xp5_ASAP7_75t_SL,5.063330199561733e-09,0.0
WALLACE_CSA_DUMMY_OP_groupi_g723,0,0,0,96696,144054,97182,144324,0,0,0,XOR2xp5_ASAP7_75t_SL,1.0998200572487349e-08,0.0
WALLACE_CSA_DUMMY_OP_groupi_g724,0,0,0,96426,144054,96696,144324,0,0,0,OAI21xp5_ASAP7_75t_SL,5.0484101343784005e-09,0.0
WALLACE_CSA_DUMMY_OP_groupi_g725,0,0,0,96912,143784,97398,144054,0,0,0,XOR2xp5_ASAP7_75t_SL,1.1930000098914206e-08,0.0
WALLACE_CSA_DUMMY_OP_groupi_g726,0,0,0,96480,143244,96750,143514,0,0,0,AOI21xp5_ASAP7_75t_L,4.87519025149652e-10,0.0
WALLACE_CSA_DUMMY_OP_groupi_g727,0,0,0,96696,143514,97182,143784,0,0,0,XOR2xp5_ASAP7_75t_SL,1.0998200572487349e-08,0.0
WALLACE_CSA_DUMMY_OP_groupi_g728,0,0,0,96912,142974,97182,143244,0,0,0,OAI21xp5_ASAP7_75t_SL,5.0484101343784005e-09,0.0
WALLACE_CSA_DUMMY_OP_groupi_g729,0,0,0,96426,142434,96912,142704,0,0,0,XOR2xp5_ASAP7_75t_SL,1.1930000098914206e-08,0.0
WALLACE_CSA_DUMMY_OP_groupi_g730,0,0,0,97236,142434,97506,142704,0,0,0,AOI21xp5_ASAP7_75t_SL,5.063330199561733e-09,0.0
WALLACE_CSA_DUMMY_OP_groupi_g731,0,0,0,96480,142164,96966,142434,0,0,0,XOR2xp5_ASAP7_75t_SL,1.0998200572487349e-08,0.0
WALLACE_CSA_DUMMY_OP_groupi_g732,0,0,0,96318,141624,96588,141894,0,0,0,OAI21xp5_ASAP7_75t_SL,5.0484101343784005e-09,0.0
WALLACE_CSA_DUMMY_OP_groupi_g733,0,0,0,96642,141894,97128,142164,0,0,0,XOR2xp5_ASAP7_75t_SL,1.1930000098914206e-08,0.0
WALLACE_CSA_DUMMY_OP_groupi_g734,0,0,0,96210,141354,96480,141624,0,0,0,AOI21xp5_ASAP7_75t_L,4.87519025149652e-10,0.0
WALLACE_CSA_DUMMY_OP_groupi_g735,0,0,0,96156,140544,96642,140814,0,0,0,XOR2xp5_ASAP7_75t_SL,1.0998200572487349e-08,0.0
WALLACE_CSA_DUMMY_OP_groupi_g736,0,0,0,95778,140274,96048,140544,0,0,0,OAI21xp5_ASAP7_75t_SL,5.0484101343784005e-09,0.0
WALLACE_CSA_DUMMY_OP_groupi_g737,0,0,0,95562,139734,96048,140004,0,0,0,XOR2xp5_ASAP7_75t_SL,1.1930000098914206e-08,0.0
WALLACE_CSA_DUMMY_OP_groupi_g738,0,0,0,95292,139734,95562,140004,0,0,0,AOI21xp5_ASAP7_75t_SL,5.063330199561733e-09,0.0
WALLACE_CSA_DUMMY_OP_groupi_g739,0,0,0,95400,138924,95886,139194,0,0,0,XOR2xp5_ASAP7_75t_SL,1.0998200572487349e-08,0.0
WALLACE_CSA_DUMMY_OP_groupi_g740,0,0,0,95130,138924,95400,139194,0,0,0,OAI21xp5_ASAP7_75t_SL,5.0484101343784005e-09,0.0
WALLACE_CSA_DUMMY_OP_groupi_g741,0,0,0,95724,138654,96210,138924,0,0,0,XOR2xp5_ASAP7_75t_SL,1.1930000098914206e-08,0.0
WALLACE_CSA_DUMMY_OP_groupi_g742,0,0,0,95562,138384,95832,138654,0,0,0,AOI21xp5_ASAP7_75t_SL,5.063330199561733e-09,0.0
WALLACE_CSA_DUMMY_OP_groupi_g743,0,0,0,95454,137844,95940,138114,0,0,0,XOR2xp5_ASAP7_75t_SL,1.0998200572487349e-08,0.0
WALLACE_CSA_DUMMY_OP_groupi_g744,0,0,0,95994,137304,96264,137574,0,0,0,OAI21xp5_ASAP7_75t_SL,5.0484101343784005e-09,0.0
WALLACE_CSA_DUMMY_OP_groupi_g745,0,0,0,95508,137304,95994,137574,0,0,0,XOR2xp5_ASAP7_75t_SL,1.1930000098914206e-08,0.0
WALLACE_CSA_DUMMY_OP_groupi_g746,0,0,0,95292,137034,95562,137304,0,0,0,AOI21xp5_ASAP7_75t_L,4.87519025149652e-10,0.0
WALLACE_CSA_DUMMY_OP_groupi_g747,0,0,0,95454,136224,95940,136494,0,0,0,XOR2xp5_ASAP7_75t_SL,1.0998200572487349e-08,0.0
WALLACE_CSA_DUMMY_OP_groupi_g748,0,0,0,95994,137034,96264,137304,0,0,0,OAI21xp5_ASAP7_75t_SL,5.0484101343784005e-09,0.0
WALLACE_CSA_DUMMY_OP_groupi_g749,0,0,0,96156,136224,96642,136494,0,0,0,XOR2xp5_ASAP7_75t_SL,1.1930000098914206e-08,0.0
WALLACE_CSA_DUMMY_OP_groupi_g750,0,0,0,95940,135954,96210,136224,0,0,0,AOI21xp5_ASAP7_75t_SL,5.063330199561733e-09,0.0
WALLACE_CSA_DUMMY_OP_groupi_g752,0,0,0,96372,135414,96642,135684,0,0,0,OAI21xp33_ASAP7_75t_SL,6.750199954552727e-09,0.0
