src,tar,src_type,tar_type
WALLACE_CSA_DUMMY_OP_groupi_g820,WALLACE_CSA_DUMMY_OP_groupi_g782,cell,cell
WALLACE_CSA_DUMMY_OP_groupi_g820,WALLACE_CSA_DUMMY_OP_groupi_g781,cell,cell
WALLACE_CSA_DUMMY_OP_groupi_g820,WALLACE_CSA_DUMMY_OP_groupi_g738,cell,cell
WALLACE_CSA_DUMMY_OP_groupi_g820,WALLACE_CSA_DUMMY_OP_groupi_g736,cell,cell
WALLACE_CSA_DUMMY_OP_groupi_g819,WALLACE_CSA_DUMMY_OP_groupi_g779,cell,cell
WALLACE_CSA_DUMMY_OP_groupi_g819,WALLACE_CSA_DUMMY_OP_groupi_g750,cell,cell
WALLACE_CSA_DUMMY_OP_groupi_g819,WALLACE_CSA_DUMMY_OP_groupi_g748,cell,cell
WALLACE_CSA_DUMMY_OP_groupi_g810,WALLACE_CSA_DUMMY_OP_groupi_g769,cell,cell
WALLACE_CSA_DUMMY_OP_groupi_g810,WALLACE_CSA_DUMMY_OP_groupi_g768,cell,cell
WALLACE_CSA_DUMMY_OP_groupi_g720,WALLACE_CSA_DUMMY_OP_groupi_g719,cell,cell
WALLACE_CSA_DUMMY_OP_groupi_g720,WALLACE_CSA_DUMMY_OP_groupi_g718,cell,cell
WALLACE_CSA_DUMMY_OP_groupi_g718,WALLACE_CSA_DUMMY_OP_groupi_g717,cell,cell
WALLACE_CSA_DUMMY_OP_groupi_g809,WALLACE_CSA_DUMMY_OP_groupi_g761,cell,cell
WALLACE_CSA_DUMMY_OP_groupi_g809,WALLACE_CSA_DUMMY_OP_groupi_g760,cell,cell
WALLACE_CSA_DUMMY_OP_groupi_g808,WALLACE_CSA_DUMMY_OP_groupi_g765,cell,cell
WALLACE_CSA_DUMMY_OP_groupi_g808,WALLACE_CSA_DUMMY_OP_groupi_g764,cell,cell
WALLACE_CSA_DUMMY_OP_groupi_g807,WALLACE_CSA_DUMMY_OP_groupi_g757,cell,cell
WALLACE_CSA_DUMMY_OP_groupi_g807,WALLACE_CSA_DUMMY_OP_groupi_g756,cell,cell
WALLACE_CSA_DUMMY_OP_groupi_g806,WALLACE_CSA_DUMMY_OP_groupi_g784,cell,cell
WALLACE_CSA_DUMMY_OP_groupi_g806,WALLACE_CSA_DUMMY_OP_groupi_g783,cell,cell
WALLACE_CSA_DUMMY_OP_groupi_g806,WALLACE_CSA_DUMMY_OP_groupi_g742,cell,cell
WALLACE_CSA_DUMMY_OP_groupi_g806,WALLACE_CSA_DUMMY_OP_groupi_g740,cell,cell
