net_name,net_route_length,net_steiner_length,fanout,total_cap,net_cap,net_coupling,net_res
UNCONNECTED242,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED243,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED244,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED245,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED246,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED247,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED248,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED249,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED250,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED251,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED252,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED253,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED254,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED255,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED256,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED257,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED258,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED259,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED260,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED261,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED262,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED263,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED264,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED265,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED266,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED267,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED268,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED269,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED270,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED271,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED272,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED273,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED274,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED275,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED276,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED277,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED278,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED279,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED280,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED281,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED282,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED283,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED284,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED285,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED286,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED287,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED288,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED289,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED290,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED291,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED292,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED293,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED294,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED295,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED296,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED297,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED298,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED299,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED300,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED301,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED302,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED303,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED304,0,-1,0,0.0,0.0,0.0,0.0
