src,tar,src_type,tar_type
WALLACE_CSA_DUMMY_OP_groupi_n_26,WALLACE_CSA_DUMMY_OP_groupi_g717,net,cell
WALLACE_CSA_DUMMY_OP_groupi_n_102,WALLACE_CSA_DUMMY_OP_groupi_g717,net,cell
WALLACE_CSA_DUMMY_OP_groupi_g717,n_11513,cell,net
u_NV_NVDLA_sdp_dp2reg_out_saturation[29],WALLACE_CSA_DUMMY_OP_groupi_g718,net,cell
WALLACE_CSA_DUMMY_OP_groupi_n_100,WALLACE_CSA_DUMMY_OP_groupi_g718,net,cell
WALLACE_CSA_DUMMY_OP_groupi_n_21,WALLACE_CSA_DUMMY_OP_groupi_g718,net,cell
WALLACE_CSA_DUMMY_OP_groupi_g718,WALLACE_CSA_DUMMY_OP_groupi_n_102,cell,net
WALLACE_CSA_DUMMY_OP_groupi_n_32,WALLACE_CSA_DUMMY_OP_groupi_g719,net,cell
WALLACE_CSA_DUMMY_OP_groupi_n_100,WALLACE_CSA_DUMMY_OP_groupi_g719,net,cell
WALLACE_CSA_DUMMY_OP_groupi_g719,n_11512,cell,net
WALLACE_CSA_DUMMY_OP_groupi_n_15,WALLACE_CSA_DUMMY_OP_groupi_g720,net,cell
WALLACE_CSA_DUMMY_OP_groupi_n_98,WALLACE_CSA_DUMMY_OP_groupi_g720,net,cell
u_NV_NVDLA_sdp_dp2reg_out_saturation[29],WALLACE_CSA_DUMMY_OP_groupi_g720,net,cell
WALLACE_CSA_DUMMY_OP_groupi_g720,WALLACE_CSA_DUMMY_OP_groupi_n_100,cell,net
WALLACE_CSA_DUMMY_OP_groupi_n_30,WALLACE_CSA_DUMMY_OP_groupi_g721,net,cell
WALLACE_CSA_DUMMY_OP_groupi_n_98,WALLACE_CSA_DUMMY_OP_groupi_g721,net,cell
WALLACE_CSA_DUMMY_OP_groupi_g721,n_11511,cell,net
WALLACE_CSA_DUMMY_OP_groupi_n_96,WALLACE_CSA_DUMMY_OP_groupi_g722,net,cell
u_NV_NVDLA_sdp_dp2reg_out_saturation[27],WALLACE_CSA_DUMMY_OP_groupi_g722,net,cell
WALLACE_CSA_DUMMY_OP_groupi_n_15,WALLACE_CSA_DUMMY_OP_groupi_g722,net,cell
WALLACE_CSA_DUMMY_OP_groupi_g722,WALLACE_CSA_DUMMY_OP_groupi_n_98,cell,net
WALLACE_CSA_DUMMY_OP_groupi_n_28,WALLACE_CSA_DUMMY_OP_groupi_g723,net,cell
WALLACE_CSA_DUMMY_OP_groupi_n_96,WALLACE_CSA_DUMMY_OP_groupi_g723,net,cell
WALLACE_CSA_DUMMY_OP_groupi_g723,n_11510,cell,net
WALLACE_CSA_DUMMY_OP_groupi_n_3,WALLACE_CSA_DUMMY_OP_groupi_g724,net,cell
WALLACE_CSA_DUMMY_OP_groupi_n_94,WALLACE_CSA_DUMMY_OP_groupi_g724,net,cell
u_NV_NVDLA_sdp_dp2reg_out_saturation[27],WALLACE_CSA_DUMMY_OP_groupi_g724,net,cell
WALLACE_CSA_DUMMY_OP_groupi_g724,WALLACE_CSA_DUMMY_OP_groupi_n_96,cell,net
WALLACE_CSA_DUMMY_OP_groupi_n_29,WALLACE_CSA_DUMMY_OP_groupi_g725,net,cell
WALLACE_CSA_DUMMY_OP_groupi_n_94,WALLACE_CSA_DUMMY_OP_groupi_g725,net,cell
