src,tar,src_type,tar_type
u13_ac97_rst_force_reg,g221873,cell,cell
u13_ac97_rst_force_reg,g178214,cell,cell
u13_ac97_rst_force_reg,g175813,cell,cell
u13_ac97_rst_force_reg,g175811,cell,cell
u15_crac_din_reg\[0\],g193561,cell,cell
u15_crac_din_reg\[0\],g159414,cell,cell
u15_crac_din_reg\[10\],g193568,cell,cell
u15_crac_din_reg\[10\],g169948,cell,cell
u15_crac_din_reg\[11\],g193564,cell,cell
u15_crac_din_reg\[11\],g159381,cell,cell
u15_crac_din_reg\[12\],g193555,cell,cell
u15_crac_din_reg\[12\],g159403,cell,cell
u15_crac_din_reg\[13\],g193559,cell,cell
u15_crac_din_reg\[13\],g159392,cell,cell
u15_crac_din_reg\[14\],g193556,cell,cell
u15_crac_din_reg\[14\],g169953,cell,cell
u15_crac_din_reg\[15\],g193562,cell,cell
u15_crac_din_reg\[15\],g159413,cell,cell
u15_crac_din_reg\[1\],g193563,cell,cell
u15_crac_din_reg\[1\],g159411,cell,cell
u15_crac_din_reg\[2\],g193569,cell,cell
u15_crac_din_reg\[2\],g159401,cell,cell
u15_crac_din_reg\[3\],g193565,cell,cell
u15_crac_din_reg\[3\],g159384,cell,cell
u15_crac_din_reg\[4\],g193567,cell,cell
u15_crac_din_reg\[4\],g159385,cell,cell
u15_crac_din_reg\[5\],g193557,cell,cell
u15_crac_din_reg\[5\],g181770,cell,cell
u15_crac_din_reg\[6\],g193552,cell,cell
u15_crac_din_reg\[6\],g159383,cell,cell
u15_crac_din_reg\[7\],g193558,cell,cell
u15_crac_din_reg\[7\],g159396,cell,cell
u15_crac_din_reg\[8\],g193554,cell,cell
u15_crac_din_reg\[8\],g159376,cell,cell
u15_crac_din_reg\[9\],g193570,cell,cell
u15_crac_din_reg\[9\],g169958,cell,cell
u13_crac_dout_r_reg\[0\],g176743,cell,cell
u13_crac_dout_r_reg\[0\],g152528__2346,cell,cell
u13_crac_dout_r_reg\[10\],g213854,cell,cell
u13_crac_dout_r_reg\[10\],g152508__7098,cell,cell
u13_crac_dout_r_reg\[11\],g172169,cell,cell
u13_crac_dout_r_reg\[11\],g152506__8246,cell,cell
u13_crac_dout_r_reg\[12\],g82,cell,cell
u13_crac_dout_r_reg\[12\],g152504__5122,cell,cell
