src,tar,src_type,tar_type
drc_buf_sp164977/A,drc_buf_sp164977,pin,cell
drc_buf_sp164977,drc_buf_sp164977/Y,cell,pin
drc_buf_sp164978/A,drc_buf_sp164978,pin,cell
drc_buf_sp164978,drc_buf_sp164978/Y,cell,pin
drc_buf_sp164979/A,drc_buf_sp164979,pin,cell
drc_buf_sp164979,drc_buf_sp164979/Y,cell,pin
drc_buf_sp164980/A,drc_buf_sp164980,pin,cell
drc_buf_sp164980,drc_buf_sp164980/Y,cell,pin
drc_buf_sp164981/A,drc_buf_sp164981,pin,cell
drc_buf_sp164981,drc_buf_sp164981/Y,cell,pin
drc_buf_sp164982/A,drc_buf_sp164982,pin,cell
drc_buf_sp164982,drc_buf_sp164982/Y,cell,pin
drc_buf_sp164983/A,drc_buf_sp164983,pin,cell
drc_buf_sp164983,drc_buf_sp164983/Y,cell,pin
drc_buf_sp164984/A,drc_buf_sp164984,pin,cell
drc_buf_sp164984,drc_buf_sp164984/Y,cell,pin
drc_buf_sp165026/A,drc_buf_sp165026,pin,cell
drc_buf_sp165026,drc_buf_sp165026/Y,cell,pin
drc_buf_sp165027/A,drc_buf_sp165027,pin,cell
drc_buf_sp165027,drc_buf_sp165027/Y,cell,pin
drc_buf_sp165028/A,drc_buf_sp165028,pin,cell
drc_buf_sp165028,drc_buf_sp165028/Y,cell,pin
drc_buf_sp165029/A,drc_buf_sp165029,pin,cell
drc_buf_sp165029,drc_buf_sp165029/Y,cell,pin
drc_buf_sp165030/A,drc_buf_sp165030,pin,cell
drc_buf_sp165030,drc_buf_sp165030/Y,cell,pin
drc_buf_sp165031/A,drc_buf_sp165031,pin,cell
drc_buf_sp165031,drc_buf_sp165031/Y,cell,pin
drc_buf_sp165032/A,drc_buf_sp165032,pin,cell
drc_buf_sp165032,drc_buf_sp165032/Y,cell,pin
drc_buf_sp165033/A,drc_buf_sp165033,pin,cell
drc_buf_sp165033,drc_buf_sp165033/Y,cell,pin
drc_buf_sp165077/A,drc_buf_sp165077,pin,cell
drc_buf_sp165077,drc_buf_sp165077/Y,cell,pin
drc_buf_sp165078/A,drc_buf_sp165078,pin,cell
drc_buf_sp165078,drc_buf_sp165078/Y,cell,pin
drc_buf_sp165079/A,drc_buf_sp165079,pin,cell
drc_buf_sp165079,drc_buf_sp165079/Y,cell,pin
drc_buf_sp165082/A,drc_buf_sp165082,pin,cell
drc_buf_sp165082,drc_buf_sp165082/Y,cell,pin
drc_buf_sp165083/A,drc_buf_sp165083,pin,cell
drc_buf_sp165083,drc_buf_sp165083/Y,cell,pin
drc_buf_sp165146/A,drc_buf_sp165146,pin,cell
drc_buf_sp165146,drc_buf_sp165146/Y,cell,pin
drc_buf_sp165147/A,drc_buf_sp165147,pin,cell
drc_buf_sp165147,drc_buf_sp165147/Y,cell,pin
drc_buf_sp165148/A,drc_buf_sp165148,pin,cell
drc_buf_sp165148,drc_buf_sp165148/Y,cell,pin
drc_buf_sp165270/A,drc_buf_sp165270,pin,cell
drc_buf_sp165270,drc_buf_sp165270/Y,cell,pin
drc_buf_sp165271/A,drc_buf_sp165271,pin,cell
drc_buf_sp165271,drc_buf_sp165271/Y,cell,pin
drc_buf_sp165370/A,drc_buf_sp165370,pin,cell
drc_buf_sp165370,drc_buf_sp165370/Y,cell,pin
drc_buf_sp165428/A,drc_buf_sp165428,pin,cell
drc_buf_sp165428,drc_buf_sp165428/Y,cell,pin
drc_buf_sp165457/A,drc_buf_sp165457,pin,cell
drc_buf_sp165457,drc_buf_sp165457/Y,cell,pin
drc_buf_sp165486/A,drc_buf_sp165486,pin,cell
drc_buf_sp165486,drc_buf_sp165486/Y,cell,pin
drc_buf_sp165573/A,drc_buf_sp165573,pin,cell
drc_buf_sp165573,drc_buf_sp165573/Y,cell,pin
drc_buf_sp165576/A,drc_buf_sp165576,pin,cell
drc_buf_sp165576,drc_buf_sp165576/Y,cell,pin
drc_buf_sp165631/A,drc_buf_sp165631,pin,cell
drc_buf_sp165631,drc_buf_sp165631/Y,cell,pin
drc_buf_sp165634/A,drc_buf_sp165634,pin,cell
drc_buf_sp165634,drc_buf_sp165634/Y,cell,pin
drc_buf_sp165659/A,drc_buf_sp165659,pin,cell
drc_buf_sp165659,drc_buf_sp165659/Y,cell,pin
drc_buf_sp165660/A,drc_buf_sp165660,pin,cell
drc_buf_sp165660,drc_buf_sp165660/Y,cell,pin
drc_buf_sp165689/A,drc_buf_sp165689,pin,cell
drc_buf_sp165689,drc_buf_sp165689/Y,cell,pin
drc_buf_sp165692/A,drc_buf_sp165692,pin,cell
drc_buf_sp165692,drc_buf_sp165692/Y,cell,pin
drc_buf_sp165718/A,drc_buf_sp165718,pin,cell
