cell_name,is_seq,is_macro,is_in_clk,x0,y0,x1,y1,is_filler,is_buf,is_inv,libcell_name,cell_static_power,cell_dynamic_power
drc_buf_sp164977,0,0,0,0,0,216,270,0,1,0,HB1xp67_ASAP7_75t_R,5.188600243899444e-11,0.0
drc_buf_sp164978,0,0,0,0,0,216,270,0,1,0,HB1xp67_ASAP7_75t_R,5.188600243899444e-11,0.0
drc_buf_sp164979,0,0,0,0,0,216,270,0,1,0,HB1xp67_ASAP7_75t_R,5.188600243899444e-11,0.0
drc_buf_sp164980,0,0,0,0,0,216,270,0,1,0,HB1xp67_ASAP7_75t_R,5.188600243899444e-11,0.0
drc_buf_sp164981,0,0,0,0,0,216,270,0,1,0,HB1xp67_ASAP7_75t_R,5.188600243899444e-11,0.0
drc_buf_sp164982,0,0,0,0,0,216,270,0,1,0,HB1xp67_ASAP7_75t_R,5.188600243899444e-11,0.0
drc_buf_sp164983,0,0,0,0,0,216,270,0,1,0,HB1xp67_ASAP7_75t_R,5.188600243899444e-11,0.0
drc_buf_sp164984,0,0,0,0,0,216,270,0,1,0,HB1xp67_ASAP7_75t_R,5.188600243899444e-11,0.0
drc_buf_sp165026,0,0,0,0,0,216,270,0,1,0,HB1xp67_ASAP7_75t_R,5.044180004243337e-11,0.0
drc_buf_sp165027,0,0,0,0,0,216,270,0,1,0,HB1xp67_ASAP7_75t_R,5.044180004243337e-11,0.0
drc_buf_sp165028,0,0,0,0,0,216,270,0,1,0,HB1xp67_ASAP7_75t_R,5.044180004243337e-11,0.0
drc_buf_sp165029,0,0,0,0,0,216,270,0,1,0,HB1xp67_ASAP7_75t_R,5.044180004243337e-11,0.0
drc_buf_sp165030,0,0,0,0,0,216,270,0,1,0,HB1xp67_ASAP7_75t_R,5.044180004243337e-11,0.0
drc_buf_sp165031,0,0,0,0,0,216,270,0,1,0,HB1xp67_ASAP7_75t_R,5.044180004243337e-11,0.0
drc_buf_sp165032,0,0,0,0,0,216,270,0,1,0,HB1xp67_ASAP7_75t_R,5.044180004243337e-11,0.0
drc_buf_sp165033,0,0,0,0,0,216,270,0,1,0,HB1xp67_ASAP7_75t_R,5.044180004243337e-11,0.0
drc_buf_sp165077,0,0,0,0,0,216,270,0,1,0,HB1xp67_ASAP7_75t_R,5.044180004243337e-11,0.0
drc_buf_sp165078,0,0,0,0,0,216,270,0,1,0,HB1xp67_ASAP7_75t_R,5.044180004243337e-11,0.0
drc_buf_sp165079,0,0,0,0,0,216,270,0,1,0,HB1xp67_ASAP7_75t_R,5.044180004243337e-11,0.0
drc_buf_sp165082,0,0,0,0,0,216,270,0,1,0,HB1xp67_ASAP7_75t_R,5.044180004243337e-11,0.0
drc_buf_sp165083,0,0,0,0,0,216,270,0,1,0,HB1xp67_ASAP7_75t_R,5.044180004243337e-11,0.0
drc_buf_sp165146,0,0,0,0,0,216,270,0,1,0,HB1xp67_ASAP7_75t_R,5.188600243899444e-11,0.0
drc_buf_sp165147,0,0,0,0,0,216,270,0,1,0,HB1xp67_ASAP7_75t_R,5.188600243899444e-11,0.0
drc_buf_sp165148,0,0,0,0,0,216,270,0,1,0,HB1xp67_ASAP7_75t_R,5.188600243899444e-11,0.0
drc_buf_sp165270,0,0,0,0,0,216,270,0,1,0,HB1xp67_ASAP7_75t_R,5.188600243899444e-11,0.0
drc_buf_sp165271,0,0,0,0,0,216,270,0,1,0,HB1xp67_ASAP7_75t_R,5.188600243899444e-11,0.0
drc_buf_sp165370,0,0,0,0,0,162,270,0,0,1,INVx1_ASAP7_75t_L,2.515430086447168e-10,3.4703452911344357e-07
drc_buf_sp165428,0,0,0,0,0,162,270,0,0,1,INVx1_ASAP7_75t_SL,2.5518225310605658e-09,5.070894530945225e-07
drc_buf_sp165457,0,0,0,0,0,162,270,0,0,1,INVx1_ASAP7_75t_SL,2.5518225310605658e-09,5.070894530945225e-07
drc_buf_sp165486,0,0,0,0,0,162,270,0,0,1,INVx1_ASAP7_75t_SL,2.5518225310605658e-09,5.070894530945225e-07
drc_buf_sp165573,0,0,0,0,0,162,270,0,0,1,INVx1_ASAP7_75t_L,2.515430086447168e-10,3.4703452911344357e-07
drc_buf_sp165576,0,0,0,0,0,216,270,0,0,1,INVx2_ASAP7_75t_SL,5.10364994710244e-09,1.5940795492497273e-06
drc_buf_sp165631,0,0,0,0,0,162,270,0,0,1,INVx1_ASAP7_75t_SL,2.5518225310605658e-09,3.834145161363267e-07
drc_buf_sp165634,0,0,0,0,0,216,270,0,0,1,INVx2_ASAP7_75t_SL,5.10364994710244e-09,1.6023419675548212e-06
drc_buf_sp165659,0,0,0,0,0,216,270,0,0,1,INVx2_ASAP7_75t_SL,5.10364994710244e-09,1.642596203055291e-06
drc_buf_sp165660,0,0,0,0,0,162,270,0,0,1,INVx1_ASAP7_75t_SL,2.5518225310605658e-09,3.834145161363267e-07
drc_buf_sp165689,0,0,0,0,0,162,270,0,0,1,INVx1_ASAP7_75t_L,2.515430086447168e-10,3.4703452911344357e-07
drc_buf_sp165692,0,0,0,0,0,216,270,0,0,1,INVx2_ASAP7_75t_SL,5.10364994710244e-09,1.6089438759081531e-06
drc_buf_sp165718,0,0,0,0,0,162,270,0,0,1,INVx1_ASAP7_75t_SL,2.5518225310605658e-09,6.299222263805859e-07
drc_buf_sp165747,0,0,0,0,0,162,270,0,0,1,INVx1_ASAP7_75t_SL,2.5518225310605658e-09,3.9022532405397214e-07
drc_buf_sp165775,0,0,0,0,0,162,270,0,0,1,INVx1_ASAP7_75t_SL,2.5518225310605658e-09,3.9022532405397214e-07
drc_buf_sp165777,0,0,0,0,0,216,270,0,0,1,INVx2_ASAP7_75t_SL,5.10364994710244e-09,1.5084507367646438e-06
drc_buf_sp165826,0,0,0,0,0,216,270,0,0,1,INVx2_ASAP7_75t_SL,5.10364994710244e-09,1.5124147694223211e-06
drc_buf_sp165827,0,0,0,0,0,162,270,0,0,1,INVx1_ASAP7_75t_SL,2.5518225310605658e-09,6.600479309781804e-07
drc_buf_sp165829,0,0,0,0,0,216,270,0,0,1,INVx2_ASAP7_75t_SL,5.10364994710244e-09,1.409269543728442e-06
drc_buf_sp165935,0,0,0,0,0,162,270,0,0,1,INVx1_ASAP7_75t_SL,2.5518225310605658e-09,3.9355063563562e-07
drc_buf_sp165962,0,0,0,0,0,216,270,0,0,1,INVx2_ASAP7_75t_SL,5.10364994710244e-09,9.905978686219896e-07
drc_buf_sp165988,0,0,0,0,0,162,270,0,0,1,INVx1_ASAP7_75t_SL,2.5518225310605658e-09,5.130071372150269e-07
drc_buf_sp166284,0,0,0,0,0,162,270,0,0,1,INVxp67_ASAP7_75t_SL,1.7012176112274346e-09,6.052300136616395e-07
drc_buf_sp166329,0,0,0,0,0,216,270,0,1,0,HB1xp67_ASAP7_75t_R,5.044180004243337e-11,4.4715766462852247e-13
drc_buf_sp166354,0,0,0,0,0,216,270,0,1,0,HB1xp67_ASAP7_75t_R,5.044180004243337e-11,0.0
drc_buf_sp166379,0,0,0,0,0,216,270,0,1,0,HB1xp67_ASAP7_75t_R,5.188600243899444e-11,0.0
drc_buf_sp166404,0,0,0,0,0,216,270,0,1,0,HB1xp67_ASAP7_75t_R,5.188600243899444e-11,4.730407688821603e-13
drc_buf_sp166429,0,0,0,0,0,216,270,0,1,0,HB1xp67_ASAP7_75t_R,5.188600243899444e-11,0.0
drc_buf_sp166454,0,0,0,0,0,216,270,0,1,0,HB1xp67_ASAP7_75t_R,5.044180004243337e-11,0.0
drc_buf_sp166649,0,0,0,0,0,216,270,0,1,0,HB1xp67_ASAP7_75t_R,5.044180004243337e-11,0.0
drc_buf_sp170772,0,0,0,0,0,216,270,0,0,1,INVx2_ASAP7_75t_SL,5.10364994710244e-09,1.3327316992217675e-06
drc_buf_sp213876,0,0,0,0,0,324,270,0,1,0,BUFx3_ASAP7_75t_SL,1.021132511880296e-08,1.7055558600986842e-06
drc_buf_sp213877,0,0,0,0,0,324,270,0,1,0,BUFx3_ASAP7_75t_SL,1.021132511880296e-08,1.8234727576782461e-06
drc_buf_sp213888,0,0,0,0,0,324,270,0,1,0,BUFx3_ASAP7_75t_SL,1.021132511880296e-08,1.751487047840783e-06
drc_buf_sp213889,0,0,0,0,0,324,270,0,1,0,BUFx3_ASAP7_75t_SL,1.021132511880296e-08,1.8427560917189112e-06
drc_buf_sp213900,0,0,0,0,0,324,270,0,1,0,BUFx3_ASAP7_75t_SL,1.021132511880296e-08,1.772579935277463e-06
drc_buf_sp213901,0,0,0,0,0,324,270,0,1,0,BUFx3_ASAP7_75t_SL,1.021132511880296e-08,1.826962034101598e-06
drc_buf_sp213913,0,0,0,0,0,324,270,0,1,0,BUFx3_ASAP7_75t_SL,1.021132511880296e-08,8.982819963421207e-07
drc_buf_sp215496,0,0,0,0,0,378,270,0,0,1,INVx5_ASAP7_75t_SL,1.2759050704858055e-08,2.3900845462776488e-06
drc_buf_sp225155,0,0,0,0,0,324,270,0,1,0,BUFx3_ASAP7_75t_SL,1.021132511880296e-08,1.7574495814187685e-06
