src,tar,src_type,tar_type,is_net,arc_delay
drc_buf_sp164977/A,drc_buf_sp164977/Y,pin,pin,0,6.4172882e-11
drc_buf_sp164978/A,drc_buf_sp164978/Y,pin,pin,0,6.4172882e-11
drc_buf_sp164979/A,drc_buf_sp164979/Y,pin,pin,0,6.5942772e-11
drc_buf_sp164980/A,drc_buf_sp164980/Y,pin,pin,0,6.5942772e-11
drc_buf_sp164981/A,drc_buf_sp164981/Y,pin,pin,0,6.594278e-11
drc_buf_sp164982/A,drc_buf_sp164982/Y,pin,pin,0,6.389564500000001e-11
drc_buf_sp164983/A,drc_buf_sp164983/Y,pin,pin,0,6.389564500000001e-11
drc_buf_sp164984/A,drc_buf_sp164984/Y,pin,pin,0,6.389564500000001e-11
drc_buf_sp165026/A,drc_buf_sp165026/Y,pin,pin,0,5.4242493e-11
drc_buf_sp165027/A,drc_buf_sp165027/Y,pin,pin,0,5.3783726e-11
drc_buf_sp165028/A,drc_buf_sp165028/Y,pin,pin,0,5.1722976999999996e-11
drc_buf_sp165029/A,drc_buf_sp165029/Y,pin,pin,0,5.1722976999999996e-11
drc_buf_sp165030/A,drc_buf_sp165030/Y,pin,pin,0,5.1722976999999996e-11
drc_buf_sp165031/A,drc_buf_sp165031/Y,pin,pin,0,5.1722976999999996e-11
drc_buf_sp165032/A,drc_buf_sp165032/Y,pin,pin,0,5.1722976999999996e-11
drc_buf_sp165033/A,drc_buf_sp165033/Y,pin,pin,0,5.1596771e-11
drc_buf_sp165077/A,drc_buf_sp165077/Y,pin,pin,0,6.9309486e-11
drc_buf_sp165078/A,drc_buf_sp165078/Y,pin,pin,0,4.9111649e-11
drc_buf_sp165079/A,drc_buf_sp165079/Y,pin,pin,0,6.9309486e-11
drc_buf_sp165082/A,drc_buf_sp165082/Y,pin,pin,0,6.8434799e-11
drc_buf_sp165083/A,drc_buf_sp165083/Y,pin,pin,0,5.3334831e-11
drc_buf_sp165146/A,drc_buf_sp165146/Y,pin,pin,0,5.9505566e-11
drc_buf_sp165147/A,drc_buf_sp165147/Y,pin,pin,0,5.9505566e-11
drc_buf_sp165148/A,drc_buf_sp165148/Y,pin,pin,0,5.9505566e-11
drc_buf_sp165270/A,drc_buf_sp165270/Y,pin,pin,0,5.842995499999999e-11
drc_buf_sp165271/A,drc_buf_sp165271/Y,pin,pin,0,5.8152282999999994e-11
drc_buf_sp165370/A,drc_buf_sp165370/Y,pin,pin,0,9.463509999999999e-12
drc_buf_sp165428/A,drc_buf_sp165428/Y,pin,pin,0,9.623176000000001e-12
drc_buf_sp165457/A,drc_buf_sp165457/Y,pin,pin,0,9.623176000000001e-12
drc_buf_sp165486/A,drc_buf_sp165486/Y,pin,pin,0,9.623176000000001e-12
drc_buf_sp165573/A,drc_buf_sp165573/Y,pin,pin,0,9.463509999999999e-12
drc_buf_sp165576/A,drc_buf_sp165576/Y,pin,pin,0,1.465618e-11
drc_buf_sp165631/A,drc_buf_sp165631/Y,pin,pin,0,9.376088e-12
drc_buf_sp165634/A,drc_buf_sp165634/Y,pin,pin,0,1.4638023e-11
drc_buf_sp165659/A,drc_buf_sp165659/Y,pin,pin,0,1.493536e-11
drc_buf_sp165660/A,drc_buf_sp165660/Y,pin,pin,0,9.376088e-12
drc_buf_sp165689/A,drc_buf_sp165689/Y,pin,pin,0,9.463509999999999e-12
drc_buf_sp165692/A,drc_buf_sp165692/Y,pin,pin,0,1.4756145999999998e-11
drc_buf_sp165718/A,drc_buf_sp165718/Y,pin,pin,0,1.3428568e-11
drc_buf_sp165747/A,drc_buf_sp165747/Y,pin,pin,0,9.782407e-12
drc_buf_sp165775/A,drc_buf_sp165775/Y,pin,pin,0,9.782407e-12
drc_buf_sp165777/A,drc_buf_sp165777/Y,pin,pin,0,1.4133807e-11
drc_buf_sp165826/A,drc_buf_sp165826/Y,pin,pin,0,1.5799077e-11
drc_buf_sp165827/A,drc_buf_sp165827/Y,pin,pin,0,1.509725e-11
drc_buf_sp165829/A,drc_buf_sp165829/Y,pin,pin,0,1.5059964e-11
drc_buf_sp165935/A,drc_buf_sp165935/Y,pin,pin,0,9.897264e-12
drc_buf_sp165962/A,drc_buf_sp165962/Y,pin,pin,0,9.710764e-12
drc_buf_sp165988/A,drc_buf_sp165988/Y,pin,pin,0,9.946958e-12
drc_buf_sp166284/A,drc_buf_sp166284/Y,pin,pin,0,1.7799187e-11
drc_buf_sp166329/A,drc_buf_sp166329/Y,pin,pin,0,4.942049e-11
drc_buf_sp166354/A,drc_buf_sp166354/Y,pin,pin,0,4.942049e-11
drc_buf_sp166379/A,drc_buf_sp166379/Y,pin,pin,0,6.1081409e-11
drc_buf_sp166404/A,drc_buf_sp166404/Y,pin,pin,0,6.1081409e-11
drc_buf_sp166429/A,drc_buf_sp166429/Y,pin,pin,0,6.1081409e-11
drc_buf_sp166454/A,drc_buf_sp166454/Y,pin,pin,0,4.942049e-11
drc_buf_sp166649/A,drc_buf_sp166649/Y,pin,pin,0,4.3645392999999996e-11
drc_buf_sp170772/A,drc_buf_sp170772/Y,pin,pin,0,1.5037702e-11
drc_buf_sp213876/A,drc_buf_sp213876/Y,pin,pin,0,1.6779113999999998e-11
drc_buf_sp213877/A,drc_buf_sp213877/Y,pin,pin,0,1.8279493e-11
drc_buf_sp213888/A,drc_buf_sp213888/Y,pin,pin,0,1.7038105e-11
drc_buf_sp213889/A,drc_buf_sp213889/Y,pin,pin,0,1.8373615e-11
drc_buf_sp213900/A,drc_buf_sp213900/Y,pin,pin,0,1.7112694e-11
drc_buf_sp213901/A,drc_buf_sp213901/Y,pin,pin,0,1.8265875000000002e-11
drc_buf_sp213913/A,drc_buf_sp213913/Y,pin,pin,0,1.3176394e-11
drc_buf_sp215496/A,drc_buf_sp215496/Y,pin,pin,0,9.689298000000001e-12
drc_buf_sp225155/A,drc_buf_sp225155/Y,pin,pin,0,1.7192202000000002e-11
drc_buf_sp225156/A,drc_buf_sp225156/Y,pin,pin,0,1.6803328e-11
drc_buf_sp225157/A,drc_buf_sp225157/Y,pin,pin,0,1.5872885e-11
drc_buf_sp40/A,drc_buf_sp40/Y,pin,pin,0,1.6087633e-11
drc_buf_sp41/A,drc_buf_sp41/Y,pin,pin,0,8.038266999999999e-12
drc_buf_sp45/A,drc_buf_sp45/Y,pin,pin,0,1.5468821999999998e-11
drc_buf_sp46/A,drc_buf_sp46/Y,pin,pin,0,1.3242892e-11
drc_buf_sp47/A,drc_buf_sp47/Y,pin,pin,0,1.7543794999999998e-11
drc_buf_sp48/A,drc_buf_sp48/Y,pin,pin,0,1.4692512e-11
drc_buf_sp49/A,drc_buf_sp49/Y,pin,pin,0,1.7587313e-11
drc_bufs12/A,drc_bufs12/Y,pin,pin,0,1.7615239999999998e-11
drc_bufs15/A,drc_bufs15/Y,pin,pin,0,1.9265028e-11
drc_bufs164353/A,drc_bufs164353/Y,pin,pin,0,5.441967e-12
drc_bufs164354/A,drc_bufs164354/Y,pin,pin,0,8.816725999999999e-12
drc_bufs164361/A,drc_bufs164361/Y,pin,pin,0,1.4512501999999999e-11
drc_bufs164364/A,drc_bufs164364/Y,pin,pin,0,1.4185575e-11
drc_bufs164367/A,drc_bufs164367/Y,pin,pin,0,1.4185575e-11
drc_bufs164370/A,drc_bufs164370/Y,pin,pin,0,1.4185575e-11
drc_bufs164373/A,drc_bufs164373/Y,pin,pin,0,1.4185575e-11
drc_bufs164376/A,drc_bufs164376/Y,pin,pin,0,1.4185575e-11
