pin_name,x,y,is_in_clk,is_port,is_startpoint,is_endpoint,dir,maxcap,maxtran,num_reachable_endpoint,cell_name,net_name,pin_tran,pin_slack,pin_rise_arr,pin_fall_arr,input_pin_cap
drc_buf_sp164977/A,37,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,drc_buf_sp164977,n_5529,7.162752335698741e-11,1.0000000150474662e+30,1.067955446298896e-10,1.0218602353173623e-10,3.167060160250769e-16
drc_buf_sp164977/Y,178,135,0,-1,0,0,1,2.3040000896729085e-14,2.2699998825093104e-10,0,drc_buf_sp164977,n_9294,7.977115495938492e-11,1.0000000150474662e+30,1.709684616102436e-10,1.620885370368086e-10,-1
drc_buf_sp164978/A,37,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,drc_buf_sp164978,n_5529,7.162752335698741e-11,1.0000000150474662e+30,1.067955446298896e-10,1.0218602353173623e-10,3.167060160250769e-16
drc_buf_sp164978/Y,178,135,0,-1,0,0,1,2.3040000896729085e-14,2.2699998825093104e-10,0,drc_buf_sp164978,n_9295,7.977115495938492e-11,1.0000000150474662e+30,1.709684616102436e-10,1.620885370368086e-10,-1
drc_buf_sp164979/A,37,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,drc_buf_sp164979,n_5529,7.162752335698741e-11,1.0000000150474662e+30,1.067955446298896e-10,1.0218602353173623e-10,3.167060160250769e-16
drc_buf_sp164979/Y,178,135,0,-1,0,0,1,2.3040000896729085e-14,2.2699998825093104e-10,0,drc_buf_sp164979,n_9296,8.364379328051896e-11,1.0000000150474662e+30,1.727383514005254e-10,1.635192536930674e-10,-1
drc_buf_sp164980/A,37,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,drc_buf_sp164980,n_5529,7.162752335698741e-11,1.0000000150474662e+30,1.067955446298896e-10,1.0218602353173623e-10,3.167060160250769e-16
drc_buf_sp164980/Y,178,135,0,-1,0,0,1,2.3040000896729085e-14,2.2699998825093104e-10,0,drc_buf_sp164980,n_9297,8.364379328051896e-11,1.0000000150474662e+30,1.727383514005254e-10,1.635192536930674e-10,-1
drc_buf_sp164981/A,37,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,drc_buf_sp164981,n_5529,7.162752335698741e-11,1.0000000150474662e+30,1.067955446298896e-10,1.0218602353173623e-10,3.167060160250769e-16
drc_buf_sp164981/Y,178,135,0,-1,0,0,1,2.3040000896729085e-14,2.2699998825093104e-10,0,drc_buf_sp164981,n_9298,8.364380021941287e-11,1.0000000150474662e+30,1.727383514005254e-10,1.635192536930674e-10,-1
