src,tar,src_type,tar_type
n_5529,drc_buf_sp164977,net,cell
drc_buf_sp164977,n_9294,cell,net
n_5529,drc_buf_sp164978,net,cell
drc_buf_sp164978,n_9295,cell,net
n_5529,drc_buf_sp164979,net,cell
drc_buf_sp164979,n_9296,cell,net
n_5529,drc_buf_sp164980,net,cell
drc_buf_sp164980,n_9297,cell,net
n_5529,drc_buf_sp164981,net,cell
drc_buf_sp164981,n_9298,cell,net
n_5529,drc_buf_sp164982,net,cell
drc_buf_sp164982,n_9299,cell,net
n_5529,drc_buf_sp164983,net,cell
drc_buf_sp164983,n_9300,cell,net
n_5529,drc_buf_sp164984,net,cell
drc_buf_sp164984,n_9301,cell,net
ld,drc_buf_sp165026,net,cell
drc_buf_sp165026,n_9344,cell,net
ld,drc_buf_sp165027,net,cell
drc_buf_sp165027,n_9345,cell,net
ld,drc_buf_sp165028,net,cell
drc_buf_sp165028,n_9346,cell,net
ld,drc_buf_sp165029,net,cell
drc_buf_sp165029,n_9347,cell,net
ld,drc_buf_sp165030,net,cell
drc_buf_sp165030,n_9348,cell,net
ld,drc_buf_sp165031,net,cell
drc_buf_sp165031,n_9349,cell,net
ld,drc_buf_sp165032,net,cell
drc_buf_sp165032,n_9350,cell,net
ld,drc_buf_sp165033,net,cell
drc_buf_sp165033,n_9351,cell,net
n_9394,drc_buf_sp165077,net,cell
drc_buf_sp165077,n_9396,cell,net
n_9394,drc_buf_sp165078,net,cell
drc_buf_sp165078,n_9397,cell,net
n_9394,drc_buf_sp165079,net,cell
drc_buf_sp165079,n_9398,cell,net
n_9394,drc_buf_sp165082,net,cell
drc_buf_sp165082,n_9395,cell,net
ld,drc_buf_sp165083,net,cell
drc_buf_sp165083,n_9394,cell,net
n_5522,drc_buf_sp165146,net,cell
drc_buf_sp165146,n_9466,cell,net
n_5522,drc_buf_sp165147,net,cell
drc_buf_sp165147,n_9467,cell,net
n_5522,drc_buf_sp165148,net,cell
drc_buf_sp165148,n_9468,cell,net
n_5532,drc_buf_sp165270,net,cell
drc_buf_sp165270,n_9629,cell,net
n_5532,drc_buf_sp165271,net,cell
drc_buf_sp165271,n_9630,cell,net
n_66031,drc_buf_sp165370,net,cell
drc_buf_sp165370,n_9735,cell,net
n_65968,drc_buf_sp165428,net,cell
drc_buf_sp165428,n_9793,cell,net
n_65999,drc_buf_sp165457,net,cell
drc_buf_sp165457,n_9822,cell,net
n_65962,drc_buf_sp165486,net,cell
drc_buf_sp165486,n_9851,cell,net
n_65993,drc_buf_sp165573,net,cell
drc_buf_sp165573,n_9938,cell,net
n_9938,drc_buf_sp165576,net,cell
drc_buf_sp165576,n_9942,cell,net
n_65965,drc_buf_sp165631,net,cell
drc_buf_sp165631,n_9996,cell,net
n_9996,drc_buf_sp165634,net,cell
drc_buf_sp165634,n_10000,cell,net
n_10025,drc_buf_sp165659,net,cell
drc_buf_sp165659,n_10026,cell,net
n_65996,drc_buf_sp165660,net,cell
drc_buf_sp165660,n_10025,cell,net
n_65959,drc_buf_sp165689,net,cell
drc_buf_sp165689,n_10054,cell,net
n_10054,drc_buf_sp165692,net,cell
drc_buf_sp165692,n_10058,cell,net
n_65954,drc_buf_sp165718,net,cell
drc_buf_sp165718,n_10083,cell,net
n_65948,drc_buf_sp165747,net,cell
drc_buf_sp165747,n_10112,cell,net
n_65951,drc_buf_sp165775,net,cell
drc_buf_sp165775,n_10140,cell,net
n_10140,drc_buf_sp165777,net,cell
drc_buf_sp165777,n_10143,cell,net
n_10195,drc_buf_sp165826,net,cell
drc_buf_sp165826,n_10196,cell,net
n_65932,drc_buf_sp165827,net,cell
drc_buf_sp165827,n_10195,cell,net
n_10195,drc_buf_sp165829,net,cell
drc_buf_sp165829,n_10198,cell,net
n_65929,drc_buf_sp165935,net,cell
drc_buf_sp165935,n_10303,cell,net
n_65899,drc_buf_sp165962,net,cell
drc_buf_sp165962,n_10330,cell,net
n_65919,drc_buf_sp165988,net,cell
drc_buf_sp165988,n_10356,cell,net
wb_din[29],drc_buf_sp166284,net,cell
drc_buf_sp166284,n_10661,cell,net
out_le[4],drc_buf_sp166329,net,cell
drc_buf_sp166329,n_10709,cell,net
out_le[3],drc_buf_sp166354,net,cell
drc_buf_sp166354,n_10735,cell,net
n_5338,drc_buf_sp166379,net,cell
drc_buf_sp166379,n_10761,cell,net
n_5341,drc_buf_sp166404,net,cell
drc_buf_sp166404,n_10787,cell,net
n_5333,drc_buf_sp166429,net,cell
drc_buf_sp166429,n_10813,cell,net
out_le[5],drc_buf_sp166454,net,cell
drc_buf_sp166454,n_10839,cell,net
out_le[2],drc_buf_sp166649,net,cell
drc_buf_sp166649,n_11046,cell,net
n_10661,drc_buf_sp170772,net,cell
drc_buf_sp170772,n_15952,cell,net
n_66842,drc_buf_sp213876,net,cell
drc_buf_sp213876,n_66843,cell,net
n_65965,drc_buf_sp213877,net,cell
drc_buf_sp213877,n_66842,cell,net
n_66855,drc_buf_sp213888,net,cell
drc_buf_sp213888,n_66856,cell,net
n_65962,drc_buf_sp213889,net,cell
drc_buf_sp213889,n_66855,cell,net
n_66868,drc_buf_sp213900,net,cell
drc_buf_sp213900,n_66869,cell,net
n_65959,drc_buf_sp213901,net,cell
drc_buf_sp213901,n_66868,cell,net
n_65993,drc_buf_sp213913,net,cell
drc_buf_sp213913,n_66881,cell,net
n_9967,drc_buf_sp215496,net,cell
drc_buf_sp215496,n_69010,cell,net
n_79973,drc_buf_sp225155,net,cell
drc_buf_sp225155,n_79971,cell,net
n_79973,drc_buf_sp225156,net,cell
drc_buf_sp225156,n_79972,cell,net
n_66881,drc_buf_sp225157,net,cell
drc_buf_sp225157,n_79973,cell,net
n_10168,drc_buf_sp40,net,cell
drc_buf_sp40,n_10171,cell,net
n_65934,drc_buf_sp41,net,cell
drc_buf_sp41,n_10168,cell,net
n_10890,drc_buf_sp45,net,cell
drc_buf_sp45,n_10891,cell,net
wb_din[1],drc_buf_sp46,net,cell
drc_buf_sp46,n_10890,cell,net
n_10637,drc_buf_sp47,net,cell
drc_buf_sp47,n_10638,cell,net
n_10637,drc_buf_sp48,net,cell
drc_buf_sp48,n_10640,cell,net
wb_din[30],drc_buf_sp49,net,cell
drc_buf_sp49,n_10637,cell,net
