cell_name,is_seq,is_macro,is_in_clk,x0,y0,x1,y1,is_filler,is_buf,is_inv,libcell_name,cell_static_power,cell_dynamic_power
drc_buf_sp164977,0,0,0,27630,26658,27846,26928,0,1,0,HB1xp67_ASAP7_75t_R,5.188600243899444e-11,0.0
drc_buf_sp164978,0,0,0,28062,27198,28278,27468,0,1,0,HB1xp67_ASAP7_75t_R,5.188600243899444e-11,0.0
drc_buf_sp164979,0,0,0,28278,27198,28494,27468,0,1,0,HB1xp67_ASAP7_75t_R,5.188600243899444e-11,0.0
drc_buf_sp164980,0,0,0,27846,27468,28062,27738,0,1,0,HB1xp67_ASAP7_75t_R,5.188600243899444e-11,0.0
drc_buf_sp164981,0,0,0,27630,27738,27846,28008,0,1,0,HB1xp67_ASAP7_75t_R,5.188600243899444e-11,0.0
drc_buf_sp164982,0,0,0,27630,27468,27846,27738,0,1,0,HB1xp67_ASAP7_75t_R,5.188600243899444e-11,0.0
drc_buf_sp164983,0,0,0,27846,27198,28062,27468,0,1,0,HB1xp67_ASAP7_75t_R,5.188600243899444e-11,0.0
drc_buf_sp164984,0,0,0,27630,27198,27846,27468,0,1,0,HB1xp67_ASAP7_75t_R,5.188600243899444e-11,0.0
drc_buf_sp165026,0,0,0,25956,27468,26172,27738,0,1,0,HB1xp67_ASAP7_75t_R,5.044180004243337e-11,0.0
drc_buf_sp165027,0,0,0,26820,27198,27036,27468,0,1,0,HB1xp67_ASAP7_75t_R,5.044180004243337e-11,0.0
drc_buf_sp165028,0,0,0,27036,27198,27252,27468,0,1,0,HB1xp67_ASAP7_75t_R,5.044180004243337e-11,0.0
drc_buf_sp165029,0,0,0,26550,27198,26766,27468,0,1,0,HB1xp67_ASAP7_75t_R,5.044180004243337e-11,0.0
drc_buf_sp165030,0,0,0,25632,27198,25848,27468,0,1,0,HB1xp67_ASAP7_75t_R,5.044180004243337e-11,0.0
drc_buf_sp165031,0,0,0,23472,27468,23688,27738,0,1,0,HB1xp67_ASAP7_75t_R,5.044180004243337e-11,0.0
drc_buf_sp165032,0,0,0,23418,27198,23634,27468,0,1,0,HB1xp67_ASAP7_75t_R,5.044180004243337e-11,0.0
drc_buf_sp165033,0,0,0,26982,26928,27198,27198,0,1,0,HB1xp67_ASAP7_75t_R,5.044180004243337e-11,0.0
drc_buf_sp165077,0,0,0,39888,16128,40104,16398,0,1,0,HB1xp67_ASAP7_75t_R,5.044180004243337e-11,0.0
drc_buf_sp165078,0,0,0,29520,27198,29736,27468,0,1,0,HB1xp67_ASAP7_75t_R,5.044180004243337e-11,0.0
drc_buf_sp165079,0,0,0,27738,15588,27954,15858,0,1,0,HB1xp67_ASAP7_75t_R,5.044180004243337e-11,0.0
drc_buf_sp165082,0,0,0,39672,16128,39888,16398,0,1,0,HB1xp67_ASAP7_75t_R,5.044180004243337e-11,0.0
drc_buf_sp165083,0,0,0,27252,27198,27468,27468,0,1,0,HB1xp67_ASAP7_75t_R,5.044180004243337e-11,0.0
drc_buf_sp165146,0,0,0,28926,28548,29142,28818,0,1,0,HB1xp67_ASAP7_75t_R,5.188600243899444e-11,0.0
drc_buf_sp165147,0,0,0,27306,26658,27522,26928,0,1,0,HB1xp67_ASAP7_75t_R,5.188600243899444e-11,0.0
drc_buf_sp165148,0,0,0,27522,15858,27738,16128,0,1,0,HB1xp67_ASAP7_75t_R,5.188600243899444e-11,0.0
drc_buf_sp165270,0,0,0,34866,15318,35082,15588,0,1,0,HB1xp67_ASAP7_75t_R,5.188600243899444e-11,0.0
drc_buf_sp165271,0,0,0,34650,15318,34866,15588,0,1,0,HB1xp67_ASAP7_75t_R,5.188600243899444e-11,0.0
drc_buf_sp165370,0,0,0,18828,25578,18990,25848,0,0,1,INVx1_ASAP7_75t_L,2.515430086447168e-10,3.9868984913482564e-07
drc_buf_sp165428,0,0,0,22500,4788,22662,5058,0,0,1,INVx1_ASAP7_75t_SL,2.5518225310605658e-09,5.766395929640566e-07
drc_buf_sp165457,0,0,0,24714,40428,24876,40698,0,0,1,INVx1_ASAP7_75t_SL,2.5518225310605658e-09,5.643427130053169e-07
drc_buf_sp165486,0,0,0,44424,21258,44586,21528,0,0,1,INVx1_ASAP7_75t_SL,2.5518225310605658e-09,5.681689572156756e-07
drc_buf_sp165573,0,0,0,23472,3978,23634,4248,0,0,1,INVx1_ASAP7_75t_L,2.515430086447168e-10,3.980379688073299e-07
drc_buf_sp165576,0,0,0,23850,4248,24066,4518,0,0,1,INVx2_ASAP7_75t_SL,5.10364994710244e-09,3.5322252642799867e-06
drc_buf_sp165631,0,0,0,43344,23148,43506,23418,0,0,1,INVx1_ASAP7_75t_SL,2.5518225310605658e-09,4.347773483459605e-07
drc_buf_sp165634,0,0,0,43128,23418,43344,23688,0,0,1,INVx2_ASAP7_75t_SL,5.10364994710244e-09,4.028437160741305e-06
drc_buf_sp165659,0,0,0,43506,23148,43722,23418,0,0,1,INVx2_ASAP7_75t_SL,5.10364994710244e-09,4.550655376078794e-06
drc_buf_sp165660,0,0,0,44154,23688,44316,23958,0,0,1,INVx1_ASAP7_75t_SL,2.5518225310605658e-09,4.734396270578145e-07
drc_buf_sp165689,0,0,0,24552,3978,24714,4248,0,0,1,INVx1_ASAP7_75t_L,2.515430086447168e-10,3.840476665573078e-07
drc_buf_sp165692,0,0,0,25254,3708,25470,3978,0,0,1,INVx2_ASAP7_75t_SL,5.10364994710244e-09,3.881763859681087e-06
drc_buf_sp165718,0,0,0,16236,26118,16398,26388,0,0,1,INVx1_ASAP7_75t_SL,2.5518225310605658e-09,7.1486391561848e-07
drc_buf_sp165747,0,0,0,43722,22878,43884,23148,0,0,1,INVx1_ASAP7_75t_SL,2.5518225310605658e-09,4.4753437578037847e-07
drc_buf_sp165775,0,0,0,23904,43128,24066,43398,0,0,1,INVx1_ASAP7_75t_SL,2.5518225310605658e-09,4.259451600319153e-07
drc_buf_sp165777,0,0,0,23904,42588,24120,42858,0,0,1,INVx2_ASAP7_75t_SL,5.10364994710244e-09,3.249695510021411e-06
drc_buf_sp165826,0,0,0,33462,27738,33678,28008,0,0,1,INVx2_ASAP7_75t_SL,5.10364994710244e-09,3.7472520943993004e-06
drc_buf_sp165827,0,0,0,33354,27468,33516,27738,0,0,1,INVx1_ASAP7_75t_SL,2.5518225310605658e-09,8.201195100809855e-07
drc_buf_sp165829,0,0,0,33246,27738,33462,28008,0,0,1,INVx2_ASAP7_75t_SL,5.10364994710244e-09,3.0815806439932203e-06
drc_buf_sp165935,0,0,0,44100,25038,44262,25308,0,0,1,INVx1_ASAP7_75t_SL,2.5518225310605658e-09,4.418771766268037e-07
drc_buf_sp165962,0,0,0,25146,7758,25362,8028,0,0,1,INVx2_ASAP7_75t_SL,5.10364994710244e-09,1.1297931905573932e-06
drc_buf_sp165988,0,0,0,20610,26658,20772,26928,0,0,1,INVx1_ASAP7_75t_SL,2.5518225310605658e-09,6.239729941626138e-07
drc_buf_sp166284,0,0,0,26550,35838,26712,36108,0,0,1,INVxp67_ASAP7_75t_SL,1.7012176112274346e-09,6.73262888994941e-07
drc_buf_sp166329,0,0,0,7650,17748,7866,18018,0,1,0,HB1xp67_ASAP7_75t_R,5.044180004243337e-11,6.086985841584347e-13
drc_buf_sp166354,0,0,0,11376,12888,11592,13158,0,1,0,HB1xp67_ASAP7_75t_R,5.044180004243337e-11,0.0
drc_buf_sp166379,0,0,0,10674,12348,10890,12618,0,1,0,HB1xp67_ASAP7_75t_R,5.188600243899444e-11,0.0
drc_buf_sp166404,0,0,0,7704,17208,7920,17478,0,1,0,HB1xp67_ASAP7_75t_R,5.188600243899444e-11,6.328053857827809e-13
drc_buf_sp166429,0,0,0,6894,27198,7110,27468,0,1,0,HB1xp67_ASAP7_75t_R,5.188600243899444e-11,0.0
drc_buf_sp166454,0,0,0,6300,26928,6516,27198,0,1,0,HB1xp67_ASAP7_75t_R,5.044180004243337e-11,0.0
drc_buf_sp166649,0,0,0,13212,15318,13428,15588,0,1,0,HB1xp67_ASAP7_75t_R,5.044180004243337e-11,0.0
drc_buf_sp170772,0,0,0,26820,36108,27036,36378,0,0,1,INVx2_ASAP7_75t_SL,5.10364994710244e-09,2.7252065137872705e-06
drc_buf_sp213876,0,0,0,20448,5058,20772,5328,0,1,0,BUFx3_ASAP7_75t_SL,1.021132511880296e-08,4.1879311538650654e-06
drc_buf_sp213877,0,0,0,43344,23418,43668,23688,0,1,0,BUFx3_ASAP7_75t_SL,1.021132511880296e-08,4.1267776396125555e-06
drc_buf_sp213888,0,0,0,33840,27738,34164,28008,0,1,0,BUFx3_ASAP7_75t_SL,1.021132511880296e-08,3.824220584647264e-06
drc_buf_sp213889,0,0,0,44100,21258,44424,21528,0,1,0,BUFx3_ASAP7_75t_SL,1.021132511880296e-08,3.869206466333708e-06
drc_buf_sp213900,0,0,0,35136,16128,35460,16398,0,1,0,BUFx3_ASAP7_75t_SL,1.021132511880296e-08,3.4840650187106803e-06
drc_buf_sp213901,0,0,0,24984,3438,25308,3708,0,1,0,BUFx3_ASAP7_75t_SL,1.021132511880296e-08,3.953761279262835e-06
