src,tar,src_type,tar_type
drc_bufs164535/Y,ac97_reset_pad_o_,pin,net
ac97_reset_pad_o_,ac97_reset_pad_o_,net,port
bit_clk_pad_i,u2_valid_reg/CLK,net,pin
bit_clk_pad_i,u2_sync_beat_reg/CLK,net,pin
bit_clk_pad_i,u2_out_le_reg\[5\]/CLK,net,pin
bit_clk_pad_i,u2_out_le_reg\[4\]/CLK,net,pin
bit_clk_pad_i,u2_out_le_reg\[3\]/CLK,net,pin
bit_clk_pad_i,u2_out_le_reg\[2\]/CLK,net,pin
bit_clk_pad_i,u2_out_le_reg\[1\]/CLK,net,pin
bit_clk_pad_i,u2_out_le_reg\[0\]/CLK,net,pin
bit_clk_pad_i,u2_ld_reg/CLK,net,pin
bit_clk_pad_i,u2_in_valid_reg\[2\]/CLK,net,pin
bit_clk_pad_i,u2_in_valid_reg\[1\]/CLK,net,pin
bit_clk_pad_i,u2_in_valid_reg\[0\]/CLK,net,pin
bit_clk_pad_i,u2_cnt_reg\[7\]/CLK,net,pin
bit_clk_pad_i,u2_cnt_reg\[6\]/CLK,net,pin
bit_clk_pad_i,u2_cnt_reg\[5\]/CLK,net,pin
bit_clk_pad_i,u2_cnt_reg\[4\]/CLK,net,pin
bit_clk_pad_i,u2_cnt_reg\[3\]/CLK,net,pin
bit_clk_pad_i,u2_cnt_reg\[2\]/CLK,net,pin
bit_clk_pad_i,u2_cnt_reg\[1\]/CLK,net,pin
bit_clk_pad_i,u2_cnt_reg\[0\]/CLK,net,pin
bit_clk_pad_i,u1_sr_reg\[9\]/CLK,net,pin
bit_clk_pad_i,u1_sr_reg\[8\]/CLK,net,pin
bit_clk_pad_i,u1_sr_reg\[7\]/CLK,net,pin
bit_clk_pad_i,u1_sr_reg\[6\]/CLK,net,pin
bit_clk_pad_i,u1_sr_reg\[5\]/CLK,net,pin
bit_clk_pad_i,u1_sr_reg\[4\]/CLK,net,pin
bit_clk_pad_i,u1_sr_reg\[3\]/CLK,net,pin
bit_clk_pad_i,u1_sr_reg\[2\]/CLK,net,pin
bit_clk_pad_i,u1_sr_reg\[1\]/CLK,net,pin
bit_clk_pad_i,u1_sr_reg\[19\]/CLK,net,pin
bit_clk_pad_i,u1_sr_reg\[18\]/CLK,net,pin
bit_clk_pad_i,u1_sr_reg\[17\]/CLK,net,pin
bit_clk_pad_i,u1_sr_reg\[16\]/CLK,net,pin
bit_clk_pad_i,u1_sr_reg\[15\]/CLK,net,pin
bit_clk_pad_i,u1_sr_reg\[14\]/CLK,net,pin
bit_clk_pad_i,u1_sr_reg\[13\]/CLK,net,pin
bit_clk_pad_i,u1_sr_reg\[12\]/CLK,net,pin
bit_clk_pad_i,u1_sr_reg\[11\]/CLK,net,pin
bit_clk_pad_i,u1_sr_reg\[10\]/CLK,net,pin
bit_clk_pad_i,u1_sr_reg\[0\]/CLK,net,pin
bit_clk_pad_i,u1_slt6_reg\[9\]/CLK,net,pin
bit_clk_pad_i,u1_slt6_reg\[8\]/CLK,net,pin
bit_clk_pad_i,u1_slt6_reg\[7\]/CLK,net,pin
bit_clk_pad_i,u1_slt6_reg\[6\]/CLK,net,pin
bit_clk_pad_i,u1_slt6_reg\[5\]/CLK,net,pin
bit_clk_pad_i,u1_slt6_reg\[4\]/CLK,net,pin
bit_clk_pad_i,u1_slt6_reg\[3\]/CLK,net,pin
bit_clk_pad_i,u1_slt6_reg\[2\]/CLK,net,pin
bit_clk_pad_i,u1_slt6_reg\[1\]/CLK,net,pin
bit_clk_pad_i,u1_slt6_reg\[19\]/CLK,net,pin
bit_clk_pad_i,u1_slt6_reg\[18\]/CLK,net,pin
bit_clk_pad_i,u1_slt6_reg\[17\]/CLK,net,pin
bit_clk_pad_i,u1_slt6_reg\[16\]/CLK,net,pin
bit_clk_pad_i,u1_slt6_reg\[15\]/CLK,net,pin
bit_clk_pad_i,u1_slt6_reg\[14\]/CLK,net,pin
bit_clk_pad_i,u1_slt6_reg\[13\]/CLK,net,pin
bit_clk_pad_i,u1_slt6_reg\[12\]/CLK,net,pin
bit_clk_pad_i,u1_slt6_reg\[11\]/CLK,net,pin
bit_clk_pad_i,u1_slt6_reg\[10\]/CLK,net,pin
bit_clk_pad_i,u1_slt6_reg\[0\]/CLK,net,pin
bit_clk_pad_i,u1_slt4_reg\[9\]/CLK,net,pin
bit_clk_pad_i,u1_slt4_reg\[8\]/CLK,net,pin
bit_clk_pad_i,u1_slt4_reg\[7\]/CLK,net,pin
bit_clk_pad_i,u1_slt4_reg\[6\]/CLK,net,pin
bit_clk_pad_i,u1_slt4_reg\[5\]/CLK,net,pin
bit_clk_pad_i,u1_slt4_reg\[4\]/CLK,net,pin
bit_clk_pad_i,u1_slt4_reg\[3\]/CLK,net,pin
bit_clk_pad_i,u1_slt4_reg\[2\]/CLK,net,pin
bit_clk_pad_i,u1_slt4_reg\[1\]/CLK,net,pin
bit_clk_pad_i,u1_slt4_reg\[19\]/CLK,net,pin
bit_clk_pad_i,u1_slt4_reg\[18\]/CLK,net,pin
bit_clk_pad_i,u1_slt4_reg\[17\]/CLK,net,pin
bit_clk_pad_i,u1_slt4_reg\[16\]/CLK,net,pin
bit_clk_pad_i,u1_slt4_reg\[15\]/CLK,net,pin
bit_clk_pad_i,u1_slt4_reg\[14\]/CLK,net,pin
bit_clk_pad_i,u1_slt4_reg\[13\]/CLK,net,pin
bit_clk_pad_i,u1_slt4_reg\[12\]/CLK,net,pin
bit_clk_pad_i,u1_slt4_reg\[11\]/CLK,net,pin
bit_clk_pad_i,u1_slt4_reg\[10\]/CLK,net,pin
bit_clk_pad_i,u1_slt4_reg\[0\]/CLK,net,pin
bit_clk_pad_i,u1_slt3_reg\[9\]/CLK,net,pin
bit_clk_pad_i,u1_slt3_reg\[8\]/CLK,net,pin
bit_clk_pad_i,u1_slt3_reg\[7\]/CLK,net,pin
bit_clk_pad_i,u1_slt3_reg\[6\]/CLK,net,pin
bit_clk_pad_i,u1_slt3_reg\[5\]/CLK,net,pin
bit_clk_pad_i,u1_slt3_reg\[4\]/CLK,net,pin
bit_clk_pad_i,u1_slt3_reg\[3\]/CLK,net,pin
