src,tar,src_type,tar_type,is_net,arc_delay
drc_buf_sp164977/A,drc_buf_sp164977/Y,pin,pin,0,9.9327438e-11
drc_buf_sp164978/A,drc_buf_sp164978/Y,pin,pin,0,1.1523161299999999e-10
drc_buf_sp164979/A,drc_buf_sp164979/Y,pin,pin,0,9.9680367e-11
drc_buf_sp164980/A,drc_buf_sp164980/Y,pin,pin,0,1.16863716e-10
drc_buf_sp164981/A,drc_buf_sp164981/Y,pin,pin,0,1.14229713e-10
drc_buf_sp164982/A,drc_buf_sp164982/Y,pin,pin,0,1.12272408e-10
drc_buf_sp164983/A,drc_buf_sp164983/Y,pin,pin,0,9.816623699999999e-11
drc_buf_sp164984/A,drc_buf_sp164984/Y,pin,pin,0,9.924865699999999e-11
drc_buf_sp165026/A,drc_buf_sp165026/Y,pin,pin,0,9.857993299999999e-11
drc_buf_sp165027/A,drc_buf_sp165027/Y,pin,pin,0,8.9274185e-11
drc_buf_sp165028/A,drc_buf_sp165028/Y,pin,pin,0,9.9232483e-11
drc_buf_sp165029/A,drc_buf_sp165029/Y,pin,pin,0,9.1572166e-11
drc_buf_sp165030/A,drc_buf_sp165030/Y,pin,pin,0,9.356192e-11
drc_buf_sp165031/A,drc_buf_sp165031/Y,pin,pin,0,9.606613900000001e-11
drc_buf_sp165032/A,drc_buf_sp165032/Y,pin,pin,0,9.647303e-11
drc_buf_sp165033/A,drc_buf_sp165033/Y,pin,pin,0,9.4761604e-11
drc_buf_sp165077/A,drc_buf_sp165077/Y,pin,pin,0,1.2921469099999999e-10
drc_buf_sp165078/A,drc_buf_sp165078/Y,pin,pin,0,9.830759399999999e-11
drc_buf_sp165079/A,drc_buf_sp165079/Y,pin,pin,0,1.17940475e-10
drc_buf_sp165082/A,drc_buf_sp165082/Y,pin,pin,0,1.25193398e-10
drc_buf_sp165083/A,drc_buf_sp165083/Y,pin,pin,0,8.963507099999999e-11
drc_buf_sp165146/A,drc_buf_sp165146/Y,pin,pin,0,1.17912598e-10
drc_buf_sp165147/A,drc_buf_sp165147/Y,pin,pin,0,1.1455009499999999e-10
drc_buf_sp165148/A,drc_buf_sp165148/Y,pin,pin,0,1.20138695e-10
drc_buf_sp165270/A,drc_buf_sp165270/Y,pin,pin,0,9.981008099999999e-11
drc_buf_sp165271/A,drc_buf_sp165271/Y,pin,pin,0,9.8938919e-11
drc_buf_sp165370/A,drc_buf_sp165370/Y,pin,pin,0,1.4793037999999997e-11
drc_buf_sp165428/A,drc_buf_sp165428/Y,pin,pin,0,1.3763244e-11
drc_buf_sp165457/A,drc_buf_sp165457/Y,pin,pin,0,1.2827424e-11
drc_buf_sp165486/A,drc_buf_sp165486/Y,pin,pin,0,1.3628237e-11
drc_buf_sp165573/A,drc_buf_sp165573/Y,pin,pin,0,1.3632759e-11
drc_buf_sp165576/A,drc_buf_sp165576/Y,pin,pin,0,2.4769854e-11
drc_buf_sp165631/A,drc_buf_sp165631/Y,pin,pin,0,8.324335e-12
drc_buf_sp165634/A,drc_buf_sp165634/Y,pin,pin,0,3.0475546e-11
drc_buf_sp165659/A,drc_buf_sp165659/Y,pin,pin,0,3.4139015e-11
drc_buf_sp165660/A,drc_buf_sp165660/Y,pin,pin,0,8.930139e-12
drc_buf_sp165689/A,drc_buf_sp165689/Y,pin,pin,0,1.3414535000000001e-11
drc_buf_sp165692/A,drc_buf_sp165692/Y,pin,pin,0,2.7157688e-11
drc_buf_sp165718/A,drc_buf_sp165718/Y,pin,pin,0,1.6669071e-11
drc_buf_sp165747/A,drc_buf_sp165747/Y,pin,pin,0,8.616405e-12
drc_buf_sp165775/A,drc_buf_sp165775/Y,pin,pin,0,8.513432e-12
drc_buf_sp165777/A,drc_buf_sp165777/Y,pin,pin,0,2.4551715999999997e-11
drc_buf_sp165826/A,drc_buf_sp165826/Y,pin,pin,0,3.2625988e-11
drc_buf_sp165827/A,drc_buf_sp165827/Y,pin,pin,0,2.1127609e-11
drc_buf_sp165829/A,drc_buf_sp165829/Y,pin,pin,0,2.7695025999999997e-11
drc_buf_sp165935/A,drc_buf_sp165935/Y,pin,pin,0,8.521971e-12
drc_buf_sp165962/A,drc_buf_sp165962/Y,pin,pin,0,1.3901771e-11
drc_buf_sp165988/A,drc_buf_sp165988/Y,pin,pin,0,1.6156893e-11
drc_buf_sp166284/A,drc_buf_sp166284/Y,pin,pin,0,2.3175139999999997e-11
drc_buf_sp166329/A,drc_buf_sp166329/Y,pin,pin,0,6.3665318e-11
drc_buf_sp166354/A,drc_buf_sp166354/Y,pin,pin,0,6.1129498e-11
drc_buf_sp166379/A,drc_buf_sp166379/Y,pin,pin,0,7.2121567e-11
drc_buf_sp166404/A,drc_buf_sp166404/Y,pin,pin,0,7.624562799999999e-11
drc_buf_sp166429/A,drc_buf_sp166429/Y,pin,pin,0,7.323803700000001e-11
drc_buf_sp166454/A,drc_buf_sp166454/Y,pin,pin,0,5.9253448e-11
drc_buf_sp166649/A,drc_buf_sp166649/Y,pin,pin,0,5.3881767000000004e-11
drc_buf_sp170772/A,drc_buf_sp170772/Y,pin,pin,0,2.5772961e-11
drc_buf_sp213876/A,drc_buf_sp213876/Y,pin,pin,0,3.0006334e-11
drc_buf_sp213877/A,drc_buf_sp213877/Y,pin,pin,0,2.6816025e-11
drc_buf_sp213888/A,drc_buf_sp213888/Y,pin,pin,0,2.8027592e-11
drc_buf_sp213889/A,drc_buf_sp213889/Y,pin,pin,0,2.6539840999999998e-11
drc_buf_sp213900/A,drc_buf_sp213900/Y,pin,pin,0,2.6940393e-11
drc_buf_sp213901/A,drc_buf_sp213901/Y,pin,pin,0,2.6450617e-11
drc_buf_sp213913/A,drc_buf_sp213913/Y,pin,pin,0,1.4946505e-11
drc_buf_sp215496/A,drc_buf_sp215496/Y,pin,pin,0,1.8213404e-11
drc_buf_sp225155/A,drc_buf_sp225155/Y,pin,pin,0,2.4410291999999997e-11
drc_buf_sp225156/A,drc_buf_sp225156/Y,pin,pin,0,2.2601353e-11
drc_buf_sp225157/A,drc_buf_sp225157/Y,pin,pin,0,1.6897993e-11
drc_buf_sp40/A,drc_buf_sp40/Y,pin,pin,0,3.3871002e-11
drc_buf_sp41/A,drc_buf_sp41/Y,pin,pin,0,9.312208e-12
drc_buf_sp45/A,drc_buf_sp45/Y,pin,pin,0,3.165761e-11
drc_buf_sp46/A,drc_buf_sp46/Y,pin,pin,0,1.5543385e-11
drc_buf_sp47/A,drc_buf_sp47/Y,pin,pin,0,3.0351089e-11
drc_buf_sp48/A,drc_buf_sp48/Y,pin,pin,0,2.4906723e-11
drc_buf_sp49/A,drc_buf_sp49/Y,pin,pin,0,2.3831161e-11
drc_bufs12/A,drc_bufs12/Y,pin,pin,0,3.7582188000000004e-11
drc_bufs15/A,drc_bufs15/Y,pin,pin,0,2.1932295e-11
drc_bufs164353/A,drc_bufs164353/Y,pin,pin,0,9.805716e-12
drc_bufs164354/A,drc_bufs164354/Y,pin,pin,0,2.1605923e-11
drc_bufs164361/A,drc_bufs164361/Y,pin,pin,0,3.5353069e-11
drc_bufs164364/A,drc_bufs164364/Y,pin,pin,0,1.6009529e-11
drc_bufs164367/A,drc_bufs164367/Y,pin,pin,0,1.487784e-11
drc_bufs164370/A,drc_bufs164370/Y,pin,pin,0,1.55026e-11
drc_bufs164373/A,drc_bufs164373/Y,pin,pin,0,2.0522797e-11
drc_bufs164376/A,drc_bufs164376/Y,pin,pin,0,1.5787618e-11
drc_bufs164379/A,drc_bufs164379/Y,pin,pin,0,1.5174443e-11
drc_bufs164382/A,drc_bufs164382/Y,pin,pin,0,1.5605109e-11
drc_bufs164385/A,drc_bufs164385/Y,pin,pin,0,1.5886164000000002e-11
drc_bufs164388/A,drc_bufs164388/Y,pin,pin,0,1.5742805e-11
drc_bufs164393/A,drc_bufs164393/Y,pin,pin,0,1.4614509999999998e-11
drc_bufs164399/A,drc_bufs164399/Y,pin,pin,0,1.510102e-11
drc_bufs164405/A,drc_bufs164405/Y,pin,pin,0,3.3019089000000003e-11
drc_bufs164411/A,drc_bufs164411/Y,pin,pin,0,1.4401401999999998e-11
drc_bufs164417/A,drc_bufs164417/Y,pin,pin,0,3.4299358e-11
drc_bufs164423/A,drc_bufs164423/Y,pin,pin,0,1.4300948e-11
drc_bufs164429/A,drc_bufs164429/Y,pin,pin,0,2.8065321e-11
drc_bufs164435/A,drc_bufs164435/Y,pin,pin,0,3.9284592e-11
