pin_name,x,y,is_in_clk,is_port,is_startpoint,is_endpoint,dir,maxcap,maxtran,num_reachable_endpoint,cell_name,net_name,pin_tran,pin_slack,pin_rise_arr,pin_fall_arr,input_pin_cap
drc_buf_sp164977/A,27667,26793,0,-1,0,0,0,0.0,3.199999987213431e-10,0,drc_buf_sp164977,n_5529,8.788851590946223e-11,1.0000000150474662e+30,1.542740241111673e-10,1.4819084848127773e-10,3.167060160250769e-16
drc_buf_sp164977/Y,27808,26793,0,-1,0,0,1,2.3040000896729085e-14,2.2699998825093104e-10,0,drc_buf_sp164977,n_9294,1.9179094423726895e-10,1.0000000150474662e+30,2.654464703599757e-10,2.4751836691372375e-10,-1
drc_buf_sp164978/A,28099,27333,0,-1,0,0,0,0.0,3.199999987213431e-10,0,drc_buf_sp164978,n_5529,8.788834243711463e-11,1.0000000150474662e+30,1.5424690691379084e-10,1.4816374516168906e-10,3.167060160250769e-16
drc_buf_sp164978/Y,28240,27333,0,-1,0,0,1,2.3040000896729085e-14,2.2699998825093104e-10,0,drc_buf_sp164978,n_9295,2.0256628319170744e-10,1.0000000150474662e+30,2.694786338519606e-10,2.5072566245398775e-10,-1
drc_buf_sp164979/A,28315,27333,0,-1,0,0,0,0.0,3.199999987213431e-10,0,drc_buf_sp164979,n_5529,8.788832855932682e-11,1.0000000150474662e+30,1.542448807567709e-10,1.4816173288245693e-10,3.167060160250769e-16
drc_buf_sp164979/Y,28456,27333,0,-1,0,0,1,2.3040000896729085e-14,2.2699998825093104e-10,0,drc_buf_sp164979,n_9296,1.95920724088694e-10,1.0000000150474662e+30,2.6610946779470623e-10,2.478421912144313e-10,-1
drc_buf_sp164980/A,27883,27603,0,-1,0,0,0,0.0,3.199999987213431e-10,0,drc_buf_sp164980,n_5529,8.788871019849154e-11,1.0000000150474662e+30,1.5429789390619675e-10,1.4821470439851936e-10,3.167060160250769e-16
drc_buf_sp164980/Y,28024,27603,0,-1,0,0,1,2.3040000896729085e-14,2.2699998825093104e-10,0,drc_buf_sp164980,n_9297,2.07887207448465e-10,1.0000000150474662e+30,2.711617042017167e-10,2.5198243491786343e-10,-1
drc_buf_sp164981/A,27667,27873,0,-1,0,0,0,0.0,3.199999987213431e-10,0,drc_buf_sp164981,n_5529,8.788869632070373e-11,1.0000000150474662e+30,1.5429633959396227e-10,1.4821315008628488e-10,3.167060160250769e-16
drc_buf_sp164981/Y,27808,27873,0,-1,0,0,1,2.3040000896729085e-14,2.2699998825093104e-10,0,drc_buf_sp164981,n_9298,2.004615778927743e-10,1.0000000150474662e+30,2.6852614576355904e-10,2.4991456126777223e-10,-1
