port_name,net_name,dir,is_startpoint,is_endpoint,x0,y0,x1,y1,tran,slack,rise_arr,fall_arr
ac97_reset_pad_o_,ac97_reset_pad_o_,OUTPUT,0,1,45640,23856,45828,23896,1.0983273318609932e-11,-2.626469042255053e-10,3.74008879422405e-10,3.746468968390815e-10
bit_clk_pad_i,bit_clk_pad_i,INPUT,1,0,23892,0,23924,69,3.999999984016789e-12,1.8528174827725508e-10,7.999999968033578e-12,7.999999968033578e-12
clk_i,clk_i,INPUT,1,0,22884,45672,22908,45756,3.999999984016789e-12,-7.114931976914818e-10,0.0,5.999999802552836e-11
dma_ack_i[0],dma_ack_i[0],INPUT,1,0,22980,0,23004,84,3.999999984016789e-12,5.26678700651928e-10,7.999999968033578e-12,7.999999968033578e-12
dma_ack_i[1],dma_ack_i[1],INPUT,1,0,22980,45672,23004,45756,3.999999984016789e-12,5.597076691010727e-10,7.999999968033578e-12,7.999999968033578e-12
dma_ack_i[2],dma_ack_i[2],INPUT,1,0,45640,22896,45828,22936,3.999999984016789e-12,4.744606374451621e-10,7.999999968033578e-12,7.999999968033578e-12
dma_ack_i[3],dma_ack_i[3],INPUT,1,0,0,22896,188,22936,3.999999984016789e-12,4.1754599777732437e-10,7.999999968033578e-12,7.999999968033578e-12
dma_ack_i[4],dma_ack_i[4],INPUT,1,0,45759,22868,45828,22900,3.999999984016789e-12,4.2250639098462273e-10,7.999999968033578e-12,7.999999968033578e-12
dma_ack_i[5],dma_ack_i[5],INPUT,1,0,0,22868,69,22900,3.999999984016789e-12,4.897351968402575e-10,7.999999968033578e-12,7.999999968033578e-12
dma_ack_i[6],dma_ack_i[6],INPUT,1,0,22868,0,22900,69,3.999999984016789e-12,4.865328140368774e-10,7.999999968033578e-12,7.999999968033578e-12
dma_ack_i[7],dma_ack_i[7],INPUT,1,0,22868,45687,22900,45756,3.999999984016789e-12,3.6409153469918465e-10,7.999999968033578e-12,7.999999968033578e-12
