src,tar,src_type,tar_type
dcnt_reg\[0\],g219756,cell,cell
dcnt_reg\[0\],g110814,cell,cell
dcnt_reg\[0\],g110206,cell,cell
dcnt_reg\[0\],g109703,cell,cell
dcnt_reg\[1\],g216404,cell,cell
dcnt_reg\[1\],g110814,cell,cell
dcnt_reg\[1\],g110206,cell,cell
dcnt_reg\[2\],g216404,cell,cell
dcnt_reg\[2\],g110438,cell,cell
dcnt_reg\[2\],g109831,cell,cell
dcnt_reg\[3\],g216404,cell,cell
dcnt_reg\[3\],g110014,cell,cell
dcnt_reg\[3\],g109704,cell,cell
done_reg,drc_bufs221655,cell,cell
ld_r_reg,g217936,cell,cell
ld_r_reg,g111212,cell,cell
g111286,g110503,cell,cell
g111286,g109991,cell,cell
g111286,g109930,cell,cell
g111285,g110173,cell,cell
g111285,g109913,cell,cell
g111276,g110539,cell,cell
g111276,g109860,cell,cell
g111276,g109828,cell,cell
g111276,g109795,cell,cell
g111219,g110332,cell,cell
g111219,g110331,cell,cell
g111219,g110310,cell,cell
g111219,g110294,cell,cell
g111219,g110280,cell,cell
g111219,g110278,cell,cell
g111219,g110260,cell,cell
g111219,g110253,cell,cell
g111219,g110238,cell,cell
g111219,g110237,cell,cell
g111219,g110236,cell,cell
g111219,g110233,cell,cell
g111219,g110227,cell,cell
g111219,g110224,cell,cell
g111219,g110220,cell,cell
g111219,g110215,cell,cell
g109988,g109758,cell,cell
drc_bufs222026,drc_bufs222025,cell,cell
drc_bufs222029,drc_bufs222028,cell,cell
g109987,g109679,cell,cell
drc_bufs222032,drc_bufs222031,cell,cell
drc_bufs222035,drc_bufs222034,cell,cell
g109986,g109678,cell,cell
drc_bufs222038,drc_bufs222037,cell,cell
drc_bufs222041,drc_bufs222040,cell,cell
g109985,g109814,cell,cell
drc_bufs222044,drc_bufs222043,cell,cell
g109983,g109702,cell,cell
g109982,g109712,cell,cell
g109981,g109674,cell,cell
g109980,g109821,cell,cell
g109979,g109670,cell,cell
g109978,g109662,cell,cell
g111231,g111230,cell,cell
g111231,g111222,cell,cell
g111231,g111220,cell,cell
g111231,g111219,cell,cell
g111231,g111215,cell,cell
g111231,g110264,cell,cell
g111231,g110244,cell,cell
g111231,g110242,cell,cell
g111231,g110241,cell,cell
g111231,g110237,cell,cell
g111231,g110236,cell,cell
g111231,g110233,cell,cell
g111231,g110231,cell,cell
g111231,g110014,cell,cell
g109977,g109750,cell,cell
g109976,g109720,cell,cell
g109975,g109724,cell,cell
g109974,g109823,cell,cell
g109973,g109772,cell,cell
g109972,g109779,cell,cell
g109971,g109816,cell,cell
g109970,g109676,cell,cell
g109969,g109829,cell,cell
g109968,g109746,cell,cell
g111209,sa32_reg\[1\],cell,cell
g111209,sa32_reg\[0\],cell,cell
g111209,sa22_reg\[2\],cell,cell
g111209,sa21_reg\[3\],cell,cell
g111209,sa20_reg\[3\],cell,cell
g111209,sa20_reg\[1\],cell,cell
g111209,sa13_reg\[5\],cell,cell
g111209,sa13_reg\[3\],cell,cell
g111209,sa10_reg\[6\],cell,cell
g111209,sa10_reg\[3\],cell,cell
g111209,sa03_reg\[1\],cell,cell
g111209,sa02_reg\[1\],cell,cell
g109967,g109658,cell,cell
g109966,g109819,cell,cell
g109965,g109767,cell,cell
g109962,g109817,cell,cell
g109961,g109675,cell,cell
g109960,g109812,cell,cell
g109958,g109818,cell,cell
g109957,g109797,cell,cell
g109956,g109791,cell,cell
g111208,sa33_reg\[4\],cell,cell
g111208,sa23_reg\[7\],cell,cell
g111208,sa22_reg\[0\],cell,cell
g111208,sa21_reg\[4\],cell,cell
g111208,sa21_reg\[2\],cell,cell
g111208,sa20_reg\[4\],cell,cell
g111208,sa11_reg\[4\],cell,cell
g111208,sa11_reg\[1\],cell,cell
g111208,sa03_reg\[2\],cell,cell
g111208,sa02_reg\[0\],cell,cell
g111208,sa01_reg\[7\],cell,cell
g111208,sa01_reg\[5\],cell,cell
g109955,g109783,cell,cell
g109953,g109802,cell,cell
g109952,g109782,cell,cell
g109951,g109782,cell,cell
g109950,g109768,cell,cell
g109949,g109819,cell,cell
g109948,g109820,cell,cell
g109947,g109673,cell,cell
g109946,g109769,cell,cell
g109945,g109794,cell,cell
g111207,sa32_reg\[3\],cell,cell
g111207,sa31_reg\[5\],cell,cell
g111207,sa23_reg\[4\],cell,cell
g111207,sa22_reg\[6\],cell,cell
g111207,sa20_reg\[7\],cell,cell
g111207,sa10_reg\[4\],cell,cell
g111207,sa10_reg\[1\],cell,cell
g111207,sa01_reg\[6\],cell,cell
g111207,sa01_reg\[3\],cell,cell
g111207,sa01_reg\[2\],cell,cell
