src,tar,src_type,tar_type
clk,dcnt_reg\[0\],net,cell
n_1272,dcnt_reg\[0\],net,cell
dcnt_reg\[0\],dcnt[0],cell,net
clk,dcnt_reg\[1\],net,cell
n_1245,dcnt_reg\[1\],net,cell
dcnt_reg\[1\],dcnt[1],cell,net
clk,dcnt_reg\[2\],net,cell
n_1147,dcnt_reg\[2\],net,cell
dcnt_reg\[2\],dcnt[2],cell,net
clk,dcnt_reg\[3\],net,cell
n_1271,dcnt_reg\[3\],net,cell
dcnt_reg\[3\],dcnt[3],cell,net
clk,done_reg,net,cell
n_3832,done_reg,net,cell
done_reg,done_3039,cell,net
n_95,drc_bufs,net,cell
drc_bufs,n_36,cell,net
n_95,drc_bufs111232,net,cell
drc_bufs111232,n_35,cell,net
n_95,drc_bufs111233,net,cell
drc_bufs111233,n_34,cell,net
n_95,drc_bufs111234,net,cell
drc_bufs111234,n_33,cell,net
n_95,drc_bufs111235,net,cell
drc_bufs111235,n_32,cell,net
n_95,drc_bufs111236,net,cell
drc_bufs111236,n_31,cell,net
n_95,drc_bufs111237,net,cell
drc_bufs111237,n_30,cell,net
n_95,drc_bufs111238,net,cell
drc_bufs111238,n_29,cell,net
n_95,drc_bufs111251,net,cell
drc_bufs111251,n_28,cell,net
n_95,drc_bufs111259,net,cell
drc_bufs111259,n_27,cell,net
n_2061,drc_bufs220670,net,cell
drc_bufs220670,n_1380,cell,net
n_2395,drc_bufs220676,net,cell
drc_bufs220676,n_1379,cell,net
n_2047,drc_bufs220682,net,cell
drc_bufs220682,n_1378,cell,net
sa11[6],drc_bufs220688,net,cell
drc_bufs220688,n_1377,cell,net
n_2084,drc_bufs220729,net,cell
drc_bufs220729,n_1372,cell,net
n_8180,drc_bufs220735,net,cell
drc_bufs220735,n_1371,cell,net
n_2064,drc_bufs220752,net,cell
drc_bufs220752,n_1370,cell,net
n_2059,drc_bufs220758,net,cell
drc_bufs220758,n_1369,cell,net
n_8189,drc_bufs220764,net,cell
drc_bufs220764,n_1368,cell,net
n_2089,drc_bufs220777,net,cell
drc_bufs220777,n_1366,cell,net
sa02[0],drc_bufs220788,net,cell
drc_bufs220788,n_1365,cell,net
n_2066,drc_bufs220794,net,cell
drc_bufs220794,n_1364,cell,net
n_8200,drc_bufs220814,net,cell
drc_bufs220814,n_1361,cell,net
sa20[4],drc_bufs220820,net,cell
drc_bufs220820,n_1360,cell,net
n_8212,drc_bufs220826,net,cell
drc_bufs220826,n_1359,cell,net
n_2057,drc_bufs220832,net,cell
drc_bufs220832,n_1358,cell,net
n_2415,drc_bufs220838,net,cell
drc_bufs220838,n_1357,cell,net
n_2411,drc_bufs220882,net,cell
drc_bufs220882,n_1406,cell,net
n_2092,drc_bufs220892,net,cell
drc_bufs220892,n_1374,cell,net
n_2399,drc_bufs220899,net,cell
drc_bufs220899,n_1389,cell,net
sa30[6],drc_bufs220943,net,cell
drc_bufs220943,n_1367,cell,net
n_1938,drc_bufs220950,net,cell
drc_bufs220950,n_1353,cell,net
n_2065,drc_bufs220957,net,cell
drc_bufs220957,n_1432,cell,net
text_out\[0\]_3160,drc_bufs221271,net,cell
drc_bufs221271,n_9002,cell,net
text_out\[127\]_3047,drc_bufs221274,net,cell
drc_bufs221274,n_9005,cell,net
text_out\[2\]_3162,drc_bufs221277,net,cell
drc_bufs221277,n_9008,cell,net
text_out\[125\]_3045,drc_bufs221280,net,cell
drc_bufs221280,n_9011,cell,net
text_out\[124\]_3044,drc_bufs221283,net,cell
drc_bufs221283,n_9014,cell,net
text_out\[123\]_3043,drc_bufs221286,net,cell
drc_bufs221286,n_9017,cell,net
text_out\[122\]_3042,drc_bufs221289,net,cell
drc_bufs221289,n_9020,cell,net
text_out\[121\]_3041,drc_bufs221292,net,cell
drc_bufs221292,n_9023,cell,net
text_out\[120\]_3040,drc_bufs221295,net,cell
drc_bufs221295,n_9026,cell,net
text_out\[119\]_3079,drc_bufs221298,net,cell
drc_bufs221298,n_9029,cell,net
