src,tar,src_type,tar_type
g223000/CON,UNCONNECTED,pin,net
clk,u0_w_reg\[3\]\[9\]/CLK,net,pin
clk,u0_w_reg\[3\]\[8\]/CLK,net,pin
clk,u0_w_reg\[3\]\[7\]/CLK,net,pin
clk,u0_w_reg\[3\]\[6\]/CLK,net,pin
clk,u0_w_reg\[3\]\[5\]/CLK,net,pin
clk,u0_w_reg\[3\]\[4\]/CLK,net,pin
clk,u0_w_reg\[3\]\[3\]/CLK,net,pin
clk,u0_w_reg\[3\]\[31\]/CLK,net,pin
clk,u0_w_reg\[3\]\[30\]/CLK,net,pin
clk,u0_w_reg\[3\]\[2\]/CLK,net,pin
clk,u0_w_reg\[3\]\[29\]/CLK,net,pin
clk,u0_w_reg\[3\]\[28\]/CLK,net,pin
clk,u0_w_reg\[3\]\[27\]/CLK,net,pin
clk,u0_w_reg\[3\]\[26\]/CLK,net,pin
clk,u0_w_reg\[3\]\[25\]/CLK,net,pin
clk,u0_w_reg\[3\]\[24\]/CLK,net,pin
clk,u0_w_reg\[3\]\[23\]/CLK,net,pin
clk,u0_w_reg\[3\]\[22\]/CLK,net,pin
clk,u0_w_reg\[3\]\[21\]/CLK,net,pin
clk,u0_w_reg\[3\]\[20\]/CLK,net,pin
clk,u0_w_reg\[3\]\[1\]/CLK,net,pin
clk,u0_w_reg\[3\]\[19\]/CLK,net,pin
clk,u0_w_reg\[3\]\[18\]/CLK,net,pin
clk,u0_w_reg\[3\]\[17\]/CLK,net,pin
clk,u0_w_reg\[3\]\[16\]/CLK,net,pin
clk,u0_w_reg\[3\]\[15\]/CLK,net,pin
clk,u0_w_reg\[3\]\[14\]/CLK,net,pin
clk,u0_w_reg\[3\]\[13\]/CLK,net,pin
clk,u0_w_reg\[3\]\[12\]/CLK,net,pin
clk,u0_w_reg\[3\]\[11\]/CLK,net,pin
clk,u0_w_reg\[3\]\[10\]/CLK,net,pin
clk,u0_w_reg\[3\]\[0\]/CLK,net,pin
clk,u0_w_reg\[2\]\[9\]/CLK,net,pin
clk,u0_w_reg\[2\]\[8\]/CLK,net,pin
clk,u0_w_reg\[2\]\[7\]/CLK,net,pin
clk,u0_w_reg\[2\]\[6\]/CLK,net,pin
clk,u0_w_reg\[2\]\[5\]/CLK,net,pin
clk,u0_w_reg\[2\]\[4\]/CLK,net,pin
clk,u0_w_reg\[2\]\[3\]/CLK,net,pin
clk,u0_w_reg\[2\]\[31\]/CLK,net,pin
clk,u0_w_reg\[2\]\[30\]/CLK,net,pin
clk,u0_w_reg\[2\]\[2\]/CLK,net,pin
clk,u0_w_reg\[2\]\[29\]/CLK,net,pin
clk,u0_w_reg\[2\]\[28\]/CLK,net,pin
clk,u0_w_reg\[2\]\[27\]/CLK,net,pin
clk,u0_w_reg\[2\]\[26\]/CLK,net,pin
clk,u0_w_reg\[2\]\[25\]/CLK,net,pin
clk,u0_w_reg\[2\]\[24\]/CLK,net,pin
clk,u0_w_reg\[2\]\[23\]/CLK,net,pin
clk,u0_w_reg\[2\]\[22\]/CLK,net,pin
clk,u0_w_reg\[2\]\[21\]/CLK,net,pin
clk,u0_w_reg\[2\]\[20\]/CLK,net,pin
clk,u0_w_reg\[2\]\[1\]/CLK,net,pin
clk,u0_w_reg\[2\]\[19\]/CLK,net,pin
clk,u0_w_reg\[2\]\[18\]/CLK,net,pin
clk,u0_w_reg\[2\]\[17\]/CLK,net,pin
clk,u0_w_reg\[2\]\[16\]/CLK,net,pin
clk,u0_w_reg\[2\]\[15\]/CLK,net,pin
clk,u0_w_reg\[2\]\[14\]/CLK,net,pin
clk,u0_w_reg\[2\]\[13\]/CLK,net,pin
clk,u0_w_reg\[2\]\[12\]/CLK,net,pin
clk,u0_w_reg\[2\]\[11\]/CLK,net,pin
clk,u0_w_reg\[2\]\[10\]/CLK,net,pin
clk,u0_w_reg\[2\]\[0\]/CLK,net,pin
clk,u0_w_reg\[1\]\[9\]/CLK,net,pin
clk,u0_w_reg\[1\]\[8\]/CLK,net,pin
clk,u0_w_reg\[1\]\[7\]/CLK,net,pin
clk,u0_w_reg\[1\]\[6\]/CLK,net,pin
clk,u0_w_reg\[1\]\[5\]/CLK,net,pin
clk,u0_w_reg\[1\]\[4\]/CLK,net,pin
clk,u0_w_reg\[1\]\[3\]/CLK,net,pin
clk,u0_w_reg\[1\]\[31\]/CLK,net,pin
clk,u0_w_reg\[1\]\[30\]/CLK,net,pin
clk,u0_w_reg\[1\]\[2\]/CLK,net,pin
clk,u0_w_reg\[1\]\[29\]/CLK,net,pin
clk,u0_w_reg\[1\]\[28\]/CLK,net,pin
clk,u0_w_reg\[1\]\[27\]/CLK,net,pin
clk,u0_w_reg\[1\]\[26\]/CLK,net,pin
clk,u0_w_reg\[1\]\[25\]/CLK,net,pin
clk,u0_w_reg\[1\]\[24\]/CLK,net,pin
clk,u0_w_reg\[1\]\[23\]/CLK,net,pin
clk,u0_w_reg\[1\]\[22\]/CLK,net,pin
clk,u0_w_reg\[1\]\[21\]/CLK,net,pin
clk,u0_w_reg\[1\]\[20\]/CLK,net,pin
clk,u0_w_reg\[1\]\[1\]/CLK,net,pin
clk,u0_w_reg\[1\]\[19\]/CLK,net,pin
clk,u0_w_reg\[1\]\[18\]/CLK,net,pin
clk,u0_w_reg\[1\]\[17\]/CLK,net,pin
clk,u0_w_reg\[1\]\[16\]/CLK,net,pin
clk,u0_w_reg\[1\]\[15\]/CLK,net,pin
clk,u0_w_reg\[1\]\[14\]/CLK,net,pin
clk,u0_w_reg\[1\]\[13\]/CLK,net,pin
clk,u0_w_reg\[1\]\[12\]/CLK,net,pin
clk,u0_w_reg\[1\]\[11\]/CLK,net,pin
clk,u0_w_reg\[1\]\[10\]/CLK,net,pin
clk,u0_w_reg\[1\]\[0\]/CLK,net,pin
clk,u0_w_reg\[0\]\[9\]/CLK,net,pin
clk,u0_w_reg\[0\]\[8\]/CLK,net,pin
clk,u0_w_reg\[0\]\[7\]/CLK,net,pin
clk,u0_w_reg\[0\]\[6\]/CLK,net,pin
clk,u0_w_reg\[0\]\[5\]/CLK,net,pin
clk,u0_w_reg\[0\]\[4\]/CLK,net,pin
clk,u0_w_reg\[0\]\[3\]/CLK,net,pin
clk,u0_w_reg\[0\]\[31\]/CLK,net,pin
clk,u0_w_reg\[0\]\[30\]/CLK,net,pin
clk,u0_w_reg\[0\]\[2\]/CLK,net,pin
clk,u0_w_reg\[0\]\[29\]/CLK,net,pin
clk,u0_w_reg\[0\]\[28\]/CLK,net,pin
clk,u0_w_reg\[0\]\[27\]/CLK,net,pin
