net_name,net_route_length,net_steiner_length,fanout,total_cap,net_cap,net_coupling,net_res
UNCONNECTED,0,-1,0,0.0,0.0,0.0,0.0
clk,0,-1,530,2.7798764809169874e-13,0.0,0.0,0.0
dcnt[0],0,-1,4,1.580631030454068e-15,0.0,0.0,0.0
dcnt[1],0,-1,3,1.1784119297362063e-15,0.0,0.0,0.0
dcnt[2],0,-1,3,1.3385049684155317e-15,0.0,0.0,0.0
dcnt[3],0,-1,3,1.379230947794229e-15,0.0,0.0,0.0
done,0,-1,0,0.0,0.0,0.0,0.0
done_3039,0,-1,1,3.329239970474774e-16,0.0,0.0,0.0
key[0],0,-1,1,2.7572301508644724e-16,0.0,0.0,0.0
key[100],0,-1,1,4.025770250776358e-16,0.0,0.0,0.0
key[101],0,-1,1,4.025770250776358e-16,0.0,0.0,0.0
key[102],0,-1,1,4.025770250776358e-16,0.0,0.0,0.0
key[103],0,-1,1,4.025770250776358e-16,0.0,0.0,0.0
key[104],0,-1,1,4.025770250776358e-16,0.0,0.0,0.0
key[105],0,-1,1,4.025770250776358e-16,0.0,0.0,0.0
key[106],0,-1,1,4.1867700382257193e-16,0.0,0.0,0.0
key[107],0,-1,1,4.025770250776358e-16,0.0,0.0,0.0
key[108],0,-1,1,4.025770250776358e-16,0.0,0.0,0.0
key[109],0,-1,1,4.025770250776358e-16,0.0,0.0,0.0
key[10],0,-1,1,6.037300388146726e-16,0.0,0.0,0.0
key[110],0,-1,1,4.025770250776358e-16,0.0,0.0,0.0
key[111],0,-1,1,4.025770250776358e-16,0.0,0.0,0.0
key[112],0,-1,1,4.025770250776358e-16,0.0,0.0,0.0
key[113],0,-1,1,4.025770250776358e-16,0.0,0.0,0.0
key[114],0,-1,1,4.025770250776358e-16,0.0,0.0,0.0
key[115],0,-1,1,4.025770250776358e-16,0.0,0.0,0.0
key[116],0,-1,1,4.025770250776358e-16,0.0,0.0,0.0
key[117],0,-1,1,4.025770250776358e-16,0.0,0.0,0.0
key[118],0,-1,1,4.025770250776358e-16,0.0,0.0,0.0
key[119],0,-1,1,4.025770250776358e-16,0.0,0.0,0.0
key[11],0,-1,1,2.7572301508644724e-16,0.0,0.0,0.0
key[120],0,-1,1,4.025770250776358e-16,0.0,0.0,0.0
key[121],0,-1,1,5.492890078331522e-16,0.0,0.0,0.0
key[122],0,-1,1,4.1867700382257193e-16,0.0,0.0,0.0
key[123],0,-1,1,4.025770250776358e-16,0.0,0.0,0.0
key[124],0,-1,1,4.025770250776358e-16,0.0,0.0,0.0
key[125],0,-1,1,4.025770250776358e-16,0.0,0.0,0.0
key[126],0,-1,1,4.025770250776358e-16,0.0,0.0,0.0
key[127],0,-1,1,4.025770250776358e-16,0.0,0.0,0.0
key[12],0,-1,1,2.7572301508644724e-16,0.0,0.0,0.0
key[13],0,-1,1,6.037300388146726e-16,0.0,0.0,0.0
key[14],0,-1,1,2.7572301508644724e-16,0.0,0.0,0.0
key[15],0,-1,1,2.7572301508644724e-16,0.0,0.0,0.0
