src,tar,src_type,tar_type,is_net,arc_delay
drc_bufs/A,drc_bufs/Y,pin,pin,0,6.3804287e-11
drc_bufs111232/A,drc_bufs111232/Y,pin,pin,0,6.3804287e-11
drc_bufs111233/A,drc_bufs111233/Y,pin,pin,0,6.3804287e-11
drc_bufs111234/A,drc_bufs111234/Y,pin,pin,0,6.3804287e-11
drc_bufs111235/A,drc_bufs111235/Y,pin,pin,0,6.3804287e-11
drc_bufs111236/A,drc_bufs111236/Y,pin,pin,0,6.3804287e-11
drc_bufs111237/A,drc_bufs111237/Y,pin,pin,0,6.3804287e-11
drc_bufs111238/A,drc_bufs111238/Y,pin,pin,0,6.3804287e-11
drc_bufs111251/A,drc_bufs111251/Y,pin,pin,0,7.675314299999999e-11
drc_bufs111259/A,drc_bufs111259/Y,pin,pin,0,7.675314299999999e-11
drc_bufs220670/A,drc_bufs220670/Y,pin,pin,0,2.3264166e-11
drc_bufs220676/A,drc_bufs220676/Y,pin,pin,0,2.8593691e-11
drc_bufs220682/A,drc_bufs220682/Y,pin,pin,0,1.621719e-11
drc_bufs220688/A,drc_bufs220688/Y,pin,pin,0,3.0941818e-11
drc_bufs220729/A,drc_bufs220729/Y,pin,pin,0,2.8715149e-11
drc_bufs220735/A,drc_bufs220735/Y,pin,pin,0,1.6877247e-11
drc_bufs220752/A,drc_bufs220752/Y,pin,pin,0,2.7949455e-11
drc_bufs220758/A,drc_bufs220758/Y,pin,pin,0,1.8722599e-11
drc_bufs220764/A,drc_bufs220764/Y,pin,pin,0,2.5360755999999997e-11
drc_bufs220777/A,drc_bufs220777/Y,pin,pin,0,1.8562235e-11
drc_bufs220788/A,drc_bufs220788/Y,pin,pin,0,2.0899832e-11
drc_bufs220794/A,drc_bufs220794/Y,pin,pin,0,1.5233147e-11
drc_bufs220814/A,drc_bufs220814/Y,pin,pin,0,2.2659569e-11
drc_bufs220820/A,drc_bufs220820/Y,pin,pin,0,2.6016691e-11
drc_bufs220826/A,drc_bufs220826/Y,pin,pin,0,2.3159954e-11
drc_bufs220832/A,drc_bufs220832/Y,pin,pin,0,2.0417719e-11
drc_bufs220838/A,drc_bufs220838/Y,pin,pin,0,1.7687557e-11
drc_bufs220882/A,drc_bufs220882/Y,pin,pin,0,2.2955236e-11
drc_bufs220892/A,drc_bufs220892/Y,pin,pin,0,1.9191101e-11
