pin_name,x,y,is_in_clk,is_port,is_startpoint,is_endpoint,dir,maxcap,maxtran,num_reachable_endpoint,cell_name,net_name,pin_tran,pin_slack,pin_rise_arr,pin_fall_arr,input_pin_cap
dcnt_reg\[0\]/CLK,97,135,1,-1,1,0,0,0.0,3.199999987213431e-10,0,dcnt_reg\[0\],clk,1.7333332685831593e-11,7.999544082704091e-11,0.0,1.5999999936067155e-10,4.747360265520257e-16
dcnt_reg\[0\]/D,252,135,0,-1,0,1,0,0.0,3.199999987213431e-10,1,dcnt_reg\[0\],n_1272,9.530260261514378e-12,1.0104135583777207e-10,2.0293557112527338e-10,2.015376199260288e-10,5.588219930775849e-16
dcnt_reg\[0\]/QN,1042,135,0,-1,0,0,1,4.608000179345817e-14,2.2699998825093104e-10,0,dcnt_reg\[0\],dcnt[0],2.5915644630281065e-11,7.999544082704091e-11,5.659329255225387e-11,5.557870830230627e-11,-1
dcnt_reg\[1\]/CLK,97,135,1,-1,1,0,0,0.0,3.199999987213431e-10,0,dcnt_reg\[1\],clk,1.7333332685831593e-11,8.412363861065586e-11,0.0,1.5999999936067155e-10,4.747360265520257e-16
dcnt_reg\[1\]/D,252,135,0,-1,0,1,0,0.0,3.199999987213431e-10,1,dcnt_reg\[1\],n_1245,9.530260261514378e-12,1.0104135583777207e-10,2.0293557112527338e-10,2.015376199260288e-10,5.588219930775849e-16
dcnt_reg\[1\]/QN,1042,135,0,-1,0,0,1,4.608000179345817e-14,2.2699998825093104e-10,0,dcnt_reg\[1\],dcnt[1],2.2106632496798895e-11,8.412363861065586e-11,5.3972371710786504e-11,5.2865642419241965e-11,-1
dcnt_reg\[2\]/CLK,97,135,1,-1,1,0,0,0.0,3.199999987213431e-10,0,dcnt_reg\[2\],clk,1.7333332685831593e-11,1.2321310638441219e-10,0.0,1.5999999936067155e-10,4.747360265520257e-16
dcnt_reg\[2\]/D,252,135,0,-1,0,1,0,0.0,3.199999987213431e-10,1,dcnt_reg\[2\],n_1147,2.3182350136763397e-11,8.388513494939076e-11,2.1819319961924322e-10,2.2169464874988165e-10,5.588219930775849e-16
dcnt_reg\[2\]/QN,1042,135,0,-1,0,0,1,4.608000179345817e-14,2.2699998825093104e-10,0,dcnt_reg\[2\],dcnt[2],2.35456619479546e-11,1.2321310638441219e-10,5.498921804014678e-11,5.402905206564057e-11,-1
dcnt_reg\[3\]/CLK,97,135,1,-1,1,0,0,0.0,3.199999987213431e-10,0,dcnt_reg\[3\],clk,1.7333332685831593e-11,1.6686818593569797e-10,0.0,1.5999999936067155e-10,4.747360265520257e-16
dcnt_reg\[3\]/D,252,135,0,-1,0,1,0,0.0,3.199999987213431e-10,1,dcnt_reg\[3\],n_1271,2.7579671185717913e-11,7.999545470482872e-11,2.2251772646697532e-10,2.1879943690183978e-10,5.588219930775849e-16
dcnt_reg\[3\]/QN,1042,135,0,-1,0,0,1,4.608000179345817e-14,2.2699998825093104e-10,0,dcnt_reg\[3\],dcnt[3],2.4111074248267528e-11,1.6686818593569797e-10,5.538874567334595e-11,5.4325013237876973e-11,-1
done_reg/CLK,97,135,1,-1,1,0,0,0.0,3.199999987213431e-10,0,done_reg,clk,1.7333332685831593e-11,2.2026988566459238e-10,0.0,1.5999999936067155e-10,4.747360265520257e-16
done_reg/D,252,135,0,-1,0,1,0,0.0,3.199999987213431e-10,1,done_reg,n_3832,1.0166111008569345e-11,2.031820961478914e-10,9.483416829603186e-11,1.1040050817978653e-10,5.588219930775849e-16
done_reg/QN,1042,135,0,-1,0,0,1,4.608000179345817e-14,2.2699998825093104e-10,0,done_reg,done_3039,1.418810294945283e-11,2.2026988566459238e-10,4.837699685289465e-11,4.6721411461891904e-11,-1
drc_bufs/A,37,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,drc_bufs,n_95,6.813919567472126e-11,1.0443158143802478e-10,1.0682894152624911e-10,1.113152209297752e-10,2.7572301508644724e-16
drc_bufs/Y,124,135,0,-1,0,0,1,2.3040000896729085e-14,2.2699998825093104e-10,0,drc_bufs,n_36,9.4294169694642e-11,1.0443157449913087e-10,1.7513290817561256e-10,1.6563084237475323e-10,-1
drc_bufs111232/A,37,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,drc_bufs111232,n_95,6.813919567472126e-11,1.0443158143802478e-10,1.0682894152624911e-10,1.113152209297752e-10,2.7572301508644724e-16
drc_bufs111232/Y,124,135,0,-1,0,0,1,2.3040000896729085e-14,2.2699998825093104e-10,0,drc_bufs111232,n_35,9.4294169694642e-11,1.0443157449913087e-10,1.7513290817561256e-10,1.6563084237475323e-10,-1
