port_name,net_name,dir,is_startpoint,is_endpoint,x0,y0,x1,y1,tran,slack,rise_arr,fall_arr
clk,clk,INPUT,1,0,21444,42432,21468,42516,1.3000000381735433e-11,5.18562762175101e-11,0.0,1.5999999936067155e-10
done,done,OUTPUT,0,1,24516,0,24540,84,3.616648647231102e-12,2.2168865354554868e-10,7.212994090899372e-11,7.231133747342966e-11
key[0],key[0],INPUT,1,0,42843,22100,42912,22132,1.3000000381735433e-11,2.615207772560524e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[100],key[100],INPUT,1,0,42843,21332,42912,21364,1.3000000381735433e-11,2.634638618381757e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[101],key[101],INPUT,1,0,21156,42432,21180,42516,1.3000000381735433e-11,2.577432989259165e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[102],key[102],INPUT,1,0,0,21332,69,21364,1.3000000381735433e-11,2.649474528659823e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[103],key[103],INPUT,1,0,21716,0,21748,69,1.3000000381735433e-11,2.634638618381757e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[104],key[104],INPUT,1,0,21732,0,21756,84,1.3000000381735433e-11,2.5842603057490976e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[105],key[105],INPUT,1,0,21716,42447,21748,42516,1.3000000381735433e-11,2.5787882940164764e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[106],key[106],INPUT,1,0,21732,42432,21756,42516,1.3000000381735433e-11,2.680863309123538e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[107],key[107],INPUT,1,0,21204,0,21236,69,1.3000000381735433e-11,2.5869276165657595e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[108],key[108],INPUT,1,0,21204,42447,21236,42516,1.3000000381735433e-11,2.577432989259165e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[109],key[109],INPUT,1,0,42724,21216,42912,21256,1.3000000381735433e-11,2.596934334242462e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[10],key[10],INPUT,1,0,42843,20436,42912,20468,1.3000000381735433e-11,2.7382829337341263e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[110],key[110],INPUT,1,0,42843,21204,42912,21236,1.3000000381735433e-11,2.585866520909974e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[111],key[111],INPUT,1,0,0,21216,188,21256,1.3000000381735433e-11,2.5771851319689176e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[112],key[112],INPUT,1,0,0,21204,69,21236,1.3000000381735433e-11,2.5782542767416317e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[113],key[113],INPUT,1,0,21636,0,21660,84,1.3000000381735433e-11,2.577432989259165e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[114],key[114],INPUT,1,0,21252,0,21276,84,1.3000000381735433e-11,2.5869276165657595e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[115],key[115],INPUT,1,0,21636,42432,21660,42516,1.3000000381735433e-11,2.585866520909974e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[116],key[116],INPUT,1,0,21252,42432,21276,42516,1.3000000381735433e-11,2.5942653580912634e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[117],key[117],INPUT,1,0,21588,0,21620,69,1.3000000381735433e-11,2.5869276165657595e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[118],key[118],INPUT,1,0,21588,42447,21620,42516,1.3000000381735433e-11,2.585866520909974e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[119],key[119],INPUT,1,0,21332,0,21364,69,1.3000000381735433e-11,2.5906463085867415e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[11],key[11],INPUT,1,0,20436,42447,20468,42516,1.3000000381735433e-11,2.558877554292849e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[120],key[120],INPUT,1,0,21332,42447,21364,42516,1.3000000381735433e-11,2.588995406949124e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[121],key[121],INPUT,1,0,21540,0,21564,84,1.3000000381735433e-11,2.6862648216940954e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[122],key[122],INPUT,1,0,21348,0,21372,84,1.3000000381735433e-11,2.67409705489996e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[123],key[123],INPUT,1,0,21540,42432,21564,42516,1.3000000381735433e-11,2.596934334242462e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[124],key[124],INPUT,1,0,21348,42432,21372,42516,1.3000000381735433e-11,2.5869276165657595e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[125],key[125],INPUT,1,0,21460,0,21492,69,1.3000000381735433e-11,2.582613289892066e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[126],key[126],INPUT,1,0,21460,42447,21492,42516,1.3000000381735433e-11,2.6572746780750833e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[127],key[127],INPUT,1,0,21444,0,21468,84,1.3000000381735433e-11,2.5942653580912634e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[12],key[12],INPUT,1,0,0,20436,69,20468,1.3000000381735433e-11,2.615207772560524e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[13],key[13],INPUT,1,0,42724,22016,42912,22056,1.3000000381735433e-11,2.7379401523752733e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[14],key[14],INPUT,1,0,0,22016,188,22056,1.3000000381735433e-11,2.615207772560524e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[15],key[15],INPUT,1,0,22404,0,22428,84,1.3000000381735433e-11,2.558877554292849e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[16],key[16],INPUT,1,0,20484,0,20508,84,1.3000000381735433e-11,2.558877554292849e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[17],key[17],INPUT,1,0,22404,42432,22428,42516,1.3000000381735433e-11,2.558877554292849e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[18],key[18],INPUT,1,0,20484,42432,20508,42516,1.3000000381735433e-11,2.615207772560524e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[19],key[19],INPUT,1,0,42843,21972,42912,22004,1.3000000381735433e-11,2.558877554292849e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[1],key[1],INPUT,1,0,20388,42432,20412,42516,1.3000000381735433e-11,2.558877554292849e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[20],key[20],INPUT,1,0,0,21972,69,22004,1.3000000381735433e-11,2.615207772560524e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[21],key[21],INPUT,1,0,22356,0,22388,69,1.3000000381735433e-11,2.615207772560524e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[22],key[22],INPUT,1,0,22356,42447,22388,42516,1.3000000381735433e-11,2.615207772560524e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[23],key[23],INPUT,1,0,20564,0,20596,69,1.3000000381735433e-11,2.558877554292849e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[24],key[24],INPUT,1,0,20564,42447,20596,42516,1.3000000381735433e-11,2.615207772560524e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[25],key[25],INPUT,1,0,22308,0,22332,84,1.3000000381735433e-11,2.558877554292849e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[26],key[26],INPUT,1,0,20580,0,20604,84,1.3000000381735433e-11,2.7382829337341263e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[27],key[27],INPUT,1,0,22308,42432,22332,42516,1.3000000381735433e-11,2.615207772560524e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[28],key[28],INPUT,1,0,20580,42432,20604,42516,1.3000000381735433e-11,2.615207772560524e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[29],key[29],INPUT,1,0,42724,20576,42912,20616,1.3000000381735433e-11,2.7379401523752733e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[2],key[2],INPUT,1,0,0,22100,69,22132,1.3000000381735433e-11,2.615207772560524e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[30],key[30],INPUT,1,0,42843,20564,42912,20596,1.3000000381735433e-11,2.615207772560524e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[31],key[31],INPUT,1,0,0,20576,188,20616,1.3000000381735433e-11,2.615207772560524e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[32],key[32],INPUT,1,0,0,20564,69,20596,1.3000000381735433e-11,2.6318439094730195e-10,2.6000000763470865e-11,2.6000000763470865e-11
key[33],key[33],INPUT,1,0,42724,21856,42912,21896,1.3000000381735433e-11,2.6703206312816974e-10,2.6000000763470865e-11,2.6000000763470865e-11
