src,tar,src_type,tar_type
dcnt_reg\[0\]/CLK,dcnt_reg\[0\],pin,cell
dcnt_reg\[0\]/D,dcnt_reg\[0\],pin,cell
dcnt_reg\[0\],dcnt_reg\[0\]/QN,cell,pin
dcnt_reg\[1\]/CLK,dcnt_reg\[1\],pin,cell
dcnt_reg\[1\]/D,dcnt_reg\[1\],pin,cell
dcnt_reg\[1\],dcnt_reg\[1\]/QN,cell,pin
dcnt_reg\[2\]/CLK,dcnt_reg\[2\],pin,cell
dcnt_reg\[2\]/D,dcnt_reg\[2\],pin,cell
dcnt_reg\[2\],dcnt_reg\[2\]/QN,cell,pin
dcnt_reg\[3\]/CLK,dcnt_reg\[3\],pin,cell
dcnt_reg\[3\]/D,dcnt_reg\[3\],pin,cell
dcnt_reg\[3\],dcnt_reg\[3\]/QN,cell,pin
done_reg/CLK,done_reg,pin,cell
done_reg/D,done_reg,pin,cell
done_reg,done_reg/QN,cell,pin
drc_bufs/A,drc_bufs,pin,cell
drc_bufs,drc_bufs/Y,cell,pin
drc_bufs111232/A,drc_bufs111232,pin,cell
drc_bufs111232,drc_bufs111232/Y,cell,pin
drc_bufs111233/A,drc_bufs111233,pin,cell
drc_bufs111233,drc_bufs111233/Y,cell,pin
drc_bufs111234/A,drc_bufs111234,pin,cell
drc_bufs111234,drc_bufs111234/Y,cell,pin
drc_bufs111235/A,drc_bufs111235,pin,cell
drc_bufs111235,drc_bufs111235/Y,cell,pin
drc_bufs111236/A,drc_bufs111236,pin,cell
drc_bufs111236,drc_bufs111236/Y,cell,pin
drc_bufs111237/A,drc_bufs111237,pin,cell
drc_bufs111237,drc_bufs111237/Y,cell,pin
drc_bufs111238/A,drc_bufs111238,pin,cell
drc_bufs111238,drc_bufs111238/Y,cell,pin
drc_bufs111251/A,drc_bufs111251,pin,cell
drc_bufs111251,drc_bufs111251/Y,cell,pin
drc_bufs111259/A,drc_bufs111259,pin,cell
drc_bufs111259,drc_bufs111259/Y,cell,pin
drc_bufs220670/A,drc_bufs220670,pin,cell
drc_bufs220670,drc_bufs220670/Y,cell,pin
drc_bufs220676/A,drc_bufs220676,pin,cell
drc_bufs220676,drc_bufs220676/Y,cell,pin
drc_bufs220682/A,drc_bufs220682,pin,cell
drc_bufs220682,drc_bufs220682/Y,cell,pin
drc_bufs220688/A,drc_bufs220688,pin,cell
drc_bufs220688,drc_bufs220688/Y,cell,pin
drc_bufs220729/A,drc_bufs220729,pin,cell
drc_bufs220729,drc_bufs220729/Y,cell,pin
drc_bufs220735/A,drc_bufs220735,pin,cell
drc_bufs220735,drc_bufs220735/Y,cell,pin
drc_bufs220752/A,drc_bufs220752,pin,cell
drc_bufs220752,drc_bufs220752/Y,cell,pin
drc_bufs220758/A,drc_bufs220758,pin,cell
drc_bufs220758,drc_bufs220758/Y,cell,pin
drc_bufs220764/A,drc_bufs220764,pin,cell
drc_bufs220764,drc_bufs220764/Y,cell,pin
drc_bufs220777/A,drc_bufs220777,pin,cell
drc_bufs220777,drc_bufs220777/Y,cell,pin
drc_bufs220788/A,drc_bufs220788,pin,cell
drc_bufs220788,drc_bufs220788/Y,cell,pin
drc_bufs220794/A,drc_bufs220794,pin,cell
drc_bufs220794,drc_bufs220794/Y,cell,pin
drc_bufs220814/A,drc_bufs220814,pin,cell
drc_bufs220814,drc_bufs220814/Y,cell,pin
drc_bufs220820/A,drc_bufs220820,pin,cell
drc_bufs220820,drc_bufs220820/Y,cell,pin
drc_bufs220826/A,drc_bufs220826,pin,cell
drc_bufs220826,drc_bufs220826/Y,cell,pin
drc_bufs220832/A,drc_bufs220832,pin,cell
drc_bufs220832,drc_bufs220832/Y,cell,pin
drc_bufs220838/A,drc_bufs220838,pin,cell
drc_bufs220838,drc_bufs220838/Y,cell,pin
drc_bufs220882/A,drc_bufs220882,pin,cell
drc_bufs220882,drc_bufs220882/Y,cell,pin
drc_bufs220892/A,drc_bufs220892,pin,cell
drc_bufs220892,drc_bufs220892/Y,cell,pin
drc_bufs220899/A,drc_bufs220899,pin,cell
drc_bufs220899,drc_bufs220899/Y,cell,pin
drc_bufs220943/A,drc_bufs220943,pin,cell
drc_bufs220943,drc_bufs220943/Y,cell,pin
drc_bufs220950/A,drc_bufs220950,pin,cell
drc_bufs220950,drc_bufs220950/Y,cell,pin
drc_bufs220957/A,drc_bufs220957,pin,cell
drc_bufs220957,drc_bufs220957/Y,cell,pin
drc_bufs221271/A,drc_bufs221271,pin,cell
drc_bufs221271,drc_bufs221271/Y,cell,pin
drc_bufs221274/A,drc_bufs221274,pin,cell
drc_bufs221274,drc_bufs221274/Y,cell,pin
drc_bufs221277/A,drc_bufs221277,pin,cell
drc_bufs221277,drc_bufs221277/Y,cell,pin
drc_bufs221280/A,drc_bufs221280,pin,cell
drc_bufs221280,drc_bufs221280/Y,cell,pin
drc_bufs221283/A,drc_bufs221283,pin,cell
drc_bufs221283,drc_bufs221283/Y,cell,pin
drc_bufs221286/A,drc_bufs221286,pin,cell
drc_bufs221286,drc_bufs221286/Y,cell,pin
drc_bufs221289/A,drc_bufs221289,pin,cell
drc_bufs221289,drc_bufs221289/Y,cell,pin
drc_bufs221292/A,drc_bufs221292,pin,cell
drc_bufs221292,drc_bufs221292/Y,cell,pin
drc_bufs221295/A,drc_bufs221295,pin,cell
drc_bufs221295,drc_bufs221295/Y,cell,pin
drc_bufs221298/A,drc_bufs221298,pin,cell
drc_bufs221298,drc_bufs221298/Y,cell,pin
drc_bufs221301/A,drc_bufs221301,pin,cell
drc_bufs221301,drc_bufs221301/Y,cell,pin
drc_bufs221304/A,drc_bufs221304,pin,cell
drc_bufs221304,drc_bufs221304/Y,cell,pin
drc_bufs221307/A,drc_bufs221307,pin,cell
drc_bufs221307,drc_bufs221307/Y,cell,pin
drc_bufs221310/A,drc_bufs221310,pin,cell
drc_bufs221310,drc_bufs221310/Y,cell,pin
drc_bufs221313/A,drc_bufs221313,pin,cell
drc_bufs221313,drc_bufs221313/Y,cell,pin
drc_bufs221316/A,drc_bufs221316,pin,cell
drc_bufs221316,drc_bufs221316/Y,cell,pin
drc_bufs221319/A,drc_bufs221319,pin,cell
drc_bufs221319,drc_bufs221319/Y,cell,pin
drc_bufs221322/A,drc_bufs221322,pin,cell
drc_bufs221322,drc_bufs221322/Y,cell,pin
drc_bufs221325/A,drc_bufs221325,pin,cell
drc_bufs221325,drc_bufs221325/Y,cell,pin
drc_bufs221328/A,drc_bufs221328,pin,cell
drc_bufs221328,drc_bufs221328/Y,cell,pin
drc_bufs221331/A,drc_bufs221331,pin,cell
drc_bufs221331,drc_bufs221331/Y,cell,pin
drc_bufs221334/A,drc_bufs221334,pin,cell
drc_bufs221334,drc_bufs221334/Y,cell,pin
drc_bufs221337/A,drc_bufs221337,pin,cell
drc_bufs221337,drc_bufs221337/Y,cell,pin
drc_bufs221340/A,drc_bufs221340,pin,cell
drc_bufs221340,drc_bufs221340/Y,cell,pin
drc_bufs221343/A,drc_bufs221343,pin,cell
drc_bufs221343,drc_bufs221343/Y,cell,pin
drc_bufs221346/A,drc_bufs221346,pin,cell
drc_bufs221346,drc_bufs221346/Y,cell,pin
drc_bufs221349/A,drc_bufs221349,pin,cell
drc_bufs221349,drc_bufs221349/Y,cell,pin
drc_bufs221352/A,drc_bufs221352,pin,cell
drc_bufs221352,drc_bufs221352/Y,cell,pin
drc_bufs221355/A,drc_bufs221355,pin,cell
drc_bufs221355,drc_bufs221355/Y,cell,pin
drc_bufs221358/A,drc_bufs221358,pin,cell
drc_bufs221358,drc_bufs221358/Y,cell,pin
drc_bufs221361/A,drc_bufs221361,pin,cell
drc_bufs221361,drc_bufs221361/Y,cell,pin
drc_bufs221364/A,drc_bufs221364,pin,cell
drc_bufs221364,drc_bufs221364/Y,cell,pin
drc_bufs221367/A,drc_bufs221367,pin,cell
drc_bufs221367,drc_bufs221367/Y,cell,pin
drc_bufs221370/A,drc_bufs221370,pin,cell
drc_bufs221370,drc_bufs221370/Y,cell,pin
drc_bufs221373/A,drc_bufs221373,pin,cell
drc_bufs221373,drc_bufs221373/Y,cell,pin
drc_bufs221376/A,drc_bufs221376,pin,cell
drc_bufs221376,drc_bufs221376/Y,cell,pin
drc_bufs221379/A,drc_bufs221379,pin,cell
drc_bufs221379,drc_bufs221379/Y,cell,pin
drc_bufs221382/A,drc_bufs221382,pin,cell
drc_bufs221382,drc_bufs221382/Y,cell,pin
drc_bufs221385/A,drc_bufs221385,pin,cell
drc_bufs221385,drc_bufs221385/Y,cell,pin
drc_bufs221388/A,drc_bufs221388,pin,cell
drc_bufs221388,drc_bufs221388/Y,cell,pin
drc_bufs221391/A,drc_bufs221391,pin,cell
drc_bufs221391,drc_bufs221391/Y,cell,pin
drc_bufs221394/A,drc_bufs221394,pin,cell
drc_bufs221394,drc_bufs221394/Y,cell,pin
drc_bufs221397/A,drc_bufs221397,pin,cell
drc_bufs221397,drc_bufs221397/Y,cell,pin
drc_bufs221400/A,drc_bufs221400,pin,cell
drc_bufs221400,drc_bufs221400/Y,cell,pin
drc_bufs221403/A,drc_bufs221403,pin,cell
drc_bufs221403,drc_bufs221403/Y,cell,pin
drc_bufs221406/A,drc_bufs221406,pin,cell
drc_bufs221406,drc_bufs221406/Y,cell,pin
drc_bufs221409/A,drc_bufs221409,pin,cell
drc_bufs221409,drc_bufs221409/Y,cell,pin
drc_bufs221412/A,drc_bufs221412,pin,cell
drc_bufs221412,drc_bufs221412/Y,cell,pin
drc_bufs221415/A,drc_bufs221415,pin,cell
drc_bufs221415,drc_bufs221415/Y,cell,pin
drc_bufs221418/A,drc_bufs221418,pin,cell
drc_bufs221418,drc_bufs221418/Y,cell,pin
drc_bufs221421/A,drc_bufs221421,pin,cell
drc_bufs221421,drc_bufs221421/Y,cell,pin
drc_bufs221424/A,drc_bufs221424,pin,cell
drc_bufs221424,drc_bufs221424/Y,cell,pin
drc_bufs221427/A,drc_bufs221427,pin,cell
drc_bufs221427,drc_bufs221427/Y,cell,pin
drc_bufs221430/A,drc_bufs221430,pin,cell
drc_bufs221430,drc_bufs221430/Y,cell,pin
drc_bufs221433/A,drc_bufs221433,pin,cell
drc_bufs221433,drc_bufs221433/Y,cell,pin
drc_bufs221436/A,drc_bufs221436,pin,cell
drc_bufs221436,drc_bufs221436/Y,cell,pin
drc_bufs221439/A,drc_bufs221439,pin,cell
drc_bufs221439,drc_bufs221439/Y,cell,pin
drc_bufs221442/A,drc_bufs221442,pin,cell
drc_bufs221442,drc_bufs221442/Y,cell,pin
drc_bufs221445/A,drc_bufs221445,pin,cell
drc_bufs221445,drc_bufs221445/Y,cell,pin
drc_bufs221448/A,drc_bufs221448,pin,cell
drc_bufs221448,drc_bufs221448/Y,cell,pin
drc_bufs221451/A,drc_bufs221451,pin,cell
drc_bufs221451,drc_bufs221451/Y,cell,pin
drc_bufs221454/A,drc_bufs221454,pin,cell
drc_bufs221454,drc_bufs221454/Y,cell,pin
drc_bufs221457/A,drc_bufs221457,pin,cell
drc_bufs221457,drc_bufs221457/Y,cell,pin
drc_bufs221460/A,drc_bufs221460,pin,cell
drc_bufs221460,drc_bufs221460/Y,cell,pin
drc_bufs221463/A,drc_bufs221463,pin,cell
drc_bufs221463,drc_bufs221463/Y,cell,pin
drc_bufs221466/A,drc_bufs221466,pin,cell
drc_bufs221466,drc_bufs221466/Y,cell,pin
drc_bufs221469/A,drc_bufs221469,pin,cell
drc_bufs221469,drc_bufs221469/Y,cell,pin
drc_bufs221472/A,drc_bufs221472,pin,cell
drc_bufs221472,drc_bufs221472/Y,cell,pin
drc_bufs221475/A,drc_bufs221475,pin,cell
drc_bufs221475,drc_bufs221475/Y,cell,pin
drc_bufs221478/A,drc_bufs221478,pin,cell
drc_bufs221478,drc_bufs221478/Y,cell,pin
drc_bufs221481/A,drc_bufs221481,pin,cell
drc_bufs221481,drc_bufs221481/Y,cell,pin
drc_bufs221484/A,drc_bufs221484,pin,cell
drc_bufs221484,drc_bufs221484/Y,cell,pin
drc_bufs221487/A,drc_bufs221487,pin,cell
drc_bufs221487,drc_bufs221487/Y,cell,pin
drc_bufs221490/A,drc_bufs221490,pin,cell
drc_bufs221490,drc_bufs221490/Y,cell,pin
drc_bufs221493/A,drc_bufs221493,pin,cell
drc_bufs221493,drc_bufs221493/Y,cell,pin
drc_bufs221496/A,drc_bufs221496,pin,cell
drc_bufs221496,drc_bufs221496/Y,cell,pin
drc_bufs221499/A,drc_bufs221499,pin,cell
drc_bufs221499,drc_bufs221499/Y,cell,pin
drc_bufs221502/A,drc_bufs221502,pin,cell
drc_bufs221502,drc_bufs221502/Y,cell,pin
drc_bufs221505/A,drc_bufs221505,pin,cell
drc_bufs221505,drc_bufs221505/Y,cell,pin
drc_bufs221508/A,drc_bufs221508,pin,cell
drc_bufs221508,drc_bufs221508/Y,cell,pin
drc_bufs221511/A,drc_bufs221511,pin,cell
drc_bufs221511,drc_bufs221511/Y,cell,pin
drc_bufs221514/A,drc_bufs221514,pin,cell
drc_bufs221514,drc_bufs221514/Y,cell,pin
drc_bufs221517/A,drc_bufs221517,pin,cell
drc_bufs221517,drc_bufs221517/Y,cell,pin
drc_bufs221520/A,drc_bufs221520,pin,cell
drc_bufs221520,drc_bufs221520/Y,cell,pin
drc_bufs221523/A,drc_bufs221523,pin,cell
drc_bufs221523,drc_bufs221523/Y,cell,pin
drc_bufs221526/A,drc_bufs221526,pin,cell
drc_bufs221526,drc_bufs221526/Y,cell,pin
drc_bufs221529/A,drc_bufs221529,pin,cell
drc_bufs221529,drc_bufs221529/Y,cell,pin
drc_bufs221532/A,drc_bufs221532,pin,cell
drc_bufs221532,drc_bufs221532/Y,cell,pin
drc_bufs221535/A,drc_bufs221535,pin,cell
drc_bufs221535,drc_bufs221535/Y,cell,pin
drc_bufs221538/A,drc_bufs221538,pin,cell
drc_bufs221538,drc_bufs221538/Y,cell,pin
drc_bufs221541/A,drc_bufs221541,pin,cell
drc_bufs221541,drc_bufs221541/Y,cell,pin
drc_bufs221544/A,drc_bufs221544,pin,cell
drc_bufs221544,drc_bufs221544/Y,cell,pin
drc_bufs221547/A,drc_bufs221547,pin,cell
drc_bufs221547,drc_bufs221547/Y,cell,pin
drc_bufs221550/A,drc_bufs221550,pin,cell
drc_bufs221550,drc_bufs221550/Y,cell,pin
drc_bufs221553/A,drc_bufs221553,pin,cell
drc_bufs221553,drc_bufs221553/Y,cell,pin
drc_bufs221556/A,drc_bufs221556,pin,cell
drc_bufs221556,drc_bufs221556/Y,cell,pin
drc_bufs221559/A,drc_bufs221559,pin,cell
drc_bufs221559,drc_bufs221559/Y,cell,pin
drc_bufs221562/A,drc_bufs221562,pin,cell
drc_bufs221562,drc_bufs221562/Y,cell,pin
drc_bufs221565/A,drc_bufs221565,pin,cell
drc_bufs221565,drc_bufs221565/Y,cell,pin
drc_bufs221568/A,drc_bufs221568,pin,cell
drc_bufs221568,drc_bufs221568/Y,cell,pin
drc_bufs221571/A,drc_bufs221571,pin,cell
drc_bufs221571,drc_bufs221571/Y,cell,pin
drc_bufs221574/A,drc_bufs221574,pin,cell
drc_bufs221574,drc_bufs221574/Y,cell,pin
drc_bufs221577/A,drc_bufs221577,pin,cell
drc_bufs221577,drc_bufs221577/Y,cell,pin
drc_bufs221580/A,drc_bufs221580,pin,cell
drc_bufs221580,drc_bufs221580/Y,cell,pin
drc_bufs221583/A,drc_bufs221583,pin,cell
drc_bufs221583,drc_bufs221583/Y,cell,pin
drc_bufs221586/A,drc_bufs221586,pin,cell
drc_bufs221586,drc_bufs221586/Y,cell,pin
drc_bufs221589/A,drc_bufs221589,pin,cell
drc_bufs221589,drc_bufs221589/Y,cell,pin
drc_bufs221592/A,drc_bufs221592,pin,cell
drc_bufs221592,drc_bufs221592/Y,cell,pin
drc_bufs221595/A,drc_bufs221595,pin,cell
drc_bufs221595,drc_bufs221595/Y,cell,pin
drc_bufs221598/A,drc_bufs221598,pin,cell
drc_bufs221598,drc_bufs221598/Y,cell,pin
drc_bufs221601/A,drc_bufs221601,pin,cell
drc_bufs221601,drc_bufs221601/Y,cell,pin
drc_bufs221604/A,drc_bufs221604,pin,cell
drc_bufs221604,drc_bufs221604/Y,cell,pin
drc_bufs221607/A,drc_bufs221607,pin,cell
drc_bufs221607,drc_bufs221607/Y,cell,pin
drc_bufs221610/A,drc_bufs221610,pin,cell
drc_bufs221610,drc_bufs221610/Y,cell,pin
drc_bufs221613/A,drc_bufs221613,pin,cell
drc_bufs221613,drc_bufs221613/Y,cell,pin
drc_bufs221616/A,drc_bufs221616,pin,cell
drc_bufs221616,drc_bufs221616/Y,cell,pin
drc_bufs221619/A,drc_bufs221619,pin,cell
drc_bufs221619,drc_bufs221619/Y,cell,pin
drc_bufs221622/A,drc_bufs221622,pin,cell
drc_bufs221622,drc_bufs221622/Y,cell,pin
drc_bufs221625/A,drc_bufs221625,pin,cell
drc_bufs221625,drc_bufs221625/Y,cell,pin
drc_bufs221628/A,drc_bufs221628,pin,cell
drc_bufs221628,drc_bufs221628/Y,cell,pin
drc_bufs221631/A,drc_bufs221631,pin,cell
drc_bufs221631,drc_bufs221631/Y,cell,pin
drc_bufs221634/A,drc_bufs221634,pin,cell
drc_bufs221634,drc_bufs221634/Y,cell,pin
drc_bufs221637/A,drc_bufs221637,pin,cell
drc_bufs221637,drc_bufs221637/Y,cell,pin
drc_bufs221640/A,drc_bufs221640,pin,cell
drc_bufs221640,drc_bufs221640/Y,cell,pin
drc_bufs221643/A,drc_bufs221643,pin,cell
drc_bufs221643,drc_bufs221643/Y,cell,pin
drc_bufs221646/A,drc_bufs221646,pin,cell
drc_bufs221646,drc_bufs221646/Y,cell,pin
drc_bufs221649/A,drc_bufs221649,pin,cell
drc_bufs221649,drc_bufs221649/Y,cell,pin
drc_bufs221652/A,drc_bufs221652,pin,cell
drc_bufs221652,drc_bufs221652/Y,cell,pin
drc_bufs221655/A,drc_bufs221655,pin,cell
drc_bufs221655,drc_bufs221655/Y,cell,pin
drc_bufs221659/A,drc_bufs221659,pin,cell
drc_bufs221659,drc_bufs221659/Y,cell,pin
drc_bufs221660/A,drc_bufs221660,pin,cell
drc_bufs221660,drc_bufs221660/Y,cell,pin
drc_bufs221662/A,drc_bufs221662,pin,cell
drc_bufs221662,drc_bufs221662/Y,cell,pin
drc_bufs221663/A,drc_bufs221663,pin,cell
drc_bufs221663,drc_bufs221663/Y,cell,pin
drc_bufs221665/A,drc_bufs221665,pin,cell
drc_bufs221665,drc_bufs221665/Y,cell,pin
drc_bufs221666/A,drc_bufs221666,pin,cell
drc_bufs221666,drc_bufs221666/Y,cell,pin
drc_bufs221668/A,drc_bufs221668,pin,cell
drc_bufs221668,drc_bufs221668/Y,cell,pin
drc_bufs221669/A,drc_bufs221669,pin,cell
drc_bufs221669,drc_bufs221669/Y,cell,pin
drc_bufs221671/A,drc_bufs221671,pin,cell
drc_bufs221671,drc_bufs221671/Y,cell,pin
drc_bufs221672/A,drc_bufs221672,pin,cell
drc_bufs221672,drc_bufs221672/Y,cell,pin
drc_bufs221674/A,drc_bufs221674,pin,cell
drc_bufs221674,drc_bufs221674/Y,cell,pin
drc_bufs221675/A,drc_bufs221675,pin,cell
drc_bufs221675,drc_bufs221675/Y,cell,pin
drc_bufs221677/A,drc_bufs221677,pin,cell
drc_bufs221677,drc_bufs221677/Y,cell,pin
drc_bufs221678/A,drc_bufs221678,pin,cell
drc_bufs221678,drc_bufs221678/Y,cell,pin
drc_bufs221680/A,drc_bufs221680,pin,cell
drc_bufs221680,drc_bufs221680/Y,cell,pin
drc_bufs221681/A,drc_bufs221681,pin,cell
drc_bufs221681,drc_bufs221681/Y,cell,pin
drc_bufs221683/A,drc_bufs221683,pin,cell
drc_bufs221683,drc_bufs221683/Y,cell,pin
drc_bufs221684/A,drc_bufs221684,pin,cell
drc_bufs221684,drc_bufs221684/Y,cell,pin
drc_bufs221686/A,drc_bufs221686,pin,cell
drc_bufs221686,drc_bufs221686/Y,cell,pin
drc_bufs221687/A,drc_bufs221687,pin,cell
drc_bufs221687,drc_bufs221687/Y,cell,pin
drc_bufs221689/A,drc_bufs221689,pin,cell
drc_bufs221689,drc_bufs221689/Y,cell,pin
drc_bufs221690/A,drc_bufs221690,pin,cell
drc_bufs221690,drc_bufs221690/Y,cell,pin
drc_bufs221692/A,drc_bufs221692,pin,cell
drc_bufs221692,drc_bufs221692/Y,cell,pin
drc_bufs221693/A,drc_bufs221693,pin,cell
drc_bufs221693,drc_bufs221693/Y,cell,pin
drc_bufs221695/A,drc_bufs221695,pin,cell
drc_bufs221695,drc_bufs221695/Y,cell,pin
drc_bufs221696/A,drc_bufs221696,pin,cell
drc_bufs221696,drc_bufs221696/Y,cell,pin
drc_bufs221698/A,drc_bufs221698,pin,cell
drc_bufs221698,drc_bufs221698/Y,cell,pin
drc_bufs221699/A,drc_bufs221699,pin,cell
drc_bufs221699,drc_bufs221699/Y,cell,pin
drc_bufs221701/A,drc_bufs221701,pin,cell
drc_bufs221701,drc_bufs221701/Y,cell,pin
drc_bufs221702/A,drc_bufs221702,pin,cell
drc_bufs221702,drc_bufs221702/Y,cell,pin
drc_bufs221704/A,drc_bufs221704,pin,cell
drc_bufs221704,drc_bufs221704/Y,cell,pin
drc_bufs221705/A,drc_bufs221705,pin,cell
drc_bufs221705,drc_bufs221705/Y,cell,pin
drc_bufs221707/A,drc_bufs221707,pin,cell
drc_bufs221707,drc_bufs221707/Y,cell,pin
drc_bufs221708/A,drc_bufs221708,pin,cell
drc_bufs221708,drc_bufs221708/Y,cell,pin
drc_bufs221710/A,drc_bufs221710,pin,cell
drc_bufs221710,drc_bufs221710/Y,cell,pin
drc_bufs221711/A,drc_bufs221711,pin,cell
drc_bufs221711,drc_bufs221711/Y,cell,pin
drc_bufs221713/A,drc_bufs221713,pin,cell
drc_bufs221713,drc_bufs221713/Y,cell,pin
drc_bufs221714/A,drc_bufs221714,pin,cell
drc_bufs221714,drc_bufs221714/Y,cell,pin
drc_bufs221716/A,drc_bufs221716,pin,cell
drc_bufs221716,drc_bufs221716/Y,cell,pin
drc_bufs221717/A,drc_bufs221717,pin,cell
drc_bufs221717,drc_bufs221717/Y,cell,pin
drc_bufs221719/A,drc_bufs221719,pin,cell
drc_bufs221719,drc_bufs221719/Y,cell,pin
drc_bufs221720/A,drc_bufs221720,pin,cell
drc_bufs221720,drc_bufs221720/Y,cell,pin
drc_bufs221722/A,drc_bufs221722,pin,cell
drc_bufs221722,drc_bufs221722/Y,cell,pin
drc_bufs221723/A,drc_bufs221723,pin,cell
drc_bufs221723,drc_bufs221723/Y,cell,pin
drc_bufs221725/A,drc_bufs221725,pin,cell
drc_bufs221725,drc_bufs221725/Y,cell,pin
drc_bufs221726/A,drc_bufs221726,pin,cell
drc_bufs221726,drc_bufs221726/Y,cell,pin
drc_bufs221728/A,drc_bufs221728,pin,cell
