cell_name,is_seq,is_macro,is_in_clk,x0,y0,x1,y1,is_filler,is_buf,is_inv,libcell_name,cell_static_power,cell_dynamic_power
dcnt_reg\[0\],1,0,1,34380,12348,35460,12618,0,0,0,DFFHQNx1_ASAP7_75t_R,2.2700286095300726e-10,6.05190371061326e-06
dcnt_reg\[1\],1,0,1,34326,12078,35406,12348,0,0,0,DFFHQNx1_ASAP7_75t_R,2.264580883926115e-10,5.995352239551721e-06
dcnt_reg\[2\],1,0,1,32868,12078,33948,12348,0,0,0,DFFHQNx1_ASAP7_75t_R,2.1618611067975024e-10,6.04335218667984e-06
dcnt_reg\[3\],1,0,1,33084,12618,34164,12888,0,0,0,DFFHQNx1_ASAP7_75t_R,2.2500737384412162e-10,5.792199317511404e-06
done_reg,1,0,1,27576,8568,28656,8838,0,0,0,DFFHQNx1_ASAP7_75t_R,2.1621296419915836e-10,5.857644282514229e-06
drc_bufs,0,0,0,17586,18558,17748,18828,0,0,1,INVxp33_ASAP7_75t_R,8.528100101101721e-12,8.753200972932973e-07
drc_bufs111232,0,0,0,18288,18018,18450,18288,0,0,1,INVxp33_ASAP7_75t_R,8.528100101101721e-12,6.513764105875453e-07
drc_bufs111233,0,0,0,17748,18558,17910,18828,0,0,1,INVxp33_ASAP7_75t_R,8.528100101101721e-12,9.21187165658921e-07
drc_bufs111234,0,0,0,18504,18288,18666,18558,0,0,1,INVxp33_ASAP7_75t_R,8.528100101101721e-12,6.473587177424633e-07
drc_bufs111235,0,0,0,18342,18288,18504,18558,0,0,1,INVxp33_ASAP7_75t_R,8.528100101101721e-12,6.428879828490608e-07
drc_bufs111236,0,0,0,17964,17748,18126,18018,0,0,1,INVxp33_ASAP7_75t_R,8.528100101101721e-12,7.966505108925048e-07
drc_bufs111237,0,0,0,18126,18558,18288,18828,0,0,1,INVxp33_ASAP7_75t_R,8.528100101101721e-12,6.82595214129833e-07
drc_bufs111238,0,0,0,18666,18288,18828,18558,0,0,1,INVxp33_ASAP7_75t_R,8.528100101101721e-12,6.727641448378563e-07
drc_bufs111251,0,0,0,17586,18018,17748,18288,0,0,1,INVxp33_ASAP7_75t_R,8.528100101101721e-12,8.096382657640788e-07
drc_bufs111259,0,0,0,18180,18288,18342,18558,0,0,1,INVxp33_ASAP7_75t_R,8.528100101101721e-12,9.707243862067116e-07
drc_bufs220670,0,0,0,21420,3978,21636,4248,0,1,0,HB1xp67_ASAP7_75t_L,3.171740092788866e-10,2.653269120855839e-06
drc_bufs220676,0,0,0,28224,33408,28440,33678,0,1,0,HB1xp67_ASAP7_75t_R,3.27558986878973e-11,2.9036214073130395e-06
drc_bufs220682,0,0,0,5382,36648,5652,36918,0,1,0,BUFx2_ASAP7_75t_SL,8.531797490718418e-09,4.0501718103769235e-06
drc_bufs220688,0,0,0,40590,33408,40806,33678,0,1,0,HB1xp67_ASAP7_75t_R,2.55768600743167e-11,2.5306135285063647e-06
drc_bufs220729,0,0,0,26226,36648,26442,36918,0,1,0,HB1xp67_ASAP7_75t_R,3.162222567132389e-11,2.597665115899872e-06
drc_bufs220735,0,0,0,27738,28548,28008,28818,0,1,0,BUFx2_ASAP7_75t_SL,6.810801700396496e-09,4.265192728780676e-06
drc_bufs220752,0,0,0,40266,14238,40482,14508,0,1,0,HB1xp67_ASAP7_75t_R,3.161024220155184e-11,2.4481475975335343e-06
drc_bufs220758,0,0,0,7920,10728,8136,10998,0,1,0,HB1xp67_ASAP7_75t_SL,3.202409226688019e-09,1.9308386072225403e-06
drc_bufs220764,0,0,0,17478,2628,17694,2898,0,1,0,HB1xp67_ASAP7_75t_R,2.558240425054592e-11,1.707338128653646e-06
drc_bufs220777,0,0,0,5058,33138,5328,33408,0,1,0,BUFx2_ASAP7_75t_L,8.27299395655956e-10,3.879636096826289e-06
drc_bufs220788,0,0,0,29034,6408,29250,6678,0,1,0,HB1xp67_ASAP7_75t_L,2.515448405127074e-10,1.6020550219764118e-06
drc_bufs220794,0,0,0,6084,32328,6300,32598,0,1,0,HB1xp67_ASAP7_75t_SL,3.191453101791808e-09,1.465512241338729e-06
drc_bufs220814,0,0,0,8352,4248,8568,4518,0,1,0,HB1xp67_ASAP7_75t_R,2.5597753083861363e-11,1.4067024949326878e-06
drc_bufs220820,0,0,0,30330,5328,30546,5598,0,1,0,HB1xp67_ASAP7_75t_R,2.5579835125078e-11,1.3023147857893491e-06
drc_bufs220826,0,0,0,26658,1278,26874,1548,0,1,0,HB1xp67_ASAP7_75t_R,2.5601739478409158e-11,1.2785467333742417e-06
drc_bufs220832,0,0,0,35730,19908,35946,20178,0,1,0,HB1xp67_ASAP7_75t_L,3.166983619795616e-10,1.426943072146969e-06
