net_name,net_route_length,net_steiner_length,fanout,total_cap,net_cap,net_coupling,net_res
clk,0,-1,530,3.5505460876071593e-13,0.0,0.0,0.0
done,0,-1,0,3.0131015988732555e-16,0.0,0.0,0.0
key[0],0,-1,1,5.573946896219022e-16,0.0,0.0,0.0
key[100],0,-1,1,2.9847120190966067e-15,0.0,0.0,0.0
key[101],0,-1,1,4.596977400790018e-15,0.0,0.0,0.0
key[102],0,-1,1,2.71975291341541e-15,0.0,0.0,0.0
key[103],0,-1,1,3.803067395372192e-15,0.0,0.0,0.0
key[104],0,-1,1,4.820664826116249e-15,0.0,0.0,0.0
key[105],0,-1,1,2.8258293904989077e-15,0.0,0.0,0.0
key[106],0,-1,1,4.3417773852106115e-15,0.0,0.0,0.0
key[107],0,-1,1,4.64273115598538e-15,0.0,0.0,0.0
key[108],0,-1,1,2.595137849731831e-15,0.0,0.0,0.0
key[109],0,-1,1,2.84177944441218e-15,0.0,0.0,0.0
key[10],0,-1,1,3.4469472157756982e-15,0.0,0.0,0.0
key[110],0,-1,1,3.445397145482223e-15,0.0,0.0,0.0
key[111],0,-1,1,2.7353425548096253e-15,0.0,0.0,0.0
key[112],0,-1,1,2.6862762655157886e-15,0.0,0.0,0.0
key[113],0,-1,1,2.978964053516539e-15,0.0,0.0,0.0
key[114],0,-1,1,3.587576707876541e-15,0.0,0.0,0.0
key[115],0,-1,1,4.075886119770961e-15,0.0,0.0,0.0
key[116],0,-1,1,3.121789690291375e-15,0.0,0.0,0.0
key[117],0,-1,1,2.6494119093436238e-15,0.0,0.0,0.0
key[118],0,-1,1,3.3605161855961062e-15,0.0,0.0,0.0
key[119],0,-1,1,2.9053465142465365e-15,0.0,0.0,0.0
key[11],0,-1,1,5.2210364420970305e-16,0.0,0.0,0.0
key[120],0,-1,1,4.244872580879983e-15,0.0,0.0,0.0
key[121],0,-1,1,4.962547503462554e-15,0.0,0.0,0.0
key[122],0,-1,1,3.27119592603343e-15,0.0,0.0,0.0
key[123],0,-1,1,4.23411483893338e-15,0.0,0.0,0.0
key[124],0,-1,1,3.0292712460781033e-15,0.0,0.0,0.0
key[125],0,-1,1,4.411807951707229e-15,0.0,0.0,0.0
key[126],0,-1,1,4.027782695179916e-15,0.0,0.0,0.0
key[127],0,-1,1,3.92641783886552e-15,0.0,0.0,0.0
key[12],0,-1,1,5.840567457026258e-16,0.0,0.0,0.0
key[13],0,-1,1,2.9692358801173234e-15,0.0,0.0,0.0
key[14],0,-1,1,4.794321360302811e-16,0.0,0.0,0.0
key[15],0,-1,1,5.520233360660075e-16,0.0,0.0,0.0
key[16],0,-1,1,1.1848087225538708e-15,0.0,0.0,0.0
key[17],0,-1,1,5.398589370918109e-16,0.0,0.0,0.0
key[18],0,-1,1,4.810479043167279e-16,0.0,0.0,0.0
key[19],0,-1,1,4.826430261750854e-16,0.0,0.0,0.0
key[1],0,-1,1,5.117580367314982e-16,0.0,0.0,0.0
key[20],0,-1,1,4.488938983642442e-16,0.0,0.0,0.0
key[21],0,-1,1,1.9176027597284572e-15,0.0,0.0,0.0
key[22],0,-1,1,1.9509373178511766e-15,0.0,0.0,0.0
key[23],0,-1,1,1.1110936686158156e-15,0.0,0.0,0.0
key[24],0,-1,1,5.179838347729357e-16,0.0,0.0,0.0
key[25],0,-1,1,5.496513261763402e-16,0.0,0.0,0.0
key[26],0,-1,1,3.5188077969548585e-15,0.0,0.0,0.0
key[27],0,-1,1,5.839690248530258e-16,0.0,0.0,0.0
key[28],0,-1,1,5.74287914721942e-16,0.0,0.0,0.0
key[29],0,-1,1,2.770564725855301e-15,0.0,0.0,0.0
key[2],0,-1,1,8.34115377171317e-16,0.0,0.0,0.0
key[30],0,-1,1,1.1505233699478585e-15,0.0,0.0,0.0
key[31],0,-1,1,5.337944458872661e-16,0.0,0.0,0.0
key[32],0,-1,1,2.5877176293556464e-15,0.0,0.0,0.0
key[33],0,-1,1,3.0338761406958513e-15,0.0,0.0,0.0
key[34],0,-1,1,3.1699625715840953e-15,0.0,0.0,0.0
key[35],0,-1,1,2.7677335182291034e-15,0.0,0.0,0.0
key[36],0,-1,1,2.843335443936286e-15,0.0,0.0,0.0
key[37],0,-1,1,5.49900819730954e-15,0.0,0.0,0.0
key[38],0,-1,1,4.199143813156565e-15,0.0,0.0,0.0
key[39],0,-1,1,2.4935455650710973e-15,0.0,0.0,0.0
key[3],0,-1,1,2.460529067820072e-15,0.0,0.0,0.0
key[40],0,-1,1,3.91985460407372e-15,0.0,0.0,0.0
key[41],0,-1,1,4.5980387330729275e-15,0.0,0.0,0.0
key[42],0,-1,1,5.117586296545613e-15,0.0,0.0,0.0
key[43],0,-1,1,3.136077018529187e-15,0.0,0.0,0.0
key[44],0,-1,1,5.063343153636395e-15,0.0,0.0,0.0
key[45],0,-1,1,3.360003095388307e-15,0.0,0.0,0.0
key[46],0,-1,1,2.4305830650028434e-15,0.0,0.0,0.0
key[47],0,-1,1,2.5932455781276648e-15,0.0,0.0,0.0
key[48],0,-1,1,2.3480663858307504e-15,0.0,0.0,0.0
key[49],0,-1,1,3.1343416597784998e-15,0.0,0.0,0.0
key[4],0,-1,1,4.8280221542961e-16,0.0,0.0,0.0
key[50],0,-1,1,3.113991693220715e-15,0.0,0.0,0.0
key[51],0,-1,1,2.517879127579819e-15,0.0,0.0,0.0
key[52],0,-1,1,4.52403007633953e-15,0.0,0.0,0.0
key[53],0,-1,1,4.398433724986557e-15,0.0,0.0,0.0
key[54],0,-1,1,3.452736050695471e-15,0.0,0.0,0.0
key[55],0,-1,1,3.2722182948007657e-15,0.0,0.0,0.0
key[56],0,-1,1,3.3668941319306943e-15,0.0,0.0,0.0
key[57],0,-1,1,2.4956296896378165e-15,0.0,0.0,0.0
key[58],0,-1,1,2.904339603830488e-15,0.0,0.0,0.0
key[59],0,-1,1,3.85997276283463e-15,0.0,0.0,0.0
key[5],0,-1,1,2.5421580564634425e-15,0.0,0.0,0.0
key[60],0,-1,1,3.590600191981765e-15,0.0,0.0,0.0
key[61],0,-1,1,3.3382504422698692e-15,0.0,0.0,0.0
key[62],0,-1,1,2.9909802746645254e-15,0.0,0.0,0.0
key[63],0,-1,1,3.4904546395949417e-15,0.0,0.0,0.0
key[64],0,-1,1,4.240206699890033e-15,0.0,0.0,0.0
key[65],0,-1,1,3.569622150493591e-15,0.0,0.0,0.0
key[66],0,-1,1,3.4274527524946405e-15,0.0,0.0,0.0
key[67],0,-1,1,2.963804493101292e-15,0.0,0.0,0.0
key[68],0,-1,1,2.7515971170674353e-15,0.0,0.0,0.0
key[69],0,-1,1,3.0652263123813906e-15,0.0,0.0,0.0
key[6],0,-1,1,2.107100335413479e-15,0.0,0.0,0.0
key[70],0,-1,1,2.872886729400094e-15,0.0,0.0,0.0
key[71],0,-1,1,2.429081699103835e-15,0.0,0.0,0.0
key[72],0,-1,1,3.712154078593967e-15,0.0,0.0,0.0
key[73],0,-1,1,3.125588209543337e-15,0.0,0.0,0.0
key[74],0,-1,1,2.6020490033067155e-15,0.0,0.0,0.0
