src,tar,src_type,tar_type,is_net,arc_delay
drc_bufs/A,drc_bufs/Y,pin,pin,0,1.73406708e-10
drc_bufs111232/A,drc_bufs111232/Y,pin,pin,0,1.3917025799999998e-10
drc_bufs111233/A,drc_bufs111233/Y,pin,pin,0,1.80373367e-10
drc_bufs111234/A,drc_bufs111234/Y,pin,pin,0,1.38147583e-10
drc_bufs111235/A,drc_bufs111235/Y,pin,pin,0,1.37427582e-10
drc_bufs111236/A,drc_bufs111236/Y,pin,pin,0,1.6134982299999997e-10
drc_bufs111237/A,drc_bufs111237/Y,pin,pin,0,1.43460983e-10
drc_bufs111238/A,drc_bufs111238/Y,pin,pin,0,1.41936264e-10
drc_bufs111251/A,drc_bufs111251/Y,pin,pin,0,1.6269512900000002e-10
drc_bufs111259/A,drc_bufs111259/Y,pin,pin,0,1.8776061999999998e-10
drc_bufs220670/A,drc_bufs220670/Y,pin,pin,0,2.8652611e-11
drc_bufs220676/A,drc_bufs220676/Y,pin,pin,0,3.661042e-11
drc_bufs220682/A,drc_bufs220682/Y,pin,pin,0,1.8827692e-11
drc_bufs220688/A,drc_bufs220688/Y,pin,pin,0,3.7903464999999997e-11
drc_bufs220729/A,drc_bufs220729/Y,pin,pin,0,3.5913147e-11
drc_bufs220735/A,drc_bufs220735/Y,pin,pin,0,1.9188092999999998e-11
drc_bufs220752/A,drc_bufs220752/Y,pin,pin,0,3.5298617999999994e-11
drc_bufs220758/A,drc_bufs220758/Y,pin,pin,0,2.132243e-11
drc_bufs220764/A,drc_bufs220764/Y,pin,pin,0,2.9732697e-11
drc_bufs220777/A,drc_bufs220777/Y,pin,pin,0,2.2036571999999998e-11
drc_bufs220788/A,drc_bufs220788/Y,pin,pin,0,2.4108826e-11
drc_bufs220794/A,drc_bufs220794/Y,pin,pin,0,1.6523527000000002e-11
drc_bufs220814/A,drc_bufs220814/Y,pin,pin,0,2.6945443999999998e-11
drc_bufs220820/A,drc_bufs220820/Y,pin,pin,0,3.1283238999999996e-11
drc_bufs220826/A,drc_bufs220826/Y,pin,pin,0,2.6135259999999997e-11
drc_bufs220832/A,drc_bufs220832/Y,pin,pin,0,2.36127e-11
drc_bufs220838/A,drc_bufs220838/Y,pin,pin,0,2.0761818e-11
drc_bufs220882/A,drc_bufs220882/Y,pin,pin,0,2.7510502e-11
drc_bufs220892/A,drc_bufs220892/Y,pin,pin,0,2.3875481e-11
drc_bufs220899/A,drc_bufs220899/Y,pin,pin,0,3.6390694e-11
drc_bufs220943/A,drc_bufs220943/Y,pin,pin,0,3.933144e-11
drc_bufs220950/A,drc_bufs220950/Y,pin,pin,0,3.005969e-11
drc_bufs220957/A,drc_bufs220957/Y,pin,pin,0,2.9422155e-11
drc_bufs221271/A,drc_bufs221271/Y,pin,pin,0,1.9377344e-11
drc_bufs221274/A,drc_bufs221274/Y,pin,pin,0,2.1275005e-11
drc_bufs221277/A,drc_bufs221277/Y,pin,pin,0,1.9086950000000002e-11
drc_bufs221280/A,drc_bufs221280/Y,pin,pin,0,1.8080803e-11
drc_bufs221283/A,drc_bufs221283/Y,pin,pin,0,1.9492387999999998e-11
drc_bufs221286/A,drc_bufs221286/Y,pin,pin,0,1.9478973e-11
drc_bufs221289/A,drc_bufs221289/Y,pin,pin,0,1.8386259e-11
drc_bufs221292/A,drc_bufs221292/Y,pin,pin,0,1.9682289e-11
drc_bufs221295/A,drc_bufs221295/Y,pin,pin,0,2.6234133e-11
drc_bufs221298/A,drc_bufs221298/Y,pin,pin,0,2.3571408999999998e-11
drc_bufs221301/A,drc_bufs221301/Y,pin,pin,0,2.1192049e-11
