pin_name,x,y,is_in_clk,is_port,is_startpoint,is_endpoint,dir,maxcap,maxtran,num_reachable_endpoint,cell_name,net_name,pin_tran,pin_slack,pin_rise_arr,pin_fall_arr,input_pin_cap
dcnt_reg\[0\]/CLK,34477,12483,1,-1,1,0,0,0.0,3.199999987213431e-10,0,dcnt_reg\[0\],clk,8.650987703973101e-10,-6.117423234641706e-11,2.005801913451677e-10,3.606939746880755e-10,4.747360265520257e-16
dcnt_reg\[0\]/D,34632,12483,0,-1,0,1,0,0.0,3.199999987213431e-10,1,dcnt_reg\[0\],n_1272,1.0408582849785741e-11,-2.9088509378993876e-11,5.272293712721421e-10,5.230253452559452e-10,5.588219930775849e-16
dcnt_reg\[0\]/QN,35422,12483,0,-1,0,0,1,4.608000179345817e-14,2.2699998825093104e-10,0,dcnt_reg\[0\],dcnt[0],3.137003504183333e-11,-6.117423234641706e-11,3.4246269708937405e-10,3.458542341405746e-10,-1
dcnt_reg\[1\]/CLK,34423,12213,1,-1,1,0,0,0.0,3.199999987213431e-10,0,dcnt_reg\[1\],clk,8.649477800659611e-10,-5.5660573372584565e-11,2.0054446991935038e-10,3.606582810178338e-10,4.747360265520257e-16
dcnt_reg\[1\]/D,34578,12213,0,-1,0,1,0,0.0,3.199999987213431e-10,1,dcnt_reg\[1\],n_1245,1.0848925924289432e-11,-3.500510992182626e-11,5.275289649553372e-10,5.233142252869527e-10,5.588219930775849e-16
dcnt_reg\[1\]/QN,35368,12213,0,-1,0,0,1,4.608000179345817e-14,2.2699998825093104e-10,0,dcnt_reg\[1\],dcnt[1],2.5904790465491878e-11,-5.566058725037237e-11,3.3921046527218834e-10,3.425030814518948e-10,-1
dcnt_reg\[2\]/CLK,32965,12213,1,-1,1,0,0,0.0,3.199999987213431e-10,0,dcnt_reg\[2\],clk,8.648537441757753e-10,-2.898695172781629e-12,2.0052222382549445e-10,3.606360210461901e-10,4.747360265520257e-16
dcnt_reg\[2\]/D,33120,12213,0,-1,0,1,0,0.0,3.199999987213431e-10,1,dcnt_reg\[2\],n_1147,2.699069266698384e-11,-5.768302502318079e-11,5.509801503933431e-10,5.534046554345196e-10,5.588219930775849e-16
dcnt_reg\[2\]/QN,33910,12213,0,-1,0,0,1,4.608000179345817e-14,2.2699998825093104e-10,0,dcnt_reg\[2\],dcnt[2],2.690349852618734e-11,-2.898709050569437e-12,3.397474246380483e-10,3.431228634553918e-10,-1
dcnt_reg\[3\]/CLK,33181,12753,1,-1,1,0,0,0.0,3.199999987213431e-10,0,dcnt_reg\[3\],clk,8.649655436343551e-10,5.129853486440794e-11,2.0054867488905614e-10,3.606624998653274e-10,4.747360265520257e-16
