src,tar,src_type,tar_type
issue_stage_i_i_issue_read_operands_alu_valid_q_reg,g1206094,cell,cell
ex_stage_i_lsu_i_i_store_unit_i_amo_buffer_i_amo_fifo_i_fifo_v3_mem_q_reg\[0\]\[op\]\[0\],g1438485,cell,cell
ex_stage_i_lsu_i_i_store_unit_i_amo_buffer_i_amo_fifo_i_fifo_v3_mem_q_reg\[0\]\[op\]\[0\],g1234648,cell,cell
ex_stage_i_lsu_i_i_store_unit_i_amo_buffer_i_amo_fifo_i_fifo_v3_mem_q_reg\[0\]\[op\]\[0\],g1234645,cell,cell
ex_stage_i_lsu_i_i_store_unit_i_amo_buffer_i_amo_fifo_i_fifo_v3_mem_q_reg\[0\]\[op\]\[0\],g1203133,cell,cell
ex_stage_i_lsu_i_i_store_unit_i_amo_buffer_i_amo_fifo_i_fifo_v3_mem_q_reg\[0\]\[op\]\[0\],g1203124,cell,cell
ex_stage_i_lsu_i_i_store_unit_i_amo_buffer_i_amo_fifo_i_fifo_v3_mem_q_reg\[0\]\[op\]\[1\],g1877157,cell,cell
ex_stage_i_lsu_i_i_store_unit_i_amo_buffer_i_amo_fifo_i_fifo_v3_mem_q_reg\[0\]\[op\]\[1\],g1876767,cell,cell
ex_stage_i_lsu_i_i_store_unit_i_amo_buffer_i_amo_fifo_i_fifo_v3_mem_q_reg\[0\]\[op\]\[1\],g1438486,cell,cell
ex_stage_i_lsu_i_i_store_unit_i_amo_buffer_i_amo_fifo_i_fifo_v3_mem_q_reg\[0\]\[op\]\[1\],g1235758,cell,cell
ex_stage_i_lsu_i_i_store_unit_i_amo_buffer_i_amo_fifo_i_fifo_v3_mem_q_reg\[0\]\[op\]\[1\],g1235182,cell,cell
ex_stage_i_lsu_i_i_store_unit_i_amo_buffer_i_amo_fifo_i_fifo_v3_mem_q_reg\[0\]\[op\]\[1\],g1203120,cell,cell
ex_stage_i_lsu_i_i_store_unit_i_amo_buffer_i_amo_fifo_i_fifo_v3_mem_q_reg\[0\]\[op\]\[1\],g1203053,cell,cell
ex_stage_i_lsu_i_i_store_unit_i_amo_buffer_i_amo_fifo_i_fifo_v3_mem_q_reg\[0\]\[op\]\[2\],g1877157,cell,cell
ex_stage_i_lsu_i_i_store_unit_i_amo_buffer_i_amo_fifo_i_fifo_v3_mem_q_reg\[0\]\[op\]\[2\],g1438487,cell,cell
ex_stage_i_lsu_i_i_store_unit_i_amo_buffer_i_amo_fifo_i_fifo_v3_mem_q_reg\[0\]\[op\]\[2\],g1236762,cell,cell
ex_stage_i_lsu_i_i_store_unit_i_amo_buffer_i_amo_fifo_i_fifo_v3_mem_q_reg\[0\]\[op\]\[2\],g1203053,cell,cell
ex_stage_i_lsu_i_i_store_unit_i_amo_buffer_i_amo_fifo_i_fifo_v3_mem_q_reg\[0\]\[op\]\[3\],g1438488,cell,cell
ex_stage_i_lsu_i_i_store_unit_i_amo_buffer_i_amo_fifo_i_fifo_v3_mem_q_reg\[0\]\[op\]\[3\],g1236234,cell,cell
ex_stage_i_lsu_i_i_store_unit_i_amo_buffer_i_amo_fifo_i_fifo_v3_mem_q_reg\[0\]\[op\]\[3\],g1236109,cell,cell
ex_stage_i_lsu_i_i_store_unit_i_amo_buffer_i_amo_fifo_i_fifo_v3_mem_q_reg\[0\]\[op\]\[3\],g1203133,cell,cell
ex_stage_i_lsu_i_i_store_unit_i_amo_buffer_i_amo_fifo_i_fifo_v3_mem_q_reg\[0\]\[paddr\]\[0\],g1877122,cell,cell
ex_stage_i_lsu_i_i_store_unit_i_amo_buffer_i_amo_fifo_i_fifo_v3_mem_q_reg\[0\]\[paddr\]\[0\],g1871737,cell,cell
ex_stage_i_lsu_i_i_store_unit_i_amo_buffer_i_amo_fifo_i_fifo_v3_mem_q_reg\[0\]\[paddr\]\[0\],g1864026__1617,cell,cell
ex_stage_i_lsu_i_i_store_unit_i_amo_buffer_i_amo_fifo_i_fifo_v3_mem_q_reg\[0\]\[paddr\]\[0\],g1438491,cell,cell
ex_stage_i_lsu_i_i_store_unit_i_amo_buffer_i_amo_fifo_i_fifo_v3_mem_q_reg\[0\]\[paddr\]\[0\],g1236876,cell,cell
ex_stage_i_lsu_i_i_store_unit_i_amo_buffer_i_amo_fifo_i_fifo_v3_mem_q_reg\[0\]\[paddr\]\[0\],g1235779,cell,cell
ex_stage_i_lsu_i_i_store_unit_i_amo_buffer_i_amo_fifo_i_fifo_v3_mem_q_reg\[0\]\[paddr\]\[0\],g1235778,cell,cell
ex_stage_i_lsu_i_i_store_unit_i_amo_buffer_i_amo_fifo_i_fifo_v3_mem_q_reg\[0\]\[paddr\]\[0\],g1235777,cell,cell
