port_name,net_name,dir,is_startpoint,is_endpoint,x0,y0,x1,y1,tran,slack,rise_arr,fall_arr
axi_req_o\[ar\]\[addr\][0],axi_req_o\[ar\]\[addr\][0],OUTPUT,0,1,0,120916,274,120948,6.702014811177381e-12,1.7435314303426708e-09,6.626416082511355e-10,6.664685470170184e-10
axi_req_o\[ar\]\[addr\][10],axi_req_o\[ar\]\[addr\][10],OUTPUT,0,1,0,121812,274,121844,6.121918944002047e-12,1.6709504890854987e-09,7.197488716137457e-10,7.390495437853417e-10
axi_req_o\[ar\]\[addr\][11],axi_req_o\[ar\]\[addr\][11],OUTPUT,0,1,121044,0,121076,274,6.297165913715652e-12,1.704575147698506e-09,6.745440872535369e-10,7.054248851723344e-10
axi_req_o\[ar\]\[addr\][12],axi_req_o\[ar\]\[addr\][12],OUTPUT,0,1,121044,0,121068,334,6.297165913715652e-12,1.6637871080860123e-09,7.27227389418772e-10,7.462128137625257e-10
axi_req_o\[ar\]\[addr\][13],axi_req_o\[ar\]\[addr\][13],OUTPUT,0,1,121044,400442,121076,400716,6.297165913715652e-12,1.6698520344249346e-09,7.184421391137619e-10,7.401478874236034e-10
axi_req_o\[ar\]\[addr\][14],axi_req_o\[ar\]\[addr\][14],OUTPUT,0,1,121044,400382,121068,400716,6.297165913715652e-12,1.725719567247097e-09,6.612302372310808e-10,6.842804101125921e-10
axi_req_o\[ar\]\[addr\][15],axi_req_o\[ar\]\[addr\][15],OUTPUT,0,1,121812,0,121844,274,1.8602555260094356e-11,1.579988806454935e-09,8.062596146274359e-10,8.300111709047542e-10
axi_req_o\[ar\]\[addr\][16],axi_req_o\[ar\]\[addr\][16],OUTPUT,0,1,121812,400442,121844,400716,6.297165913715652e-12,1.6698520344249346e-09,7.184421391137619e-10,7.401478874236034e-10
axi_req_o\[ar\]\[addr\][17],axi_req_o\[ar\]\[addr\][17],OUTPUT,0,1,121812,0,121836,334,5.902040141336773e-12,1.7747097125209166e-09,6.16873052639022e-10,6.352903203499238e-10
axi_req_o\[ar\]\[addr\][18],axi_req_o\[ar\]\[addr\][18],OUTPUT,0,1,121812,400382,121836,400716,6.121918944002047e-12,1.7124163198545261e-09,6.63741839268539e-10,6.97583657505163e-10
axi_req_o\[ar\]\[addr\][19],axi_req_o\[ar\]\[addr\][19],OUTPUT,0,1,400706,121064,401040,121088,6.297165913715652e-12,1.660152348925692e-09,7.31380567220441e-10,7.498476284339972e-10
axi_req_o\[ar\]\[addr\][1],axi_req_o\[ar\]\[addr\][1],OUTPUT,0,1,121940,0,121972,274,6.702014811177381e-12,1.7434558241546938e-09,6.626416082511355e-10,6.665440976938442e-10
axi_req_o\[ar\]\[addr\][20],axi_req_o\[ar\]\[addr\][20],OUTPUT,0,1,400766,121044,401040,121076,1.8602555260094356e-11,1.579988806454935e-09,8.062596146274359e-10,8.300111709047542e-10
axi_req_o\[ar\]\[addr\][21],axi_req_o\[ar\]\[addr\][21],OUTPUT,0,1,0,121064,334,121088,1.8602555260094356e-11,1.579988806454935e-09,8.062596146274359e-10,8.300111709047542e-10
axi_req_o\[ar\]\[addr\][22],axi_req_o\[ar\]\[addr\][22],OUTPUT,0,1,0,121044,274,121076,1.8602555260094356e-11,1.579988806454935e-09,8.062596146274359e-10,8.300111709047542e-10
axi_req_o\[ar\]\[addr\][23],axi_req_o\[ar\]\[addr\][23],OUTPUT,0,1,400706,121704,401040,121728,6.121918944002047e-12,1.6709504890854987e-09,7.197488716137457e-10,7.390495437853417e-10
axi_req_o\[ar\]\[addr\][24],axi_req_o\[ar\]\[addr\][24],OUTPUT,0,1,0,121704,334,121728,1.8602555260094356e-11,1.579988806454935e-09,8.062596146274359e-10,8.300111709047542e-10
axi_req_o\[ar\]\[addr\][25],axi_req_o\[ar\]\[addr\][25],OUTPUT,0,1,121140,0,121164,334,6.297165913715652e-12,1.704575147698506e-09,6.745440872535369e-10,7.054248851723344e-10
axi_req_o\[ar\]\[addr\][26],axi_req_o\[ar\]\[addr\][26],OUTPUT,0,1,121140,400382,121164,400716,6.297165913715652e-12,1.660152348925692e-09,7.31380567220441e-10,7.498476284339972e-10
axi_req_o\[ar\]\[addr\][27],axi_req_o\[ar\]\[addr\][27],OUTPUT,0,1,400766,121684,401040,121716,6.297165913715652e-12,1.6637871080860123e-09,7.27227389418772e-10,7.462128137625257e-10
axi_req_o\[ar\]\[addr\][28],axi_req_o\[ar\]\[addr\][28],OUTPUT,0,1,0,121684,274,121716,6.297165913715652e-12,1.660152348925692e-09,7.31380567220441e-10,7.498476284339972e-10
axi_req_o\[ar\]\[addr\][29],axi_req_o\[ar\]\[addr\][29],OUTPUT,0,1,121716,0,121740,334,1.8602555260094356e-11,1.579988806454935e-09,8.062596146274359e-10,8.300111709047542e-10
axi_req_o\[ar\]\[addr\][2],axi_req_o\[ar\]\[addr\][2],OUTPUT,0,1,121940,400442,121972,400716,6.702014811177381e-12,1.7434558241546938e-09,6.626416082511355e-10,6.665440976938442e-10
axi_req_o\[ar\]\[addr\][30],axi_req_o\[ar\]\[addr\][30],OUTPUT,0,1,121716,400382,121740,400716,1.8602555260094356e-11,1.579988806454935e-09,8.062596146274359e-10,8.300111709047542e-10
axi_req_o\[ar\]\[addr\][31],axi_req_o\[ar\]\[addr\][31],OUTPUT,0,1,121172,0,121204,274,5.960960891560063e-12,1.620074074892841e-09,7.704865079283252e-10,7.899259579779994e-10
axi_req_o\[ar\]\[addr\][32],axi_req_o\[ar\]\[addr\][32],OUTPUT,0,1,400766,121172,401040,121204,6.121918944002047e-12,1.6612506925639536e-09,7.305419602587904e-10,7.487492847957355e-10
