cell_name,is_seq,is_macro,is_in_clk,x0,y0,x1,y1,is_filler,is_buf,is_inv,libcell_name,cell_static_power,cell_dynamic_power
ADD_UNS_OP118_Y_ADD_UNS_OP115_g1587,0,0,0,75690,158904,75960,159174,0,0,0,AOI21xp33_ASAP7_75t_R,3.600912623635821e-11,1.4157855332541658e-07
ADD_UNS_OP118_Y_ADD_UNS_OP115_g1590,0,0,0,75960,158904,76284,159174,0,0,0,NOR2x1_ASAP7_75t_R,7.293285420040263e-11,0.0
ADD_UNS_OP118_Y_ADD_UNS_OP115_g1591,0,0,0,74286,161604,74556,161874,0,0,0,AOI21xp33_ASAP7_75t_R,3.600912623635821e-11,1.228967505539913e-07
ADD_UNS_OP118_Y_ADD_UNS_OP115_g1592,0,0,0,73746,163494,74070,163764,0,0,0,OAI22xp33_ASAP7_75t_R,3.5844362200609936e-11,1.2884744648999913e-07
ADD_UNS_OP118_Y_ADD_UNS_OP115_g1594,0,0,0,74502,162144,74718,162414,0,0,0,NOR2xp33_ASAP7_75t_R,2.43126369731117e-11,0.0
ADD_UNS_OP118_Y_ADD_UNS_OP115_g1595,0,0,0,72990,163494,73260,163764,0,0,0,AOI21xp33_ASAP7_75t_R,3.600912623635821e-11,1.1663934174066526e-07
ADD_UNS_OP118_Y_ADD_UNS_OP115_g1596,0,0,0,75258,162144,75582,162414,0,0,0,OR2x2_ASAP7_75t_R,1.3585607638866293e-10,0.0
ADD_UNS_OP118_Y_ADD_UNS_OP115_g1598,0,0,0,70398,163224,70722,163494,0,0,0,OAI22xp33_ASAP7_75t_R,3.5844362200609936e-11,1.430501441745946e-07
ADD_UNS_OP118_Y_ADD_UNS_OP115_g1600,0,0,0,73584,163494,73746,163764,0,0,1,INVxp33_ASAP7_75t_R,1.7778400279722106e-11,0.0
ADD_UNS_OP118_Y_ADD_UNS_OP115_g1601,0,0,0,73260,163494,73584,163764,0,0,0,NOR2xp67_ASAP7_75t_R,4.862523578230693e-11,0.0
ADD_UNS_OP118_Y_ADD_UNS_OP115_g1602,0,0,0,70668,164574,70938,164844,0,0,0,AOI21xp33_ASAP7_75t_R,3.600912623635821e-11,1.702257463875867e-07
ADD_UNS_OP118_Y_ADD_UNS_OP115_g1603,0,0,0,70182,163224,70398,163494,0,0,0,NOR2xp33_ASAP7_75t_R,1.849164918410473e-11,1.6386346146646247e-07
ADD_UNS_OP118_Y_ADD_UNS_OP115_g1605,0,0,0,74178,162954,74394,163224,0,0,0,NAND2xp5_ASAP7_75t_R,3.8163361359977443e-11,0.0
ADD_UNS_OP118_Y_ADD_UNS_OP115_g1606,0,0,0,71694,161604,71964,161874,0,0,0,AOI21xp33_ASAP7_75t_R,3.600912623635821e-11,1.0576729891909054e-07
ADD_UNS_OP118_Y_ADD_UNS_OP115_g1607,0,0,0,70992,160254,71478,160524,0,0,0,XNOR2xp5_ASAP7_75t_R,6.91941573482957e-11,2.2175240133037732e-07
ADD_UNS_OP118_Y_ADD_UNS_OP115_g1608,0,0,0,70182,158364,70668,158634,0,0,0,XNOR2xp5_ASAP7_75t_R,6.91941573482957e-11,2.2924066911400587e-07
ADD_UNS_OP118_Y_ADD_UNS_OP115_g1609,0,0,0,70020,155934,70506,156204,0,0,0,XNOR2xp5_ASAP7_75t_R,6.91941573482957e-11,1.9318433430726145e-07
ADD_UNS_OP118_Y_ADD_UNS_OP115_g1612,0,0,0,70398,163494,70560,163764,0,0,1,INVxp33_ASAP7_75t_R,1.6334000124684778e-11,0.0
ADD_UNS_OP118_Y_ADD_UNS_OP115_g1613,0,0,0,70506,162954,70722,163224,0,0,0,NOR2xp33_ASAP7_75t_R,1.7176593480883184e-11,7.872193918956327e-08
ADD_UNS_OP118_Y_ADD_UNS_OP115_g1614,0,0,0,70992,159984,71370,160254,0,0,0,OA21x2_ASAP7_75t_R,1.0894179308662544e-10,3.5101197681797203e-07
ADD_UNS_OP118_Y_ADD_UNS_OP115_g1615,0,0,0,70614,162144,70992,162414,0,0,0,OA21x2_ASAP7_75t_R,1.0894179308662544e-10,3.262932750658365e-07
ADD_UNS_OP118_Y_ADD_UNS_OP115_g1616,0,0,0,70722,165114,70938,165384,0,0,0,NOR2xp33_ASAP7_75t_R,2.43126369731117e-11,0.0
ADD_UNS_OP118_Y_ADD_UNS_OP115_g1617,0,0,0,71478,161604,71694,161874,0,0,0,NOR2xp33_ASAP7_75t_R,2.43126369731117e-11,0.0
ADD_UNS_OP118_Y_ADD_UNS_OP115_g1618,0,0,0,70560,163494,70776,163764,0,0,0,NAND2xp33_ASAP7_75t_R,2.966996440201264e-11,0.0
ADD_UNS_OP118_Y_ADD_UNS_OP115_g1619,0,0,0,72990,163224,73152,163494,0,0,1,INVxp33_ASAP7_75t_R,1.7778400279722106e-11,0.0
ADD_UNS_OP118_Y_ADD_UNS_OP115_g1620,0,0,0,70290,158634,70668,158904,0,0,0,OA21x2_ASAP7_75t_R,1.0894179308662544e-10,3.4071570098603843e-07
ADD_UNS_OP118_Y_ADD_UNS_OP115_g1621,0,0,0,69426,155394,69804,155664,0,0,0,OA21x2_ASAP7_75t_R,1.0894179308662544e-10,3.452628050126805e-07
ADD_UNS_OP118_Y_ADD_UNS_OP115_g1622,0,0,0,70614,150264,71100,150534,0,0,0,XNOR2xp5_ASAP7_75t_R,6.91941573482957e-11,2.3130806425797346e-07
ADD_UNS_OP118_Y_ADD_UNS_OP115_g1623,0,0,0,70776,157014,71262,157284,0,0,0,XNOR2xp5_ASAP7_75t_R,6.91941573482957e-11,2.6080283532792237e-07
ADD_UNS_OP118_Y_ADD_UNS_OP115_g1624,0,0,0,68508,152694,68994,152964,0,0,0,XNOR2xp5_ASAP7_75t_R,6.91941573482957e-11,2.1338289002414967e-07
ADD_UNS_OP118_Y_ADD_UNS_OP115_g1625,0,0,0,71748,163494,72072,163764,0,0,0,NOR2xp67_ASAP7_75t_R,3.839784393222523e-11,0.0
ADD_UNS_OP118_Y_ADD_UNS_OP115_g1627,0,0,0,69426,155664,69696,155934,0,0,0,AOI21xp33_ASAP7_75t_R,3.600912623635821e-11,1.328407108758256e-07
ADD_UNS_OP118_Y_ADD_UNS_OP115_g1628,0,0,0,70830,163224,71046,163494,0,0,0,NOR2xp33_ASAP7_75t_R,1.9198951456411706e-11,0.0
