net_name,net_route_length,net_steiner_length,fanout,total_cap,net_cap,net_coupling,net_res
axi_req_o\[ar\]\[addr\][0],0,-1,1,2.347780851024231e-14,0.0,0.0,0.0
axi_req_o\[ar\]\[addr\][10],0,-1,1,2.1394192163291456e-14,0.0,0.0,0.0
axi_req_o\[ar\]\[addr\][11],0,-1,1,3.652130274632917e-14,0.0,0.0,0.0
axi_req_o\[ar\]\[addr\][12],0,-1,1,3.933738236408871e-14,0.0,0.0,0.0
axi_req_o\[ar\]\[addr\][13],0,-1,1,1.586911822109606e-14,0.0,0.0,0.0
axi_req_o\[ar\]\[addr\][14],0,-1,1,1.4509704879652266e-14,0.0,0.0,0.0
axi_req_o\[ar\]\[addr\][15],0,-1,1,4.309483745876773e-14,0.0,0.0,0.0
axi_req_o\[ar\]\[addr\][16],0,-1,1,1.6914231517131673e-14,0.0,0.0,0.0
axi_req_o\[ar\]\[addr\][17],0,-1,1,3.689887615289725e-14,0.0,0.0,0.0
axi_req_o\[ar\]\[addr\][18],0,-1,1,1.5804116912723765e-14,0.0,0.0,0.0
axi_req_o\[ar\]\[addr\][19],0,-1,1,2.680010212233533e-14,0.0,0.0,0.0
axi_req_o\[ar\]\[addr\][1],0,-1,1,3.5724786844049117e-14,0.0,0.0,0.0
axi_req_o\[ar\]\[addr\][20],0,-1,1,4.343661864111663e-14,0.0,0.0,0.0
axi_req_o\[ar\]\[addr\][21],0,-1,1,4.0131509633457504e-14,0.0,0.0,0.0
axi_req_o\[ar\]\[addr\][22],0,-1,1,4.218144456229374e-14,0.0,0.0,0.0
axi_req_o\[ar\]\[addr\][23],0,-1,1,2.724209746673978e-14,0.0,0.0,0.0
axi_req_o\[ar\]\[addr\][24],0,-1,1,3.994164550426456e-14,0.0,0.0,0.0
axi_req_o\[ar\]\[addr\][25],0,-1,1,3.694660815354092e-14,0.0,0.0,0.0
axi_req_o\[ar\]\[addr\][26],0,-1,1,1.6976715443584728e-14,0.0,0.0,0.0
axi_req_o\[ar\]\[addr\][27],0,-1,1,4.584644092858227e-14,0.0,0.0,0.0
axi_req_o\[ar\]\[addr\][28],0,-1,1,2.0841015274230407e-14,0.0,0.0,0.0
axi_req_o\[ar\]\[addr\][29],0,-1,1,4.272757413723363e-14,0.0,0.0,0.0
