port_name,net_name,dir,is_startpoint,is_endpoint,x0,y0,x1,y1,tran,slack,rise_arr,fall_arr
axi_req_o\[ar\]\[addr\][0],axi_req_o\[ar\]\[addr\][0],OUTPUT,0,1,0,120916,274,120948,3.481677168792885e-10,-5.6825175676067374e-08,5.920289325445083e-08,5.923517676365009e-08
axi_req_o\[ar\]\[addr\][10],axi_req_o\[ar\]\[addr\][10],OUTPUT,0,1,0,121812,274,121844,3.1412977774536444e-10,-5.6913673773806295e-08,5.922419177295524e-08,5.932367486138901e-08
axi_req_o\[ar\]\[addr\][11],axi_req_o\[ar\]\[addr\][11],OUTPUT,0,1,121044,0,121076,274,5.428102967108828e-10,-5.6874490894642804e-08,5.9243124184149565e-08,5.928449198222552e-08
axi_req_o\[ar\]\[addr\][12],axi_req_o\[ar\]\[addr\][12],OUTPUT,0,1,121044,0,121068,334,5.914252421135302e-10,-5.688527693337164e-08,5.9246030303938824e-08,5.9295278020954356e-08
axi_req_o\[ar\]\[addr\][13],axi_req_o\[ar\]\[addr\][13],OUTPUT,0,1,121044,400442,121076,400716,2.319657105287476e-10,-5.674385761267331e-08,5.906555244905576e-08,5.9153858700256023e-08
axi_req_o\[ar\]\[addr\][14],axi_req_o\[ar\]\[addr\][14],OUTPUT,0,1,121044,400382,121068,400716,2.1069097855264118e-10,-5.67373064086496e-08,5.907537925509132e-08,5.9147307496232315e-08
axi_req_o\[ar\]\[addr\][15],axi_req_o\[ar\]\[addr\][15],OUTPUT,0,1,121812,0,121844,274,8.579095212013499e-10,-5.7126683827846136e-08,5.952121995278503e-08,5.953668491542885e-08
axi_req_o\[ar\]\[addr\][16],axi_req_o\[ar\]\[addr\][16],OUTPUT,0,1,121812,400442,121844,400716,2.4784940766409136e-10,-5.674699465885169e-08,5.907126876536495e-08,5.9156995746434404e-08
axi_req_o\[ar\]\[addr\][17],axi_req_o\[ar\]\[addr\][17],OUTPUT,0,1,121812,0,121836,334,5.493048238491838e-10,-5.685451043291323e-08,5.9223040693723306e-08,5.9264511520495944e-08
axi_req_o\[ar\]\[addr\][18],axi_req_o\[ar\]\[addr\][18],OUTPUT,0,1,121812,400382,121836,400716,2.2914899144854672e-10,-5.6606026532790565e-08,5.892468024626396e-08,5.901602762037328e-08
axi_req_o\[ar\]\[addr\][19],axi_req_o\[ar\]\[addr\][19],OUTPUT,0,1,400706,121064,401040,121088,4.1945330542247916e-10,-5.6967579098454735e-08,5.92821827183343e-08,5.937758018603745e-08
axi_req_o\[ar\]\[addr\][1],axi_req_o\[ar\]\[addr\][1],OUTPUT,0,1,121940,0,121972,274,5.543907000138404e-10,-5.671202174539758e-08,5.912202283298029e-08,5.9103889782363694e-08
axi_req_o\[ar\]\[addr\][20],axi_req_o\[ar\]\[addr\][20],OUTPUT,0,1,400766,121044,401040,121076,1.1154989154604777e-09,-5.7255558516544625e-08,5.964776050859655e-08,5.966555960412734e-08
axi_req_o\[ar\]\[addr\][21],axi_req_o\[ar\]\[addr\][21],OUTPUT,0,1,0,121064,334,121088,7.683644831502079e-10,-5.7094968752835484e-08,5.948176351466827e-08,5.95049698404182e-08
axi_req_o\[ar\]\[addr\][22],axi_req_o\[ar\]\[addr\][22],OUTPUT,0,1,0,121044,274,121076,8.035537235606682e-10,-5.710652573043262e-08,5.949690162765364e-08,5.9516526818015336e-08
axi_req_o\[ar\]\[addr\][23],axi_req_o\[ar\]\[addr\][23],OUTPUT,0,1,400706,121704,401040,121728,4.224377792017009e-10,-5.696474403293905e-08,5.9294126941722425e-08,5.9374745120521766e-08
axi_req_o\[ar\]\[addr\][24],axi_req_o\[ar\]\[addr\][24],OUTPUT,0,1,0,121704,334,121728,7.826609915717597e-10,-5.709910766427129e-08,5.948725956272938e-08,5.9509108751854e-08
axi_req_o\[ar\]\[addr\][25],axi_req_o\[ar\]\[addr\][25],OUTPUT,0,1,121140,0,121164,334,5.572442507428832e-10,-5.686842996510677e-08,5.9242381666990696e-08,5.9278431052689484e-08
axi_req_o\[ar\]\[addr\][26],axi_req_o\[ar\]\[addr\][26],OUTPUT,0,1,121140,400382,121164,400716,2.4513008289872573e-10,-5.677545189541888e-08,5.9107030381255754e-08,5.9185452983001596e-08
axi_req_o\[ar\]\[addr\][27],axi_req_o\[ar\]\[addr\][27],OUTPUT,0,1,400766,121684,401040,121716,7.655991396404715e-10,-5.710520412094411e-08,5.9455697254406914e-08,5.951520520852682e-08
axi_req_o\[ar\]\[addr\][28],axi_req_o\[ar\]\[addr\][28],OUTPUT,0,1,0,121684,274,121716,3.0570787568073854e-10,-5.69619373891328e-08,5.925256374439414e-08,5.9371938476715513e-08
axi_req_o\[ar\]\[addr\][29],axi_req_o\[ar\]\[addr\][29],OUTPUT,0,1,121716,0,121740,334,8.597892398043427e-10,-5.7119788010595585e-08,5.951422821226515e-08,5.95297890981783e-08
axi_req_o\[ar\]\[addr\][2],axi_req_o\[ar\]\[addr\][2],OUTPUT,0,1,121940,400442,121972,400716,2.8584115630003737e-10,-5.658785084960982e-08,5.899579136325883e-08,5.8997851937192536e-08
axi_req_o\[ar\]\[addr\][30],axi_req_o\[ar\]\[addr\][30],OUTPUT,0,1,121716,400382,121740,400716,4.3346967681934245e-10,-5.69720590704037e-08,5.932508528871949e-08,5.9382060157986416e-08
axi_req_o\[ar\]\[addr\][31],axi_req_o\[ar\]\[addr\][31],OUTPUT,0,1,121172,0,121204,274,5.448299589261296e-10,-5.706129968530149e-08,5.9430877996646814e-08,5.9471300772884206e-08
axi_req_o\[ar\]\[addr\][32],axi_req_o\[ar\]\[addr\][32],OUTPUT,0,1,400766,121172,401040,121204,8.305491849824875e-10,-5.7133323849711815e-08,5.947273251649676e-08,5.954332493729453e-08
axi_req_o\[ar\]\[addr\][33],axi_req_o\[ar\]\[addr\][33],OUTPUT,0,1,121172,400442,121204,400716,2.346441929645948e-10,-5.676464809312165e-08,5.909000577730694e-08,5.9174649180704364e-08
axi_req_o\[ar\]\[addr\][34],axi_req_o\[ar\]\[addr\][34],OUTPUT,0,1,0,121172,274,121204,3.1370420150445e-10,-5.692462323736436e-08,5.923883605873925e-08,5.933462432494707e-08
axi_req_o\[ar\]\[addr\][35],axi_req_o\[ar\]\[addr\][35],OUTPUT,0,1,121684,0,121716,274,5.850630535597645e-10,-5.688812620974204e-08,5.926229462716037e-08,5.9298127297324754e-08
axi_req_o\[ar\]\[addr\][36],axi_req_o\[ar\]\[addr\][36],OUTPUT,0,1,121684,400442,121716,400716,2.4395219178074967e-10,-5.68577327442199e-08,5.9191407331127266e-08,5.9267733831802616e-08
axi_req_o\[ar\]\[addr\][37],axi_req_o\[ar\]\[addr\][37],OUTPUT,0,1,400706,121224,401040,121248,8.565349540745615e-10,-5.7333775060897096e-08,5.974377614847981e-08,5.973286221205854e-08
axi_req_o\[ar\]\[addr\][38],axi_req_o\[ar\]\[addr\][38],OUTPUT,0,1,0,121224,334,121248,3.224502331811152e-10,-5.706861827547982e-08,5.9368232996348524e-08,5.9478619363062535e-08
axi_req_o\[ar\]\[addr\][39],axi_req_o\[ar\]\[addr\][39],OUTPUT,0,1,121236,0,121260,334,5.74103431461026e-10,-5.708174910523667e-08,5.945290482145538e-08,5.949175019281938e-08
axi_req_o\[ar\]\[addr\][3],axi_req_o\[ar\]\[addr\][3],OUTPUT,0,1,120948,0,120972,334,5.314900186625948e-10,-5.6745204091157575e-08,5.9102880811678915e-08,5.915520517874029e-08
axi_req_o\[ar\]\[addr\][40],axi_req_o\[ar\]\[addr\][40],OUTPUT,0,1,121236,400382,121260,400716,2.3153688688548613e-10,-5.6958281646757314e-08,5.9304490207523486e-08,5.936828273434003e-08
axi_req_o\[ar\]\[addr\][41],axi_req_o\[ar\]\[addr\][41],OUTPUT,0,1,121620,0,121644,334,5.846976236512091e-10,-5.707281758304816e-08,5.944438896676729e-08,5.948281867063088e-08
axi_req_o\[ar\]\[addr\][42],axi_req_o\[ar\]\[addr\][42],OUTPUT,0,1,121620,400382,121644,400716,2.425736278510726e-10,-5.693522808769558e-08,5.928051649561894e-08,5.934522917527829e-08
axi_req_o\[ar\]\[addr\][43],axi_req_o\[ar\]\[addr\][43],OUTPUT,0,1,400706,121544,401040,121568,7.039502869510272e-10,-5.7062180758293835e-08,5.943788394802141e-08,5.947218184587655e-08
axi_req_o\[ar\]\[addr\][44],axi_req_o\[ar\]\[addr\][44],OUTPUT,0,1,400766,121556,401040,121588,4.68403205111656e-10,-5.702572991594934e-08,5.9354132275757365e-08,5.9435731003532055e-08
axi_req_o\[ar\]\[addr\][45],axi_req_o\[ar\]\[addr\][45],OUTPUT,0,1,0,121544,334,121568,3.0405483686379853e-10,-5.715370576808709e-08,5.954360915438883e-08,5.956370685566981e-08
